filename,year,month,num_citations,file_size,forward_links
2009 Guinea protest,2012,4,27,78346,94
History of Guinea,2013,7,8,94341,342
List of diplomatic missions in Guinea,2009,8,0,57651,131
Economy of Guinea,2009,9,1,73276,348
History of Guinea,2006,4,0,76124,315
Bok%C3%A9 Baralande Airport,2013,3,0,34603,74
Nz%C3%A9r%C3%A9kor%C3%A9 Airport,2013,5,0,56987,112
Sosso Empire,2010,6,0,28591,56
Fran%C3%A7ois Kamano,2014,8,2,32902,47
Ba Cissoko,2013,2,1,35512,73
Alfa (title),2014,1,1,28162,50
Outline of Guinea,2008,12,0,69485,146
Jews of Bilad el Sudan,2013,8,24,81457,171
Wassoulou,2007,7,0,35436,81
Guinean franc,2010,4,1,69366,222
Union of African States,2008,1,0,40181,87
Timeline of Conakry,2014,9,21,79036,203
African Democratic Party of Guinea,2013,8,0,36212,78
Faranah Airport,2009,12,0,32478,63
Poro,2012,11,1,32420,45
Radio T%C3%A9l%C3%A9vision Guin%C3%A9enne,2009,10,0,27680,36
Baga languages,2013,3,0,29795,59
List of heads of government of Guinea,2008,11,0,59655,265
Camp Boiro,2009,5,0,25098,41
Badyara language,2013,2,0,37329,91
Index of Guinea related articles,2010,7,0,48555,102
Komara government,2009,1,0,25940,36
Jews of Bilad el Sudan,2012,5,24,84021,198
El Hadj Umar Tall,2006,5,0,34023,96
Template:Guinea struct stub,2009,8,0,29957,52
Loma people,2011,8,3,37227,65
Bok%C3%A9 Baralande Airport,2010,5,0,32611,63
Sankarani River,2010,5,0,39319,105
Sangar%C3%A9di Airport,2013,9,0,33434,72
List of Ambassadors from Guinea to the United States,2011,6,1,27710,34
Badyara language,2013,3,0,37127,89
List of heads of government of Guinea,2006,8,0,38461,113
Economy of Guinea,2010,8,3,75131,349
Pular language,2008,6,0,35846,76
Union of African States,2006,2,0,28778,45
French West Africa,2010,5,6,109405,344
National Organization of Free Unions of Guinea,2006,11,0,29925,51
Guinea,2003,7,0,58571,44
French Guinea,2014,3,0,62991,210
Kaabu,2014,6,0,52292,114
Samori Ture,2011,3,2,46886,98
Islam in Guinea,2008,11,1,38552,120
Yaguine Koita and Fod%C3%A9 Tounkara,2014,8,2,35146,44
French West Africa,2011,1,6,110936,355
National Alliance for Progress,2007,9,1,31910,60
History of Guinea,2013,4,8,91403,334
Fouta Djallon,2008,1,1,39431,73
Guinea,2010,1,27,205274,641
Guinee Air Service,2008,11,2,35461,93
Bank of West Africa (BAO),2009,8,7,68786,217
Anglo French Convention of 1882,2014,2,1,29276,59
Guinea Highlands,2011,7,3,31619,67
Outline of Guinea,2011,7,2,91404,240
List of Governors General of French Equatorial Africa,2009,2,0,42483,173
Union of African States,2013,2,3,71418,183
Tembakounda,2010,2,1,36963,100
Pular language,2006,7,0,26552,35
Bissandugu,2012,7,0,28256,60
Central Bank of the Republic of Guinea,2008,7,0,59770,246
El Hadj Umar Tall,2007,12,0,48279,188
Battle of Por%C3%A9daka,2013,4,6,38646,52
Economy of Guinea,2012,3,3,75847,355
Poro,2007,5,0,27914,42
Hotel Mariador Palace,2014,4,5,37654,49
ISO 3166 2:GN,2010,9,1,92357,767
Jews of Bilad el Sudan,2010,4,25,84649,203
Guinea,2008,11,10,189234,578
El Hadj Umar Tall,2007,8,0,48072,187
Ba Cissoko,2007,3,0,31500,57
Wassoulou Empire,2012,9,3,45305,161
List of political parties in Guinea,2006,1,0,31766,65
2009 Guinea protest,2010,10,27,75371,96
Nalu language,2015,4,2,37674,89
Gbenko Airport,2009,8,0,30978,62
Camp Boiro,2010,3,0,24977,34
Operation Green Sea,2012,11,10,59579,117
History of Guinea,2013,3,8,90816,327
Portal:Guinea,2011,9,0,65016,120
List of heads of government of Guinea,2004,8,0,29961,70
List of heads of government of Guinea,2006,3,0,38359,109
Guinean syli,2007,12,0,31470,49
Radio T%C3%A9l%C3%A9vision Guin%C3%A9enne,2011,2,0,29309,46
French Guinea,2009,11,0,65629,213
Economy of Guinea,2011,11,3,75603,347
Kissidougou Ethnology Museum,2013,3,1,28111,46
Geography of Guinea,2010,9,0,53468,217
French West Africa in World War II,2007,5,1,95550,447
Les Ballets Africains,2009,7,4,36354,60
Jews of Bilad el Sudan,2007,7,24,83482,200
List of governors of French West Africa,2011,11,0,36324,77
Guinean franc,2008,9,1,70009,226
Economy of Guinea,2006,5,0,66612,339
Military of Guinea,2014,11,27,96985,297
Yaguine Koita and Fod%C3%A9 Tounkara,2008,2,0,32265,52
Fouta Djallon,2006,4,0,30296,54
History of Guinea,2004,12,0,28983,54
Tata Airport,2013,3,0,35671,76
8 November Bridge,2013,4,0,31902,57
Camp Boiro,2012,5,32,77223,121
Yaguine Koita and Fod%C3%A9 Tounkara,2006,3,0,29184,35
Guinea,2004,5,0,75507,169
Economy of Guinea,2006,2,0,57016,267
Economy of Guinea,2014,9,4,65917,229
Union of African States,2014,8,31,110593,184
National Assembly (Guinea),2010,4,0,50847,161
Union for the Progress of Guinea,2008,12,3,32828,61
LGBT rights in Guinea,2012,11,35,74606,153
Bissandugu,2008,10,0,25693,46
2009 Guinea protest,2011,4,27,75382,96
Guinean languages alphabet,2011,3,2,33611,86
Union for Development Party,2007,2,1,33159,69
French Guinea,2005,6,0,27113,39
Upper Guinea,2013,1,3,31185,61
List of heads of state of Guinea,2006,9,0,39727,84
Alfaya (party),2010,1,1,26593,43
Camp Boiro,2011,4,32,77274,124
Mano River Union,2007,10,0,32380,66
Poro,2010,6,1,31925,54
2008 Guinean coup d%27%C3%A9tat,2010,10,52,114353,202
Template:Guinea airport stub,2009,8,0,31178,61
Samori Ture,2005,1,0,35009,50
Imamate of Futa Jallon,2014,1,6,49697,102
2008 Guinean coup d%27%C3%A9tat,2013,8,52,132941,269
