filename,year,month,num_citations,file_size,forward_links
Permanent Representative of Guyana to the United Nations,2010,11,1,33997,55
Politics of Guyana,2012,12,0,61287,207
William John Locke,2013,1,1,57986,130
Booker Group,2011,9,15,68126,332
The Discovery of Guiana,2012,9,3,32559,45
Walter Raleigh,2005,2,0,40686,84
Berbice Slave Uprising,2012,11,2,31653,49
Water supply and sanitation in Guyana,2007,6,3,38060,53
British Guiana,2006,8,0,36065,83
David Milne (Royal Navy officer),2008,2,3,39731,114
New Andalusia Province,2013,4,0,40933,103
Demerara,2012,4,5,65105,175
David Milne (Royal Navy officer),2009,12,3,39582,107
Rupununi savannah,2005,12,0,26891,48
Coat of arms of Guyana,2012,3,0,44619,103
Demerara rebellion of 1823,2010,8,30,77558,85
School of the Nations,2009,11,0,32186,70
The Guianas,2013,11,8,55727,154
Jonestown,2010,12,176,292483,547
Transport in Guyana,2006,12,0,55606,100
Jonestown,2011,10,175,294548,566
"New Amsterdam, Guyana",2013,2,0,62943,187
Guyanese people,2010,11,2,35484,87
Oyapoc,2013,4,0,24732,36
Elections in Guyana,2006,3,0,36186,85
Geography of Guyana,2008,9,0,50908,111
St. Joseph Mercy Hospital,2012,10,0,40507,84
Jonestown,2006,5,0,66981,165
Guyanese dollar,2008,2,1,72725,245
Dutch West India Company,2002,2,0,31787,37
"Georgetown, Guyana",2013,11,4,133502,327
President%27s College (Guyana),2007,12,0,31184,48
David Rose (Guyanese politician),2011,12,2,33883,64
Hereford (ship),2009,12,0,30807,70
David Milne (Royal Navy officer),2011,7,4,47019,118
Republic of Independent Guyana,2013,7,1,37936,57
Dutch West India Company,2008,7,0,56271,167
Georgetown City Hall,2009,11,0,43529,91
Jonestown,2003,8,0,30571,45
Alfred A. Thorne,2014,5,15,44534,39
Alliance for Change (Guyana),2010,10,0,33850,71
Fort Kyk Over Al,2013,3,0,44966,96
Demerara,2012,9,5,66274,180
List of diplomatic missions in Guyana,2010,11,0,38095,64
Outline of Guyana,2009,9,1,96213,248
