filename,year,month,num_citations,file_size,forward_links
Second Empire of Haiti,2011,3,0,44918,101
Josaphat Robert Large,2012,11,1,49587,123
Dant%C3%A8s Bellegarde,2010,8,1,33071,57
Tap tap,2013,10,7,36230,62
Telecommunications in Haiti,2007,5,0,35204,85
Siege of Savannah,2009,12,2,55965,137
United States occupation of Haiti,2010,2,22,79154,209
Haiti cholera outbreak,2011,11,54,136879,241
List of Ta%C3%ADnos,2009,4,41,72993,127
La Navidad,2010,1,3,37493,51
Akasan,2010,12,0,25848,37
Sogebank,2014,2,0,31530,67
Sarodj Bertin,2014,12,3,74452,196
Jacques Stephen Alexis,2012,6,0,29492,44
Siege of Savannah,2007,12,0,41889,131
Constitution of Haiti,2009,8,1,53219,123
G%C3%A9rard Latortue,2008,1,2,41888,112
Berny Martin,2011,3,3,32483,49
United States occupation of Haiti,2009,5,6,68485,216
Free people of color,2014,6,13,60584,125
Ronald Ag%C3%A9nor,2006,6,0,27153,53
List of diplomatic missions of Haiti,2013,9,0,59277,154
Adjassou Linguetor,2005,4,0,25295,40
Antihaitianismo,2008,5,4,58968,251
Antoine Izm%C3%A9ry,2010,8,0,30147,51
Abner Louima,2013,7,27,64718,118
Agassou,2008,11,0,27773,52
Saint Domingue,2009,5,7,86779,284
Edwidge Danticat,2013,12,11,74421,146
Webert Sicot,2004,11,0,24691,42
Raoul Peck,2011,3,3,35958,67
1995 Air St. Martin Beech 1900 crash,2006,9,0,31594,58
Le Nouvelliste (Haiti),2012,7,0,31199,57
Saint Domingue,2013,5,21,134230,445
Michel Cl%C3%A9ri%C3%A9,2011,8,1,32787,53
Ronald Ag%C3%A9nor,2007,6,0,33262,67
Diejuste,2010,3,0,29480,57
Prosper Avril,2008,5,0,42539,141
Yvon Neptune,2008,2,5,46854,132
Georges Corvington,2012,6,0,30616,50
Transport in Haiti,2007,5,0,42717,152
G%C3%A9rard Latortue,2011,8,2,41090,90
John James Audubon,2005,10,0,47456,101
Deforestation in Haiti,2010,2,5,44969,107
Ta%C3%ADno,2005,6,0,49761,119
Bacalou,2006,6,0,28805,78
G%C3%A9rard Jean Juste,2008,6,8,38585,65
Abner Louima,2014,5,27,79113,128
L%C3%A9on Th%C3%A9baud,2014,3,0,29676,40
John James Audubon,2009,7,55,105310,194
Affranchi,2014,1,0,28440,49
Baron Cimeti%C3%A8re,2005,6,0,24858,33
Government of Haiti,2012,8,5,62795,194
Clairvius Narcisse,2009,4,4,38827,75
Loco (loa),2009,12,0,34167,95
Sarodj Bertin,2012,10,1,66916,171
Tap tap,2008,11,0,28876,57
Jean Louis Michel,2013,3,2,33608,51
Republic of Spanish Haiti,2013,12,6,46861,77
United Nations Mission in Haiti,2013,6,4,42690,56
Ta%C3%ADno,2008,6,38,86102,173
Michel Fran%C3%A7ois,2005,11,0,24154,39
Battle of Cr%C3%AAte %C3%A0 Pierrot,2013,1,0,33475,72
Napoleon%27s Crimes,2009,2,0,26883,53
Gens de couleur,2004,12,0,27026,59
John James Audubon,2010,9,61,112232,202
Ha%C3%AFti Progr%C3%A8s,2010,8,1,29162,53
Nemours Jean Baptiste,2009,12,0,29633,51
John James Audubon,2011,3,63,118283,221
Fusion of Haitian Social Democrats,2012,10,1,38773,83
Islam in Haiti,2011,9,0,64830,340
Hotel Oloffson,2010,5,8,41271,93
Jean Bertrand Aristide,2012,4,115,220317,340
Dumarsais Estim%C3%A9,2006,12,0,29905,48
Ta%C3%ADno,2015,2,53,148862,362
Smarck Michel,2009,4,0,34272,82
United Nations Stabilisation Mission in Haiti,2007,4,2,62247,216
Ezili Dantor,2005,5,0,24358,39
Saint Domingue,2006,9,0,57381,177
Index of Haiti related articles,2011,4,3,85277,284
Jacobin (politics),2003,7,0,25178,43
Samuel Dalembert,2008,5,2,53615,174
Baron Kriminel,2013,4,0,28895,46
Parliament of Haiti,2009,2,0,40211,89
List of World Heritage Sites in Haiti,2014,12,5,63001,168
College Mixte Philadelphie %E2%80%93 Dant%C3%A8s Bellegarde,2011,10,0,29295,51
Captain Debas,2010,3,0,29705,56
United Nations Stabilisation Mission in Haiti,2012,9,82,162463,197
Brasserie Nationale d%27Ha%C3%AFti,2010,12,0,32751,66
Scouting and Guiding in Haiti,2009,9,0,37403,94
Template:Haiti stub,2006,3,0,24367,31
Samuel Dalembert,2010,12,5,66753,235
Guinee,2007,8,0,31525,86
Marie Jos%C3%A9 Nadal Gard%C3%A8re,2011,4,0,33456,62
Jean Bertrand Aristide,2013,9,116,228704,368
List of Haitian Americans,2008,8,0,50577,196
Code Noir,2007,3,0,31664,47
Ren%C3%A9 Pr%C3%A9val,2009,2,11,85330,270
Sarodj Bertin,2010,9,9,73218,162
Deforestation in Haiti,2013,8,5,57054,187
List of earthquakes in Haiti,2010,10,9,41470,57
Antihaitianismo,2010,12,7,70205,318
Environment of Haiti,2012,1,9,66379,158
Marassa Jumeaux,2014,3,1,32653,84
Labadee,2012,5,10,45623,58
President of Haiti,2010,7,0,56639,174
Treaty of Ryswick,2012,11,2,44265,101
Dumarsais Simeus,2009,6,11,48714,71
Abner Louima,2005,12,0,26107,52
External debt of Haiti,2009,5,0,30316,48
Jean Bertrand Aristide,2011,11,116,218574,336
Marlie Casseus,2007,6,4,32217,62
Edouard Duval Carri%C3%A9,2014,12,7,51274,97
Haiti indemnity controversy,2012,5,3,33190,59
Armed Forces of Haiti,2013,3,1,60256,161
National Revolutionary Front for the Liberation of Haiti,2006,2,0,28857,52
United States occupation of Haiti,2011,4,22,115265,384
Lespwa,2013,2,1,40122,85
Timeline of Haitian history,2007,2,31,142651,446
Nemours Auguste,2013,6,1,24445,32
Pignon Airport,2011,9,0,35018,53
Dumarsais Estim%C3%A9,2012,8,0,52939,150
Haitian Revolution,2006,10,1,50764,111
Yvon Neptune,2014,3,5,51835,104
Captain Debas,2008,11,0,25696,44
Dumarsais Estim%C3%A9,2013,2,0,54583,159
Jacobin (politics),2013,9,6,43010,103
Haitian Times,2013,1,0,30023,58
Bigga Haitian,2012,3,6,47693,75
Pascal Millien,2013,1,8,52294,97
Treaty of Ryswick,2009,4,0,37974,78
Labadee,2008,5,3,32117,45
Banque de l%27Union Ha%C3%AFtienne,2011,7,0,33344,72
List of earthquakes in Haiti,2013,9,11,45849,65
Haiti Partnership,2011,3,0,30845,62
Parliament of Haiti,2006,12,0,38758,84
Siege of Savannah,2012,11,9,67898,158
List of earthquakes in Haiti,2011,9,13,44480,62
Economy of Haiti,2013,3,18,131394,458
Josaphat Robert Large,2011,2,1,45809,113
Treaty of Ryswick,2014,6,2,49915,122
United States Ambassador to Haiti,2011,11,13,90590,317
Jean Bertrand Aristide,2005,6,0,60496,167
