filename,year,month,num_citations,file_size,forward_links
Juan Manuel G%C3%A1lvez International Airport,2012,3,3,44877,79
Captaincy General of Guatemala,2008,4,0,38916,116
International School of Tegucigalpa,2014,5,0,32631,47
ISO 3166 2:HN,2007,3,0,26867,35
Bay Islands Creole,2012,3,0,35009,93
Los Horcones massacre,2013,8,8,36823,51
Scouting and Guiding in Honduras,2008,4,0,37431,91
HRYW,2011,1,0,29170,57
Canal 3 Quimistan,2012,1,2,37604,67
Honduras Foundation for Agricultural Research,2010,1,6,37410,56
AguaClara,2013,3,12,45752,66
Honduras,2009,11,51,221198,529
Geography of Honduras,2012,5,0,71301,220
Economy of Honduras,2013,6,7,151300,387
Outline of Honduras,2011,12,2,104233,329
Ram%C3%B3n Villeda Morales International Airport,2013,9,1,59044,152
Lempira (Lenca ruler),2007,8,0,32763,40
Chronology of the 2009 Honduran constitutional crisis,2013,7,389,662743,605
Golos%C3%B3n International Airport,2011,5,2,42412,76
Honduras,2013,11,69,274996,649
Rail transport in Honduras,2011,1,1,45393,81
Constitution of Honduras,2014,5,28,108137,216
Scouting and Guiding in Honduras,2010,6,0,40803,107
United Fruit Company,2007,4,4,68349,165
Gender inequality in Honduras,2013,11,5,94646,301
Communist Party of Honduras,2011,6,1,41557,93
Juan Manuel G%C3%A1lvez International Airport,2010,11,3,43475,76
Gender inequality in Honduras,2014,5,5,95053,301
ISO 3166 2:HN,2009,7,1,82640,703
Golos%C3%B3n International Airport,2011,6,2,41922,73
La Ceiba Bilingual School,2008,10,0,31586,49
Politics of Honduras,2010,4,20,98539,264
Index of Honduras related articles,2014,12,3,94983,366
Battle of the Black River,2014,12,9,61403,158
"Discovery School, Tegucigalpa",2009,8,3,35656,58
United Fruit Company,2014,9,26,128206,271
Geography of Honduras,2006,7,0,62863,150
Outline of Honduras,2009,4,1,83172,203
Operation Wallacea,2006,5,0,41406,111
Outline of Honduras,2009,2,1,72736,168
Lee Christmas,2013,1,7,35001,57
Scouting and Guiding in Honduras,2007,5,0,30412,56
Jos%C3%A9 Andr%C3%A9s Tamayo Cortez,2012,11,1,28054,42
History of Honduras,2013,4,33,201471,314
Soto Cano Air Base,2015,3,8,53673,83
Central America 4 passport,2013,1,0,88691,413
Honduran Council of Private Enterprise,2011,4,4,30417,48
Mayors of Choluteca,2010,10,0,24911,38
Soto Cano Air Base,2005,9,0,25547,40
History of Honduras,2014,7,33,214016,379
History of Honduras,2007,3,0,59781,180
El Peri%C3%B3dico (Honduras),2011,1,1,26274,39
List of diplomatic missions of Honduras,2008,3,0,51065,124
President of Honduras,2013,10,0,56865,158
Tegucigalpa Honduras Temple,2008,11,7,48387,90
Lee Christmas,2010,2,5,33145,58
Liberty and Refoundation,2012,12,2,34890,60
Valle de Angelis Group,2014,7,0,35112,65
"Discovery School, Tegucigalpa",2010,10,3,36384,61
Economy of Honduras,2008,10,1,65358,312
History of Honduras,2011,3,19,103762,283
Federal Republic of Central America,2006,9,0,54922,147
Template:Honduras struct stub,2009,3,0,21795,31
Chronology of the 2009 Honduran constitutional crisis,2013,6,389,663131,607
Black River (settlement),2011,9,19,52102,94
Geography of Honduras,2013,2,0,71903,220
Mesoamerica,2006,7,0,190209,501
History of Honduras,2009,1,3,75614,252
Geography of Honduras,2008,5,0,65887,167
AguaClara,2009,11,1,33638,56
Lee Christmas,2013,12,6,35547,62
Altia Business Park,2009,4,1,28772,45
Juan Manuel G%C3%A1lvez International Airport,2015,1,3,57055,129
CIA activities in Honduras,2008,9,3,43787,71
Mesoamerica,2012,6,18,230783,886
Chronology of the 2009 Honduran constitutional crisis,2012,2,389,663403,607
Mesoamerica,2010,4,21,203526,813
Academia Hondure%C3%B1a de la Lengua,2008,10,0,40509,82
