filename,year,month,num_citations,file_size,forward_links
Hungary,2010,9,80,546417,2201
"Forogj, vil%C3%A1g!",2007,5,0,30623,62
Hungarian Space Office,2006,1,0,25922,37
Magyar Narancs,2013,3,0,28454,56
Template:HUSS Park Attractions,2013,10,0,28232,55
List of people from B%C3%A1cs Kiskun,2012,10,0,40623,82
Laszlo Toth,2009,4,4,34146,63
Portal:Hungary,2007,9,0,65493,180
Hungarian Civil Liberties Union,2013,3,6,38837,66
39M Csaba,2009,2,0,48370,130
Hungarian Defence Force,2004,9,0,29145,39
Hungarian Defence Force,2013,10,21,138431,504
CSEMADOK,2014,5,1,33464,59
Tourist guy,2012,5,6,41817,76
National Federation of Workers%27 Councils,2006,10,0,31640,55
Index of Hungary related articles,2009,5,0,29858,60
Hungarian Defence Force,2011,4,18,124794,484
Hungary in the Eurovision Song Contest 2008,2008,3,0,36490,56
Hungarian studies,2009,5,0,30881,54
List of equestrian statues in Hungary,2010,3,0,50614,127
Politics of Hungary,2009,7,1,73804,321
Hungary,2001,7,0,70019,31
Mithis Entertainment,2009,1,0,26930,48
List of diplomatic missions of Hungary,2009,6,0,106913,338
Magyar Posta,2012,1,0,38072,124
Demographics of Hungary,2011,5,68,209409,469
Coat of arms of Hungary,2007,6,0,69337,117
Scouting and Guiding in Hungary,2008,8,0,41790,130
Politics of Hungary,2006,11,0,61874,236
Mithis Entertainment,2012,10,1,27627,46
Eva Gabor,2009,7,1,43349,102
%C4%B0brahim Pe%C3%A7evi,2011,2,5,34912,80
.hu,2007,11,0,68279,403
Szabolcs (name),2012,3,0,27912,50
2006 protests in Hungary,2012,8,56,145779,340
Magyar T%C3%A1virati Iroda,2007,5,0,26802,39
After Crying,2009,3,1,32741,51
Sz%C3%A9kely himnusz,2010,10,1,56284,195
Imre Varga,2014,8,1,35696,69
Zero Kilometre Stone (Budapest),2006,4,0,27414,51
Economy of Hungary,2005,2,0,65797,246
MKB Bank,2008,10,0,31039,58
Gy%C3%B6rgy,2007,8,0,25317,35
Television in Hungary,2009,9,0,45882,160
M2 (TV channel),2011,1,0,40516,126
Munk%C3%A1csi,2009,10,0,28060,58
Budapest Pride,2008,9,30,70709,145
MKB Bank,2012,6,0,32320,59
Jasz people,2006,11,0,35468,77
George Feyer (pianist),2008,7,0,45700,101
Roman Catholic Diocese of Kaposv%C3%A1r,2013,12,0,43694,85
Age of Nemesis,2009,5,0,36058,63
Tourist guy,2008,5,5,38115,74
Template:Hungary stub,2005,12,0,27192,31
Template:Principal cities of Hungary,2013,8,0,26902,55
DVTK Stadion,2009,2,0,26779,43
List of princes of Austria Hungary,2012,12,29,81227,155
Name days in Hungary,2008,7,0,74019,344
Magyar G%C3%A1rda,2009,11,6,37556,58
Prince Bob,2006,7,0,26283,39
MOL Group,2007,12,4,38084,88
%C4%B0brahim Pe%C3%A7evi,2009,10,0,32331,61
History of Hungary,2004,10,0,90852,280
Magyar G%C3%A1rda,2010,3,6,36323,59
Debreceni Vadkakasok,2009,3,0,28476,51
Hungary,2014,7,142,589435,2076
List of diplomatic missions of Hungary,2011,9,0,104068,326
Hungarian Two tailed Dog Party,2015,3,11,49468,104
Count J%C3%A1nos Cseszneky de Milv%C3%A1ny et Csesznek,2011,4,0,30257,55
Hungarians,2010,4,56,177034,444
2006 protests in Hungary,2015,2,58,163421,379
Bolyai Prize,2010,2,1,30795,50
Eva Gabor,2015,1,19,72175,208
Politics of Hungary,2010,9,1,74457,320
Roman Catholic Diocese of Kaposv%C3%A1r,2014,1,0,42934,75
Geography of Hungary,2014,1,0,132810,602
Hungarian Defence Force,2013,7,21,138546,506
Hungarian Sign Language,2011,2,0,29545,50
Hungarian Parliament Building,2006,6,0,50751,89
Helen and Judith of Szony,2012,12,0,30613,55
Gy%C3%B6rgy,2009,6,0,27790,51
K%C3%A1roly Ker%C3%A9nyi,2010,1,0,42074,91
Sarkozy (surname),2004,11,0,21723,26
Template:Hungarian kings,2010,9,0,31455,85
List of people from B%C3%A1cs Kiskun,2013,9,0,41037,88
Puszta,2013,2,2,36188,55
Roman Catholic Diocese of Kaposv%C3%A1r,2010,9,0,40344,69
A. E. Bizotts%C3%A1g,2012,1,1,31517,47
CEU Business School,2013,3,1,30721,49
Tourist guy,2008,10,7,40599,70
Social Democratic Party (Hungary),2013,11,0,62362,202
Kiskuns%C3%A1g,2013,3,0,44981,99
Feh%C3%A9rgyarmat,2009,9,0,56937,301
Hungarian Space Office,2008,8,0,28809,49
Batthy%C3%A1ny Society of Professors,2013,3,12,50743,73
Roman Catholic Diocese of Sz%C3%A9kesfeh%C3%A9rv%C3%A1r,2013,12,0,47271,90
Template:Titled noble families in the Kingdom of Hungary,2013,1,0,92420,178
List of diplomatic missions in Hungary,2010,8,0,143270,305
List of Hungarian television series,2008,7,0,69521,69
Outline of Hungary,2008,8,6,73164,202
Gy%C3%B6rgy Aranka,2011,2,2,28858,47
.hu,2008,2,0,68403,403
Eva Gabor,2007,3,0,39518,111
Hungarian Civil Liberties Union,2008,12,0,28431,42
Magyar G%C3%A1rda,2009,7,3,34096,50
Budapest Pride,2011,5,29,73662,156
Hungary in the Eurovision Young Musicians,2014,11,1,58878,162
Jacob Steiner,2010,10,3,33677,64
Geography of B%C3%A1cs Kiskun,2007,1,0,40973,185
List of diplomatic missions of Hungary,2009,1,0,94807,273
High National Council,2010,10,0,27323,49
Hunor and Magor,2012,8,7,38034,69
History of Hungary,2004,7,0,78914,252
Jasz people,2012,3,1,44360,112
.hu,2006,8,0,67294,403
Frigyes Riedl,2009,12,0,28538,52
Hungary,2006,10,2,233200,920
CIA activities in Hungary,2008,4,5,48443,91
Roman Catholic Diocese of Szeged%E2%80%93Csan%C3%A1d,2009,3,0,42849,72
Sz%C3%A9kely himnusz,2014,2,3,63193,194
Line of succession to the former Austro Hungarian throne,2010,5,0,52607,122
Template:History of Hungary,2010,11,0,36797,84
List of Hungarian television series,2007,6,0,38611,25
Ikerv%C3%A1r Wind Farm,2009,2,1,30478,51
List of tallest structures in Hungary,2013,4,0,109302,283
Hungarian forint,2009,3,0,108828,359
Ikerv%C3%A1r Wind Farm,2012,11,1,27104,42
Szatm%C3%A1rcseke,2012,8,2,57429,294
General Staff of the Armed Forces of the Republic of Hungary,2014,1,22,65191,112
List of English words of Hungarian origin,2007,5,0,34343,86
List of Hungarian astronomers,2013,12,0,44228,61
Hungary,2006,8,1,196981,747
Helen and Judith of Szony,2015,1,1,31347,59
Magyar G%C3%A1rda,2011,4,10,47905,76
Hajd%C3%BAs%C3%A1g,2006,1,0,22556,27
Kiskuns%C3%A1g,2008,9,0,42970,91
Vivienne Balla,2013,3,0,35358,42
Magyar tribes,2013,1,8,40976,68
Geography of B%C3%A1cs Kiskun,2012,7,0,43309,195
Roman Catholic Diocese of Szombathely,2010,2,1,45121,76
K%C3%A1roly Ker%C3%A9nyi,2011,9,24,67923,113
Magyar G%C3%A1rda,2013,12,20,58740,99
Val Biro,2014,7,5,42211,89
List of Hungarian monarchs,2004,4,0,69420,480
Hungarians,2005,8,0,60303,167
Eva Gabor,2012,5,18,66127,183
BUX,2013,6,2,32702,61
Template:Hungarian kings,2010,6,0,36750,95
Frances Fabri,2012,10,0,31409,60
Transport in Hungary,2009,2,0,67398,257
Hungaroton,2010,4,0,30294,68
Template:Hungary topics,2009,11,0,36385,83
Beehive Stone,2009,2,0,29694,58
"Mi%C3%A9rt kell, hogy elmenj%3F",2010,9,0,29722,56
Greater Budapest,2010,1,0,26578,42
Eva Gabor,2008,3,1,48649,163
List of Speakers of the House of Representatives (Hungary),2014,11,0,50889,100
National Confederation of Hungarian Trade Unions,2014,8,0,32864,57
Hungarians,2009,11,59,182769,463
Hungarian forint,2011,7,4,101727,260
Hungarian forint,2012,3,4,122580,390
Creative Commons Hungary,2013,11,0,28549,44
Balatonbogl%C3%A1r,2012,4,2,64086,309
2006 protests in Hungary,2012,6,56,145189,337
Hungary,2005,10,0,133732,482
List of Hungarian monarchs,2006,11,0,57853,310
Muzsik%C3%A1s,2014,1,1,31771,55
Als%C3%B3szentmih%C3%A1ly inscription,2012,1,15,44615,69
Government of National Unity (Hungary),2014,4,16,79530,214
Economy of Hungary,2015,4,134,396763,825
Telecommunications in Hungary,2005,12,0,24760,40
List of Hungarian monarchs,2007,12,0,60125,333
Military ranks of Hungary,2007,5,0,31255,32
Television in Hungary,2010,6,0,57243,225
Sz%C3%A9kelys,2005,12,0,36566,70
Template:Hungarian fascism,2014,4,0,31530,95
Hungarian Parliament Building,2009,10,2,60862,101
Politics of Hungary,2008,6,0,72197,313
List of Speakers of the House of Magnates,2010,4,0,29898,56
G%C3%B6mb%C3%B6c,2012,9,24,67654,99
Balatonbogl%C3%A1r,2012,9,2,64518,311
Balatonbogl%C3%A1r,2009,11,2,42550,63
Magyarab people,2009,5,4,39742,81
Hungarian Ground Forces,2011,12,11,74359,180
.hu,2005,1,0,36921,39
National Federation of Workers%27 Councils,2013,3,0,32080,57
Template:University of Szeged,2008,3,0,24656,33
List of diplomatic missions of Hungary,2012,2,0,102999,326
G%C3%B6mb%C3%B6c,2014,9,24,69151,105
Tourist guy,2005,7,0,31332,67
Laszlo Toth,2012,2,8,45987,73
2006 protests in Hungary,2014,2,58,154079,374
Muzsik%C3%A1s,2006,7,0,24243,34
Csongor %C3%A9s T%C3%BCnde,2012,12,0,32327,59
Tungsram,2011,4,1,47513,152
Roman Catholicism in Hungary,2007,3,0,40949,117
Gemenc,2006,10,0,27568,58
Magyar tribes,2013,5,9,43405,77
Hungarian Defence Force,2010,7,10,116755,462
Name days in Hungary,2013,1,0,73929,371
Journey by Moonlight,2013,6,0,34483,71
Hungarians,2008,9,33,140932,379
Prince Bob,2009,2,1,30889,56
