filename,year,month,num_citations,file_size,forward_links
Timeline of Icelandic history,2011,1,1,66757,280
List of diplomatic missions of Iceland,2008,7,0,51616,130
Icelandic Air Policing,2014,10,38,95840,129
J%C3%B3nsi %26 Alex,2011,7,7,33596,52
Financial Supervisory Authority (Iceland),2009,2,1,33849,51
Prince Friedrich Christian of Schaumburg Lippe,2010,11,22,94721,101
List of diplomatic missions in Iceland,2014,1,62,113389,199
Geography of Iceland,2008,1,0,55869,205
Mid Atlantic Ridge,2007,3,0,44118,97
Commercial College of Iceland,2015,3,1,43610,61
%C3%9Eorgeir Lj%C3%B3svetningago%C3%B0i,2011,12,0,28474,44
Extreme points of Iceland,2007,3,0,43600,128
National Assembly of 1851,2008,2,0,25269,41
Allt %C3%AD drasli,2014,12,0,26841,47
Prime Minister of Iceland,2007,3,0,61806,327
Military of Iceland,2009,10,7,90674,280
List of rulers of Iceland,2007,1,0,33933,163
Sk%C3%A1lholt,2006,8,0,31252,48
NORDEFCO,2011,12,2,33390,42
Icelandic National Day,2009,9,0,32010,64
Icelandic Coast Guard,2008,10,1,97458,383
Fr%C3%A9ttabla%C3%B0i%C3%B0,2013,7,0,31133,55
Iceland Air Defence System,2008,7,0,44566,151
Bjarkalundur,2013,8,0,31125,49
Index of Iceland related articles,2010,10,0,309635,3007
Mid Atlantic Ridge,2012,6,10,62225,146
J%C3%B3nas Kristj%C3%A1nsson,2005,1,0,25620,37
%C3%81sbirningar family clan,2013,3,0,34901,74
Banana production in Iceland,2012,6,5,36045,62
%C3%81TVR,2009,2,0,27432,49
Margr%C3%A9t %C3%9E%C3%B3ra Hallgr%C3%ADmsson,2012,4,3,29184,44
Cod Wars,2010,10,13,155615,642
ISO 3166 2:IS,2012,2,0,83338,703
Mid Atlantic Ridge,2003,6,0,34040,58
Icelandic Commonwealth,2009,12,1,77650,237
Vinland,2015,1,31,133950,377
Vigd%C3%ADs Finnbogad%C3%B3ttir,2006,1,0,39362,63
Icelanders of Polish descent,2013,5,0,29062,52
Icelandic Prison Service,2013,6,2,35210,60
Prostitution in Iceland,2013,8,16,47969,107
Iceland in the Eurovision Song Contest 1986,2015,1,1,63536,198
J%C3%B3nsmessa,2010,12,4,30054,43
Draumur um N%C3%ADnu,2006,5,0,28381,44
Economic history of Iceland,2010,5,13,40540,76
%C3%9Eingvellir,2004,12,0,36699,58
Christianisation of Iceland,2008,7,1,37917,75
Turkish Abductions,2010,1,1,83572,506
Fagrifoss,2015,1,1,33772,55
Icelandic Digital Freedom Society,2012,6,10,37327,46
Vinland,2010,12,20,106045,264
Military of Iceland,2012,8,14,92052,278
2008%E2%80%9311 Icelandic financial crisis,2009,5,179,333008,533
Egilssta%C3%B0ir Airport,2013,10,1,44739,93
Icelandic Federation of Labour,2006,10,0,32422,60
Icelandic people of American descent,2013,2,0,32618,70
Kirkjub%C3%A6jarklaustur,2005,3,0,29891,46
F%C3%A1skr%C3%BA%C3%B0sfjar%C3%B0arg%C3%B6ng,2010,11,1,30147,48
Age of the Sturlungs,2012,5,0,60814,206
List of Icelandic flags,2008,6,0,58812,172
New Iceland,2007,7,0,26503,39
Icelandic National Day,2010,6,0,32153,62
2008 Icelandic lorry driver protests,2009,1,0,27280,48
Economy of Iceland,2008,6,20,140642,570
Droplaugarsona saga,2009,12,0,36110,85
Eagle Egilsson,2012,2,2,32792,70
Kennitala,2013,3,1,50004,185
Iceland,2011,8,118,583497,2183
List of Icelanders,2004,1,0,25517,44
%C3%8Dslenskir Rad%C3%AD%C3%B3amat%C3%B6rar,2008,8,2,32413,62
Battle of Haugsnes,2014,11,1,36352,79
Hrafna Fl%C3%B3ki Vilger%C3%B0arson,2010,4,0,31176,53
Geography of Iceland,2014,10,3,91305,343
Cod Wars,2015,3,28,191955,685
National Assembly of 2009,2013,1,8,80701,291
Droplaugarsona saga,2013,11,0,38036,100
Margr%C3%A9t %C3%9Eorbj%C3%B6rg Thors Hallgr%C3%ADmsson,2014,6,1,29975,44
Sturlunga saga,2006,5,0,31882,60
Icelandic hydroelectric power stations,2009,6,0,27634,45
Telecommunications in Iceland,2004,3,0,24443,41
Economy of Iceland,2002,12,0,33488,63
History of Iceland,2011,12,10,143488,594
Hallfre%C3%B0ar saga,2006,7,0,25826,37
Laki,2015,2,25,95548,195
%C3%8Dslandsp%C3%B3stur,2007,4,0,28937,48
