filename,year,month,num_citations,file_size,forward_links
Other Backward Class,2009,10,3,51475,99
Saifuddin Hamza Shah,2010,11,0,28511,52
South Indian culture,2013,10,42,122085,305
Shamsuddin Ahmad Shah,2011,9,2,31566,58
Under Secretary of State for India,2006,4,0,31393,115
Portal:India,2011,7,0,127879,340
Indian consumer confidence index,2014,3,0,32010,43
National Atmospheric Research Laboratory,2009,4,1,42911,105
Mela,2009,12,4,34187,61
Independence Day (India),2012,3,4,73197,304
National Ganga River Basin Authority,2011,10,3,33599,70
List of Indian inventions and discoveries,2010,4,278,386812,1173
Indian Engineering Services,2011,7,2,36239,89
Culture of India,2010,11,83,208261,763
Youth in Indian politics,2012,8,2,30058,48
Mehndi,2009,3,0,37029,70
Banana leaf,2008,6,0,29147,55
History of India,2005,2,0,131584,570
Rukunuddin Barbak Shah,2013,1,1,32679,63
Standard of living in India,2006,12,11,56155,119
The Great Railway Bazaar,2011,2,2,34286,95
Vedic period,2009,3,4,63463,192
Natural resources of India,2011,4,6,41493,81
Fish research institutions in the Maharashtra,2007,9,0,25942,34
Zogam,2013,5,0,33431,69
Central Secretariat Service,2014,3,11,51180,76
East India Company,2014,4,44,250637,739
Central Institute of Road Transport,2014,12,15,137413,532
Economic development in India,2009,2,0,23043,29
Copper Hoard Culture,2013,1,0,28911,51
Hookah,2012,1,48,144244,278
Second Anglo Afghan War,2010,4,2,94166,310
Constitution of Jammu and Kashmir,2011,8,1,39548,45
Names of India,2011,8,8,90785,352
Khedda,2008,10,2,28073,46
Melanophidium bilineatum,2007,8,0,32144,52
Indian order of precedence,2009,8,1,65444,111
Alta (dye),2012,8,1,56648,292
Indian mathematics,2008,11,76,237499,667
Ministry of Culture (India),2007,6,0,28633,33
Aryan,2007,11,12,78576,221
Tourism in Jammu and Kashmir,2013,5,8,92634,431
EMS Corridor,2009,9,2,136230,692
National Knowledge Commission,2011,11,2,33651,52
Indian Patent Office,2013,7,40,87632,138
Azes era,2014,4,1,25238,34
Haathi Chaap,2015,2,7,39583,61
Natural disasters in India,2007,5,16,86641,269
Bengal,2003,2,0,38477,66
Babu (title),2015,1,6,38213,55
Nullah,2010,10,0,26901,46
Bayazid Khan Karrani,2010,12,0,28939,58
The Emergency (India),2011,9,16,139458,604
Surabhi (TV series),2012,4,8,37546,70
Transport in India,2012,1,137,381974,1133
South Indian culture,2014,3,42,121729,297
Make in Maharashtra,2015,4,31,90607,268
National Social Assistance Scheme,2014,7,1,34324,40
Shihabuddin Bayazid Shah,2015,2,1,30593,58
Greater Bangladesh,2014,12,36,103896,389
India Inc.,2014,11,2,32066,48
Sundarbans,2010,9,28,147040,465
Line of Actual Control,2011,1,4,38458,80
Jaunpur Sultanate,2013,9,4,66450,185
Anti Brahminism,2006,12,4,90237,428
Muppavarapu,2012,8,0,28433,56
Indian Statistical Institute,2006,8,0,34732,45
History of India,2004,1,0,63787,207
Wantrapreneur,2013,7,0,25330,34
National Security Council (India),2014,12,1,85849,334
Anarchism in India,2011,8,9,98649,403
Indian numbering system,2010,7,0,44850,87
Wootz steel,2004,11,0,24524,36
Template:Geography of India by state or territory,2013,3,0,30775,55
Wootz steel,2007,2,3,32733,55
Sur Empire,2010,1,11,44307,77
Science fiction films in India,2015,3,15,99810,463
Greater India,2014,7,46,136258,480
Bengal,2004,2,0,40025,79
Indian nationality law,2005,7,0,54391,35
History of India,2007,3,4,242819,1103
Line of Actual Control,2010,7,4,37479,71
President%27s rule,2010,10,0,32422,43
HVDC Sileru%E2%80%93Barsoor,2013,6,0,34231,59
Calico (textile),2015,1,11,76108,349
Hot yoga,2014,4,11,35611,42
Government of India,2015,1,15,204886,720
Rabindra Sangeet,2012,4,3,90487,350
