filename,year,month,num_citations,file_size,forward_links
Ambelau people,2011,9,4,34811,67
History of Indonesia,2008,2,43,218483,770
Tapol,2012,8,6,31014,44
Sundanese cuisine,2011,3,0,69503,366
Jakarta Stock Exchange,2006,4,1,32065,69
Warung,2009,6,0,28768,49
Geography of Indonesia,2008,9,1,67195,208
Dharmawangsa,2012,5,1,31828,63
Indonesian military ranks,2011,1,0,56269,189
Boano language (Sulawesi),2015,4,2,31796,52
Public holidays in Indonesia,2011,6,0,49677,164
History of Indonesia,2010,2,63,242035,782
Bleeding toad,2006,4,0,30057,55
Concern for the Nation Functional Party,2009,1,2,42542,112
Fataluku language,2006,10,0,32305,51
List of Indonesia related topics,2009,7,0,337352,2513
Sebastian Gunawan,2015,3,3,42544,84
Democratic Nationhood Party,2008,11,2,41412,114
Languages of Indonesia,2012,3,6,71487,360
Science and technology in Indonesia,2010,8,10,45402,103
Dharmawangsa,2013,2,1,32264,66
Banded linsang,2008,2,1,34113,56
"Acehnese gubernatorial election, 2006",2009,9,3,43236,102
List of Indonesians,2014,4,0,78717,461
History of Indonesia,2012,2,68,260598,830
Indonesian National Armed Forces,2011,7,11,111226,305
Water privatization in Jakarta,2012,4,24,68995,51
Minahasa surnames,2012,5,0,40721,41
Taxation in Indonesia,2008,7,0,50237,135
Abdul Kahar Muzakkar,2014,5,11,80717,79
Shamsi Ali,2015,2,25,81518,144
Surabaya Stock Exchange,2010,6,2,34320,58
List of beaches in Indonesia,2013,11,133,309853,508
Provisional Constitution of 1950,2006,11,0,35628,84
LQ 45,2013,4,0,33867,49
International Indonesia Forum,2014,1,19,71994,69
Benteng program,2012,4,0,30132,54
Bone state,2013,2,0,47921,114
Roman Catholic Diocese of Banjarmasin,2012,9,0,35841,58
Economy of Indonesia,2014,5,71,268561,813
Bank Indonesia Liquidity Support,2012,5,0,29185,50
Transmigration program,2007,4,2,43636,89
List of English words of Indonesian origin,2009,6,0,30973,92
Indonesia,2010,3,139,386348,996
Warung,2012,1,0,33759,68
Surabaya Stock Exchange,2009,8,2,34554,66
Sosrobahu,2006,2,0,36501,89
Roman Catholic Diocese of Denpasar,2008,8,0,33121,52
Netherlands New Guinean gulden,2013,5,1,32355,74
Dharmawangsa,2008,6,0,31248,66
Roman Catholic Diocese of Bogor,2008,8,0,32577,54
Cut Nyak Dhien,2013,7,3,65731,242
Discrimination against Chinese Indonesians,2014,2,80,137473,382
Celurit,2014,10,4,44867,124
List of Roman Catholic dioceses in Indonesia,2011,2,0,34995,67
Sundanese cuisine,2011,2,0,68970,361
Baluse,2014,6,5,44343,106
Indonesia Commodity and Derivatives Exchange,2014,2,0,47870,112
Politics of Indonesia,2007,9,0,81949,275
Poverty in Indonesia,2011,10,2,54986,170
March 2007 Sumatra earthquakes,2007,10,6,42535,69
Fataluku language,2013,2,1,44981,103
Ekari people,2008,3,0,23608,32
Indonesian Army,2012,4,31,144123,412
Indonesian Army,2008,5,4,60558,245
Human rights in Indonesia,2009,3,3,51471,139
Indonesia,2014,4,185,418842,929
History of Indonesia,2012,7,73,265561,834
Cut Nyak Dhien,2015,2,3,69168,248
Roman Catholic Archdiocese of Ende,2014,1,0,36292,58
Indonesian Navy,2013,2,19,81908,165
Abangan,2012,9,1,28402,50
Bonjol,2014,2,0,30056,53
List of Indonesian monarchies,2011,2,0,43936,114
Languages of Indonesia,2006,12,3,45442,116
Confederation of Indonesia Prosperous Trade Union,2006,10,0,30987,47
List of Indonesian provinces by Human Development Index,2014,1,1,57751,123
Timeline of Indonesian history,2010,1,49,191189,485
Balinese people,2014,7,1,56750,234
Indonesia,2002,4,0,73217,62
A. A. Ngurah Oka Ratmadi,2007,11,0,25267,39
Indonesian Throughflow,2009,7,1,32329,62
Erwiana Sulistyaningsih,2014,6,12,51505,54
Politics of Indonesia,2015,1,15,140247,494
Administrative village,2008,2,0,26502,35
Indonesia,2008,9,127,355686,830
History of Indonesia,2010,10,65,249446,807
Cidomo,2011,2,6,39298,63
Ethnic groups in Indonesia,2013,2,4,71954,348
Economy of Indonesia,2012,8,62,246687,632
2004 Pekan Olahraga Nasional,2014,2,0,35900,64
Geography of Indonesia,2008,2,1,72759,206
March 2007 Sumatra earthquakes,2010,3,6,53032,113
Public holidays in Indonesia,2008,8,0,33018,84
Transport in Indonesia,2012,2,15,82179,253
List of English words of Indonesian origin,2012,4,1,39524,115
Names of Indonesia,2014,10,25,66224,145
List of diplomatic missions of Indonesia,2006,10,0,41318,157
Roman Catholic Diocese of Bogor,2013,11,0,34335,58
Geography of Indonesia,2014,9,12,105465,428
Buletin Malam,2009,8,0,30181,62
International rankings of Indonesia,2009,9,12,59483,198
Papua conflict,2013,6,48,99076,127
Free Papua Movement,2012,2,15,62562,113
Transport in Indonesia,2008,12,18,70531,216
Cut Nyak Dhien,2011,8,3,43160,80
Jakarta Stock Exchange,2005,4,0,26035,37
List of diplomatic missions of Indonesia,2014,10,0,126428,388
Papua conflict,2010,10,36,67954,108
Bajigur,2011,8,0,27637,56
Jafar Umar Thalib,2014,9,8,51653,131
E7 (countries),2012,9,5,53751,155
Fauzi Baadilla,2014,3,6,37266,74
Dondo language (Austronesian),2013,8,1,30166,53
Bruneian Empire,2012,10,1,30744,47
Economy of Indonesia,2007,1,1,98608,382
List of sacred places in Java,2011,7,0,29618,68
Roman Catholic Diocese of Bandung,2014,1,0,37185,59
Politics of Indonesia,2009,10,14,105118,329
Asahan Sultanate,2009,9,0,44821,100
Dela Oenale language,2012,10,0,29671,55
Collared mongoose,2010,12,1,142677,525
2006 Southeast Asian haze,2013,6,71,162519,284
2004 Pekan Olahraga Nasional,2014,6,0,35820,68
Arbir,2005,7,0,23981,36
Indonesian rock,2011,1,20,54653,144
List of Indonesia related topics,2015,1,0,363816,2038
History of Indonesia,2010,1,41,232200,775
Bone state,2014,7,0,47284,109
Kusmayanto Kadiman,2010,3,1,33615,64
Indonesian Navy,2008,2,2,31289,43
List of the busiest airports in Indonesia,2013,4,1,60876,218
Bank Indonesia Liquidity Support,2010,6,0,30161,53
Bakrie Group,2013,7,0,30666,51
List of Indonesian Indos,2009,12,0,26334,36
Free Papua Movement,2013,5,22,73177,134
Geography of Indonesia,2015,4,12,108391,430
Indonesia%E2%80%93European Union trade relations,2013,12,12,50305,71
Balinese people,2010,10,1,37771,86
Indonesia,2009,10,135,367911,878
Free Papua Movement,2011,8,14,64077,129
Districts of Banten,2013,8,0,44578,117
Papua conflict,2010,6,32,68837,149
Maumere,2009,4,2,31577,48
Bank Danamon,2013,2,0,30859,47
Gerwani,2009,12,2,53428,222
Roman Catholic Archdiocese of Ende,2014,8,0,37488,63
100%25 Cinta Indonesia,2011,2,3,28470,39
2016 Pekan Olahraga Nasional,2012,2,3,31715,57
History of Indonesia,2002,10,0,45014,64
Greater Indonesia,2009,4,3,35870,70
Transport in Indonesia,2014,5,14,105022,381
Geography of Indonesia,2010,12,10,84411,328
Portal:Indonesia,2006,9,0,124060,449
Free Papua Movement,2012,3,15,63165,119
Geography of Indonesia,2003,7,0,29252,50
List of Indonesian provinces by GRP per capita,2014,11,2,72431,200
Indonesia Commodity and Derivatives Exchange,2013,6,0,43372,118
Free Aceh Movement,2008,10,10,63908,124
List of beaches in Indonesia,2013,12,133,297571,462
Congkak,2011,9,10,52118,92
100%25 Cinta Indonesia,2013,6,3,34131,55
Bauzi people,2006,5,0,25412,41
Congkak,2012,2,10,52311,92
Indonesian future capital proposal,2013,3,7,33659,77
APEC Indonesia 2013,2014,6,5,66748,160
Tiger Cub Economies,2010,12,13,143663,311
2006 Southeast Asian haze,2007,4,69,161336,439
List of Indonesians,2007,5,0,50809,237
Gerwani,2007,12,2,50469,215
