filename,year,month,num_citations,file_size,forward_links
Economy of Iran,2008,12,99,237730,946
Malavan Sport and Cultural Club,2007,1,0,30178,40
Communications in Iran,2005,11,0,26760,51
Iranian nationalism,2011,4,5,58103,236
Al Madani,2014,10,0,58418,168
Sanctions against Iran,2014,8,103,192110,255
List of Iranian women writers,2015,3,0,38391,98
Iranian reform movement,2012,12,26,93658,278
Gheimeh,2014,12,1,55759,217
Hawramanejavan,2011,4,0,28557,44
Public holidays in Iran,2009,11,1,40864,123
Ministry of Petroleum (Iran),2010,12,11,83831,274
Mahmoud Ahmadinejad and Israel,2007,5,77,156192,275
AH1,2012,9,4,97709,416
Greater Iran,2006,11,24,101759,416
List of Prime Ministers of Iran,2008,2,0,94227,741
Pashtun people,2008,6,112,225058,874
Family planning in Iran,2013,2,14,55586,127
Jandu,2009,9,0,39908,257
Janet Leon,2014,1,14,58517,135
Mohammad Khatami%27s reforms,2009,6,7,47241,70
Pashtun people,2005,6,0,58136,138
History of Iran,2004,6,0,53713,141
Iran%E2%80%93United States relations after 1979,2010,5,47,94084,176
Higher education in Iran,2010,10,33,109529,323
Aryan,2007,11,12,78569,221
Iran%E2%80%93United States copyright relations,2009,2,7,45165,84
Science and technology in Iran,2006,3,0,56530,134
Encyclopaedia of Persian Language and Literature,2005,9,0,25736,36
Secularism in Iran,2007,12,0,31125,70
Mohsen Yeganeh,2011,7,10,51736,69
Irani traditional medicine,2013,3,2,32413,70
Mining in Iran,2011,12,71,138597,286
Geography of Iran,2014,2,11,102692,401
Yakhchal,2011,12,1,41407,119
List of Iranian research centers,2006,11,0,33349,41
Bulfati,2011,6,0,35640,102
Shetab Banking System,2008,8,10,49025,156
2010%E2%80%9311 Iran Futsal%27s 1st Division,2011,7,0,106424,181
Ghaychak,2013,4,0,53357,147
Economy of Iran,2007,11,58,164505,701
Davud Monshizadeh,2009,6,0,29723,74
Saladin,2003,10,0,52473,90
Sport in Iran,2012,8,12,81461,288
Iranian studies,2010,12,0,61678,153
Neda Soltani,2013,3,7,35260,51
IDRO Group,2013,3,5,83403,254
Aras Free Zone,2015,1,1,36473,62
Gabbeh,2008,9,0,28825,43
Pashtun people,2006,11,73,146082,452
Banking and insurance in Iran,2012,9,77,181409,381
List of highways in Iran,2014,11,0,175846,828
AH1,2008,2,3,44640,174
Baztab,2010,11,1,27799,51
Gondophares,2013,7,17,57228,105
Communications in Iran,2009,10,57,107357,222
Iran and weapons of mass destruction,2014,6,260,445717,480
Vizier,2004,12,0,35126,54
Hambastegi,2014,12,4,31553,47
Construction industry of Iran,2011,4,38,80285,179
National Petrochemical Company,2015,3,58,141689,294
Censorship in Iran,2015,3,18,118156,445
Ravand Institute,2011,1,6,30207,48
Pashtun people,2009,2,98,218254,707
List of diplomatic missions of Iran,2011,5,0,113826,353
Economy of Iran,2005,10,0,40006,46
Politics of Khuzestan Province,2010,7,27,103522,126
Two domes of Kukherd,2015,1,0,71088,204
Bank of Industry and Mine,2006,5,0,29555,55
Ilkhanate,2005,9,0,66257,212
Abgoosht,2014,11,2,59914,219
Farvardin,2012,3,0,31207,55
Ministry of Petroleum (Iran),2013,7,14,88228,284
Tomb of Hafez,2013,2,5,74261,225
"Gazak, Kerman",2013,10,2,96624,623
Nuclear program of Iran,2014,8,408,700271,634
Abbasid Caliphate,2005,4,0,65573,284
Politics of Iran,2005,9,0,58150,193
Armed Forces of the Islamic Republic of Iran,2004,7,0,31083,30
Achaemenid Empire,2008,11,15,197932,730
Greater Iran,2014,7,83,265168,1068
Science and technology in Iran,2015,2,220,386444,689
.ir,2013,10,2,81615,453
Elnaz Shakerdoust,2014,9,1,28232,40
Iran (word),2013,12,14,55740,94
Banking and insurance in Iran,2015,2,94,202615,407
Iranian subsidy reform plan,2014,6,92,177835,336
Iran Kish Air Show,2008,5,0,40134,81
Environmental issues in Iran,2009,2,2,44982,109
Aryan,2003,1,0,34113,42
List of festivals in Iran,2006,3,0,30935,59
Communications in Iran,2010,10,54,120024,236
Automotive industry in Iran,2007,5,0,30266,74
Tigris%E2%80%93Euphrates river system,2008,9,0,35837,88
Niusha Zeighami,2013,9,1,25389,33
Sistan and Baluchestan Province,2005,5,0,47640,85
Vizier,2013,1,12,79575,270
Bonyad,2014,7,17,61717,153
Ghormeh sabzi,2008,12,0,29321,57
Ashtiani language,2008,1,0,61120,232
Lady Abdullah Haroon,2011,1,1,44260,143
Education in Iran,2010,12,15,76883,201
Cyril Toumanoff,2012,12,6,43503,95
Iranian reform movement,2009,10,28,83265,250
Tables (board game),2010,12,19,71182,172
Turquoise Partners,2012,1,5,29091,40
Abgoosht,2008,5,0,26987,41
Mohammad Khatami%27s reforms,2012,9,7,55737,112
Iran,2004,2,0,87662,230
International Conference to Review the Global Vision of the Holocaust,2014,3,81,173463,436
Timeline of the nuclear program of Iran,2011,11,59,134809,286
Iran%27s Family Protection Law,2010,12,10,44455,58
Supreme National Security Council,2011,12,7,49634,113
Water supply and sanitation in Iran,2011,6,30,81484,136
Tigris%E2%80%93Euphrates river system,2013,12,9,74937,240
Pashtun people,2005,8,0,66887,193
Ilkhanate,2012,1,23,268391,993
Civil Aviation Training Center,2008,12,0,25883,46
Aban (month),2013,2,0,34292,67
Persianate society,2007,12,59,131444,289
Iranian Society of Mechanical Engineers,2009,5,2,27404,38
Ministry of Commerce (Iran),2011,9,2,50756,129
Timeline of Iranian history,2015,4,2,84299,252
Goldis Tower,2009,11,0,26881,39
Saladin,2008,7,17,105472,305
Agriculture in Iran,2007,11,15,59668,193
Combatant Clergy Association,2010,8,2,42604,116
Khwarizmi International Award,2012,7,1,29532,47
Ancient Iranian medicine,2010,4,40,74910,218
Northern Iran,2010,2,0,34927,83
Iranian diplomats kidnapping (1982),2009,7,0,32118,65
Persepolis F.C.,2009,1,76,349585,875
Politics of Khuzestan Province,2006,6,2,114671,209
Barbari bread,2012,1,0,46202,153
Tigris%E2%80%93Euphrates river system,2009,12,3,45791,119
Aryan,2012,4,62,164712,437
Khwarizmi International Award,2006,5,0,26147,39
List of Iranian research centers,2013,7,0,47644,54
Politics of Iran,2011,1,42,156635,473
2011 Iran Futsal%27s 2nd Division,2011,8,0,77642,136
IDRO Group,2010,3,1,31424,43
Alliance of Builders of Islamic Iran,2011,4,4,46890,120
List of Iranian research centers,2011,5,0,45448,60
Iran in the ABU Radio Song Festival,2015,3,3,81077,124
International Iranian Economic Association,2011,8,1,43294,86
Greater Khorasan,2010,7,14,75355,297
Sistan and Baluchestan Province,2013,12,2,104840,307
Haghani Circle,2011,12,3,35075,70
Hambastegi,2013,10,4,30866,47
General Inspection Office (Iran),2013,3,3,41884,106
Be Like Others,2013,3,13,59860,100
2009%E2%80%9310 Iran Futsal%27s 1st Division,2011,11,1,69688,143
List of diplomatic missions of Iran,2011,3,0,114570,353
Ministry of Petroleum (Iran),2010,4,13,82853,290
Alliance of Builders of Islamic Iran,2011,6,4,47289,120
Ilkhanate,2010,7,19,190328,693
Alaeddin Boroujerdi,2013,7,5,30751,53
List of national parks and protected areas of Iran,2006,2,0,30535,46
Iranian Crown Jewels,2008,1,0,76855,219
Family planning in Iran,2009,11,3,38033,39
Golden Crescent,2008,6,1,36186,59
International Committee Against Executions,2011,7,0,25062,27
Amin Investment Bank,2010,9,8,47042,145
Vizier,2005,11,0,41595,79
Persianate society,2010,12,59,142740,382
Government organized demonstration,2008,2,7,29958,47
Mannaeans,2010,2,1,53707,122
Politics of Iran,2006,7,1,78471,243
Caspian Hyrcanian mixed forests,2012,3,5,78183,313
Central Bank of the Islamic Republic of Iran,2009,1,26,98914,355
Abbas Kiarostami,2007,2,69,189438,423
Economic Cooperation Organization,2011,4,7,103357,294
Persian carpet,2005,3,0,37888,73
Davud Monshizadeh,2014,4,0,33721,85
Russo Persian War (1826%E2%80%9328),2007,7,0,35618,62
Terenah,2013,12,0,64255,203
Iranian nationalism,2015,3,9,73253,272
Economic history of Iran,2014,5,26,154914,583
Islamic Principlism in Iran,2012,6,185,328234,581
Iran%27s rights to the Helmand water,2014,3,2,35283,62
Tigris%E2%80%93Euphrates river system,2011,4,3,48421,133
Yusef Khan e Gorji,2010,7,14,31887,51
Ahmad Shah Qajar,2006,7,0,39804,86
Education in Iran,2011,8,15,79567,205
Malek Tomb,2010,2,0,40992,114
Communist Party of Iran,2007,5,0,42732,114
Higher education in Iran,2006,5,0,54196,136
Timeline of Iranian history,2014,10,0,58219,156
Economic history of Iran,2010,2,4,56524,192
"2,500 year celebration of the Persian Empire",2013,7,6,66197,204
Ayandeh Bank,2010,7,10,43389,101
Iran (word),2008,8,5,46197,113
List of Baloch tribes,2011,8,1,53161,224
Khosrow Haritash,2015,1,0,30683,54
List of Baloch tribes,2010,7,0,49532,221
Arasbaran,2013,8,13,92016,261
Automotive industry in Iran,2013,10,44,133456,248
List of Baloch tribes,2011,5,1,53160,228
Yadolah Dodge,2012,8,1,30404,66
List of Baloch tribes,2007,3,0,35053,142
Vizier,2014,1,13,79971,269
Kingdom of Georgia,2011,11,2,41081,94
Ferdowsi Millenary Celebration,2012,1,0,35822,77
Saladin,2005,7,0,67224,148
Caspian Hyrcanian mixed forests,2010,12,5,75960,311
Transport in Iran,2009,1,21,67077,182
Burnt Generation,2013,2,3,32129,54
"Iran Chamber of Commerce, Industries, Mines %26 Agriculture",2010,5,2,29004,35
Politics of Iran,2005,7,0,57863,192
Malavan Sport and Cultural Club,2014,9,0,39510,58
Aryan,2003,3,0,34673,48
Great Prophet III,2012,7,19,58984,67
Family planning in Iran,2009,12,3,37764,43
Iran in the ABU TV Song Festival,2014,1,2,32551,43
Yakhchal,2006,5,0,31603,58
Gooya,2010,1,0,27334,46
Bazaar of Isfahan,2012,1,1,29808,45
Barbari bread,2005,12,0,24025,41
Taxation in Iran,2010,4,23,96321,195
Geography of Iran,2011,4,10,102763,411
Supreme National Security Council,2013,5,7,48783,108
Greater Iran,2009,5,26,118634,506
Battle of Iskhabad,2014,6,0,35026,67
