filename,year,month,num_citations,file_size,forward_links
List of political parties in Iraq,2012,9,0,85768,373
Iraqi opposition (pre 2003),2005,10,0,24590,47
Mesopotamia,2015,2,50,254277,1082
Supreme Iraqi Criminal Tribunal,2008,2,1,57919,126
Central Criminal Court of Iraq,2008,11,1,30731,49
Gheimeh,2014,12,1,55759,217
Iraq National Library and Archive,2010,6,9,40435,43
Chaldea,2007,11,3,58335,173
Politics of Iraq,2010,5,23,110345,429
List of dams and reservoirs in Iraq,2010,8,0,60178,94
Facilities Protection Service,2011,7,1,54104,164
Al Hajaj,2013,12,2,27165,41
Asia Cell,2011,4,0,33931,67
Greater Iran,2006,11,24,101759,416
Council of Representatives of Iraq,2008,6,2,61595,155
Cyrus Cylinder,2012,7,113,273723,476
Geography of Iraq,2014,3,3,112364,483
Kuwait%E2%80%93Iraq barrier,2008,10,0,27742,45
Kurdistan List,2013,6,2,69891,195
"Balad, Iraq",2007,9,0,28177,41
Joseph Sulaqa,2013,10,3,36541,68
Telephone numbers in Iraq,2009,2,0,38271,128
Highway 5 (Iraq),2013,4,0,36958,74
Ninkasi,2009,4,0,26340,42
Qais,2008,10,1,33715,71
Republican Guard (Iraq),2011,9,9,82823,238
Nabopolassar,2006,6,0,36144,55
Iraq Short Film Festival,2013,3,2,32867,60
List of postal codes in Iraq,2013,8,0,83022,190
The Monument to the Unknown Soldier,2013,5,1,34544,53
Jalal Talabani,2013,8,11,114365,289
Kish tablet,2013,3,1,33071,65
Outline of Iraq,2011,10,5,113207,373
Highway 9 (Iraq),2013,4,0,36794,71
Terrorist incidents in Iraq in 2004,2012,12,85,93871,118
List of Iraq War documentaries,2008,2,0,26345,44
Ra%27ad bin Zeid,2009,11,0,41593,98
Basra prison incident,2013,8,6,45157,126
Korek Airlines,2010,8,2,40593,110
Iraq,2006,1,0,151321,484
Iraqi Kurdistan,2015,3,101,320609,855
Kurdistan Regional Government,2006,1,0,25843,25
Gilgamesh,2010,7,9,83870,243
Al Ukhaidir Fortress,2009,3,4,29240,41
List of Patriarchs of the Church of the East,2014,6,10,106940,409
Marsh Arabs,2012,12,32,118996,572
Sharifian Army,2010,9,8,43094,59
Iraqi insurgency (2003%E2%80%9311),2004,5,0,55755,90
Asia Cell,2007,7,0,26409,40
Al Shaheed Monument,2007,6,2,31500,51
Al Qa%27qaa,2008,10,1,33627,74
Iraq at the Olympics,2012,6,0,68089,315
