filename,year,month,num_citations,file_size,forward_links
Anarchism in Israel,2008,1,1,82997,373
Hovevei Zion,2015,2,3,36875,89
History of the Jews during World War II,2010,3,1,94617,479
"Acre, Israel",2011,7,33,156310,541
History of Israel,2006,12,7,155445,509
Israel Center for Social and Economic Progress,2008,10,0,28965,47
TAMID Israel Investment Group,2014,5,3,43072,83
Battle of Ain Jalut,2008,2,10,72020,204
Anglican Bishop in Jerusalem,2011,2,5,42894,87
Jezzar Pasha Mosque,2009,12,4,45343,90
Jaffa,2011,8,54,140756,335
American Zion Commonwealth,2006,9,0,45084,164
Gush Shalom,2009,7,16,65165,182
Mahmoud Ahmadinejad and Israel,2007,5,77,156192,275
A land without a people for a people without a land,2008,7,31,67448,101
Sport in Israel,2008,12,4,64018,230
Mahal (Israel),2013,4,8,49710,100
Christianity in Israel,2014,9,13,75834,206
Israel,2010,2,301,642959,1745
Israeli Jews,2011,1,86,220628,690
Beit Guvrin National Park,2014,2,6,54357,150
Green Zionist Alliance,2011,1,11,79152,329
Share taxi,2014,11,121,250388,652
Israeli casualties of war,2010,2,3,31430,61
Aliyah,2005,6,0,48116,154
Judicial system of Israel,2010,12,3,41780,73
Israelis,2007,9,5,47240,120
Israel National Trail,2014,1,8,64620,138
Teva Pharmaceutical Industries,2005,7,0,31836,44
Illegal immigration from Africa to Israel,2013,10,43,75893,138
Jaffa orange,2010,10,14,69881,119
Irgun,2015,3,76,247818,668
Multinational Force and Observers,2009,11,22,94839,165
Operation Agatha,2007,4,7,37105,72
A land without a people for a people without a land,2009,2,33,64314,91
Outline of Israel,2010,10,14,116197,428
Kalaniyot,2009,5,2,28109,48
Mahal (Israel),2007,11,1,36369,86
Khan al Umdan,2009,5,6,39363,65
Multinational Force and Observers,2008,7,13,76080,133
Arab List for Bedouin and Villagers,2007,6,0,38083,99
Nebi Akasha Mosque,2012,11,8,41833,101
Battle of Beersheba (1917),2008,5,2,66666,190
Hilltop Youth,2006,1,0,26553,36
Bricha,2007,7,0,65972,269
Lod,2012,7,51,106149,232
Theodor Herzl,2004,3,0,43975,83
Israel,2007,9,206,502898,1394
International Jewish Sports Hall of Fame,2011,8,4,294499,754
Transport in Israel,2009,2,2,87317,416
Israeli settlement,2002,8,0,42311,52
Beit She%27arim National Park,2008,12,4,49079,148
Sport in Israel,2006,8,0,39217,106
Black Laundry,2006,8,0,31054,72
Diamond Exchange District,2008,3,2,27835,47
Shimon Sheves,2014,12,3,39521,97
Battle of Beersheba (1917),2013,4,174,273929,293
Caesarea Maritima,2002,9,0,31719,45
"Biodiversity in Israel, the West Bank, and the Gaza Strip",2013,3,0,44933,85
Australian Jews in Israel,2015,3,5,51149,133
Israeli Educational Television,2007,10,0,28474,41
Camp David Accords,2006,4,0,52351,132
Israeli nationality law,2007,3,0,36655,59
Tel Megiddo,2010,4,16,81673,262
First Intifada,2005,7,0,39436,53
Voting age,2011,12,119,230923,733
Mount of Olives,2012,10,29,111163,359
Israeli barrier,2010,8,0,25056,34
Laws regarding child pornography,2013,4,92,167729,244
Jordan River,2005,8,0,46537,75
Machaerus,2006,10,0,30198,70
David Ben Gurion,2011,6,14,138991,452
"Walter Guinness, 1st Baron Moyne",2005,1,0,34123,83
Judaization of the Galilee,2010,8,21,70025,117
Knesset Guard,2010,6,0,27888,42
List of Israelis,2006,1,0,100638,588
Theodor Herzl,2005,10,0,50135,107
Mahal (Israel),2006,11,0,32797,81
Corpus separatum (Jerusalem),2013,8,18,63125,110
Battle of Jaffa (1192),2014,10,17,62008,169
Jaffa orange,2008,7,2,33567,61
Matkot,2005,9,0,25842,39
Mishpat Ivri,2008,9,0,47189,172
Jewish and democratic state,2009,7,6,46647,69
Battles of Latrun (1948),2014,4,98,207581,455
Kitchen Cabinet of Israel,2011,6,1,43745,127
"Edmund Allenby, 1st Viscount Allenby",2006,8,0,67145,218
Battles of Latrun (1948),2012,10,96,208001,463
Public holidays in Israel,2006,9,0,54958,243
Good Fence,2005,9,0,27680,55
Menachem Begin,2006,12,4,140316,525
Jaffa orange,2012,4,14,68581,118
Battle of Ain Jalut,2014,12,15,93564,237
Portal:Israel,2014,8,19,195164,453
Khirbet Khizeh,2015,3,1,31662,61
Lod,2011,6,45,97071,214
Pornography by region,2008,6,24,75213,198
Israeli system of government,2011,9,4,110763,476
Profile 21,2006,11,0,27902,37
Israel%E2%80%93Palau relations,2010,9,6,54522,183
Voting age,2007,2,27,98642,467
Operation Damocles,2013,3,14,58272,82
Haim Farhi,2011,5,18,57157,130
Prostitution in Israel,2008,7,5,41426,103
Judeo Tunisian Arabic,2010,3,1,74837,228
Censorship in Israel,2014,4,18,65441,166
British Mandate for Palestine (legal instrument),2012,12,86,185464,335
Restoring Courage tour,2012,10,28,76758,159
Israel%E2%80%93Japan relations,2012,11,11,99483,375
Gaza War (2008%E2%80%9309),2014,11,483,871436,1237
Share taxi,2013,9,115,244388,642
Israelis,2009,9,15,82992,264
Israeli disengagement from Gaza,2014,3,77,249895,660
Operation Agatha,2008,5,7,34788,71
State Attorney (Israel),2009,4,0,28600,41
Musta%27arabi Jews,2011,8,13,94266,398
Ein Karem,2009,10,10,67671,240
Prostitution in Israel,2013,1,11,45573,101
First Intifada,2003,12,0,33781,39
Yoav Sarig,2012,2,6,36762,71
Ancient synagogues in Palestine,2015,4,9,55162,127
The Hunting Season,2014,11,10,50782,93
Israeli system of government,2005,7,0,92180,424
History of the Jews and Judaism in the Land of Israel,2009,6,6,145451,833
Blueprint Negev,2014,5,13,40934,67
Jerusalem Bird Observatory,2011,12,4,40534,126
Jordan River,2004,8,0,44999,55
October 2000 events,2011,1,19,143360,580
Water politics in the Middle East,2008,7,11,41644,78
Jewish Palestinian Aramaic,2014,6,2,59946,194
Harifian,2005,3,0,22659,26
History of Israel,2009,10,91,309787,1210
Israel Academy of Sciences and Humanities,2012,7,2,115128,374
Valley of Peace initiative,2014,4,71,114244,196
Israel Standard Time,2007,12,0,29628,64
Hilltop Youth,2008,9,0,28370,43
Elon Peace Plan,2004,9,0,25771,42
Pornography by region,2007,7,24,71844,192
Science and technology in Israel,2015,4,99,246282,645
"Walter Guinness, 1st Baron Moyne",2004,11,0,33678,81
Science and technology in Israel,2006,7,0,55950,214
Teva Active Pharmaceutical Ingredients (TAPI),2012,6,9,52885,117
Haim Farhi,2015,3,15,66983,190
Share taxi,2004,3,0,28777,26
Share taxi,2007,4,17,115166,203
Monastery of the Cross,2005,5,0,29873,51
ISO 3166 2:IL,2009,7,0,81643,698
October 2000 events,2010,2,24,76931,137
Jewish Resistance Movement,2008,7,0,33202,85
Legal drinking age,2004,11,0,33948,94
Samaria,2004,4,0,38565,77
Lone Soldier Center,2012,9,2,34195,56
"Edmund Allenby, 1st Viscount Allenby",2011,9,5,93202,338
Basic Laws of Israel,2010,9,1,59170,178
Telecommunications in Israel,2007,12,1,43157,141
Declaration to the Seven,2011,10,5,53579,162
List of Prime Ministers of Israel,2010,1,3,62201,160
Egypt%E2%80%93Israel Peace Treaty,2004,8,0,30450,43
Ben Zion Harel,2012,6,2,33824,80
Jerusalem Law,2006,3,0,55466,197
Share taxi,2012,4,114,284146,615
Night of the Bridges,2011,10,1,53281,87
October 2000 events,2009,9,24,78947,154
Camp David Accords,2010,9,31,93443,218
Israel Summer Time,2009,4,1,38492,85
Israel%E2%80%93Gaza barrier,2004,6,0,42764,135
Egypt%E2%80%93Israel Peace Treaty,2014,7,27,80837,153
Mandatory Palestine,2012,3,101,284991,709
Israel National Trail,2009,9,0,45882,108
Israeli barrier,2010,3,0,24630,34
Lillehammer affair,2004,12,0,28767,48
Beit She%27an,2011,2,51,161238,431
Geography of Israel,2006,9,0,71905,302
Basic Laws of Israel,2012,2,3,60205,180
Brit Tzedek v%27Shalom,2009,4,3,31403,59
Colombia%E2%80%93Israel relations,2013,7,10,69570,220
Judicial system of Israel,2014,12,11,60251,104
Beersheba,2009,11,35,153450,445
Israel%E2%80%93Gaza barrier,2005,12,0,48647,200
Karnit Flug,2014,11,2,36302,67
School leaving age,2008,6,3,123815,178
Sabra (person),2006,10,0,28318,42
Israeli system of government,2007,2,0,109997,489
Israel Postal Company,2009,8,0,32258,64
Irgun,2007,6,36,153685,392
Shibley Telhami,2008,5,0,26618,52
Efrem Harkham,2014,12,12,40579,59
EGO (TV channel),2007,7,0,24899,38
First Intifada,2002,8,0,34585,42
Egypt%E2%80%93Israel Peace Treaty,2009,1,1,80441,359
City council (Israel),2011,5,0,42509,117
Antiochus of Ascalon,2012,7,15,62759,209
Israel,2004,10,0,132913,419
David Ben Gurion,2010,6,12,127184,412
Gezer,2013,7,13,65223,192
Jund al Urdunn,2014,9,2,35251,90
John Stanley Grauel,2012,11,4,39198,62
"Acre, Israel",2012,2,36,163598,548
Negev incense route,2007,10,0,36852,87
Modern attempts to revive the Sanhedrin,2008,2,90,155945,408
Israel Discount Bank,2006,11,0,34625,71
Teva Pharmaceutical Industries,2006,4,0,34117,47
Austerity in Israel,2009,11,0,33981,79
Menachem Begin,2013,5,51,278404,1178
Aliyah,2009,9,23,125538,368
Montfort Castle,2015,4,1,61015,220
October 2012 Yisraela Goldblum Fund poll,2012,11,27,63828,141
List of Israelis,2013,2,53,193286,928
Israeli settlement,2002,11,0,43933,52
Kibbutz crisis,2013,3,0,46953,71
Albert Montefiore Hyamson,2014,11,27,75639,108
Jaffa orange,2006,4,3,30410,49
Caesarea Maritima,2013,9,30,117843,382
Voting age,2012,2,119,230958,732
The Clinton Parameters,2010,8,0,44652,123
Israel Israeli,2008,3,0,28475,58
Judeo Iraqi Arabic,2008,7,1,73805,226
Amir Benayoun,2012,3,3,32550,49
Beit She%27arim National Park,2014,4,16,61595,165
Shomer Masoret,2015,3,0,41688,146
Irgun,2010,12,68,221623,599
Geography of Israel,2007,2,0,73111,310
List of Israelis,2009,1,5,127262,719
Theodor Herzl,2010,8,49,142137,277
Israeli disengagement from Gaza,2005,5,0,66061,250
Public holidays in Israel,2009,3,0,50319,205
Migdal Synagogue,2009,10,3,29421,57
Culture of peace festival,2012,5,0,29929,60
Declaration to the Seven,2007,5,5,33306,63
Mahal (Israel),2007,8,0,34621,69
Egypt%E2%80%93Israel Peace Treaty,2010,12,9,45322,85
Presbyterian Church (U.S.A.) disinvestment from Israel controversy,2010,5,27,65333,77
Ha Comedy Store,2013,1,0,31521,55
Voting age,2004,11,0,29382,54
Ein Karem,2005,9,0,31369,56
Israel ben Moses Najara,2014,7,3,50205,124
Matmor Formation,2009,12,0,29373,59
The Messiah%27s Donkey,2009,5,3,47744,206
Jordan River,2006,10,1,57846,131
First Intifada,2013,1,55,205664,712
List of Sephardi chief rabbis of the Land of Israel,2009,12,0,33826,60
Israel Space Agency,2014,4,29,199390,540
Esti HaMekho%27eret,2007,12,0,29811,64
Mishpat Ivri,2005,1,0,26860,50
Israel,2007,3,83,340420,1198
Israelis,2006,7,5,42926,104
Ch%C3%A2teau P%C3%A8lerin,2009,2,0,33833,58
Science and technology in Israel,2011,7,81,155489,396
A land without a people for a people without a land,2008,4,40,67236,84
Marriageable age,2005,1,0,29009,55
Khan al Umdan,2013,7,8,57092,133
Yokneam,2008,2,0,50463,186
Jaffa orange,2006,2,0,31146,53
Tel Kabri,2015,2,145,255556,279
Beit She%27an,2009,2,22,117414,384
Kerem Avraham,2006,5,0,24946,37
Via Maris,2008,12,0,35495,102
Sabra (person),2008,1,1,27789,42
Arab Peace Initiative,2014,7,89,238969,544
Beersheba,2010,10,42,174275,471
King David Hotel bombing,2004,12,0,39339,65
Greater Israel,2005,9,0,28527,35
Caesarea Maritima,2009,10,26,100418,293
Marsel Efroimski,2013,3,9,36195,64
Arab Peace Initiative,2012,1,88,234849,539
1985 Israel Economic Stabilization Plan,2011,1,4,31141,61
Birya affair,2014,12,1,30039,54
Standard of living in Israel,2013,7,27,83221,170
Caesarea Maritima,2010,3,29,104851,303
King David Hotel bombing,2007,10,5,50063,94
Bilu,2013,1,7,36837,72
Kitchen Cabinet of Israel,2014,2,1,63441,255
Dung Gate,2007,4,0,29627,43
Hapoel,2006,9,0,26137,39
David Brog,2007,6,1,29237,48
Who is a Jew%3F,2006,11,9,124730,511
Kinnernet,2014,12,2,30321,60
Israeli law,2009,10,2,40682,81
Greater Israel,2006,12,2,38534,90
Israel%27s Border Wars 1949%E2%80%931956,2008,6,0,29478,54
Arbel,2014,1,11,57268,129
Science and technology in Israel,2009,12,67,119679,329
Dung Gate,2010,11,1,40847,85
Gaza War (2008%E2%80%9309),2009,11,353,577874,862
Cave of Adullam,2009,7,0,29776,55
Legal drinking age,2011,3,73,246522,417
Transport in Israel,2012,2,10,74642,270
Israelis,2007,2,4,46743,111
Allon Plan,2006,8,1,26595,39
Alec Gores,2014,12,10,50425,89
Pornography by region,2006,1,0,31086,79
Light Unto the Nations,2012,3,2,43236,87
Smoking age,2014,12,47,231622,594
"Meron, Israel",2007,9,0,46489,197
Balfour Declaration,2010,9,29,140890,454
Tel Megiddo,2006,10,0,48410,110
Magdala,2006,11,0,28055,41
Arab National Party,2011,10,2,37803,90
Bip (channel),2013,3,0,45090,131
Caesarea Maritima,2011,12,27,102436,331
Bilu,2013,2,7,37209,76
Monastery of the Cross,2007,6,0,38894,78
EGO (TV channel),2010,10,0,26578,45
International rankings of Israel,2012,12,11,54480,167
Azzam Azzam,2008,9,4,31567,56
History of Israeli nationality,2012,4,45,78170,126
Judaization of the Galilee,2009,5,7,42013,81
Technion %E2%80%93 Israel Institute of Technology,2014,10,46,165939,409
Hasmonean dynasty,2005,8,0,71615,323
"Edmund Allenby, 1st Viscount Allenby",2009,1,5,86176,301
Ya%27akov Eilon,2012,8,3,30847,59
Gush Etzion,2012,12,35,108857,329
Belvoir Fortress,2011,7,6,54665,185
Supreme Court of Israel,2008,10,4,77012,222
Smoking age,2009,10,18,92498,240
Basic Laws of Israel,2013,3,2,61490,179
