filename,year,month,num_citations,file_size,forward_links
Policies of Silvio Berlusconi,2012,6,31,91245,206
List of historic states of Italy,2010,1,0,78553,351
History of the Republic of Venice,2008,5,15,105920,357
Italian Renaissance,2009,2,18,124263,512
Fasci Siciliani,2009,1,0,51576,116
Kingdom of Italy (476%E2%80%93493),2010,11,0,34457,69
Template:Italian colonial campaigns,2012,12,0,25248,41
German toponymy,2014,2,0,53236,233
Istria,2012,11,17,107134,330
Elena Cattaneo,2013,12,2,33558,62
Sardinian people,2014,6,49,143887,414
List of film festivals in Italy,2014,2,0,63189,233
History of Italy,2001,9,0,35238,25
Italian lira,2010,6,4,119577,400
Fiat 634,2013,8,0,41314,115
Pinacoteca Civica Fortunato Duranti,2010,3,0,45248,41
Carezza Dolomites,2012,2,0,28662,57
Italian Renaissance,2003,9,0,34850,25
Southern Italy,2008,4,18,71328,223
Provinces of Italy,2007,7,3,86839,280
Italian Armed Forces,2010,5,4,75134,278
Prime Minister of Italy,2010,9,0,101873,382
Quota 90,2008,8,6,28876,49
Sport in Italy,2008,7,3,59856,244
Italian irredentism in Corsica,2009,4,10,82521,225
Italian Strategic Fund,2012,10,7,34167,40
Constitution of Italy,2014,10,22,247161,1157
History of Italy,2005,9,0,38044,87
List of Italians,2015,3,239,542160,2831
Alpk%C3%A4se,2014,4,3,27978,42
Padania,2005,3,0,31760,43
Dalmatian Italians,2007,11,10,85061,233
Carabinieri,2011,1,16,98491,245
Contract with the Italians,2012,7,6,42829,68
Borsa Italiana,2007,1,1,34767,63
Economy of Italy,2013,1,88,232116,701
Istituto per la Protezione delle Piante,2011,2,0,26092,44
Insieme: 1992,2006,8,0,24265,34
Template:Italian film list,2008,11,0,35697,141
Asinara donkey,2011,7,4,48599,128
Sara Errani,2008,1,0,33930,51
Transport in Italy,2008,4,0,46698,182
Padania,2005,9,0,34982,61
Geography of Italy,2008,9,0,47088,136
Istria,2005,10,0,44908,125
Pa%C3%AFsos Catalans,2005,9,0,35651,57
Protezione Civile,2010,5,0,25184,35
Fasci Siciliani,2014,12,56,113304,167
Vespa,2006,5,0,49376,98
List of Italian inventions,2010,5,2,46094,150
Padanian nationalism,2010,12,9,74641,277
Guglielmo Oberdan,2011,1,2,38042,73
Transport in Italy,2005,1,0,29561,73
Italian Renaissance,2011,10,26,141932,578
Flavia Pennetta,2011,4,11,222681,876
List of cultural icons of Italy,2013,11,0,97177,555
Template:Universities in Italy,2012,2,0,33615,109
BBPR,2009,12,0,29411,58
Il Sole 24 Ore Radiocor,2008,11,0,27678,53
Sardinian people,2012,1,18,93040,302
Costumi d%27Arte,2011,6,0,29327,65
Gruppi di Acquisto Solidale,2011,3,0,32823,47
International rankings of Italy,2010,1,6,77787,324
Italy,2013,5,210,664095,2293
Sardinian people,2013,8,46,142856,405
Hippopotamus pentlandi,2010,2,1,30374,57
Outline of Italy,2009,4,2,104076,471
Fathers%27 rights movement in Italy,2011,1,0,34888,67
Italian Minister of Transports,2010,2,0,55849,118
The Bridge at Narni,2009,5,1,31209,59
Accademia del Cimento,2006,5,0,31714,66
Line of succession to the former Italian throne,2011,4,5,46629,99
Northeast Italy,2011,10,2,40899,103
Carnival of Viareggio,2008,9,0,28151,52
Pa%C3%AFsos Catalans,2004,10,0,33479,45
Template:Nuclear power in Italy,2013,3,0,29797,44
Italian irredentism in Corsica,2012,9,12,75153,195
National Institute of Statistics (Italy),2008,7,0,35883,37
List of Italians,2009,1,0,144176,1011
German toponymy,2009,2,0,44912,177
Italian passport,2013,12,4,93918,383
Rome process,2009,5,3,40071,97
Brigasca,2013,9,4,38415,117
Provinces of Italy,2013,12,17,227136,967
Hesperium,2010,3,0,25463,44
List of Italian inventions,2011,3,2,48901,167
Template:Residences of the Royal House of Bourbon Two Sicilies,2014,11,0,26673,37
Corfiot Italians,2008,12,13,83359,202
Bel paese (phrase),2010,4,5,27408,34
Flavia Pennetta,2014,3,15,193467,849
Protezione Civile,2011,8,0,26853,31
Line of succession to the former Italian throne,2008,12,0,37966,87
Regions of Italy,2011,1,3,95400,298
Strategy of tension,2005,9,0,27461,49
MOSE Project,2013,4,3,67372,143
Istria,2011,6,17,101778,310
Judiciary of Italy,2010,6,0,53369,127
List of Italians,2012,8,241,533541,2710
History of the Republic of Venice,2007,3,1,94370,318
Roberta Vinci,2013,7,14,243119,936
Il sorpasso (economics),2008,11,0,28356,49
Geography of Italy,2010,9,0,49205,169
List of Italian inventions,2012,9,104,149888,418
Template:Italian diaspora,2013,6,0,34828,76
Naples waste management issue,2010,2,7,47107,57
Strategy of tension,2012,4,19,93041,290
Herbarium Apuleii Platonici,2012,9,3,28329,49
EduSAT,2013,12,6,52415,180
Italian Renaissance,2005,7,0,105333,390
Bergamo Lions,2012,8,2,31715,55
9th Alpini Regiment,2008,3,0,27892,49
Constitution of Italy,2013,5,18,238272,1122
Strategy of tension,2007,10,5,68472,239
Economy of Italy,2013,8,82,235211,663
Gods of Metal,2009,10,0,60957,345
Regions of Italy,2013,8,6,123222,487
Ventotene Manifesto,2012,3,1,29819,40
Template:Italian colonial campaigns,2012,10,0,25278,37
Augusta Bay (Sicily),2013,12,1,27652,49
Convicted Italian MPs,2013,2,4,63040,229
Automotive industry in Italy,2006,2,0,27212,46
Jon Martin,2013,12,0,33888,97
Outline of Italy,2013,4,4,120421,558
Liberalism and radicalism in Italy,2011,7,0,73994,309
SISMI,2006,1,0,35644,71
Regions of Italy,2008,6,0,114204,366
Political career of Silvio Berlusconi,2012,5,63,142644,247
Italians,2010,2,52,202591,591
List of Italian inventions,2012,12,110,156360,433
Dalmatian Italians,2009,10,14,83787,204
Provinces of Italy,2015,2,18,184034,695
Dominik Knoll,2012,3,5,33771,62
Maria Grazia Giammarinaro,2014,7,58,92039,51
Trials and allegations involving Silvio Berlusconi,2015,3,96,246301,257
Template:Italian language in the world,2009,2,0,24280,38
Commendatore,2011,1,0,27926,45
List of German exonyms for places in Italy,2013,1,0,37305,92
Dalmatian Italians,2010,1,15,82899,198
Biblioteca Nazionale Centrale di Roma,2011,10,4,50014,122
David Guido Pietroni,2012,9,0,39012,73
List of Italian regions by GDP,2011,5,1,30895,52
Eight per thousand,2007,9,1,38246,118
Southern Italy,2011,10,21,101250,375
Editto Bulgaro,2008,9,2,34226,71
Outline of Italy,2014,2,3,123029,570
Divisione Investigazioni Generali e Operazioni Speciali,2013,3,0,32599,53
Ministry of Defence (Italy),2011,11,0,27671,37
Faunistic Park Le Cornelle,2015,4,1,71975,303
P. M. Forni,2009,11,1,31145,54
List of German exonyms for places in Italy,2007,4,0,37625,93
Template:Universities in Italy,2012,6,0,32450,108
Ausonium,2013,9,3,29652,58
List of music festivals in Italy,2007,7,0,35785,95
Nuclear power phase out,2015,3,130,252391,577
List of Italians,2012,4,241,531995,2783
Transport in Italy,2009,1,1,52771,227
Italian irredentism in Corsica,2015,1,10,72895,196
2008 Italian political crisis,2013,7,19,59932,103
Dalmatian Italians,2014,9,26,95530,271
Sport in Italy,2012,3,2,78093,352
Giovanni Vincenzo Bracco,2014,8,0,26538,43
Template:Italy topics,2012,12,0,43562,150
History of Italy,2007,7,0,82372,313
Italian estimated best selling music artists,2013,10,64,114429,371
History of Italy,2013,11,107,355413,1422
Associazione Nazionale Costruttori Edili,2008,1,0,26252,33
Nuclear power phase out,2011,6,98,183540,473
Northern Italy,2008,6,1,32767,63
Liberalism and radicalism in Italy,2008,11,0,74062,306
Genoese colonies,2012,5,7,43094,104
Fathers%27 rights movement in Italy,2007,4,0,25280,35
Caserma Ederle,2008,6,3,41862,102
Roberta Vinci,2005,4,0,28240,30
Transport in Italy,2012,8,11,79966,291
Template:Universities in Italy,2005,3,0,31557,105
Flavia Pennetta,2007,6,1,80636,267
Template:Italy law stub,2014,7,0,31642,54
Carabinieri,2009,10,13,98118,248
Biblioteca Nazionale Vittorio Emanuele III,2014,4,1,39099,81
San Marco programme,2015,3,8,49533,93
Lucania,2007,7,0,42414,113
Italy,2009,1,43,356828,1561
Italian Space Agency,2015,3,16,133613,339
Albracca,2015,4,0,27962,53
2009%E2%80%9310 Serie A (ice hockey),2011,10,1,55850,201
Bergamo Lions,2012,4,2,31684,57
