filename,year,month,num_citations,file_size,forward_links
Aboisso Airport,2012,10,0,35631,85
.ci,2007,11,0,66468,398
National Assembly (Ivory Coast),2013,5,3,58530,169
Economy of Ivory Coast,2010,10,0,99930,492
Dozo,2013,3,11,43803,96
United Nations Operation in C%C3%B4te d%27Ivoire,2012,3,24,113492,106
Military of Ivory Coast,2006,8,0,32864,65
Transport in Ivory Coast,2011,4,0,53385,168
Environment of Ivory Coast,2009,9,1,32474,56
Politics of Ivory Coast,2014,6,1,84615,307
Guy Andr%C3%A9 Kieffer,2006,10,0,22915,29
Godi%C3%A9 language,2015,3,2,31141,53
Ivory Coast,2004,6,0,90302,255
Kuya language,2012,3,0,27753,40
Congr%C3%A8s Panafricain des Jeunes et des Patriotes,2009,11,0,37921,82
Guy Andr%C3%A9 Kieffer,2009,5,11,47513,68
2006 Ivory Coast toxic waste dump,2007,2,13,37434,52
Timeline of Abidjan,2013,12,26,84383,155
Wan%C3%A9 language,2011,11,0,27438,46
Wan%C3%A9 language,2013,8,1,29719,53
List of heads of state of Ivory Coast,2013,1,0,89071,307
History of Ivory Coast,2011,3,5,119933,426
Military of Ivory Coast,2009,10,2,49969,142
Wassoulou,2007,7,0,35459,81
History of Ivory Coast,2005,5,0,40240,109
List of universities in Ivory Coast,2015,1,2,46099,102
Baoul%C3%A9 language,2008,8,0,32913,54
2006 Ivory Coast toxic waste dump,2013,9,54,138229,226
Boucantier,2013,3,0,26853,46
Telephone numbers in Ivory Coast,2014,10,2,44039,119
Airtransivoire,2014,9,0,31487,54
LGBT rights in Ivory Coast,2013,12,8,58846,141
Katiola Airport,2009,12,0,33609,76
Dancing in the Dust (1988 film),2013,4,0,26852,41
Nationalist Party (Ivory Coast),2012,3,0,36175,77
Ivorian Revolutionary Party,2006,6,0,33280,70
Leopard Society,2010,12,1,33515,54
Rallye C%C3%B4te d%27Ivoire,2010,1,1,77050,200
Mechac Koffi,2012,9,2,36637,77
Roman Catholic Diocese of Yamoussoukro,2013,4,0,36866,68
Alliance for a New C%C3%B4te d%27Ivoire,2009,5,0,33165,61
Airtransivoire,2014,3,0,31419,54
Kossou Dam,2013,3,1,30576,48
Dozo,2010,2,11,43976,98
Geography of Ivory Coast,2009,6,1,62179,254
Divo Airport,2012,12,0,32941,73
History of Ivory Coast,2006,8,0,76652,311
Buyo Dam,2009,8,1,25029,30
Ivory Coast,2010,2,39,314012,927
Environment of Ivory Coast,2010,12,1,34208,66
1999 Ivorian coup d%27%C3%A9tat,2008,12,6,46234,113
French West Africa,2010,5,6,109425,344
Coat of arms of Ivory Coast,2009,12,0,50394,132
Ivoirienne de Transports A%C3%A9riens,2013,8,0,28595,48
List of heads of government of Ivory Coast,2012,2,0,81523,310
Postage stamps and postal history of French Sudan,2013,3,1,56514,206
Union of Independents of C%C3%B4te d%27Ivoire,2012,10,0,34207,73
Environment of Ivory Coast,2011,9,1,32987,66
French West Africa,2011,1,6,110959,355
Kossou Dam,2011,4,1,29857,39
Abidjan Transport Company,2013,7,5,42694,80
2006 Ivory Coast toxic waste dump,2010,5,46,97562,128
Autorit%C3%A9 Nationale de l%27Aviation Civile,2013,4,1,29605,46
Demographics of Ivory Coast,2013,2,3,60259,161
Sahel Benin Union,2013,4,2,36460,72
Bank of West Africa (BAO),2009,8,7,68808,217
Operation Unicorn,2007,12,0,35011,78
Visa policy of Cote d%27Ivoire,2014,7,24,140070,576
Ziglibithy,2007,10,0,26468,44
Operation Unicorn,2011,3,2,35085,63
La Premi%C3%A8re (RTI),2011,2,1,32455,53
Flag of Ivory Coast,2009,1,1,55010,148
Gagnoa Airport,2012,10,0,33295,78
Ibrahim Coulibaly,2005,3,0,25521,43
Ivorian Popular Front,2007,9,2,38497,71
Roman Catholic Diocese of Daloa,2011,6,0,35396,58
Military of Ivory Coast,2008,11,2,53716,169
List of heads of state of Ivory Coast,2010,2,0,46010,83
.ci,2012,5,1,70741,404
Demographics of Ivory Coast,2004,9,0,30527,62
Demographics of Ivory Coast,2006,10,0,46151,122
Abron tribe,2008,11,0,32616,73
List of Ivoirians,2009,5,0,33384,101
Abdoulaye Koffi,2015,3,4,47070,87
Buyo Dam,2012,2,1,28881,40
Ivoirit%C3%A9,2011,11,0,26165,46
Dabou Airport,2011,12,0,33135,80
Movement for Justice and Peace,2011,1,0,33505,58
Korhogo Airport,2011,11,0,33737,75
"French constitutional referendum, May 1946 (Ivory Coast)",2015,2,1,48856,145
Flag of Ivory Coast,2007,5,0,60579,72
List of universities in Ivory Coast,2013,3,2,42384,105
Roman Catholic Diocese of Daloa,2012,8,0,35237,57
"Ivorian presidential election, 2000",2013,3,0,53024,141
Abdoulaye Koffi,2015,4,4,48706,89
Demographics of Ivory Coast,2006,12,0,46073,124
Juma Saeed,2014,11,22,69839,114
Union of Independents of C%C3%B4te d%27Ivoire,2007,5,0,34733,74
Flag of Ivory Coast,2014,4,1,56526,157
Abron tribe,2006,12,0,32134,55
F%C3%A9lix Doh,2011,6,2,28678,45
Progressive Party of C%C3%B4te d%27Ivoire,2006,5,0,31068,64
Politics of Ivory Coast,2013,8,1,82740,300
List of universities in Ivory Coast,2012,3,2,41999,100
Politics of Ivory Coast,2008,8,0,62653,252
Politics of Ivory Coast,2010,3,0,71855,293
Roman Catholic Diocese of Odienn%C3%A9,2009,12,0,34876,59
.ci,2008,8,0,66319,398
Public holidays in Ivory Coast,2014,7,0,46653,175
Roman Catholic Diocese of Grand Bassam,2010,11,0,34429,55
List of heads of government of Ivory Coast,2014,12,0,84695,317
Ivory Coast,2015,4,87,410059,1066
Template:IvoryCoast airport stub,2010,11,0,24360,37
History of Ivory Coast,2003,4,0,33276,63
United Nations Operation in C%C3%B4te d%27Ivoire,2011,3,11,84169,152
Guiglo Airport,2011,8,0,33225,75
French West Africa in World War II,2007,5,1,95573,447
Korhogo Airport,2013,10,0,33315,70
List of universities in Ivory Coast,2013,4,2,41908,103
Au nom du Christ,2013,4,0,32051,50
Buyo Dam,2014,5,4,36140,56
List of governors of French West Africa,2011,11,0,36347,77
List of heads of government of Ivory Coast,2013,2,0,82684,320
Shi%27a Islam in Ivory Coast,2015,2,3,58904,140
Roman Catholic Diocese of Abengourou,2011,1,0,35368,57
Elections in Ivory Coast,2005,12,0,44439,139
Guro language,2010,4,0,24638,39
Dyula language,2011,6,0,42637,90
Coat of arms of Ivory Coast,2009,11,0,48578,125
National Assembly (Ivory Coast),2009,12,3,50617,153
Tourism in Ivory Coast,2008,4,1,38433,101
List of ecoregions in Ivory Coast,2012,10,0,60509,192
Environment of Ivory Coast,2009,10,1,32556,56
Ivorian Popular Front,2010,11,2,41114,82
Demographics of Ivory Coast,2008,7,1,47707,129
Kong Empire,2014,4,7,52448,86
2006 Ivory Coast toxic waste dump,2013,5,52,134267,217
National Assembly (Ivory Coast),2014,12,3,58643,171
Ibrahim Coulibaly,2007,12,1,32110,64
1999 Ivorian coup d%27%C3%A9tat,2013,5,10,71565,185
Upper Guinea,2013,1,3,31208,61
Roman Catholic Diocese of Man,2013,2,0,34705,62
Transport in Ivory Coast,2012,7,0,54249,171
Demographics of Ivory Coast,2011,6,2,57155,158
Demographics of Ivory Coast,2014,11,4,63945,165
List of universities in Ivory Coast,2014,5,2,45548,97
Economy of Ivory Coast,2001,4,0,27656,23
Mano River Union,2007,10,0,32403,66
Ivory Coast at the 2010 Summer Youth Olympics,2013,1,1,72745,269
Economy of Ivory Coast,2009,1,0,75481,370
Coat of arms of Ivory Coast,2005,1,0,32311,30
2006 Ivory Coast toxic waste dump,2007,10,14,39994,57
Template:IvoryCoast party stub,2010,11,0,24134,36
Constitution of Ivory Coast,2012,8,2,55151,127
Coat of arms of Ivory Coast,2010,3,1,51812,135
La ville o%C3%B9 nul ne meurt,2011,1,0,28264,47
Flag of Ivory Coast,2008,4,0,55772,143
National Liberation Committee of C%C3%B4te d%27Ivoire,2005,8,0,31141,61
Proletarian Communist Party of C%C3%B4te d%27Ivoire,2013,3,0,41210,95
Roman Catholic Diocese of Daloa,2013,2,0,35507,61
Mano River Union,2012,5,0,35322,75
Abidjan Transport Company,2013,1,5,43059,85
Ivory Coast,2009,2,28,274942,832
United Nations Operation in C%C3%B4te d%27Ivoire,2007,6,4,41166,73
Politics of Ivory Coast,2006,6,0,60808,245
Dyula language,2007,10,0,37057,68
Roman Catholic Diocese of Grand Bassam,2014,1,0,34691,55
Health in Ivory Coast,2011,8,1,51529,167
Abron tribe,2007,12,0,32574,58
2006 Ivory Coast toxic waste dump,2010,7,49,108598,118
La Poste (Ivory Coast),2011,7,1,32619,85
Ivory Coast at the 2010 Summer Youth Olympics,2013,3,1,72812,269
Environment of Ivory Coast,2010,5,1,32348,56
Economy of Ivory Coast,2004,9,0,37263,69
French West Africa,2011,8,6,109046,343
Roman Catholic Diocese of Bondoukou,2008,5,0,33348,52
Transport in Ivory Coast,2008,1,0,44063,132
Ivorian passport,2015,1,0,77413,345
Ivorian Revolutionary Party,2012,10,0,35057,76
Ivory Coast at the 1996 Summer Paralympics,2012,8,1,49466,166
Bouak%C3%A9 Airport,2013,1,1,39335,88
Bank of West Africa (BAO),2009,2,7,69839,228
List of governors of French West Africa,2012,9,0,36527,80
Elections in Ivory Coast,2005,9,0,34580,74
Transport in Ivory Coast,2008,6,0,44133,137
Coat of arms of Ivory Coast,2011,4,1,51874,133
Roman Catholic Diocese of Agboville,2011,1,0,34380,55
National Library of Ivory Coast,2013,2,2,42693,83
History of the Soninke people,2010,6,6,44567,48
2006 Ivory Coast toxic waste dump,2011,9,52,128809,208
Beyond the Ocean,2012,12,0,30699,53
