filename,year,month,num_citations,file_size,forward_links
"Marymount High School, Jamaica",2010,1,3,40501,77
United Church in Jamaica and the Cayman Islands,2006,5,0,28452,52
List of Ta%C3%ADnos,2009,4,41,73016,127
Template:Jamaica stub,2011,5,0,32857,47
Baptist War,2011,12,8,44024,92
Jamaica at the 1992 Winter Olympics,2013,2,0,54659,165
Pushcart derby,2007,12,1,26950,41
Parishes of Jamaica,2007,6,0,47774,111
St. Jago High School,2009,5,0,34380,70
Allan G.S. Coombs,2014,11,2,27234,36
Public holidays in Jamaica,2012,1,0,35766,87
Public holidays in Jamaica,2009,1,0,36374,98
Merl Grove High School,2014,4,0,29499,53
Frederic G. Cassidy,2009,11,2,27952,28
Miss Jamaica Universe,2015,1,14,86098,288
Wonder Dream Concert,2006,5,0,23856,48
Smile Jamaica Concert,2010,10,0,48525,154
Jamaicans in Ethiopia,2014,1,5,49787,83
History of the Jews in Jamaica,2008,6,0,47829,107
Prostitution in Jamaica,2011,12,3,38815,54
The Upsetters,2011,7,2,40247,117
Morant Bay rebellion,2013,2,6,49918,102
List of Governors of Jamaica,2010,3,0,55376,125
Jamaica at the 1948 Summer Olympics,2008,9,0,50933,155
Jonathan Dickinson,2014,12,26,71483,206
Diocese of Jamaica and the Cayman Islands,2010,5,4,35020,78
Jamaican diaspora,2012,9,7,54143,178
Jamaica Stock Exchange,2007,6,0,24437,39
Jamaica at the 1998 Winter Olympics,2009,5,0,50182,156
Countryman (film),2015,1,0,32002,59
Louis Marriott,2010,8,37,47856,53
Protestantism in Jamaica,2009,5,2,34939,52
Jamaican posse,2011,3,1,46841,62
Morant Bay rebellion,2013,10,6,50164,94
Governor General of Jamaica,2006,8,0,36002,95
Metrication in Jamaica,2012,10,1,31953,62
Jamaican dollar,2012,2,4,83777,295
Jamaica women%27s national cricket team,2009,9,0,34175,83
University of the West Indies Press,2008,1,0,28588,46
List of Governors of Jamaica,2010,8,0,55454,120
Jamaica at the 1992 Winter Olympics,2010,11,0,53693,156
Hyacinth Chen Nursing School,2009,8,0,27686,40
Colony of Santiago (Jamaica),2012,5,2,38464,72
Parliament of Jamaica,2013,11,2,74390,202
List of Governors of Jamaica,2006,9,0,45901,114
