filename,year,month,num_citations,file_size,forward_links
Languages of Japan,2010,2,0,42963,149
Emperor of Japan,2011,3,7,142355,454
Japanese postal mark,2012,1,0,30628,56
Prime Minister of Japan,2005,10,0,63192,180
Buddhism in Japan,2014,8,47,205838,911
Japanese war crimes,2011,3,113,321177,1044
Administrative Litigation Act,2011,1,0,30312,55
AH1,2012,9,4,97709,416
Index of Japan related articles (O),2012,12,0,61199,344
Imperial House of Japan,2014,9,12,213267,616
Japanese labour law,2012,2,1,37151,58
Cloistered rule,2006,3,0,29936,66
Languages of Japan,2008,12,0,37091,129
Committee for Settling National Local Disputes,2012,7,0,29751,50
House of Peers (Japan),2006,3,0,29820,74
Komeito,2009,3,0,41914,96
Japan Karate Association,2010,6,13,72746,107
Japanese handicrafts,2013,3,4,47428,120
Dekasegi,2008,2,0,31868,76
Shogun,2005,4,0,47212,111
Labor market of Japan,2010,8,0,46260,130
Bulletin of the National Museum of Japanese History,2014,2,1,35928,65
Comet Ikeya%E2%80%93Seki,2005,6,0,29454,43
Japan Karate Federation,2014,5,0,39044,61
Japanese war crimes,2005,10,0,72305,256
Tenp%C5%8D calendar,2014,11,3,35706,63
Judo,2010,2,34,199807,475
Japan and weapons of mass destruction,2015,2,8,57385,145
Japan Karate Association,2005,10,0,27823,42
Marine shrimp farming,2010,10,73,195101,530
Elekiter,2012,12,1,31304,55
Government of Meiji Japan,2009,1,0,55095,139
T%C5%8Dgy%C5%AB,2010,11,3,32288,63
Template:Japan stub,2004,12,0,30341,30
Transport in Fukuoka Kitakyushu,2010,2,0,64729,209
List of Emperors of Japan,2006,4,0,85296,544
Power harassment,2009,8,0,28263,45
National Federation of Australia Japan Societies,2014,1,1,35596,51
Japanese counter word,2006,8,0,53257,75
Transport in Greater Tokyo,2009,12,20,156213,596
History of Japanese nationality,2007,11,29,63581,76
National Public Safety Commission (Japan),2010,3,2,42621,98
Japan Karate Federation,2010,11,0,37314,59
Japanese typewriter,2012,1,1,33822,47
Economy of Japan,2006,9,9,91582,374
Pharmaceuticals and Medical Devices Agency,2013,1,2,29471,43
Nanori,2007,8,0,25824,36
List of Japanese words of Portuguese origin,2013,12,4,47136,86
Otaku,2010,2,11,90563,294
Nihonjin gakk%C5%8D,2015,2,16,106312,400
Capital of Japan,2006,6,0,37315,77
Japanese addressing system,2009,9,0,49570,104
National Diet Library,2012,3,1,78638,118
Gap year,2007,2,0,33444,67
Liberalism in Japan,2005,1,0,36639,59
House of Councillors (Japan),2012,11,6,123362,403
Engishiki,2012,8,0,30674,51
"Good Wife, Wise Mother",2014,12,6,62380,237
Honne and tatemae,2014,12,1,34937,59
Power harassment,2008,6,0,28243,49
Nishijin,2011,7,0,32227,41
Local Autonomy Law,2007,9,0,31487,59
Ethnic issues in Japan,2009,5,27,105614,299
AH1,2008,2,3,44640,174
Danchi,2013,9,2,35513,64
Gap year,2010,2,8,87484,388
List of records of Japan,2013,8,9,88058,408
Tsuchigumo,2011,2,0,34752,61
Japanese addressing system,2004,2,0,29271,44
Imperial House of Japan,2004,3,0,45067,72
Sai%C5%8D,2008,6,9,63419,173
JET Programme,2008,12,4,48467,102
Construction industry of Japan,2010,4,0,28134,43
T2K experiment,2008,7,0,43625,119
Cuju,2010,1,6,70611,338
Birdman Rally,2012,3,0,31921,61
Snow lantern,2014,7,3,31998,55
T2K experiment,2012,9,3,59446,191
Hikikomori,2009,7,20,75056,170
Jindai moji,2009,10,0,28248,40
Wimbledon Effect,2013,11,6,43574,100
Ryukyu wood pigeon,2013,3,1,41549,92
Japanese Journal of Applied Physics,2007,4,0,26813,38
Glossary of Japanese history,2009,2,0,58773,216
History of Japan,2003,3,0,63265,185
Japanese work environment,2010,12,0,42887,92
Transport in Greater Tokyo,2014,6,22,158190,605
Government of Japan,2006,7,0,57592,163
History of the Ryukyu Islands,2004,5,0,40913,98
"Japanese general election, 1980",2010,8,0,63358,215
Industrial Property Digital Library,2013,3,3,31267,53
Sport in Japan,2003,6,0,24696,36
Japan Microgravity Centre,2013,5,0,31571,57
Otaku,2002,7,0,28394,28
Index of Japan related articles (L),2008,5,0,44489,187
Japan%E2%80%93China Friendship Parliamentarians%27 Union,2014,7,0,27154,40
List of Prime Ministers of Japan,2008,1,10,162941,821
Japan Meteorological Agency seismic intensity scale,2006,7,0,35464,51
Japanese postal mark,2007,7,0,27719,44
Transport in Greater Tokyo,2008,2,10,144300,566
List of Japanese words of Portuguese origin,2011,12,4,47658,94
Haken (employment),2012,12,12,43948,48
"List of members of the House of Representatives of Japan, 2009%E2%80%9312",2012,12,0,96254,339
Birdman Rally,2009,2,0,28676,52
Standard of living in Japan,2011,9,9,71980,148
Ministry of Defense (Japan),2010,1,5,67792,134
Noma pony,2005,2,0,22028,23
Judo,2004,12,0,67947,70
Sport in Japan,2014,5,17,134219,570
Environmental issues in Japan,2008,10,13,62893,130
Article 9 of the Japanese Constitution,2012,6,27,73583,112
JISA,2009,6,0,28624,48
Chief Cabinet Secretary,2015,2,7,51805,136
Wotagei,2013,1,0,29552,58
JET Programme,2010,7,11,56144,101
Comet Hyakutake,2005,12,0,59256,160
Harborland,2011,9,0,33340,78
Japan,2003,10,0,105885,300
Prime Minister of Japan,2010,7,14,87562,287
Research and development in Japan,2010,4,0,29925,60
Telekura,2009,2,0,31824,64
Industrial policy of Japan,2010,7,0,43774,125
Good Design Award (Japan),2009,5,0,26514,43
Index of Japan related articles (Q%E2%80%93R),2010,9,0,40246,183
Japanese work environment,2013,12,3,48017,101
Controversies regarding the role of the Emperor of Japan,2006,9,0,39528,69
Tachikawa Aircraft Company Ltd,2009,1,1,43772,112
Coming of Age Day,2013,2,6,54102,96
Sendaid%C5%8D,2013,3,0,32880,80
List of Prime Ministers of Japan,2006,3,0,91644,559
Dekasegi,2010,3,3,35074,86
Toi gold mine,2011,10,6,48609,75
Capital of Japan,2008,2,0,40601,89
List of Japanese government and military commanders of World War II,2011,1,0,303035,1090
Buddhism in Japan,2010,4,10,139515,782
Wimbledon Effect,2008,9,6,31355,58
Kogal,2007,10,0,33215,77
List of Japanese flags,2013,6,2,160032,416
Research and development in Japan,2010,6,0,43023,131
Transport in Greater Tokyo,2014,1,22,157237,603
New Energy and Industrial Technology Development Organization,2013,5,3,67599,88
Career woman,2011,3,31,100176,135
1998 Eskridge car accident,2011,7,6,40769,57
Japanese nationality law,2014,7,12,87080,287
Index of Japan related articles (I),2012,10,0,66035,379
List of extreme points of Japan,2012,5,4,105935,313
Seikanron,2007,7,3,32958,53
Plum Mariko Memorial Show,2011,4,4,40912,74
Hidden village,2011,9,1,27375,43
NSK Ltd.,2010,11,0,32001,55
Japan,2010,10,169,543169,1812
Kyoiku mama,2013,8,16,60917,78
Wakan r%C5%8Deish%C5%AB,2012,3,2,29702,53
Geography of Japan,2007,2,0,84260,334
"Agriculture, forestry, and fishing in Japan",2007,10,0,42391,109
Shimizu Mega City Pyramid,2014,5,3,51787,202
Shogun,2008,8,8,81358,162
Dekasegi,2014,7,3,36764,89
Japanese map symbols,2013,9,0,119883,236
Sport in Japan,2007,2,1,40923,116
Geisha,2003,5,0,34474,38
Telekura,2005,10,0,27864,49
Standard of living in Japan,2010,10,0,65887,147
Ryukyu wood pigeon,2006,6,0,35379,73
Parasite single,2006,8,0,38435,60
Smoking in Japan,2012,8,17,105410,363
Comet Ikeya%E2%80%93Seki,2012,12,1,37061,58
Emperor of Japan,2006,6,0,107061,303
Government of Japan,2006,12,0,60757,177
Prostitution in Japan,2011,6,16,88270,303
Hikikomori,2004,5,0,38144,62
Japan Restoration Party,2013,1,8,52892,109
Ethnic issues in Japan,2007,6,6,82541,211
Japan Display,2013,9,3,76778,346
Japanese war crimes,2014,11,172,430784,1287
Sport in Japan,2012,6,13,125852,527
List of territories occupied by Imperial Japan,2008,5,0,34167,93
Wotagei,2009,12,0,29954,56
Elderly people in Japan,2007,2,0,35138,55
Tachikawa Aircraft Company Ltd,2013,7,1,52007,153
Japanese counter word,2009,8,1,81393,243
Japan Professional Sports Grand Prize,2014,12,0,67081,212
Marine shrimp farming,2012,5,90,255841,663
Constitution of Japan,2006,3,0,91193,246
Japan Restoration Party,2015,4,20,63539,117
Defense industry of Japan,2006,1,0,34971,57
History of the Ryukyu Islands,2009,11,21,74666,157
Japanese postal mark,2006,4,0,26732,36
List of diplomatic missions in Japan,2010,3,0,161038,340
Association for Overseas Technical Scholarship,2008,4,0,26978,33
X Seed 4000,2008,12,4,51488,190
Liuqiu,2006,7,0,24269,42
List of war apology statements issued by Japan,2014,10,66,141077,201
Japanese destroyer Shimakaze (1942),2009,7,0,64334,198
Index of Japan related articles (I),2007,8,0,56007,331
Sea of Japan naming dispute,2007,9,62,85035,113
Gap year,2013,7,11,80953,382
Magiri,2012,8,0,36379,102
Iwo Jima rail,2008,12,3,31198,48
House of Councillors (Japan),2008,1,6,63987,149
Japanese handicrafts,2005,10,0,30096,65
Shogun,2001,11,0,33048,26
Gakutensoku,2010,4,0,26060,42
Judo,2004,1,0,45135,40
Standard of living in Japan,2007,7,0,36569,60
List of extreme points of Japan,2006,11,0,53703,131
Women%27s suffrage in Japan,2012,12,1,46218,64
Constitution of Japan,2012,7,12,112847,287
Part time job terrorism,2015,3,5,38780,40
Kuroshio Current,2013,4,6,68128,196
Japanese nationalism,2005,5,0,99311,300
Index of Japan related articles (A),2014,3,0,75878,460
Timeline of the Fukushima Daiichi nuclear disaster,2013,9,297,524819,461
Prostitution in Japan,2012,8,22,107470,345
Sea of Japan naming dispute,2010,6,60,91373,114
Japanese addressing system,2006,4,0,32928,66
PSE law,2008,7,0,30231,56
Otaku,2006,9,1,52509,128
Parasite single,2014,1,10,57220,92
Azumi Basin,2011,3,20,54104,92
Index of Japan related articles (F),2008,5,0,45773,228
Chonmage,2012,5,0,51034,245
List of ecoregions in Japan,2005,3,0,28577,67
Japanese units of measurement,2008,10,4,91115,270
Jinba ittai,2014,3,1,27329,47
Portal:Japan,2008,6,0,87614,228
Burakumin,2007,1,0,71856,154
Sky City 1000,2006,7,0,40263,130
Japanese map symbols,2011,1,0,117610,242
Danchi,2014,12,2,35818,61
National Diet Library,2008,5,0,62456,85
Shoshinsha mark,2015,4,0,34310,55
Chiky%C5%AB,2006,3,0,25741,31
Otaku,2014,8,34,132984,344
List of war apology statements issued by Japan,2008,5,1,76934,183
Kotobagari,2005,11,0,25615,43
Cool Earth 50,2011,7,1,32993,62
Definitions of Japanese war crimes,2014,5,5,46841,109
Kyoiku mama,2011,1,17,65425,90
Geisha,2008,6,7,93555,211
Omoiyari Yosan,2010,2,19,48123,55
Cabinet Secretariat (Japan),2012,4,1,39341,88
Imperial House of Japan,2005,2,0,50795,97
Bank of Japan,2004,5,0,31020,50
"Ministry of Economy, Trade and Industry",2007,1,0,39475,81
Kendo,2012,1,24,144145,328
Coordinating Committee for Earthquake Prediction,2011,4,9,41892,58
Japanese handicrafts,2009,11,0,39838,99
Japanese mode,2009,9,0,25411,40
Article 9 of the Japanese Constitution,2010,3,14,59797,101
Japanese place names,2005,3,0,36310,129
Sport in Japan,2004,8,0,25054,35
Environmental issues in Japan,2015,1,16,86843,275
5000 yen note,2014,3,2,43853,87
Homelessness in Japan,2013,10,8,37343,60
Ministry of Defense (Japan),2013,8,5,66665,143
Liberalism in Japan,2005,2,0,50591,156
Marine shrimp farming,2013,11,91,260009,672
Classical Japanese language,2008,6,0,32304,45
Research and development in Japan,2014,8,0,43761,137
Hikikomori,2004,8,0,39526,56
Japan Innovation Party,2015,4,1,40960,76
Judo,2012,8,55,244034,677
Hikikomori,2012,2,22,72753,160
Japanese management culture,2010,8,0,38865,58
JET Programme,2006,10,0,41644,80
Hosh%C5%AB jugy%C5%8D k%C5%8D,2014,12,36,79194,222
Optical Review,2007,3,0,22641,31
Capital of Japan,2012,5,5,45043,113
Cool Japan,2012,4,22,63337,113
Freeter,2012,6,1,50899,115
Japanese Olympic Committee,2007,10,0,38827,98
Azumi Basin,2010,12,20,54261,96
Science and technology in Japan,2008,12,0,77500,357
Emperor of Japan,2003,8,0,42947,73
List of territories occupied by Imperial Japan,2010,2,0,34695,87
