filename,year,month,num_citations,file_size,forward_links
Greater Syria,2009,4,3,60723,250
Arab Potash,2010,3,0,35143,85
Arab Wings,2008,4,1,37784,95
Jabal Amman,2010,8,5,45949,80
Nabataean kingdom,2013,7,6,45306,96
Economy of Jordan,2007,11,0,82887,435
Jordan%E2%80%93United States Free Trade Agreement,2013,10,8,58122,110
Royal Wings,2011,1,0,45369,139
Jordanian National Liberation Movement,2009,12,0,27422,46
Ministry of Higher Education and Scientific Research (Jordan),2010,9,10,35002,53
Madaba Map,2010,2,4,50270,108
Kurdi Group,2012,3,0,27885,51
Jordan%E2%80%93United States Free Trade Agreement,2006,9,0,26857,52
List of diplomatic missions of Jordan,2007,9,0,35885,82
Mazaj 95.3 FM,2007,8,0,25015,33
Shihan (newspaper),2013,4,1,34624,73
Constitution of Jordan,2009,11,3,35477,71
Churchill White Paper,2005,4,0,33638,51
Jordanian Arab Party,2012,6,2,34329,59
Nuqul Group,2011,5,0,27094,47
Economy of Jordan,2010,8,5,136169,542
Gilead,2011,11,0,39302,104
Badr Brigade in the Jordanian Army,2010,7,0,29374,48
Public holidays in Jordan,2008,3,0,26936,55
1955 in Jordan,2015,2,1,52204,128
Timeline of Ottoman Syria history,2015,4,6,92307,442
Herod the Great,2011,3,49,176990,839
Jordan,2010,1,146,463805,1592
List of Presidents of the Senate of Jordan,2014,5,0,25606,36
History of Jordan,2012,9,11,114480,466
Jordanian military ranks,2007,9,0,30063,49
Herod the Great,2007,10,28,102749,309
Water politics in the Middle East,2008,7,11,41644,78
Jordan Olympic Committee,2012,3,0,45216,101
Wood of Ephraim,2010,5,0,26939,49
List of diplomatic missions of Jordan,2010,4,0,73549,209
King%27s Highway (ancient),2012,11,0,40020,131
Valley of Peace initiative,2014,4,71,114214,196
Sky Gate International Aviation,2007,3,2,33296,81
Fine (paper products brand),2013,4,0,29722,59
List of Presidents of the Senate of Jordan,2014,12,0,25264,43
Mahafzah,2009,4,0,28346,47
Arab Legion,2008,6,0,60197,218
List of kings of Jordan,2011,1,0,51331,96
Telecommunications in Jordan,2014,7,7,132891,632
Mandatory Palestine,2012,3,101,284994,709
Adaptation to climate change in Jordan,2014,2,16,60169,80
Canaan,2008,8,39,154069,637
Ammon,2005,12,0,62872,214
Daoud Hanania,2009,4,0,50583,69
Jund al Urdunn,2014,9,2,35251,90
Peres%E2%80%93Hussein London Agreement,2008,3,1,29063,58
Gharaibeh,2009,4,1,51569,74
Jordan University of Science and Technology,2011,4,75,191096,476
Herod the Great,2003,6,0,34793,29
List of diplomatic missions in Jordan,2012,3,0,98457,209
Gharaibeh,2006,9,0,30090,58
Jordanian Association for Boy Scouts and Girl Guides,2010,12,1,44608,94
Arab Federation,2013,8,5,78427,242
Aqaba Special Economic Zone Authority,2007,4,0,28663,32
Daoud Hanania,2009,11,0,38700,56
Nabataeans,2009,9,13,66207,178
Arab Wings,2009,1,1,41545,109
Azraq Wetland Reserve,2014,8,13,50799,107
Arab Federation,2013,4,5,79393,243
Jordan,2008,5,22,257913,982
Ministry of Higher Education and Scientific Research (Jordan),2015,3,10,38399,57
Jordanian Armed Forces,2015,1,30,109717,289
Religion in Jordan,2008,4,0,51965,230
List of Jordanians,2007,12,0,35375,57
Fine (paper products brand),2011,5,0,29352,51
Ayasrah,2012,5,4,526354,82
List of Jordanians,2007,6,0,32577,46
Jordan Ahli Bank,2007,5,0,26818,54
Royal Wings,2008,7,0,41190,120
Jordan Aviation,2011,8,2,88685,446
Allon Plan,2006,8,1,26595,39
.jo,2009,4,0,68961,405
Herod the Great,2010,7,43,174118,823
List of Jordanians,2008,6,0,32262,49
Economy of Jordan,2014,9,65,205000,571
Aqaba Flagpole,2008,8,0,32540,58
Jabal Amman,2010,2,5,42813,75
Hashemites,2007,1,0,35627,80
Hasmonean dynasty,2005,8,0,71615,323
Nabataeans,2009,7,10,63008,176
United States Ambassador to Jordan,2011,8,4,75316,319
Jordan,2004,2,0,72904,117
Fine (paper products brand),2010,11,0,29894,58
Politics of Jordan,2014,8,2,80649,370
Dana Biosphere Reserve,2011,4,2,41165,68
Gharaibeh,2012,3,0,40848,73
Jordan Telecom Group,2007,9,0,29284,52
Khaled Mardam Bey,2012,3,9,43547,79
Index of Jordan related articles,2010,10,0,41581,100
Canaan,2013,3,37,182156,721
Valley of Peace initiative,2011,9,71,112503,189
Jordan Investment Board,2010,9,5,41752,55
Nabataeans,2004,6,0,38616,84
List of kings of Jordan,2009,8,0,47530,109
ASE Market Capitalization Weighted Index,2007,10,0,50770,55
Khaled Mardam Bey,2014,10,9,45846,89
Roman theater (Jordan),2009,7,0,29406,44
Jordanian Democratic Popular Unity Party,2012,5,0,36260,68
Jordanian Armed Forces,2014,4,30,102436,262
Jordan,2008,11,22,272466,1021
Geography of Jordan,2006,11,0,56203,148
King Hussein Bin Talal Convention Center,2012,1,2,30131,45
Mandatory Palestine,2010,2,124,301837,773
Hashemites,2012,4,9,51297,136
Herod the Great,2010,12,48,174788,828
Jordan Football Association,2011,5,0,55662,192
Gergesa,2006,9,0,27771,55
Names of the Levant,2011,1,4,62439,269
LGBT rights in Jordan,2015,4,11,64998,138
Politics of Jordan,2012,1,1,79395,369
Prince Rashed Al Khuzai,2011,1,23,120011,62
Constitution of Jordan,2013,3,2,35793,73
Jordan,2014,7,167,505072,1370
Arab Federation,2006,12,0,34886,66
Nature reserves in Jordan,2009,12,14,62186,111
Jordan University of Science and Technology,2009,1,8,82276,151
Canaan,2014,11,66,266370,1100
Peres%E2%80%93Hussein London Agreement,2011,6,1,30149,64
List of kings of Jordan,2013,9,0,78291,233
Jerash Private University,2012,11,5,40036,88
List of Ambassadors of the United Kingdom to Jordan,2013,6,1,59942,216
Parliament of Jordan,2013,1,28,81671,229
King Abdullah I Mosque,2010,3,0,31378,53
Petra Airlines,2014,10,1,52493,142
Mandatory Palestine,2014,1,115,316604,827
Prime Minister of Jordan,2014,7,2,69055,272
Jordan Steel,2014,10,0,26376,36
Gharaibeh,2007,1,0,32117,50
History of Jordan,2012,1,9,102963,428
Jordanian military ranks,2009,2,0,29567,46
Ammon,2013,5,15,83529,211
Herod the Great,2011,10,53,182672,848
Water politics in the Middle East,2009,2,31,67181,124
Canaan,2014,1,39,225934,1019
