filename,year,month,num_citations,file_size,forward_links
Kazakhstan,2002,6,0,71252,64
Nuclear energy in Kazakhstan,2012,11,3,50974,115
Kirghiz Autonomous Socialist Soviet Republic (1920%E2%80%9325),2006,3,0,46193,108
Prime Minister of Kazakhstan,2010,10,0,89429,335
ISO 3166 2:KZ,2004,11,0,31813,53
Sport in Kazakhstan,2008,8,1,66598,278
Kcell,2012,2,1,29520,51
List of diplomatic missions of Kazakhstan,2012,3,0,92203,312
Kazpost,2008,5,0,33331,55
Syr Darya Oblast,2012,4,1,60216,210
Mongol invasion of Khwarezmia and Eastern Iran,2011,10,15,106260,345
Sasanian Empire,2009,8,72,319539,1143
Sasanian Empire,2009,1,69,307187,1080
Syrmak,2009,8,0,33355,71
Template:Mosques in Kazakhstan,2012,4,0,25169,39
Kazakhs,2007,5,1,94333,272
Districts of Kazakhstan,2013,3,6,88209,428
History of Kazakhstan,2014,1,10,138129,576
Mirjaqip Dulatuli,2014,11,4,40328,75
Kazakhmys,2010,11,10,60926,204
Kcell,2012,10,1,29918,57
Economy of Kazakhstan,2006,7,0,38725,64
Turkestan Autonomous Soviet Socialist Republic,2005,11,0,37970,51
Kyzylkungei Hydroelectric Power Plant,2009,6,0,29459,48
Government of Kazakhstan,2007,9,0,42438,125
Tengizchevroil,2005,4,0,25225,42
Buzkashi,2013,9,9,106256,510
Wusun,2009,2,23,54612,111
Guljan,2013,10,2,32359,51
Central Asian Union,2012,10,4,39620,83
Semey Airport,2010,12,0,37601,66
Auezov Theater (Almaty Metro),2012,12,0,60933,81
Myn Bala,2013,3,3,33836,54
Kazakhstan Stock Exchange,2010,1,2,43590,45
Aqyn,2006,8,0,32429,63
Baikonur Cosmodrome,2010,2,6,109963,251
Kazakhstanskaya Pravda,2013,1,0,28168,44
Almaty Zoo,2008,1,0,27969,37
Kayrat Kulbayev,2007,4,0,25184,43
Kazakhstani tenge,2010,10,4,149795,465
Semey Airport,2011,12,0,43036,95
Semipalatinsk Test Site,2013,2,10,59550,116
Sasanian Empire,2014,12,144,513210,1837
Kazakhstan,2005,10,0,139507,439
Nationwide Social Democratic Party,2011,11,2,36389,70
Economy of Kazakhstan,2003,5,0,35133,51
Medeu,2007,2,0,30374,51
Kazakhs,2012,10,49,193686,659
G%C3%B6kt%C3%BCrks,2007,3,0,58057,232
Kazakh Economic University,2009,5,0,34846,63
Aktas oil field,2013,5,1,34678,81
Turkestan Autonomous Soviet Socialist Republic,2009,7,0,58924,146
Republican Guard (Kazakhstan),2011,9,2,33266,55
Kazakhmys,2009,8,3,49676,189
Western Turkic Khaganate,2013,8,14,101137,418
Kazakhs,2009,5,27,139689,534
"Kazakhstani legislative election, 2004",2009,12,0,60694,204
Flag of the Kazakh Soviet Socialist Republic,2006,8,0,45000,84
Sadwaqas Ghylmani,2013,4,0,32394,67
Samruk Kazyna,2010,10,3,32263,51
History of Kazakhstan,2009,7,2,98446,428
Wusun,2015,2,67,131176,306
Kazak Autonomous Socialist Soviet Republic,2012,7,0,73792,261
Raiymbek Batyr,2011,2,3,30709,49
Buran (wind),2013,1,0,32025,51
Semirechye Oblast,2013,6,2,55010,202
Kazkommertsbank,2011,11,0,37326,79
Kazakh Wikipedia,2013,10,11,86987,197
Geography of Kazakhstan,2012,2,1,103856,490
Aqsaqal,2009,5,3,38341,74
HiT TV,2013,6,0,29364,51
Mirjaqip Dulatuli,2012,7,3,37945,76
HiT TV,2006,9,0,29325,51
List of leaders of Kazakhstan,2006,10,0,40438,82
Kazakh Agency of Applied Ecology,2009,2,0,29264,50
"Kazakhstani legislative election, 2004",2005,12,0,36255,85
Barefooted Flight,2013,10,4,28032,51
Asar Party,2012,7,0,33530,78
2007 amendment to the Constitution of Kazakhstan,2007,6,4,36109,77
List of leaders of Kazakhstan,2008,5,0,101109,482
Districts of Kazakhstan,2012,6,6,83695,421
Kazakhstan,2009,3,40,325708,1356
Kazakhstan Stock Exchange,2011,8,3,63458,171
Kazakhstani tenge,2012,5,5,164115,490
Ekibastuz%E2%80%93Kokshetau high voltage line,2008,6,0,29998,51
Radio Tandem (Kazakhstan),2005,11,0,25852,40
Template:Airlines of Kazakhstan,2012,6,0,37397,110
Baikonur Cosmodrome,2015,2,21,170382,344
Kazpost,2006,9,0,30946,47
Kcell,2009,3,0,30066,54
Eugene Schuyler,2009,1,3,50431,120
Template:Kazakhstan topics,2008,9,0,43600,114
Kazakh Khanate,2013,8,35,158908,658
Zhanazhol Field,2009,6,0,25842,39
Economic Cooperation Organization,2011,4,7,103358,294
Auezov Theater (Almaty Metro),2011,9,1,59747,92
Parliament of Kazakhstan,2015,1,2,81705,350
Telephone numbers in Kazakhstan,2014,3,1,52043,187
Kengir,2008,9,0,27123,52
Template:Kazakhstan topics,2012,2,0,43583,141
Kalpak,2009,5,1,39767,83
Regions of Kazakhstan,2009,8,0,86907,375
Kazakhs,2010,9,35,155543,619
Senior juz,2009,3,0,32176,62
Vassily Balabanov,2006,12,0,29153,67
Human rights in Kazakhstan,2014,11,23,115604,302
Democratic Party Adilet,2009,3,0,30753,57
Anthem of the Republic of Kazakhstan,2008,12,0,43520,61
Alasha tribe,2010,11,0,31304,65
Wusun,2010,4,25,59333,124
Prime Minister of Kazakhstan,2009,9,0,74691,339
Kazakhstan,2007,9,12,228439,841
Central State Museum of Kazakhstan,2010,7,1,32051,53
Kazakhs,2006,9,0,62656,195
Outline of Kazakhstan,2008,3,0,42070,61
Anthem of the Republic of Kazakhstan,2007,5,0,37681,54
Why the Swallow Has the Tail with Little Horns,2012,6,1,33074,45
Turkestan Autonomous Soviet Socialist Republic,2010,4,0,65063,161
Outline of Kazakhstan,2010,7,5,124734,514
Kazakhtelecom,2010,3,3,34962,61
Eugene Schuyler,2013,5,11,74129,162
Zhetysu,2013,11,0,77377,276
Economy of Kazakhstan,2007,9,3,52260,149
2007 amendment to the Constitution of Kazakhstan,2013,1,4,36919,78
Human rights in Kazakhstan,2010,1,2,86496,309
Economy of Kazakhstan,2012,11,12,100827,362
Central Asian Union,2007,10,3,34227,73
List of diplomatic missions in Kazakhstan,2012,5,0,100728,252
List of leaders of Kazakhstan,2009,1,0,93786,324
Syr Darya Oblast,2013,11,1,60406,217
Early medieval states in Kazakhstan,2015,1,0,35718,106
Auezov Theater (Almaty Metro),2013,9,0,60630,79
"Miras International School, Almaty",2013,6,0,33420,55
Civic Party of Kazakhstan,2011,7,1,34249,70
Kazakh Economic University,2011,11,0,32956,59
Tush kyiz,2014,5,0,35736,72
Mongol invasion of Khwarezmia and Eastern Iran,2009,6,14,106759,336
Perviy Potseluy,2010,5,0,31134,64
Kazakhstan,2007,4,6,208606,758
Aytysh,2011,4,0,34976,79
Mongol invasion of Central Asia,2012,6,7,86097,297
Medeu,2011,12,10,43698,75
Shoqan Walikhanov,2008,5,0,33230,61
Eurasian Bank,2014,3,17,55457,84
Saka,2008,9,60,122247,463
National Patriotic Party (Kazakhstan),2008,10,1,37222,79
Kazakhs,2008,6,18,138649,573
Portal:Kazakhstan,2007,2,1,94420,238
National Security Committee of the Republic of Kazakhstan,2013,2,17,104086,316
United States Ambassador to Kazakhstan,2011,4,0,70716,290
Eurasian Bank,2014,6,19,57953,96
ISO 3166 2:KZ,2005,3,0,32165,65
The Road (2001 film),2010,4,1,32065,50
History of Kazakhstan,2014,6,10,138521,584
G%C3%B6kt%C3%BCrks,2012,6,55,177944,657
Kazakhstan Academy of Sciences,2009,4,0,28789,37
Haileybury Almaty,2012,10,0,26680,46
"Kazakhstani legislative election, 2004",2007,1,0,40947,98
Mongol conquest of the Kara Khitai,2015,1,11,58611,177
Kazakhs,2011,6,44,195730,745
Moy Hit 1,2009,4,0,32310,61
Transport in Kazakhstan,2007,9,0,45150,131
Novosti Kazakhstana,2012,12,1,30692,48
Killer (1998 film),2009,3,2,34571,60
Zhetysu,2014,9,0,77208,278
Buzkashi,2010,6,5,79351,367
Shoqan Walikhanov,2010,12,7,53493,91
Buzkashi,2012,1,6,96915,484
Transport in Kazakhstan,2013,1,17,107389,431
Template:History of Kazakhstan,2011,11,0,32150,86
Bukey Horde,2010,5,3,31035,61
National Patriotic Party (Kazakhstan),2013,11,1,38278,88
Tatars of Kazakhstan,2009,1,0,23126,31
Almaty Tower,2012,3,0,47168,136
Regions of Kazakhstan,2009,4,0,82119,348
Kazakhstani tenge,2010,11,4,149742,467
Central Asian Union,2009,4,4,40810,87
Transport in Kazakhstan,2014,3,16,105480,422
Maksat Idenov,2012,8,12,38456,38
Junior j%C3%BCz,2015,1,0,34063,70
Baikonur (Almaty Metro),2012,6,0,59896,84
Dastarkh%C4%81n,2009,4,0,37327,74
Urker,2006,8,0,25247,44
Casino Zodiak,2009,7,0,27651,57
Western Turkic Khaganate,2010,3,2,45154,137
Mazhilis,2008,4,1,38065,68
Oghuz Yabgu State,2010,2,4,31154,58
G%C3%B6kt%C3%BCrks,2009,3,13,103239,443
BTA Bank,2013,10,0,46600,76
Soviet Central Asia,2013,12,7,162835,643
Kazkommertsbank,2011,4,0,37695,80
Tush kyiz,2009,3,0,36030,73
Isatay Taymanuly,2006,11,0,28943,53
Transport in Kazakhstan,2008,1,0,51081,145
KazMunayGas Exploration Production (AO),2008,8,0,31101,45
Aisha Bibi,2015,2,4,50970,68
Kirghiz Autonomous Socialist Soviet Republic (1920%E2%80%9325),2009,3,0,45992,109
Kazakh Khanate,2007,11,0,51233,104
Buzkashi,2012,12,6,101411,499
Western Turkic Khaganate,2012,5,11,61549,184
Nikolai Dzhumagaliev,2013,10,1,37898,74
Kara Khitan Khanate,2005,4,0,36913,76
