filename,year,month,num_citations,file_size,forward_links
Kenyan shilling,2012,10,2,80383,219
Eveready East Africa,2012,3,0,35148,77
ALS %E2%80%93 Aircraft Leasing Services,2015,3,1,74086,388
Guaranty Trust Bank (Kenya),2013,5,9,37987,75
Absame,2013,12,0,34021,66
Turbi massacre,2012,1,2,32260,61
JetLink Express,2011,5,5,48853,139
Economy of Kenya,2012,11,16,154340,547
Forty Group,2009,6,0,26094,39
Kenya African Democratic Union,2005,9,0,41495,121
Democratic Party (Kenya),2008,2,0,41624,97
Molo fire,2013,3,5,37188,73
Chama Cha Uzalendo,2013,2,1,41145,94
Kenya Girl Guides Association,2010,10,1,39877,86
King%27s African Rifles,2012,7,4,59640,153
"Nairobi Agreement, 1999",2008,11,0,29088,58
Tsavo Man Eaters,2005,12,0,30308,47
Kenya Vision 2030,2011,11,0,41322,37
Politics of Kenya,2005,4,0,54335,201
Rhapta,2012,7,0,33893,72
Politics of Kenya,2009,8,2,77345,297
Digo people,2007,6,0,27736,54
Roman Catholic Diocese of Kitale,2007,9,0,32399,53
I Want to Be a Pilot,2009,10,1,35060,63
Maa Civil Society Forum,2007,1,0,27427,45
FidelityBank,2014,4,7,41255,107
Molo fire,2010,12,5,36088,72
Luoland,2011,4,0,29015,62
Azania,2012,8,3,50079,232
List of Kenyans,2009,3,0,40545,180
Evangelical Lutheran Church in Kenya,2015,4,0,120279,221
Burji language,2013,3,3,38245,75
Uganda Railway,2010,2,8,58137,153
Astral Aviation,2005,8,0,31564,75
Template:Kenya stub,2011,4,0,34255,47
Kenya Vision 2030,2008,6,2,29614,51
Kenya Air Force,2007,8,1,49118,130
Housing Finance Company of Kenya,2014,2,7,41529,90
Index of Kenya related articles,2007,4,0,31603,73
International Criminal Court investigation in Kenya,2013,10,104,223905,243
Tsavo Man Eaters,2013,3,9,57640,106
Tsavo Man Eaters,2008,2,2,36549,54
Commercial Bank of Africa Group,2011,10,3,34001,71
Jehovah Wanyonyi,2010,7,1,28546,50
Mount Kenya,2006,1,0,38717,62
I%26M Bank Limited,2011,1,10,44312,106
List of Kenyans,2009,6,0,40039,175
Morris Gachamba,2011,1,1,30768,55
Credit Bank,2014,12,5,48735,150
Mark Ford (poet),2011,5,4,34972,57
Kenya Air Force,2008,5,1,49404,130
Broglio Space Centre,2011,3,5,87567,233
Kenya Air Force,2010,10,7,60420,144
1998 United States embassy bombings,2015,2,39,131562,329
Beryl Markham,2014,9,10,53488,107
Kenya,2005,9,0,108852,313
Counties of Kenya,2011,6,4,31488,44
Nakuru County Peace Accord,2014,12,14,57498,66
Lucy Kibaki,2008,5,5,36207,61
Elsa the lioness,2013,4,3,32537,59
Nairobi Securities Exchange,2006,1,0,38389,64
Elections in Kenya,2010,3,1,67517,237
Central Organization of Trade Unions (Kenya),2011,7,1,33570,61
Roman Catholic Diocese of Maralal,2009,6,0,33150,53
Rhapta,2010,8,0,32964,74
Garre,2008,11,0,36129,85
Nairobi Securities Exchange,2012,9,3,97606,351
White people in Kenya,2014,3,8,79093,317
Uganda Scheme,2013,2,3,39371,84
Roman Catholic Diocese of Maralal,2012,8,0,37232,61
Timeline of Mombasa,2014,6,23,85676,158
Mara the Lioness,2008,12,7,38500,68
Monarchy of Kenya,2013,10,1,44049,130
List of Kenyans,2014,12,2,43472,175
Hola massacre,2011,11,10,38532,56
Giriama people,2008,6,0,26701,51
List of diplomatic missions of Kenya,2010,8,0,73680,205
Wituland,2009,2,0,38233,95
Cabinet of Kenya,2012,8,7,56536,212
Ushahidi,2010,1,11,45330,57
White people in Kenya,2007,5,0,26519,48
List of heads of state of Kenya,2006,4,0,51621,130
Ushahidi,2011,8,29,76212,105
Roman Catholic Diocese of Garissa,2014,1,0,37197,65
Kapenguria Six,2013,1,16,46065,78
Kenya,2013,3,109,463380,1547
Equatorial Commercial Bank,2014,2,6,37919,75
Garissa Massacre,2012,4,1,26301,42
2009 Triton Oil Scandal,2009,6,1,25768,41
Uganda Scheme,2013,7,3,39210,79
Carnivore (restaurant),2015,3,4,51699,73
Tsavo Man Eaters,2005,9,0,27528,42
Postage stamps and postal history of British East Africa,2013,5,6,64314,200
White Highlands,2009,8,0,25827,41
"Kenyan general election, 2002",2013,3,0,68395,192
Evans Wadongo,2014,3,6,39313,61
List of flags of Kenya,2008,4,0,51616,160
