filename,year,month,num_citations,file_size,forward_links
Kingdom of the Netherlands,2004,1,0,42271,53
Netherlands Antilles,2008,10,19,150557,488
United States dollar,2003,4,0,64928,75
Netherlands Antilles,2014,8,42,429090,1405
List of islands of the Netherlands Antilles,2007,5,0,33476,65
Minister Plenipotentiary of Aruba,2010,9,1,46867,112
Sint Maarten,2010,5,5,93556,248
Suriname (Kingdom of the Netherlands),2012,11,5,62754,164
Aruba,2009,11,6,214944,889
Netherlands New Guinean gulden,2013,5,1,32355,74
Aruba,2013,5,16,220645,666
Cura%C3%A7ao,2015,3,94,313149,832
Gerrit Bol,2014,11,2,44640,66
Berg en Bos,2015,4,0,29002,39
Netherlands Antilles,2003,11,0,63217,132
Netherlands,2003,2,0,111191,250
Council of Ministers of the Kingdom of the Netherlands,2012,9,1,48070,114
Surinamese guilder,2010,12,0,43836,97
Dutch guilder,2011,4,4,98619,326
Transport in the Netherlands,2010,6,5,89638,324
Carnival in the Netherlands,2013,10,15,113192,305
Netherlands Indies gulden,2006,7,0,28341,48
Sint Maarten,2013,6,14,178219,583
Transport in the Netherlands,2014,3,6,87351,347
Netherlands Indies gulden,2008,12,0,60521,106
United States dollar,2009,3,36,292884,1110
Kingdom act,2013,3,1,30888,50
Cura%C3%A7ao,2007,3,0,98878,330
Netherlands Antilles,2008,5,15,147151,483
Coins of the Dutch guilder,2014,6,0,34327,37
Aruba,2003,9,0,58029,112
Kingdom of the Netherlands,2007,3,18,141521,437
Kingdom of the Netherlands,2014,2,43,210246,601
Transport in the Netherlands,2013,1,5,81659,343
Netherlands Antillean guilder,2008,5,0,66281,174
Netherlands Antilles,2006,12,0,114308,392
United States dollar,2008,5,35,285063,1090
Outline of the Netherlands,2014,7,1,109007,371
United States dollar,2015,4,78,409838,1423
Netherlands,2010,9,71,426540,1604
United States dollar,2003,9,0,75406,134
Transport in the Netherlands,2013,7,6,86934,350
Kingdom of the Netherlands,2002,2,0,38565,30
Transport in the Netherlands,2004,2,0,62532,220
Cura%C3%A7ao,2008,8,11,125951,409
Netherlands Indies gulden,2012,8,0,83571,136
Netherlands,2002,11,0,110229,250
United States dollar,2009,8,35,299161,1134
Netherlands,2008,6,27,315119,1210
Cura%C3%A7ao,2012,8,41,238358,751
Netherlands Antillean guilder,2011,1,2,80558,210
Aruba,2005,5,0,76152,185
List of islands of the Netherlands Antilles,2010,2,0,53046,166
