filename,year,month,num_citations,file_size,forward_links
Teatao Teannaki,2007,7,0,29521,55
Burns Philp,2006,2,0,25094,36
Gerald Gallagher,2012,12,1,46054,107
Kiribati,2007,4,3,120104,339
Vice President of Kiribati,2009,9,6,33791,73
The Girl Guides Association of Kiribati,2008,8,0,31541,45
Geography of Kiribati,2008,8,0,44617,143
Geography of Kiribati,2011,2,0,45378,146
Kiribati at the Olympics,2005,11,0,60273,284
List of airports by ICAO code: P,2011,1,0,96967,601
Bureieta Karaiti,2013,4,3,30034,50
Gerald Gallagher,2005,9,0,38091,96
List of political parties in Kiribati,2006,12,0,37801,94
Kaben Ioteba,2013,5,6,38412,53
Politics of Kiribati,2006,1,0,31508,58
Jack Buckland,2015,4,30,87572,233
Protect the Maneaba,2007,7,0,30694,63
Gerald Gallagher,2008,12,1,41676,103
Kiribati,2010,4,34,176741,517
Te Umanibong,2011,11,1,27846,46
Martin Miriata,2014,4,6,38352,57
Burns Philp,2007,9,5,39879,82
Japanese government issued Oceanian Pound,2014,7,0,44743,162
Kiribati,2010,6,36,185475,526
List of diplomatic missions of Kiribati,2013,5,0,39545,80
Kiribati,2002,11,0,66801,136
Bairiki National Stadium,2011,9,2,30751,45
Kiribati,2005,6,0,81817,194
List of airports by ICAO code: P,2007,4,0,80092,461
Maurin Kiribati Party,2007,8,0,31900,67
Starbuck (whaling family),2011,10,10,33859,56
Gerald Gallagher,2010,4,1,43342,92
Tembinok%27,2012,4,7,38686,80
Gilbert and Ellice Islands,2005,4,0,37278,111
Mariuti Uan,2012,2,0,27108,47
List of political parties in Kiribati,2005,1,0,31319,60
Makin Island raid,2008,2,4,53910,107
Ambo Declaration,2012,8,0,30965,62
Kiribati Islands Football Association,2011,6,0,41201,68
Louis Tromelin,2012,2,5,34120,68
Japanese settlement in Kiribati,2009,10,12,49345,140
Phoenix Islands,2010,11,39,113412,225
Phoenix Islands,2009,3,39,99487,168
Telecommunications in Kiribati,2009,1,0,32186,65
Economy of Kiribati,2007,2,0,35894,75
Law enforcement in Kiribati,2007,6,0,23368,34
List of islands of Kiribati,2012,9,5,105042,130
List of mammals of Kiribati,2007,8,1,38571,77
Kiribati,2004,5,0,88818,252
Rawaki Island,2014,8,6,48617,103
Phoenix Islands,2013,4,41,127000,246
Abortion in Kiribati,2014,11,1,55808,234
Arthur Grimble,2010,11,0,33714,70
Teburoro Tito,2007,7,1,34845,70
Phoenix Islands,2013,1,40,125365,242
.ki,2006,3,0,62999,399
Louis Isidore Duperrey,2013,11,2,41565,83
Kiribati,2013,4,55,230159,606
Phoenix Islands,2010,3,39,112844,222
Gardner (whaling family),2007,9,3,28714,46
Pillars of Truth,2013,2,1,33525,68
Kiribati dollar,2009,1,0,42013,113
Rabangaki Nawai,2009,2,1,29203,55
Nei Tituaabine,2005,6,0,24827,49
List of airports in Kiribati,2008,5,0,40002,110
Teburoro Tito,2010,12,1,36461,72
List of airports by ICAO code: P,2005,10,0,26953,54
The Sex Lives of Cannibals,2007,1,0,25373,51
Kiribati national basketball team,2013,1,0,48246,147
Lawrence Nemeia,2011,2,2,25535,31
Gilbert and Ellice Islands,2012,3,4,85464,340
House of Assembly (Kiribati),2009,12,0,43999,114
Geography of Kiribati,2011,10,0,45150,146
Kiribati,2007,11,3,146925,390
Kiribati National Championship,2010,2,0,42058,109
Gilbert and Ellice Islands,2013,2,4,86022,346
