filename,year,month,num_citations,file_size,forward_links
Habsburg Monarchy,2011,10,6,110879,402
Illyrians,2008,2,29,79308,248
Telephone numbers in Kosovo,2012,10,0,38042,113
Kosovo curse,2009,7,0,30922,57
Apostolic Administration of Prizren,2008,2,0,30445,40
2008 Kosovo declaration of independence,2008,11,74,188924,366
Historical monuments in Gjakova,2014,3,6,62104,95
Albanian National Awakening,2013,5,30,148840,527
Republic of Kosova,2008,8,3,47135,103
Albanian nationalism,2010,2,76,148842,485
Trep%C4%8Da Mines,2014,5,20,70520,169
Battle of Kosovo,2015,2,31,147307,409
20th century history of Kosovo,2009,4,37,108183,282
Socialist Autonomous Province of Kosovo,2008,12,0,80195,304
Kosovo: Can You Imagine%3F,2014,2,9,47691,97
Vu%C4%8Ditrn,2011,6,4,61239,168
Membership of Kosovo in international sports federations,2012,1,18,52653,71
Scouting and Guiding in Kosovo,2009,10,0,46962,152
List of newspapers in Kosovo,2008,3,0,24430,39
Music of Kosovo,2012,10,9,101392,420
Organ theft in Kosovo,2012,5,59,130031,226
The Case for Kosova,2006,8,0,23374,33
Kosovo curse,2013,5,4,38968,66
Battle of Kosovo (1448),2008,6,3,49129,100
North Kosovo,2011,9,17,81800,229
"Volujak, Kosovo",2014,2,1,27805,42
Death of the Bytyqi brothers,2009,12,6,32584,55
Demographic history of Kosovo,2003,6,0,25533,26
Edita Tahiri,2011,10,2,40246,54
Bardylis II,2014,12,3,29582,62
Balli Komb%C3%ABtar,2013,3,30,92484,193
Kosovo identity card,2013,1,2,49800,157
Battle of Kosovo (1448),2011,12,5,80564,271
North Kosovo,2007,5,5,39339,63
Battle of Kosovo (1448),2007,10,2,52189,127
Rambouillet Agreement,2013,1,7,43125,54
Foreign relations of Kosovo,2008,8,19,88194,318
List of airports by ICAO code: B,2006,8,0,39757,136
List of airports by ICAO code: B,2009,2,1,51276,231
Autonomous Province of Kosovo and Metohija,2013,2,14,153818,631
Kosovo je Srbija,2010,8,18,61113,88
Battle of Kosovo,2012,6,26,129461,392
Battle of Kosovo,2006,1,0,45617,96
Death of the Bytyqi brothers,2008,2,8,32293,54
Devi%C4%8D,2006,3,0,35432,98
Reactions to the International Court of Justice advisory opinion on Kosovo%27s declaration of independence,2013,12,97,227740,204
Albanian National Awakening,2012,5,29,145393,518
Habsburg Monarchy,2005,11,0,70998,317
List of banks in Kosovo,2013,2,0,37311,105
Battle of Kosovo,2011,9,23,129987,412
Kosovo War,2005,7,0,120878,318
List of diplomatic missions of Kosovo,2011,1,16,78235,212
History of the Jews in Kosovo,2008,7,6,50075,157
Albanian National Awakening,2007,4,0,68889,221
Government of Kosovo,2009,5,0,51494,179
Culture of Gjakova,2014,2,29,75174,120
Assembly of Kosovo,2005,8,0,42287,102
Apostolic Administration of Prizren,2008,4,0,30551,43
Kosovo je Srbija,2010,5,18,61228,91
International recognition of Kosovo,2013,2,501,625645,897
Names of Kosovo,2006,2,0,27795,62
List of radio stations in Kosovo,2010,4,0,92083,375
League of Prizren,2005,12,0,37067,92
Albanian nationalism,2012,3,73,154898,591
Rambouillet Agreement,2002,5,0,24969,30
Political status of Kosovo,2007,7,23,70518,158
History of Kosovo,2007,2,6,107663,367
Kosovan cuisine,2015,3,12,126978,717
20th century history of Kosovo,2013,5,52,145024,372
List of United States Army installations in Kosovo,2009,2,0,25389,41
International Court of Justice advisory opinion on Kosovo%27s declaration of independence,2009,2,0,26291,25
Outline of Kosovo,2008,3,0,40923,56
Kosovo curse,2014,3,4,39468,64
Rambouillet Agreement,2014,1,7,42502,52
List of political parties in Kosovo,2011,4,49,154993,348
United Nations Interim Administration Mission in Kosovo,2005,7,0,46186,96
Kosovo je Srbija,2013,8,24,68458,103
International Court of Justice advisory opinion on Kosovo%27s declaration of independence,2014,10,126,255059,231
List of radio stations in Kosovo,2014,2,0,95194,379
Assembly of Kosovo,2009,12,1,74899,220
Rambouillet Agreement,2010,12,9,54015,62
List of banks in Kosovo,2009,5,0,37023,99
Constitution of Kosovo,2009,9,4,62713,198
Socialist Autonomous Province of Kosovo,2014,1,11,87331,210
List of castles in Kosovo,2015,3,0,35207,83
Kosovo Security Force,2013,4,17,132121,370
Albanization of Serbs in Kosovo,2012,2,0,22708,31
Albanian National Awakening,2010,8,19,117810,446
Kosovo Operation (1944),2014,5,2,51083,149
History of Kosovo,2005,9,0,71142,227
Political status of Kosovo,2007,4,25,69860,137
Death of the Bytyqi brothers,2007,9,8,32402,54
Vu%C4%8Ditrn,2015,3,14,176169,344
Kosovo je Srbija,2010,4,18,60415,89
Assembly of Kosovo,2011,6,1,95134,270
List of diplomatic missions in Kosovo,2009,4,39,107977,275
Rail transportation in Kosovo,2014,11,8,73924,221
March 2004 unrest in Kosovo,2011,2,21,89305,223
20th century history of Kosovo,2013,12,52,144848,378
Albanian National Awakening,2014,1,30,150656,536
Kosovo Protection Corps,2007,12,3,30934,56
Balli Komb%C3%ABtar,2010,6,6,35353,63
Geography of Kosovo,2008,6,7,48237,137
Kosovo,2015,4,205,553865,1386
Star%C4%8Devo culture,2006,12,0,34757,71
Autonomous Province of Kosovo and Metohija,2012,10,6,141408,620
History of Kosovo,2013,5,54,181354,594
Anti bureaucratic revolution,2010,6,10,60022,110
History of Kosovo,2009,2,22,136035,504
Socialist Autonomous Province of Kosovo,2009,5,0,62979,193
Kosovan passport,2012,10,125,270886,520
Shuaip Pasha%27s House,2015,2,4,33517,56
Demographic history of Kosovo,2010,9,41,141559,547
Kosovo Security Force,2014,4,22,143520,388
Old Serbia,2013,3,6,34548,63
Kosovo,2010,10,396,959467,2649
Constitution of Kosovo,2007,12,2,41190,95
Rambouillet Agreement,2012,7,5,41662,48
District of Mitrovica,2014,5,10,97670,328
Kachaks,2010,5,2,34493,72
Political status of Kosovo,2007,3,25,69300,135
2008 Serbian protests,2014,4,80,151453,253
United States Ambassador to Kosovo,2012,2,3,68320,276
International recognition of Kosovo,2012,6,428,590043,1165
Serbia in the Balkan Wars,2011,4,35,111450,253
Kosovo Security Force,2009,5,8,39833,53
Koliq,2006,10,0,24276,35
Illyrians,2008,1,18,70781,210
Armed Forces of the Republic of Kosovo,2014,3,2,65836,238
Insurgency in Kosovo (1992%E2%80%9398),2014,9,14,134732,477
League of Prizren,2005,1,0,36019,88
Reactions to the International Court of Justice advisory opinion on Kosovo%27s declaration of independence,2015,2,97,230405,203
Bajram Kelmendi,2008,5,0,28802,69
Foreign relations of Kosovo,2009,8,57,141683,358
Crnoljeva,2013,3,0,34891,88
Political status of Kosovo,2011,3,36,94380,167
Bulgaria (theme),2014,7,0,40431,100
Kosovo Protection Corps,2009,10,4,37028,68
Monuments of Kosovo,2013,2,48,239742,369
List of political parties in Kosovo,2008,9,0,52565,178
March 2004 unrest in Kosovo,2012,1,27,102591,224
Battle of Kosovo (1448),2005,4,0,30445,49
List of political parties in Kosovo,2008,10,0,68799,198
United Nations Interim Administration Mission in Kosovo,2010,7,62,164306,335
History of Kosovo,2009,9,24,137261,513
List of massacres in the Kosovo War,2013,8,44,85769,186
Universiteti i Prishtin%C3%ABs,2007,11,45,126104,277
Autonomous Province of Kosovo and Metohija,2012,9,5,140126,614
Kosovo Security Force,2014,9,24,153445,408
Music of Kosovo,2007,7,1,27034,58
Kosovan passport,2012,5,120,265092,515
Assembly of Kosovo,2007,7,0,62559,187
Universiteti i Prishtin%C3%ABs,2010,9,65,154224,331
Operation Kinetic,2003,11,0,22060,31
Names of Kosovo,2007,7,3,33064,68
Gazimestan,2012,4,0,43310,88
Vu%C4%8Ditrn,2006,5,0,40459,93
2008 Kosovo declaration of independence,2008,4,81,200108,517
List of political parties in Kosovo,2011,8,1,85352,354
International recognition of Kosovo,2009,2,340,669734,1178
List of massacres in the Kosovo War,2010,2,22,62895,161
International rankings of Kosovo,2013,9,13,97395,333
List of flags of Kosovo,2012,12,1,68746,194
Belgrade%E2%80%93Pristina negotiations,2011,8,30,76375,135
History of Kosovo,2008,12,22,135068,498
International recognition of Kosovo,2014,7,523,641641,899
List of airports by ICAO code: B,2007,1,0,39164,146
Government of Kosovo,2015,3,0,58476,198
United States Ambassador to Kosovo,2010,10,3,64523,267
North Kosovo,2012,6,22,88677,231
Geography of Prizren,2014,3,19,67889,131
Timeline of Kosovo history,2014,12,133,240227,497
United Nations Security Council Resolution 1244,2007,5,0,46210,102
Rambouillet Agreement,2010,3,8,49391,50
Universiteti i Prishtin%C3%ABs,2014,12,30,98903,195
North Kosovo,2013,7,21,100023,288
Archaeology of Kosovo,2013,3,10,90935,271
Balli Komb%C3%ABtar,2010,1,4,35013,64
Koliq,2008,5,0,28819,51
Habsburg Monarchy,2014,1,10,129527,447
Outline of Kosovo,2009,8,8,121283,357
March 2004 unrest in Kosovo,2014,5,40,119781,243
List of radio stations in Kosovo,2010,12,0,92629,373
Demographic history of Kosovo,2011,7,45,186750,504
Republic of Kosova,2012,5,3,45062,80
March 2004 unrest in Kosovo,2006,10,0,52700,151
United Nations Interim Administration Mission in Kosovo,2015,1,72,213227,514
Illyrians,2009,1,28,80470,239
Kosovo independence precedent,2012,2,54,129366,259
Organ theft in Kosovo,2012,7,59,137499,216
Bulgaria (theme),2010,3,1,41220,95
Kosovo refugees in Albania,2012,4,1,44057,161
Kosovo Intelligence Agency,2010,9,2,70737,297
Kosovan passport,2008,8,9,116543,461
2008 Kosovo declaration of independence,2009,3,77,194781,383
Albanian Muhajir,2013,3,0,33343,71
Kosovo je Srbija,2013,9,23,68073,108
Bardylis,2012,5,20,60249,114
North Kosovo,2013,3,23,101287,269
Vulnetari,2014,4,39,164351,317
North Kosovo,2008,12,10,70435,199
Vardar Banovina,2013,7,1,48044,102
Organ theft in Kosovo,2013,3,58,141745,207
Climate of Kosovo,2013,6,12,76493,249
1972 outbreak of smallpox in Yugoslavia,2010,10,0,35302,66
March 2004 unrest in Kosovo,2009,12,12,67822,155
League of Prizren,2006,1,0,36175,93
Albanian nationalism,2009,12,76,149704,483
Autonomous Province of Kosovo and Metohija,2010,11,3,64232,147
Belgrade%E2%80%93Pristina negotiations,2012,9,39,89783,153
District of Mitrovica,2014,12,10,126160,402
Kosovo,2015,1,203,545097,1361
Civil Aviation Authority of Kosovo,2012,11,1,32926,39
Battle of Kosovo (1448),2010,2,4,78604,264
Republic of Kosova,2009,4,3,50392,110
Kosovo independence precedent,2008,3,84,183488,358
Battle of Kosovo (1448),2006,5,0,43727,103
Kosovo Serbs,2011,3,49,158867,520
Illyrians,2010,2,72,126237,398
Government of Kosovo,2013,6,1,57511,191
Universiteti i Prishtin%C3%ABs,2012,8,20,77145,162
20th century history of Kosovo,2008,9,37,106491,298
Outline of Kosovo,2009,7,8,121285,356
Geography of Kosovo,2009,1,4,49222,161
Edita Tahiri,2014,7,1,30663,60
Kosovo War,2009,6,67,327638,1004
Habsburg Monarchy,2014,3,14,131994,453
List of football clubs in Kosovo,2011,7,0,48005,151
List of castles in Kosovo,2014,3,0,34712,90
Illyrians,2012,8,60,171256,481
Organ theft in Kosovo,2012,6,59,130784,228
Outline of Kosovo,2010,10,7,128640,424
Kosovan passport,2015,4,139,291505,528
Armed Forces of the Republic of Kosovo,2012,6,0,61136,223
List of diplomatic missions of Kosovo,2012,5,1,63129,195
Vladislav the Grammarian,2008,8,21,41349,78
20th century history of Kosovo,2008,7,37,106141,292
United Nations Interim Administration Mission in Kosovo,2012,2,65,198839,503
