filename,year,month,num_citations,file_size,forward_links
Islam in Kuwait,2007,5,0,34655,103
Grand Mosque (Kuwait),2013,12,0,44749,89
Abbas Almohri,2013,7,0,32983,83
Kuwait at the Olympics,2008,3,0,59294,275
Kuwait%E2%80%93Iraq barrier,2008,10,0,27742,45
Indian Central School (Kuwait),2010,12,1,30036,47
Kuwait at the 2008 Summer Olympics,2013,1,0,75656,304
Al Jahra Force,2014,10,2,34808,79
Great Burgan,2006,9,0,27856,50
Anglo Ottoman Convention of 1913,2008,9,0,27762,48
Islam in Kuwait,2012,6,1,63897,333
Battle of Dasman Palace,2014,3,6,50925,132
Emma Shah,2011,12,2,37666,82
Kuwaiti Navy,2013,5,6,51030,109
Kuwaiti Army,2008,2,0,37310,70
Kuwait National Museum,2014,5,2,43989,106
Kuwait at the 2008 Summer Olympics,2008,8,0,72595,295
Demographics of Kuwait,2006,1,0,29123,46
Mubarak Al Kabeer Hospital,2013,3,0,28472,52
Battle of Chains,2013,12,6,61072,205
Kuwait Air Force,2010,9,5,71822,192
Iranians in Kuwait,2008,7,0,35667,107
Politics of Kuwait,2013,2,0,63122,200
List of Bahranis,2014,7,0,56379,212
Kuwait,2003,12,0,70080,117
1971 in Kuwait,2015,1,0,48239,151
1995 in Kuwait,2015,2,1,49890,146
RK FM,2013,4,0,30108,67
Dar Al Awadi Tower,2015,3,1,30519,53
Babylonia,2012,10,23,187356,763
Demographics of Kuwait,2013,4,10,76208,265
Government of Kuwait,2013,2,0,75199,231
Basra Vilayet,2013,3,4,67691,217
Camp Buehring,2007,11,0,26661,40
Babylonia,2004,9,0,40380,59
Kuwait Stock Exchange,2012,6,1,110427,231
Kuwait%27s foreign worker sponsorship system,2009,10,2,37322,79
Adnan Zahid Abdulsamad,2013,11,4,33181,46
"Kuwaiti general election, 2006",2009,7,1,44979,109
Republic of Kuwait,2012,11,19,45726,74
Kuwait,2002,2,0,57622,36
Invasion of Kuwait,2014,11,60,145812,408
Demographics of Kuwait,2011,9,6,70598,256
Otaibah,2012,7,1,39513,85
Mohammad Ashkanani,2009,12,2,24873,41
Anglo Ottoman Convention of 1913,2009,5,0,27718,43
"The English School, Kuwait",2013,10,1,33460,61
Battle of Hamdh,2014,10,1,38102,63
Great Burgan,2011,1,0,30085,58
Gate of Kuwait,2007,8,0,61962,279
Telecommunications in Kuwait,2007,12,0,34397,90
United Nations Security Council Resolution 687,2012,4,2,57597,147
History of the Jews in Kuwait,2008,2,3,49683,134
Rola Dashti,2012,5,9,39353,57
Hani Al Mazeedi,2013,6,6,45312,77
Hassan Jawhar,2013,8,7,34040,53
Template:Mosques in Kuwait,2014,4,0,25743,40
Zahra Freeth,2008,10,0,26361,54
Emma Shah,2011,1,2,37912,94
Ahmed Shihab Eldin,2009,5,4,28716,38
Amiri decree,2010,8,0,23773,40
Basra Vilayet,2013,7,11,81189,226
"The English School, Kuwait",2006,1,0,26971,45
Imam Hussein Mosque,2010,8,0,31908,65
History of Kuwait,2015,3,107,217602,371
Index of Kuwait related articles,2014,8,0,42266,92
Kuwait%E2%80%93Iraq barrier,2014,3,0,31538,58
Khawr Abd Allah,2012,10,3,32856,64
Government of Kuwait,2006,7,0,60384,121
William Richard Williamson,2011,8,9,46110,80
Kuwaiti Arabic,2010,4,0,28330,57
Al Foraih,2006,1,0,24013,36
Al Farazdaq,2015,1,3,39646,78
Nayirah (testimony),2004,11,0,27857,37
Template:Kuwait Emirs,2014,4,0,28050,50
Abdullah Kamel Abdullah Kamel Al Kandari,2014,10,10,51293,69
Imam Hussein Mosque,2010,11,0,32570,71
Youth Association of Kuwait,2014,4,8,39622,36
Invasion of Kuwait,2014,6,59,146626,415
Template:Kuwait City,2011,9,0,33166,83
Uqair Protocol of 1922,2007,9,0,25364,47
Invasion of Kuwait,2010,2,31,102489,334
Battle of Jahra,2015,3,5,47185,99
Nayirah (testimony),2011,9,83,209918,221
Saudi%E2%80%93Kuwaiti neutral zone,2012,11,1,32488,49
Kuwait PSA Cup 2011,2013,2,3,247260,350
United Nations Security Council Resolution 688,2009,12,0,54210,179
Souk Al Manakh stock market crash,2006,3,0,24996,25
Military of Kuwait,2013,8,3,73768,240
Kuwait%E2%80%93Najd War,2013,12,2,44265,85
Kuwait%27s Fifth District,2008,12,0,40303,121
Abdulhussain Abdulredha,2012,3,5,59912,84
Postage stamps and postal history of Kuwait,2011,7,2,51823,156
Hani Al Mazeedi,2011,7,6,87704,79
Islam in Kuwait,2013,5,2,64511,336
List of diplomatic missions of Kuwait,2011,7,1,90561,254
Sheikhdom of Kuwait,2014,7,41,150239,423
GAC Logistics,2007,1,0,25695,45
Imam Baqir Mosque,2015,2,0,34255,74
Kuwaiti Army,2013,5,2,50437,99
Kuwait Television,2011,1,0,34427,65
Uruk period,2006,3,0,28760,38
Economy of Kuwait,2014,9,19,127191,457
Invasion of Kuwait,2010,4,40,121414,367
Uruk period,2013,2,3,56434,225
Constitution of Kuwait,2008,9,0,33818,69
Amiri decree,2012,4,0,24366,46
Demographics of Kuwait,2011,5,7,71741,263
Template:Mosques in Kuwait,2012,4,0,24970,41
Kuwait at the 2007 Asian Winter Games,2009,10,1,34991,88
Neo Babylonian Empire,2007,2,0,42473,88
Sulayman Al Bassam,2008,10,0,25257,44
1983 Kuwait bombings,2014,6,43,70214,114
Template:Kuwaiti Premier League seasons,2010,10,0,29798,77
List of hospitals in Kuwait,2009,7,0,25301,30
Pakistan School and College,2008,9,0,28174,47
Template:Kuwait struct stub,2010,11,0,31086,51
Emma Shah,2012,10,2,39294,72
Dewaniya,2011,2,5,38977,42
Abbas Almohri,2011,6,0,32345,76
Babylonia,2014,3,31,245882,1090
Kuwaiti dinar,2005,4,0,48789,149
Roads in Kuwait,2013,9,1,30863,72
Saudi%E2%80%93Kuwaiti neutral zone,2012,10,1,32342,48
Burgan field,2008,2,2,35889,55
Battle of Dasman Palace,2012,7,0,44232,132
Political issues in Kuwait,2011,12,45,115514,138
Al Farazdaq,2014,7,4,39310,84
List of diplomatic missions of Kuwait,2013,3,1,99027,284
Highway of Death,2012,2,12,73417,172
Kuwait News Agency,2012,5,0,26463,45
ISO 3166 2:KW,2005,8,0,29065,48
Kuwaiti Army,2015,2,11,57490,140
Template:Kuwait City,2010,3,0,33465,84
Kazem Behbehani,2009,8,4,37387,83
ISO 3166 2:KW,2005,9,0,29172,48
Anas Al Kandari,2012,1,5,36838,59
Kuwait at the 2007 Asian Winter Games,2007,8,1,32492,75
Military of Kuwait,2007,1,0,36507,100
Hani Al Mazeedi,2012,3,6,39299,52
Kuwaiti Navy,2015,2,10,69476,192
Operation Vantage,2014,11,4,47794,96
Kuwait Institute for Scientific Research,2007,9,0,26691,37
Military of Kuwait,2015,4,52,211841,501
Indian Central School (Kuwait),2012,10,0,28914,42
Camp Buehring,2005,10,0,21127,23
List of people on stamps of Kuwait,2013,4,0,38572,89
William Richard Williamson,2011,10,9,45953,80
Highway of Death,2008,11,11,63222,181
Burgan field,2006,9,0,32355,58
Dewaniya,2007,4,0,27696,48
Charax Spasinu,2013,11,18,51512,141
Kazem Behbehani,2007,6,0,30748,67
Demographics of Kuwait,2006,4,6,31588,47
Tareq Al Suwaidan,2010,7,25,42305,57
Kuwait Television,2011,12,0,35077,65
Ubaid period,2014,8,15,81631,261
List of Kuwaitis,2008,12,0,30733,87
Kuwait at the 2000 Summer Olympics,2006,5,0,67321,270
Ubaid period,2006,7,0,36023,67
Hyspaosines,2008,2,0,24616,43
Khabees,2008,3,0,31914,60
Khawr Abd Allah,2010,2,0,28640,53
Republic of Kuwait,2011,8,19,44164,71
Transport in Kuwait,2009,12,2,51164,155
Kuwait News Agency,2009,5,0,26077,45
1974 attack on the Japanese Embassy in Kuwait,2012,10,0,31718,50
Template:History of Kuwait,2015,3,0,37353,99
Invasion of Kuwait,2009,11,29,101707,335
Kuwaiti Army,2012,5,3,35556,74
List of diplomatic missions of Kuwait,2008,12,0,71447,172
Emblem of Kuwait,2010,12,0,46141,125
Kuwait Stock Exchange,2014,5,2,110896,233
Nayirah (testimony),2005,4,0,27744,41
1974 attack on the Japanese Embassy in Kuwait,2009,3,0,32605,55
"Holy Family Cathedral, Kuwait",2012,2,0,27050,41
List of hospitals in Kuwait,2012,7,0,27166,44
Battle of the Bridges,2012,2,5,49705,136
Al Kandari,2013,11,6,34185,53
Constitution of Kuwait,2015,1,2,55550,179
Military of Kuwait,2006,12,0,26927,40
List of diplomatic missions of Kuwait,2011,10,1,90806,258
Government of Kuwait,2014,5,3,73535,209
Dilmun,2005,10,0,33975,61
Telephone numbers in Kuwait,2009,11,0,33872,96
Economy of Kuwait,2002,10,0,35423,31
Arraya Tower,2007,2,0,58445,266
Al Kandari,2012,7,6,34930,54
Kuwait,2006,9,3,127197,322
Kuwait%27s foreign worker sponsorship system,2009,5,2,37244,78
Neo Babylonian Empire,2014,5,17,145690,706
1983 Kuwait bombings,2011,4,43,69168,112
Al Farazdaq,2010,5,2,35986,74
Highway of Death,2006,4,0,35300,56
Sadu House,2009,11,2,40111,103
Bashar al Shatti,2007,11,0,30505,49
Kuwait English School,2008,9,1,28038,43
Camp Buehring,2007,9,0,26227,40
Al Jahra Force,2013,3,0,29667,61
Kuwait,2002,11,0,68658,105
List of diplomatic missions of Kuwait,2013,12,1,99125,280
Telecommunications in Kuwait,2012,8,0,108246,518
Boubyan Bank,2013,7,1,31955,56
Uqair Protocol of 1922,2011,1,0,28119,51
Kuwait English School,2007,5,0,27397,43
Invasion of Kuwait,2013,11,46,135611,402
Kuwait,2007,5,1,176946,607
List of Bahranis,2012,1,21,85909,325
"The English School, Kuwait",2010,7,1,31498,47
Yasser Al Habib,2014,11,16,61486,111
Abdullah Kamel Abdullah Kamel Al Kandari,2009,9,25,98114,146
Hyspaosines,2013,7,9,30446,51
Military of Kuwait,2004,7,0,26597,32
Political issues in Kuwait,2013,1,45,115182,135
1983 Kuwait bombings,2010,10,43,68843,113
Carmel School (Kuwait),2014,5,0,34107,67
Battle of Chains,2007,7,4,51170,166
Kuwait Stock Exchange,2013,3,1,113321,240
Burgan field,2013,11,6,50505,60
Architecture of Kuwait,2011,8,0,44986,105
Abdulhussain Abdulredha,2011,3,5,59277,76
1983 Kuwait bombings,2008,2,45,61478,93
Saudi%E2%80%93Kuwaiti neutral zone,2006,6,0,30083,54
Highway of Death,2007,12,3,46542,105
Kuwait English School,2006,6,0,25314,36
Nayirah (testimony),2014,2,85,205584,207
Demographics of Kuwait,2007,2,6,50552,173
Highway of Death,2006,8,0,36447,60
Dilmun,2004,4,0,32870,46
Demographics of Kuwait,2013,8,20,101067,262
Grand Mosque (Kuwait),2006,2,0,28775,42
A%27takamul International School,2009,2,0,33041,54
Highway of Death,2012,4,12,73293,174
Pakistanis in the Middle East,2009,1,1,48512,145
Africa Muslims Agency,2008,4,0,25694,45
United Nations Security Council Resolution 689,2012,3,1,51040,119
Zahra Freeth,2007,2,0,24658,43
Musallam Al Barrak,2012,11,29,75677,87
Kuwait English School,2006,8,0,26949,41
Abdulwahed Al Awadhi,2014,10,2,29565,37
Template:Kuwait stub,2006,4,0,24551,31
Kuwait at the Olympics,2010,3,0,60425,276
Dasman Model School,2009,3,0,28529,42
Alrai TV,2013,9,1,29100,50
Migrant workers in Kuwait,2011,3,5,37246,45
1983 Kuwait bombings,2014,4,43,70786,118
"The English School, Kuwait",2012,6,1,32747,56
History of Kuwait,2005,12,0,50960,153
Military of Kuwait,2009,3,1,53242,152
Emblem of Kuwait,2011,3,0,46672,127
Arraya Tower,2007,11,0,60260,270
Kuwaiti Arabic,2007,8,0,26354,46
Template:Kuwait City,2013,2,0,33596,83
Neo Babylonian Empire,2011,5,1,105128,523
Kuwait%E2%80%93Iraq barrier,2008,12,0,27440,41
Charax Spasinu,2006,12,0,31926,68
Gulfsat,2015,1,0,33897,60
Yasser Al Habib,2015,1,16,60608,106
Souk Al Manakh stock market crash,2009,6,3,40220,89
1983 Kuwait bombings,2009,5,42,65172,124
Battle of the Bridges,2011,12,0,46513,131
Arraya Tower,2013,9,2,66880,271
Postage stamps and postal history of Kuwait,2014,10,2,52989,159
Kuwait at the 2000 Summer Olympics,2006,1,0,61819,253
Kuwait English School,2006,9,0,27875,44
National Assembly (Kuwait),2012,10,3,113956,506
Corruption in Kuwait,2014,9,5,41366,138
Kuwaiti passport,2010,1,0,79475,355
Persian Gulf Residency,2012,11,10,56322,106
1975 in Kuwait,2015,1,0,48296,150
Babylonia,2007,8,3,86397,264
Sulayman Al Bassam,2012,8,0,30630,55
Kuwait at the 2000 Summer Olympics,2005,11,0,58348,248
List of political parties in Kuwait,2008,12,0,42714,100
Dilmun,2004,10,0,33088,43
Republic of Kuwait,2015,2,19,53885,100
Kuwait English School,2011,7,0,27618,41
List of political parties in Kuwait,2011,11,0,60954,211
History of Kuwait,2005,3,0,44330,137
Anglo Ottoman Convention of 1913,2010,9,15,57887,133
Abdulhussain Abdulredha,2013,3,5,60463,86
Charax Spasinu,2008,5,1,32735,65
Operation Vantage,2010,10,3,41147,84
List of Bahranis,2013,3,10,72735,278
Neo Babylonian Empire,2009,12,0,65478,243
Outline of Kuwait,2009,3,6,80540,189
Kuwait Air Force,2014,1,6,73771,195
Economy of Kuwait,2010,11,4,102678,453
National Assembly (Kuwait),2008,11,0,78832,314
Africa Muslims Agency,2012,4,2,31179,57
Kuwaiti dinar,2006,12,1,66793,208
Camp Arifjan,2007,1,0,30252,54
Women%27s suffrage in Kuwait,2010,12,4,29245,46
Marina FM,2014,10,2,32294,60
Hyspaosines,2012,5,5,28892,49
Government of Kuwait,2008,10,0,64214,181
Dilmun,2008,5,3,42368,100
Kuwaiti Navy,2010,3,8,42740,93
Tareq Al Suwaidan,2012,7,27,47846,78
A%27takamul International School,2009,10,0,32258,51
Roman Catholicism in Kuwait,2014,6,1,40978,115
Government of Kuwait,2007,6,0,65609,125
Uqair Protocol of 1922,2010,10,0,29191,58
Carmel School (Kuwait),2011,7,0,29327,43
Kuwait%E2%80%93Najd War,2014,1,2,44498,89
Zahra Freeth,2011,1,0,26808,52
Neo Babylonian Empire,2008,11,0,44674,99
Template:Years in Kuwait,2014,11,0,29512,85
Emma Shah,2013,8,2,53574,71
Kuwait PSA Cup 2011,2013,12,3,265879,400
Burgan field,2007,4,0,31559,47
Military of Kuwait,2009,2,1,53714,156
Hani Al Mazeedi,2011,12,6,90589,75
Marina FM,2015,1,2,33269,55
Industrial Bank of Kuwait,2011,3,0,26972,45
Ubaid period,2009,12,10,66985,194
Demographics of Kuwait,2012,7,10,73613,257
Kuwait national basketball team,2009,6,0,49535,149
Abdulhussain Abdulredha,2009,10,0,41917,73
Tareq Al Suwaidan,2007,3,7,46737,93
Kazem Behbehani,2007,1,0,30669,69
Jashanmal,2014,8,3,36459,53
Emma Shah,2015,3,2,66776,75
Marafie family,2014,5,3,35868,64
List of political parties in Kuwait,2010,9,0,60936,211
Sport in Kuwait,2013,3,0,55067,199
1974 attack on the Japanese Embassy in Kuwait,2012,8,0,35013,61
Highway of Death,2011,2,12,73407,173
1996 in Kuwait,2015,2,0,44016,179
List of Kuwaitis,2012,1,0,29839,97
GAC Logistics,2013,3,0,28612,52
Babylonia,2011,5,22,170868,778
History of Kuwait,2004,7,0,42817,129
"Kuwaiti general election, 2006",2007,1,1,41873,100
Migrant workers in Kuwait,2009,8,6,37286,46
Emblem of Kuwait,2013,3,0,47564,134
Indian Central School (Kuwait),2011,1,1,30394,39
Kuwait,2008,6,74,221619,697
Assawt,2012,9,0,27337,49
Republic of Kuwait,2012,2,19,44699,73
Kuwait Air Force,2009,8,1,46491,121
Geography of Kuwait,2011,11,0,73288,270
History of Kuwait,2006,8,0,62483,231
Uruk period,2012,12,3,55713,217
Migrant workers in Kuwait,2014,7,7,32329,36
Template:Kuwait school stub,2010,11,0,30261,54
Massouma al Mubarak,2013,3,7,37834,66
Neo Babylonian Empire,2012,2,2,116376,600
Kuwait Television,2009,10,0,34860,72
Nayirah (testimony),2013,7,84,204074,207
National Library of Kuwait,2008,3,0,29058,51
Iranians in Kuwait,2013,8,5,45219,149
List of diplomatic missions of Kuwait,2014,6,0,99706,287
Grand Mosque (Kuwait),2013,3,0,41405,84
Military of Kuwait,2006,3,0,26777,35
Neo Babylonian Empire,2006,12,0,42341,88
Battle of Chains,2011,7,3,52666,162
Kuwaiti dinar,2007,2,1,67751,207
Battle of the Bridges,2011,6,0,45848,128
Transport in Kuwait,2012,2,4,56078,169
Khabees,2009,7,0,32182,67
Government of Kuwait,2012,1,1,75857,229
United Nations Security Council Resolution 688,2007,4,0,54361,166
Economy of Kuwait,2009,8,3,94205,422
Roman Catholicism in Kuwait,2007,2,0,38552,112
Highway of Death,2013,3,18,82753,194
Ubaid period,2007,7,0,41535,105
Fahad Al Ahmed Al Jaber Al Sabah,2011,2,2,42389,70
Khaitan Riot,2006,3,0,24819,43
Highway of Death,2008,9,11,62334,171
Ahmed Lari,2010,8,4,30123,55
Camp Arifjan,2010,4,1,31125,58
Highway of Death,2010,4,7,60019,136
Uqair Protocol of 1922,2009,7,0,27642,51
Charax Spasinu,2010,12,2,34408,71
List of Bahranis,2010,9,2,66575,287
Pakistan School and College,2012,11,0,27347,47
