filename,year,month,num_citations,file_size,forward_links
Respublika Party of Kyrgyzstan,2014,8,1,38410,62
Balykchy,2014,9,3,48423,54
For Fair Elections,2012,7,0,29419,60
8th Guards Motor Rifle Division,2009,7,3,30105,49
Kyrgyz Television,2010,12,0,28404,44
Bible translations into Kyrgyz,2014,10,0,37373,62
Osh riots (1990),2012,5,16,54925,93
Sasanian Empire,2009,8,72,319539,1143
Yenisei Kirghiz,2014,8,9,73199,185
Sasanian Empire,2009,1,69,307187,1080
Syrmak,2009,8,0,33350,71
Turkestan Autonomous Soviet Socialist Republic,2005,11,0,37970,51
Karakol,2009,3,0,45182,72
Emblem of Kyrgyzstan,2009,12,0,48742,134
Buzkashi,2013,9,9,106256,510
Wusun,2009,2,23,54612,111
Aqyn,2006,8,0,32429,63
Kyrgyzstani som,2011,12,0,111700,285
Dostuk,2008,9,0,28345,42
Moghulistan,2009,12,1,43802,117
Social Democratic Party of Kyrgyzstan,2013,3,0,44748,82
Social Democratic Party of Kyrgyzstan,2010,12,0,43982,78
Prime Minister of Kyrgyzstan,2007,1,0,45688,171
Salizhan Sharipov,2008,10,1,38590,89
Sasanian Empire,2014,12,144,513210,1837
8th Guards Motor Rifle Division,2012,9,27,60479,124
The Light Thief,2011,10,4,35317,42
Salizhan Sharipov,2009,11,1,50295,144
Osh,2010,9,4,58720,106
Be%C5%9Fbarmaq,2012,11,0,34802,63
United States Ambassador to Kyrgyzstan,2013,3,0,72184,300
Flag of Kyrgyzstan,2009,7,1,53438,132
G%C3%B6kt%C3%BCrks,2007,3,0,58057,232
Template:Kyrgyzstani elections,2012,2,0,31970,55
Kant Air Base,2013,12,4,41154,96
Military of Kyrgyzstan,2009,12,6,57594,180
Turkestan Autonomous Soviet Socialist Republic,2009,7,0,58924,146
Politics of Kyrgyzstan,2012,10,22,95731,267
Communist Party of Kirghizia,2012,7,0,59648,246
Democratic Movement of Kyrgyzstan,2006,8,0,28069,50
Bishkek,2008,10,6,106792,332
Wusun,2015,2,67,131177,306
LGBT rights in Kyrgyzstan,2014,12,2,44748,128
Kyrgyzstani som,2010,9,0,87460,224
Semirechye Oblast,2013,6,2,55010,202
Aqsaqal,2009,5,3,38341,74
Ministry of Foreign Affairs (Kyrgyzstan),2014,4,0,28454,48
Chala Kazak,2008,9,0,24305,34
Moghulistan,2012,9,2,44331,124
Economy of Kyrgyzstan,2006,11,0,59108,254
Osh,2014,10,12,84273,145
Outline of Kyrgyzstan,2013,5,1,89164,247
Emblem of the Kirghiz Soviet Socialist Republic,2012,5,0,45435,107
Hephthalite Empire,2007,3,12,62141,137
Flag of Kyrgyzstan,2012,11,2,50480,117
Jalal Abad,2006,7,0,33800,35
Chala Kazak,2011,8,0,26150,41
2008 Kyrgyzstan earthquake,2008,11,14,47073,54
Emblem of the Kirghiz Soviet Socialist Republic,2011,7,0,46960,111
Ak Jol,2014,8,2,42488,91
Communist Party of Kirghizia,2011,12,0,58876,241
"Kerben, Kyrgyzstan",2013,5,0,33529,54
List of universities in Kyrgyzstan,2010,10,0,44128,108
Kara Suu,2011,11,2,43741,86
Osh,2012,7,10,75607,141
Economic Cooperation Organization,2011,4,7,103357,294
Tulip Revolution,2013,3,34,121088,385
Kumtor Gold Mine,2008,11,0,26637,43
Template:History of Kyrgyzstan,2015,2,0,34437,95
Moghulistan,2009,6,0,39755,106
International University of Kyrgyzstan,2012,3,0,31894,55
United States Ambassador to Kyrgyzstan,2010,8,0,68591,287
Politics of Kyrgyzstan,2004,6,0,38364,88
Kalpak,2009,5,1,39767,83
Leadership of Communist Kyrgyzstan,2009,9,0,47177,128
Cholpon Ata Airport,2012,9,2,43728,99
Cholpon Ata,2007,10,0,30342,46
Flag of Kyrgyzstan,2004,11,0,38507,44
Wusun,2010,4,25,59333,124
Human rights in Kyrgyzstan,2008,6,0,53029,144
Yuezhi,2012,11,38,113992,378
The Chimp (2001 film),2012,10,3,37745,62
Template:Kyrgyzstan struct stub,2012,1,0,29940,49
Yak racing,2007,9,6,34936,63
Template:National Parks of Kyrgyzstan,2012,6,0,25495,34
Be%C5%9Fbarmaq,2009,10,1,32895,53
Bordunskiy,2012,12,1,34145,52
Batken,2007,2,0,29459,37
Wooden jaw harp,2009,2,0,28993,54
Turkestan Autonomous Soviet Socialist Republic,2010,4,0,65063,161
International University of Kyrgyzstan,2012,6,0,32435,61
Kyrgyzstani som,2008,4,0,81364,232
Moghulistan,2008,10,0,40129,120
Isfana,2010,7,0,35997,48
Kyrgyz National University,2013,2,0,33170,45
Zhetysu,2013,11,0,77574,276
Kant Air Base,2010,4,3,36965,75
Outline of Kyrgyzstan,2011,11,1,90144,247
Bishkek,2008,11,6,107578,338
Pure Coolness,2009,6,0,33344,69
Pegasus Asia,2013,1,0,45359,134
Bishkek,2010,12,24,177379,412
Bishkek,2004,10,0,48664,50
International University of Kyrgyzstan,2011,4,0,32107,52
Kyrgyzstan%E2%80%93United Kingdom relations,2010,2,1,54170,159
Jamila (novel),2012,12,1,32483,59
Kyrgyzstan,2010,9,84,338839,1025
Kyrgyzstan,2014,10,100,405402,1080
Emblem of the Kirghiz Soviet Socialist Republic,2014,7,1,45822,98
Kyrgyzstan,2003,2,0,71604,80
Kyrgyzstani passport,2011,12,0,75677,338
Tush kyiz,2014,5,0,35736,72
Respublika Party of Kyrgyzstan,2013,6,1,36158,62
Alimqul,2011,2,0,30174,61
"Talas, Kyrgyzstan",2006,2,0,32289,46
Aytysh,2011,4,0,34976,79
List of diplomatic missions of Kyrgyzstan,2012,7,0,64395,184
Botir Avia,2008,2,2,34767,87
Saka,2008,9,60,122247,463
Social Democratic Party of Kyrgyzstan,2009,12,0,40558,66
Battle of Talas,2012,9,20,73415,188
Human rights in Kyrgyzstan,2007,4,0,39285,79
G%C3%B6kt%C3%BCrks,2012,6,55,177944,657
Manaschi,2013,3,1,27763,45
Mongol conquest of the Kara Khitai,2015,1,11,58611,177
Kyrgyzstan%E2%80%93Pakistan relations,2009,1,1,57816,186
Moghulistan,2008,3,0,40449,121
Zhetysu,2014,9,0,77405,278
Template:Kyrgyzstani elections,2009,7,0,32373,48
European route E60,2011,2,0,76362,464
Buzkashi,2010,6,5,79351,367
Party of Communists of Kyrgyzstan,2006,8,0,39322,84
Buzkashi,2012,1,6,96915,484
The Light Thief,2012,6,4,36082,44
Template:Protected areas of Kyrgyzstan,2012,3,0,38472,77
Transit Center at Manas,2013,4,35,97642,141
Jalal Abad,2010,5,0,42603,64
Aral (Kara Darya),2015,3,0,32875,52
Bishkek,2007,5,0,78064,243
Be%C5%9Fbarmaq,2008,9,1,30089,47
Military of Kyrgyzstan,2007,1,0,29976,48
Moghulistan,2011,4,1,46031,129
Transport in Kyrgyzstan,2006,9,0,31433,67
Kadamjay,2013,5,1,33853,60
Ak Tuz,2008,3,0,28876,42
Semirechye Cossacks,2008,6,0,39312,136
List of protected areas of Kyrgyzstan,2014,2,1,55793,138
Osh Avia,2010,11,0,41234,127
Emblem of the Kirghiz Soviet Socialist Republic,2009,6,0,45231,108
Kyrgyzstani som,2009,10,0,83486,245
List of newspapers in Kyrgyzstan,2006,3,0,23860,32
Social Democratic Party of Kyrgyzstan,2013,9,0,44952,74
Dastarkh%C4%81n,2009,4,0,37327,74
Template:Demographics of Kyrgyzstan,2013,2,0,28737,47
Bishkek,2005,7,0,53432,73
"Talas, Kyrgyzstan",2005,5,0,29569,32
Kyrgyzstani som,2005,1,0,35197,47
Karakol,2009,1,0,45534,70
Leadership of Communist Kyrgyzstan,2013,10,8,85293,92
G%C3%B6kt%C3%BCrks,2009,3,13,103239,443
Soviet Central Asia,2013,12,7,162839,643
Outline of Kyrgyzstan,2011,3,1,91152,248
Hephthalite Empire,2013,5,30,165297,591
List of protected areas of Kyrgyzstan,2010,11,1,55899,126
Tush kyiz,2009,3,0,36030,73
Semirechye Cossacks,2012,2,0,41534,142
Osh riots (1990),2013,11,17,58753,110
Alysh,2012,10,1,38545,102
Saimaluu Tash,2012,6,0,27937,36
Buzkashi,2012,12,6,101406,499
Kyrgyzstani som,2008,8,0,81726,232
Jamila (novel),2012,1,1,31560,56
United States Ambassador to Kyrgyzstan,2013,8,0,72483,293
Prime Minister of Kyrgyzstan,2010,5,0,53101,130
Be%C5%9Fbarmaq,2012,6,0,33595,58
National Olympic Committee of the Republic of Kyrgyzstan,2012,8,0,39190,99
Koshoy Korgon,2013,3,0,32882,66
Vice President of Kyrgyzstan,2009,5,0,31721,61
Yuezhi,2010,6,32,108879,365
Battle of Talas,2008,3,19,52493,111
Hephthalite Empire,2014,5,37,186019,676
Aqsaqal,2007,3,0,34360,65
Prime Minister of Kyrgyzstan,2006,8,0,45142,122
Saka,2014,7,19,78814,217
Semirechye Cossacks,2014,4,0,41743,142
Index of Kyrgyzstan related articles,2014,4,0,47170,191
Sasanian Empire,2003,10,0,48198,141
The Spektator,2011,5,1,32034,51
Bishkek,2009,5,6,109146,338
Jalal Abad,2007,1,0,33957,35
Karakol,2014,1,5,61813,106
Saka,2010,1,25,93777,272
List of Chairmen of the Legislative Assembly of Kyrgyzstan,2009,12,3,25914,31
Politics of Kyrgyzstan,2008,5,6,68552,207
Osh Bazaar,2012,6,0,28700,54
Template:Kyrgyzstan party stub,2010,9,0,30611,56
Geography of Kyrgyzstan,2005,9,0,30637,60
Sadda (Suzak District),2014,12,0,31191,49
Soviet Central Asia,2013,9,7,163144,650
G%C3%B6kt%C3%BCrks,2006,6,0,51132,194
Semirechye Cossacks,2007,9,0,39686,142
Democratic Movement of Kyrgyzstan,2012,12,0,36454,65
List of cities in Kyrgyzstan,2009,6,1,49525,155
ISO 3166 2:KG,2009,7,0,84185,697
Emblem of the Kirghiz Soviet Socialist Republic,2012,7,0,46333,113
Kyr Jol,2014,12,0,30623,49
Soviet Central Asia,2008,9,3,155143,650
Transit Center at Manas,2011,2,30,90447,117
Hephthalite Empire,2014,10,37,185409,663
Transit Center at Manas,2010,8,29,89629,117
Human rights in Kyrgyzstan,2007,3,0,39070,77
Jalal Abad,2009,10,0,37693,39
President of Kyrgyzstan,2007,12,0,61562,190
Itek Air,2008,5,2,51342,154
Semirechye Cossacks,2011,10,0,37607,130
Be%C5%9Fbarmaq,2009,7,1,33277,49
People%27s Congress of Kyrgyzstan,2014,4,0,27655,49
Anikay Air,2008,7,1,41050,124
Sasanian Empire,2007,6,56,247311,792
Transit Center at Manas,2009,4,23,77615,117
Prime Minister of Kyrgyzstan,2010,12,0,54406,142
Military of Kyrgyzstan,2011,12,6,81303,220
Moghulistan,2008,9,0,42607,124
Kyrgyzstan Federation of Trade Unions,2006,8,0,28032,44
"Template:Kyrgyzstan parliamentary election, 2005",2006,2,0,22347,26
Military of Kyrgyzstan,2005,10,0,27691,34
List of Chairmen of the Legislative Assembly of Kyrgyzstan,2011,3,0,24684,29
Saka,2015,1,22,78786,213
Kadamjay,2007,3,0,26001,42
Politics of Kyrgyzstan,2013,1,23,95692,265
"Aga Khan School, Osh",2015,1,1,31091,52
Pure Coolness,2008,11,0,30420,63
Wusun,2007,5,11,44404,86
Military of Kyrgyzstan,2007,11,0,40446,117
Kadamjay,2013,3,1,30680,59
List of universities in Kyrgyzstan,2009,8,0,43738,113
TRACECA,2010,2,2,30120,71
Yuezhi,2009,9,27,106308,360
Forward Kyrgyzstan Party,2007,9,0,35872,63
"Kant, Kyrgyzstan",2013,3,4,53437,88
Emblem of Kyrgyzstan,2008,7,0,46520,124
Soviet Central Asia,2009,1,3,155517,652
Quadro Aero,2010,1,0,41931,121
Kalpak,2010,11,1,39886,87
Tush kyiz,2007,3,0,31103,53
Cholpon Ata,2011,11,1,37704,63
Flag of the Kirghiz Soviet Socialist Republic,2011,8,0,46487,90
United States Ambassador to Kyrgyzstan,2011,7,0,71484,293
Manas Air,2008,5,0,40620,123
Kyrgyzstani som,2012,7,1,113171,284
National Bank of the Kyrgyz Republic,2014,11,6,71546,259
Prime Minister of Kyrgyzstan,2014,3,0,68697,190
Manas Air,2008,3,0,40712,124
Kara Balta,2014,11,5,54107,79
Transit Center at Manas,2014,11,49,118801,156
Kant Air Base,2010,2,3,37180,83
Zhetysu,2005,2,0,37391,70
Economic Cooperation Organization,2007,10,1,45128,103
Yenisei Kirghiz,2011,7,0,41711,93
"Kerben, Kyrgyzstan",2010,6,0,33776,53
Kyrgyzstani som,2011,3,0,92449,235
Karak%C3%B6l,2013,7,0,33207,54
Saka,2009,7,61,128147,485
Kumtor Gold Mine,2009,3,0,27133,50
"Aga Khan School, Osh",2013,6,1,30998,56
Be%C5%9Fbarmaq,2009,9,1,33061,51
Moghulistan,2011,3,1,45707,125
Dastarkh%C4%81n,2013,12,0,44283,108
Zhetysu,2014,8,0,77978,279
"Kant, Kyrgyzstan",2007,7,0,30187,47
Flag of the Kirghiz Soviet Socialist Republic,2012,1,0,48824,97
Yuezhi,2004,7,0,33436,61
Salizhan Sharipov,2004,6,0,29379,52
Slovo Kyrgyzstana,2011,12,0,27375,41
Salizhan Sharipov,2008,3,0,36136,89
Telephone numbers in Kyrgyzstan,2011,8,1,50897,112
Turkestan Autonomous Soviet Socialist Republic,2005,12,0,38081,48
History of Kyrgyzstan,2010,7,3,70589,220
Kadamjay,2006,1,0,24049,37
Salizhan Sharipov,2006,8,0,36787,86
List of Chairmen of the Assembly of People%27s Representatives of Kyrgyzstan,2009,12,3,26727,32
Flag of Kyrgyzstan,2007,5,0,58149,72
Telecommunications in Kyrgyzstan,2006,7,0,26062,37
List of diplomatic missions in Kyrgyzstan,2015,3,1,90119,206
Itek Air,2010,3,5,52019,147
Semirechye Oblast,2013,1,1,53670,200
Wusun,2011,1,27,63156,127
Economy of Kyrgyzstan,2012,2,9,100548,379
Yuezhi,2007,8,17,95545,361
Baku Initiative,2007,1,0,31392,48
List of diplomatic missions in Kyrgyzstan,2008,7,0,80756,151
Semirechye Oblast,2015,2,2,66303,228
Balykchy,2013,2,2,46838,59
Outline of Kyrgyzstan,2009,8,1,96963,252
Babushka Adoption Foundation,2014,3,0,28041,46
Politics of Kyrgyzstan,2009,7,13,85528,280
Sasanian Empire,2011,10,97,413397,1461
Buzkashi,2008,12,1,73451,346
G%C3%B6kt%C3%BCrks,2011,10,55,167605,618
List of diplomatic missions in Kyrgyzstan,2009,7,0,84926,196
Yak racing,2010,10,6,35834,69
Osh,2013,2,12,84918,156
Turkestan Autonomous Soviet Socialist Republic,2005,5,0,36913,50
ISO 3166 2:KG,2007,6,0,28348,53
Manas Air,2005,4,0,31423,82
Dastarkh%C4%81n,2010,11,0,40722,99
Balykchy,2012,6,2,48995,63
Kyrgyzstan,2005,1,0,90801,180
Flag of the Kirghiz Soviet Socialist Republic,2007,12,0,42288,78
Bishkek,2005,8,0,54117,75
List of newspapers in Kyrgyzstan,2006,10,0,26627,41
Sasanian Empire,2005,3,0,64763,230
Transit Center at Manas,2006,6,0,30429,45
Military of Kyrgyzstan,2008,9,4,54655,168
Hephthalite Empire,2010,11,24,97836,241
European route E60,2008,1,0,58446,379
Suzak,2008,1,0,30629,41
Banking in Kyrgyzstan,2015,4,1,45038,70
Naryn,2006,1,0,30911,35
European route E60,2012,8,0,109760,546
Kyrgyzstani som,2012,1,0,111744,286
1993%E2%80%932010 Constitution of Kyrgyzstan,2013,4,14,78436,160
Saimaluu Tash,2007,11,0,25657,36
List of universities in Kyrgyzstan,2012,10,0,44792,119
Kyrgyz Academy of Sciences,2010,10,0,27323,37
Forward Kyrgyzstan Party,2010,4,0,36031,63
Alysh,2011,6,1,38349,101
Where the Sky Meets the Land,2009,6,0,31101,58
Isfana,2011,9,2,36705,43
Salizhan Sharipov,2005,7,0,32473,72
1993%E2%80%932010 Constitution of Kyrgyzstan,2007,9,13,59176,98
Military of Kyrgyzstan,2006,4,0,30366,44
Babushka Adoption Foundation,2006,5,0,25575,38
Kaindy,2009,3,0,30041,41
Salizhan Sharipov,2012,3,11,59902,108
Yenisei Kirghiz,2012,11,5,72701,188
Tash Rabat,2008,12,0,31317,61
Akim,2008,12,0,30778,49
Tulip Revolution,2009,9,26,77246,166
Soviet Central Asia,2010,9,3,154645,606
Kaindy,2013,2,1,34345,52
National Bank of the Kyrgyz Republic,2013,8,4,63404,248
