filename,year,month,num_citations,file_size,forward_links
Acer platanoides,2013,8,25,81044,132
Forest Brothers,2012,7,32,108217,253
Balthasar Russow,2012,1,3,33229,58
Singing Revolution,2004,4,0,29293,32
Valerian (herb),2005,7,0,40115,44
Livonian Brothers of the Sword,2006,4,0,48917,104
Latvian Soviet Socialist Republic,2009,3,30,128295,292
Solidago virgaurea,2008,9,1,36388,61
Primula veris,2008,5,2,44979,95
Johann Steinhauer,2012,11,11,62183,116
Bauskas alus,2015,1,1,29762,51
Latvian War of Independence,2009,2,2,71177,209
Brothers%27 Cemetery,2007,4,0,30437,47
Livonia,2004,6,0,37866,98
Reichskommissariat Ostland,2003,11,0,29326,36
Ernst Johann von Biron,2007,1,0,37736,72
Liep%C4%81ja Special Economic Zone,2007,5,0,28696,37
Geography of Latvia,2009,4,0,65837,185
Imants Sudmalis,2010,6,6,38134,74
Soviet occupation of Latvia in 1940,2014,5,54,142545,299
Thlaspi arvense,2014,7,3,41376,82
Latvijas Balzams,2011,3,5,39954,72
Reichskommissariat Ostland,2011,1,9,141967,592
Rhinanthus minor,2008,5,0,36180,74
Gauja Estonians,2010,3,2,29745,48
Internet in Latvia,2009,11,2,36899,99
LGBT history in Latvia,2014,6,0,22198,25
Bandava,2009,3,1,29803,48
Dissolution of parliament in Latvia,2006,1,0,34210,74
Investment and Development Agency of Latvia,2010,8,3,43699,142
Dactylis glomerata,2011,10,12,57924,122
Primula veris,2012,5,7,54399,107
History of Latvia,2008,12,15,127958,545
Latvijas Telev%C4%ABzija,2010,8,0,69727,302
Kingdom of Livonia,2007,9,0,50548,193
Operation Priboi,2009,12,10,62082,120
Picea abies,2014,6,25,102984,190
Flag of Latvia,2009,6,0,72142,175
Cinevilla,2012,12,1,28953,50
Allium senescens,2013,9,2,43795,130
J%C4%93kabpils,2010,6,0,66280,279
Cicuta virosa,2010,1,1,42155,95
The Holocaust in Latvia,2011,5,43,167138,545
Government of Latvia,2008,12,0,38942,95
Pyotr Bestuzhev,2008,11,0,30141,67
Iceland%E2%80%93Latvia relations,2009,12,9,57920,121
"Rumbula, Riga",2013,12,0,37482,115
Veronica officinalis,2015,2,2,44641,88
"Rumbula, Riga",2005,12,0,67527,265
Latvia%E2%80%93United States relations,2011,9,0,78535,324
History of Latvia,2013,8,27,200995,839
Semigallians,2009,10,0,40372,71
Primula veris,2009,12,6,51573,113
Campanula rotundifolia,2010,4,1,45159,114
List of cities and towns in Latvia,2005,11,0,39192,107
Albert of Riga,2005,10,0,31782,68
Economy of Latvia,2006,5,0,39904,79
Foreign relations of Latvia,2012,2,21,102658,313
Serov Instructions,2007,5,3,30457,62
Coat of arms of Latvia,2005,8,0,39223,55
Serov Instructions,2007,6,3,30485,58
Geography of Latvia,2013,7,0,92195,348
Latvian War of Independence,2015,3,15,109718,334
Popular Front of Latvia,2007,9,0,45856,120
Emblem of the Latvian Soviet Socialist Republic,2009,12,0,43858,92
Latgalians,2006,1,0,29294,51
Dniepr Balts,2006,3,0,25609,37
Investment and Development Agency of Latvia,2010,3,3,44409,146
The Barricades,2008,6,17,85617,198
Daugavpils,2006,6,0,45270,68
Livonia,2008,5,10,127851,550
Livonia,2010,11,12,133437,510
S%C4%93lpils,2008,11,0,30881,76
Valerian (herb),2010,1,16,156131,735
List of mammals of Latvia,2013,8,1,76444,308
Curonians,2011,3,3,46021,119
Valmiera,2007,2,0,34825,50
German occupation of Latvia during World War II,2012,10,3,140478,692
Curonians,2006,6,0,34526,65
Pokrov Cemetery,2011,9,1,42382,101
Cicuta virosa,2005,4,0,33103,45
Semigallians,2010,5,0,49460,131
List of mammals of Latvia,2007,9,1,67708,253
Reichskommissariat Ostland,2012,11,13,190849,843
Latvian lats,2014,6,6,112998,392
Flag of the Latvian Soviet Socialist Republic,2007,7,0,41659,72
Cicuta virosa,2011,8,1,42438,96
Acer platanoides,2005,2,0,39066,63
Economy of Latvia,2014,7,26,111037,286
Colchicum autumnale,2004,5,0,30456,25
Economy of Latvia,2004,4,0,33634,44
Latvian Riflemen,2013,3,1,63129,162
Forest Brothers,2011,7,30,106038,264
T%C4%93rvete,2009,12,0,34134,56
Latvian War of Independence,2013,2,15,108850,337
Pytalovo,2005,5,0,29611,44
Northern Dimension Partnership in Public Health and Social Well being,2011,1,5,40854,45
Reichskommissariat Ostland,2014,12,13,204173,873
Kingdom of Livonia,2015,4,4,39145,68
Dactylis glomerata,2014,5,13,57527,127
Terra Mariana,2006,3,0,33383,72
Campanula glomerata,2010,4,0,38917,80
Foreign relations of Latvia,2008,9,0,57370,249
Campanula glomerata,2009,8,0,37206,72
Forest Brothers,2011,8,30,106176,264
Anthriscus sylvestris,2006,4,0,37260,62
Dactylis glomerata,2011,3,12,56907,117
Courland Governorate,2011,10,5,80463,289
Saldus Art School,2009,9,1,30994,50
Acer platanoides,2009,6,10,58439,111
