filename,year,month,num_citations,file_size,forward_links
Greater Syria,2009,4,3,60723,250
Moussa El Hage,2014,12,8,30172,41
1958 Lebanon crisis,2010,7,0,52598,103
Commanders of the Lebanese Armed Forces,2010,3,1,42046,89
List of Phoenician cities,2011,2,0,36912,110
"Lebanese general election, 2005",2008,5,1,53477,146
Sursock Museum,2014,1,9,39127,67
Lebanon,2008,11,80,274901,925
Geography of Lebanon,2011,2,0,81685,324
Lebanon,2007,11,102,313492,1205
Alfa (Lebanon),2013,10,1,33232,60
National Liberal Party (Lebanon),2015,3,3,86265,358
Aramean Democratic Organization,2009,4,6,35778,48
Jewish cemetery of Beirut,2010,4,0,28620,42
Sidon,2010,4,6,139051,462
Maghdouch%C3%A9,2012,11,7,40085,62
Georges Haddad,2015,2,4,28790,45
Berytos Airlines,2008,7,1,35900,94
"Tyre, Lebanon",2007,8,10,76903,198
Lebanese Civil War,2008,5,31,229154,979
Socialist Lebanon,2014,9,0,26508,41
Baalbek,2013,5,23,168849,561
Baatara gorge waterfall,2011,7,8,41384,53
Lebanese Air Force,2008,5,2,48430,129
Melodrama Habibi,2012,8,1,34460,51
LGBT rights in Lebanon,2009,1,0,56938,140
Deir Mimas,2009,2,2,29637,44
Shebaa farms,2013,9,45,134601,195
Lara Habib Chamat,2012,11,0,34046,74
Lebanese people,2013,7,50,193004,755
Tabarja,2009,4,2,26281,37
Cedar Revolution,2011,3,42,169814,521
Lebanese government of July 2008,2009,12,0,42558,150
Jiyeh Power Station oil spill,2012,6,17,61353,112
Beirut Naval Base,2008,11,1,37178,79
Batata harra,2011,1,0,38189,165
Gemayel family,2011,8,0,30626,59
Politics of Lebanon,2004,10,0,38371,54
History of ancient Lebanon,2007,4,0,43365,73
List of Lebanese people,2006,2,0,50582,243
Lebanese Communication Group,2009,2,0,29037,54
Bzoummar,2008,10,0,28988,59
History of Lebanon,2013,5,75,248617,589
Multinational Force in Lebanon,2011,11,5,57992,159
United States Ambassador to Lebanon,2012,11,0,69215,307
Coat of arms of Lebanon,2008,11,1,47709,123
Batroumine,2012,2,12,65949,291
Beirut Hotel,2014,1,2,37515,69
Mzaar Kfardebian,2014,1,8,40734,52
Batroun,2007,8,9,48355,89
Good Fence,2005,9,0,27680,55
Achaemenid Phoenicia,2014,4,1,36799,81
History of ancient Lebanon,2008,12,0,51308,162
Maronite mummies,2008,12,30,59512,62
Jieh,2006,8,0,48285,61
Italian Lebanese,2012,9,4,53983,151
List of kings of Tyre,2012,2,6,47955,104
Sursock Museum,2008,12,6,35161,56
Geography of Lebanon,2005,1,0,28218,36
Parliament of Lebanon,2014,12,4,119439,429
United Nations Interim Force in Lebanon,2009,10,82,171433,392
Timeline of Lebanese history,2011,3,2,88884,350
Timeline of Ottoman Syria history,2015,4,6,92307,442
1968 Israeli raid on Lebanon,2010,6,3,37680,78
Byblos,2012,1,26,129768,506
West Beirut (film),2007,4,0,36657,69
Stone of the Pregnant Woman,2014,11,11,61945,235
Commanders of the Lebanese Armed Forces,2010,2,1,42251,91
Lebanese Civil War,2008,6,31,230268,984
Geography of Lebanon,2004,4,0,27811,37
Democratic Socialist Party (Lebanon),2012,7,0,28607,52
Raymond Eid,2013,3,2,29824,51
2008 conflict in Lebanon,2012,2,73,178319,308
Economy of Lebanon,2012,9,18,102055,288
Baalbek,2005,8,0,51367,121
Beirut Naval Base,2011,1,1,35969,80
Gemayel family,2010,1,0,28812,45
Elias Peter Hoayek,2008,3,0,43666,134
Constitution of Lebanon,2005,9,0,37037,85
Fairuz,2014,1,19,108986,225
Water politics in the Middle East,2008,7,11,41644,78
Economy of Lebanon,2006,1,0,38344,61
Geography of Lebanon,2010,12,0,81199,314
Elie Bechara Haddad,2015,4,4,30639,41
National Broadcasting Network (Lebanon),2010,9,0,35026,66
Jabal Amel,2014,11,3,38528,74
Confessionalism (politics),2010,8,1,30546,50
Liban Lait,2008,11,0,25915,43
Jabal Amel,2010,9,0,35235,68
"Tyre, Lebanon",2006,3,0,50686,115
Districts of Lebanon,2004,11,0,29790,66
Phoenicia,2008,12,12,161767,732
Cedar Revolution,2006,6,0,84026,259
Alfa (Lebanon),2008,6,0,24742,40
Batroun,2007,12,9,48297,95
Paulet%E2%80%93Newcombe Agreement,2010,2,3,33704,63
Outline of Lebanon,2011,1,7,101970,294
Parliament of Lebanon,2007,11,0,53536,104
Politics of Lebanon,2013,2,8,110993,424
2008 conflict in Lebanon,2014,1,72,183366,301
Jounieh,2013,2,0,50092,109
Bkerk%C3%A9,2008,5,1,25459,40
Lebanese government of July 2005,2008,8,0,46580,171
Taif Agreement,2008,5,5,39900,92
Republican Guard (Lebanon),2009,8,0,39142,90
Tarek Mitri,2012,9,8,32917,44
Aammiq Wetland,2010,3,0,50610,147
Iranian diplomats kidnapping (1982),2009,7,0,32118,65
Parliament of Lebanon,2009,5,2,83524,214
History of ancient Lebanon,2007,6,0,45206,130
Canaan,2008,8,39,154068,637
Syria Accountability Act,2006,9,0,27214,48
Aramean Democratic Organization,2012,7,6,34957,53
Phoenicia,2010,1,34,185230,732
Lebanese people,2009,9,26,97266,306
Beirut Air Base,2009,4,2,45376,104
Lebanese Civil War,2014,4,57,273427,870
Index of Lebanon related articles,2005,10,0,54028,273
Faraya,2012,4,0,29620,43
Zozo,2006,2,0,25901,43
Ottoman Syria,2011,11,2,92111,407
Batroun,2013,1,11,86779,383
Geography of Lebanon,2008,9,0,59316,171
Islamic Dawa Party in Lebanon,2014,7,5,35209,68
2006%E2%80%9308 Lebanese political protests,2010,4,72,123816,230
Arab Liberation Party,2012,10,1,27690,54
Sidon Sea Castle,2014,11,5,41426,62
Corniche Beirut,2014,8,5,40105,64
Mister Lebanon,2012,5,0,31781,47
American University of Science and Technology,2005,9,0,23940,27
Lebanese Air Force,2010,9,19,95276,192
Seyed Mohsen Mousavi,2015,2,2,25704,38
Telecommunications in Lebanon,2008,7,3,51752,171
List of diplomatic missions in Lebanon,2008,7,0,93592,162
Batroun,2005,2,0,27316,30
Karantina massacre,2008,5,1,33956,78
Amurru kingdom,2013,1,2,34311,56
International rankings of Lebanon,2012,12,11,50915,144
Kadisha Valley,2007,4,3,38605,78
List of wars involving Lebanon,2013,3,0,72982,194
Syrian occupation of Lebanon,2011,9,8,73191,215
Mzaar Kfardebian,2010,7,0,36034,53
Lebanese Basketball League,2009,3,0,65484,269
Zozo,2007,12,1,37646,90
Hamat,2013,3,1,31501,55
2002 Arab League summit,2003,9,0,28245,43
Parliament of Lebanon,2005,10,0,43430,96
Fairuz,2011,11,19,95555,207
Mei Shigenobu,2010,11,16,56845,65
Jorge Saade,2006,12,0,30776,43
Tourism in Lebanon,2015,4,40,197798,673
Republic of Venice,2013,4,21,136116,438
Lebanese Civil War,2015,4,60,298764,930
Liberation Day (Lebanon),2008,5,2,27835,51
Sidon Sea Castle,2015,2,5,42683,61
Transport in Lebanon,2007,5,1,39180,71
Beiteddine Festival,2014,6,0,53739,130
Jeita Grotto,2010,5,37,118233,241
Commemorative stelae of Nahr el Kalb,2014,8,8,87782,163
Jabal Amel,2007,7,0,35056,76
Beirut Central District,2011,9,17,128500,358
Skiing in Lebanon,2013,2,20,47967,69
Hamra Street,2011,7,2,36317,54
"Tyre, Lebanon",2012,4,32,147240,604
Al Istiyaf fi Lubnan,2012,3,1,23294,30
Baalbek,2006,12,4,65058,156
1958 Lebanon crisis,2007,5,0,39707,85
List of political parties in Lebanon,2014,6,0,136687,537
Baalbek,2013,4,22,171206,582
Lebanese%E2%80%93Syrian border clashes,2015,1,30,157998,547
Sidon,2015,4,14,202249,746
Telecommunications in Lebanon,2009,5,3,51320,161
Taif Agreement,2011,3,2,37617,73
List of kings of Tyre,2008,10,2,36857,64
"Tripoli, Lebanon",2014,1,30,161265,329
Multinational Force in Lebanon,2014,11,10,65666,164
Jabal Amel,2008,10,0,42343,90
Ziad Fazah,2014,1,3,39520,109
Everyday Is a Holiday,2010,9,1,39011,74
Zeno of Sidon,2009,2,7,49089,180
May Hariri,2008,6,0,24202,38
Shebaa farms,2009,10,45,147942,261
American University of Science and Technology,2007,12,0,34658,55
Lebanese Civil War,2009,5,34,241651,905
Zozo,2010,2,1,42204,108
List of Lebanese people,2011,1,10,81871,346
Hasmonean dynasty,2005,8,0,71615,323
Lebanese Civil War,2011,7,32,268336,931
Ziad Fazah,2008,3,2,41425,118
List of attacks in Lebanon,2011,7,19,68791,150
Kadisha Valley,2007,9,3,39280,77
List of people on stamps of Lebanon,2006,1,0,30811,62
List of Lebanese people,2009,4,37,88380,267
Mohammad Al Amin Mosque,2007,11,0,27590,44
The Lebanese Rocket Society (film),2014,7,4,37783,66
History of Kfarsghab,2011,5,45,111809,306
Democratic Renewal (Lebanon),2012,6,2,39661,93
Canaan,2013,3,37,182156,721
Fakhredine Mosque,2008,2,0,25235,40
Lebanese Air Force,2008,7,2,49216,125
Syrian occupation of Lebanon,2009,7,1,65633,184
Jeita Grotto,2011,11,38,144692,459
National Dialogue Party,2009,5,4,49528,130
Bosta (film),2013,6,3,34100,62
Islamic Group (Lebanon),2015,2,4,43656,104
Prince Georg Philipp of Saxe Gessaphe,2010,7,1,80340,66
List of attacks in Lebanon,2008,9,0,52408,138
Lebanese Navy,2007,10,0,27033,39
Lebanese government of July 2005,2008,3,0,45258,164
Fares D. Noujaim,2010,5,2,28681,48
Lebanese Air Force,2009,1,11,76930,183
Tourism in Lebanon,2012,6,35,131493,421
Batroun,2007,9,9,48323,93
Hula massacre,2009,8,1,29324,50
Jabal Amel,2014,9,1,35736,76
Mazlo,2013,3,7,37671,62
History of Lebanon,2007,7,4,172510,535
Phoenicianism,2008,7,5,45011,88
Mount Lebanon,2010,5,2,53038,100
Coat of arms of Lebanon,2008,6,1,46489,120
Agriculture in Lebanon,2010,6,12,90974,287
Stone of the Pregnant Woman,2011,9,7,57032,241
Margaliot,2007,6,0,30742,62
History of ancient Lebanon,2010,6,0,51680,157
Democratic Socialist Party (Lebanon),2009,5,0,28744,44
Sidon,2012,3,10,157580,625
Zahliote Group,2009,10,0,28013,57
Maronite Church,2014,9,22,140103,539
Lebanese Navy,2014,8,12,84487,179
Abdastartus,2012,11,5,29824,54
Shebaa farms,2009,3,45,148757,261
Archaeology of Lebanon,2012,5,14,86767,363
Aztag (daily),2008,7,1,28116,50
Raymond Eid,2013,10,2,27948,44
Khazen,2012,2,1,30467,66
Coat of arms of Lebanon,2005,8,0,31732,28
Tarek Saab,2008,2,0,43582,118
"Tyre, Lebanon",2008,10,22,101938,305
Dinniyeh,2010,8,1,27050,54
Names of the Levant,2011,1,4,62439,269
Battle of Amioun,2007,9,1,31367,60
Southern Lebanon,2008,6,0,50930,147
Agriculture in Lebanon,2013,8,12,92145,278
2009 Jeux de la Francophonie,2012,4,28,168676,378
Index of Lebanon related articles,2005,7,0,54250,269
List of political parties in Lebanon,2009,8,0,128467,494
Lebanese Forces,2012,4,16,94464,258
Democratic Renewal (Lebanon),2008,6,0,44393,115
History of ancient Lebanon,2007,3,0,40738,63
Kadisha Valley,2007,2,3,36512,63
Islamic Dawa Party in Lebanon,2011,6,5,34191,64
United Nations Interim Force in Lebanon,2011,3,119,224665,324
Zahliote Group,2014,6,0,29459,61
Riad Salameh,2015,1,2,38664,56
Banque du Liban,2013,12,0,74849,293
Ziad Fazah,2008,7,2,39639,109
Bassem Breish,2012,5,2,29185,47
"Tyre, Lebanon",2010,10,26,124763,415
Economy of Lebanon,2014,2,34,130265,316
Margaliot,2007,7,0,31046,64
Shebaa farms,2006,5,1,42436,64
Aramean Democratic Organization,2008,6,6,32876,56
Maya Ha%C3%AFdar Boustani,2014,8,5,50438,92
ISO 3166 2:LB,2010,8,0,82860,698
List of Lebanese people,2011,8,10,84730,369
Citadel of Raymond de Saint Gilles,2010,12,1,33168,48
Lebanese Air Force,2010,10,19,96306,204
National Pact,2013,10,0,34158,66
Lebanese Air Force,2009,11,21,96998,211
West Beirut (film),2013,12,0,42797,84
Phoenicia InterContinental Hotel,2009,1,3,30500,47
United Nations Interim Force in Lebanon,2011,12,120,227966,342
Tarek Saab,2008,8,0,49312,133
T%C3%A9l%C3%A9 Liban,2009,5,0,49319,195
Mohammed Shreidi,2009,12,2,26139,45
Coat of arms of Lebanon,2009,4,1,47391,124
List of Lebanese people,2013,12,4,83261,399
Association for the Protection of the Lebanese Heritage,2015,3,8,43166,60
March 8 Alliance,2009,8,1,56029,179
Canaan,2014,11,66,266370,1100
Port of Beirut,2006,9,0,29309,59
Beirut Central District,2011,2,1,32503,64
Civilis%C3%A9es,2013,3,0,35487,65
Lebanon Mountain Trail,2010,1,0,29875,44
Beirut International Exhibition %26 Leisure Center,2009,1,0,32079,63
Lebanese housing bubble,2013,1,6,32101,28
Rue Maarad,2014,2,3,31518,60
Paul Bassim,2013,1,0,32671,70
Rue Verdun,2013,3,2,37620,80
Jamal al Din Hamdan,2014,11,0,31167,57
Baalbek,2010,2,15,117570,315
Islamic Group (Lebanon),2013,8,4,43579,104
Beirut Souks,2011,8,15,73061,154
Fairuz,2009,2,1,74989,183
Syrian occupation of Lebanon,2004,9,0,24772,34
Phoenicia InterContinental Hotel,2013,3,8,39104,65
Cedar Revolution,2009,1,41,121131,369
Members of the 2009%E2%80%9317 Lebanese Parliament,2014,4,0,111115,578
Aramean Democratic Organization,2015,1,5,44169,97
Baalbek,2006,6,0,53387,123
History of Lebanon,2008,5,4,177966,506
Water politics in the Middle East,2009,2,31,67181,124
Canaan,2014,1,39,225935,1019
Lebanese Movement in Support of Fatah,2013,9,0,27795,52
LERC,2013,12,1,25302,38
2002 Arab League summit,2006,7,0,40163,89
Canaan,2013,5,38,187279,719
2006%E2%80%9308 Lebanese political protests,2008,8,74,126097,295
Islamic Group (Lebanon),2012,7,4,43174,97
Republic of Venice,2005,9,0,51251,108
Beiteddine Palace,2014,8,0,33235,56
Ministry of National Defense (Lebanon),2008,11,1,55886,182
Khalass,2010,6,3,36843,65
Gemayel family,2007,2,0,28171,48
Bzoummar,2008,9,0,28440,52
Sport in Lebanon,2011,7,0,46110,169
Battle of Amioun,2006,10,0,25980,47
Governorates of Lebanon,2008,3,0,46394,98
Timeline of Lebanese history,2010,6,2,91132,419
Aramean Democratic Organization,2013,12,6,35363,53
Lebanese Basketball League,2013,7,0,130922,498
Tourist Landmark of the Resistance,2012,1,8,52903,97
Phoenicia,2013,11,61,222835,828
Batata harra,2007,3,0,26615,46
Lebanese Rally Championship,2010,7,0,30619,67
Lebanese Communication Group,2007,4,0,30127,50
Cedars of God,2010,3,1,58012,102
2006%E2%80%9308 Lebanese political protests,2008,2,69,115167,265
Aztag (daily),2006,8,0,27009,45
Sidon Soap Museum,2012,12,1,28615,44
Lebanese government of April 2013,2013,6,8,59429,152
National Pact,2005,11,0,29401,50
2010 West Asian Football Federation Women%27s Championship,2014,7,3,93150,172
Union Party (Lebanon),2008,8,0,26835,46
Names of the Levant,2007,4,0,45324,171
List of Lebanese monuments,2014,11,0,26080,46
Mustafa Dirani,2012,8,0,28147,49
"Tripoli, Lebanon",2009,7,10,95341,253
Beqaa Valley,2009,9,5,50149,138
Politics of Lebanon,2013,12,8,109923,417
March 8 Alliance,2007,10,0,44997,131
Dinnieh clashes,2008,7,5,33476,65
Levant,2008,8,0,74349,234
.lb,2009,4,0,67829,405
Jiyeh Power Station oil spill,2009,4,16,62234,130
Port of Beirut,2010,2,2,39432,77
Arab Revolt,2007,1,0,61584,206
Marc Karam,2010,2,8,36785,61
Archaeology of Lebanon,2011,10,12,81577,335
Sport in Lebanon,2014,9,22,76193,275
Lebanese Navy,2008,1,0,27132,43
International rankings of Lebanon,2010,6,11,54430,151
Syrians in Lebanon,2015,1,1,42373,112
Lebanese shipping,2012,8,2,44091,124
Hamat,2008,2,1,25313,36
French Mandate for Syria and the Lebanon,2011,12,8,155570,577
Fairuz,2010,3,9,78806,175
Touch (Lebanon),2013,12,0,28989,37
Union Party (Lebanon),2009,4,0,26792,46
Canaan,2008,1,40,144543,603
User:NawafDandachi,2013,8,1,31052,34
Saifi Village,2009,4,3,28102,47
Berytos Airlines,2008,2,1,35690,92
ISO 3166 2:LB,2010,3,1,83547,694
French Mandate for Syria and the Lebanon,2012,10,7,156427,519
Lebanese Armed Forces,2010,1,31,182761,575
Taif Agreement,2009,3,5,39909,88
Bilad al Sham,2007,6,0,29942,63
Phoenicia,2014,11,66,239526,898
Mount Lebanon,2010,2,8,59108,120
Tourism in Lebanon,2009,7,30,114541,381
Karantina massacre,2008,1,0,33948,77
Lebanese society,2014,10,8,47223,69
T%C3%A9l%C3%A9 Liban,2014,1,4,60492,223
Bassem Breish,2014,12,3,29340,45
T%C3%A9l%C3%A9ph%C3%A9rique (Jounieh),2013,2,4,27833,38
Campaigns of the Arab Revolt,2007,12,0,82329,332
Maghdouch%C3%A9,2013,3,6,41101,66
Timeline of Lebanese history,2013,1,1,67324,198
"Tyre, Lebanon",2014,7,33,157565,622
Al Qanat,2014,8,1,26305,40
Iranian diplomats kidnapping (1982),2006,5,0,29680,47
Doha Agreement,2009,1,6,53332,109
Telecommunications in Lebanon,2013,4,6,117861,555
Hamat,2008,6,1,25662,39
Sursock Museum,2012,5,9,38382,64
Toron,2010,1,0,40359,138
Alfa (Lebanon),2010,7,1,31577,52
Sidon,2010,6,6,139008,467
Dr. Dahesh,2006,1,0,26436,47
Shebaa farms,2014,1,45,132191,209
Lebanese society,2015,3,8,49532,74
Canaan,2008,6,41,154009,638
Hasmonean dynasty,2015,3,65,213482,671
Shebaa farms,2004,9,0,37298,53
Our Lady of Lebanon,2013,4,4,49397,103
Miss Lebanon Emigrant 2008,2014,8,2,35609,68
Nassim Nicholas Taleb,2008,11,27,87741,181
Aammiq Wetland,2011,10,1,53617,152
Nassim Nicholas Taleb,2007,1,7,48118,86
Bosta (film),2011,8,3,40742,95
Islamic Group (Lebanon),2012,6,3,40248,96
Zahl%C3%A9,2011,11,12,129062,373
Byblos,2008,9,2,64858,168
Nassim Nicholas Taleb,2015,4,106,193524,334
Temple of Bacchus,2012,1,0,41988,218
Deir Mimas,2009,1,2,29633,44
National Dialogue Party,2010,10,4,49633,131
Jiyeh Power Station oil spill,2011,4,17,61980,108
Rue Gouraud,2008,4,1,24295,39
Lebanon,2007,10,94,300930,1190
Coat of arms of Lebanon,2009,2,1,47297,124
Lebanese Navy,2009,4,10,73021,139
Timeline of Ottoman Syria history,2010,11,6,77752,360
Cedar Revolution,2014,6,42,176978,554
Taif Agreement,2015,3,10,54396,90
Hamat,2012,11,1,31032,49
Water politics in the Middle East,2012,5,27,84245,153
Lebanese Air Force,2010,4,19,93533,194
"Tyre, Lebanon",2014,6,33,158033,630
Cedar Revolution,2008,5,41,110415,310
Lebanese Forces,2011,11,17,94168,255
"Martyrs%27 Square, Beirut",2013,7,2,36829,67
Byblos,2012,3,26,129903,507
Fairuz,2010,1,8,79771,172
United Nations Interim Force in Lebanon,2006,4,0,40428,81
List of Lebanese people,2008,9,29,108768,475
Lebanese Air Force,2014,5,21,103266,198
Tannoura Maxi,2012,4,1,23180,29
Aramean Democratic Organization,2009,3,6,35785,50
Italian Lebanese,2012,1,4,52272,140
Constitution of Lebanon,2009,12,0,38030,84
Ch%C3%A2teau Ksara,2008,6,0,25792,53
Timeline of Ottoman Syria history,2014,4,6,89730,443
Stone of the Pregnant Woman,2011,1,7,40149,61
Phoenicia,2005,4,0,69262,206
Fadi Haddad,2009,12,0,32251,59
Daoud Corm,2014,4,1,25923,40
Baalbek,2007,3,4,72006,162
Jiyeh Power Station oil spill,2010,12,17,61470,113
Cedars of God,2011,11,3,48227,88
Temple of Eshmun,2015,3,56,175601,611
