filename,year,month,num_citations,file_size,forward_links
Liberia Herald,2012,1,2,29710,55
Constitution of Liberia,2009,11,0,24732,36
President of Liberia,2012,11,4,147235,553
History of Liberia,2009,6,17,147738,433
Liberian Girl Guides Association,2009,11,0,33580,56
Liberia,2012,5,102,352728,882
History of Liberia,2009,2,17,148381,435
History of Liberia,2005,11,0,40692,111
Economy of Liberia,2010,1,0,53111,192
Bassa people (Liberia),2008,7,0,28944,47
UTC%E2%88%9200:44,2011,1,1,38285,119
Roman Catholic Archdiocese of Monrovia,2007,11,0,30807,60
Anti Terrorist Unit (Liberia),2012,4,5,28530,38
History of Liberia,2009,5,17,147738,432
United Nations Mission in Liberia,2010,1,6,87270,271
Liberians United for Reconciliation and Democracy,2010,11,1,32841,53
Robert F. Stockton,2007,4,0,37766,111
Coalition for the Transformation of Liberia,2009,12,0,34975,77
Liberia,2014,12,138,414301,1027
Central Bank of Liberia,2014,2,1,62440,257
Kimmie Weeks,2013,5,13,52824,84
Blood diamond,2013,4,43,110406,199
Tajuasohn language,2012,6,2,33261,60
Liberia,2007,10,8,166819,536
Firestone Natural Rubber Company,2008,11,1,31863,56
St. Patrick%27s High School (Liberia),2010,3,4,32599,48
Kimmie Weeks,2011,2,13,48838,76
Daniel Dulany Addison,2005,12,0,24391,43
Robert F. Stockton,2006,8,0,37471,106
Robert F. Stockton,2009,7,3,68246,301
Gbandi language,2011,7,1,34332,63
Robert F. Stockton,2005,3,0,31130,80
Kimmie Weeks,2010,12,13,48600,85
Joint Task Force Liberia,2009,2,2,31391,56
Poro,2012,11,1,32443,45
Roman Catholic Archdiocese of Monrovia,2007,12,0,30228,53
Air Liberia,2012,9,1,38248,100
Operation Shining Express,2004,4,0,24052,37
Index of Liberia related articles,2012,7,0,32647,68
List of cities in Liberia,2010,6,0,41492,135
GreenvilleSinoe Airport,2014,4,5,39201,74
Liberia,2002,2,0,57418,33
National Patriotic Front of Liberia,2013,10,0,35283,68
Bridge Airlines,2009,11,0,38103,102
Outline of Liberia,2008,6,0,68703,129
United People%27s Party (Liberia),2006,12,0,37705,94
President of Liberia,2011,11,3,147129,555
List of diplomatic missions in Liberia,2015,3,33,81876,177
Nimba Airport,2009,9,0,30879,59
Pepper Coast,2011,2,0,31411,52
Blood diamond,2005,5,0,31473,54
Liberian Federation of Labour Unions,2007,4,0,28883,45
Buduburam,2006,5,0,26556,52
Bassa people (Liberia),2005,9,0,27767,44
Alliance for Peace and Democracy (Liberia),2014,8,0,33627,72
Robert F. Stockton,2013,11,4,73445,311
Republican Party (Liberia),2009,2,0,36609,84
Loma people,2011,8,3,37243,65
Masonic Order of Liberia,2010,5,3,31978,52
Women of Liberia Mass Action for Peace,2012,10,19,52584,91
History of Liberia,2006,6,0,44348,152
United Democratic Alliance,2013,8,1,33959,70
Index of Liberia related articles,2009,3,0,30358,63
History of Liberia,2008,9,15,144314,431
History of Liberia,2013,10,34,188908,484
Firestone Natural Rubber Company,2007,10,1,30430,52
List of diplomatic missions in Liberia,2009,11,0,47145,114
Roman Catholic Diocese of Cape Palmas,2007,9,0,33483,54
Liberian People%27s Party,2006,6,0,36851,90
Liberian dollar,2012,7,2,81746,279
Congress for Democratic Change,2010,10,0,32648,64
Bassa alphabet,2011,6,1,85104,518
Chief Justice of Liberia,2011,10,0,60782,199
Governance and Economic Management Assistance Program,2006,9,0,26224,34
Hotel Africa,2012,11,4,35403,59
Liberian Action Party,2007,3,0,36971,87
Liberian dollar,2006,4,0,43485,129
Tajuasohn language,2008,3,2,34573,66
People%27s Democratic Party of Liberia,2008,8,0,32242,69
President of Liberia,2010,6,5,118967,465
Liberian dollar,2007,1,0,66012,241
First International Bank (Liberia),2010,4,4,36937,73
Education in Liberia,2013,1,0,46110,119
Liberia Peace Council,2005,8,0,23389,43
Operation Shining Express,2010,10,0,29828,52
Truth and Reconciliation Commission (Liberia),2009,5,0,28513,46
History of Liberia,2004,10,0,37551,98
Legislature of Liberia,2010,7,0,58924,187
Liberia,2004,3,0,70907,111
Geography of Liberia,2002,2,0,27164,29
Clay Ashland,2008,12,9,36786,57
Liberia Equal Rights Party,2007,11,0,34965,77
Buduburam,2007,6,0,27734,48
Kimmie Weeks,2007,4,0,31405,36
List of Liberians,2014,7,0,31125,105
List of slums in Liberia,2013,5,0,25685,44
Poro,2007,5,0,27937,42
Monrovia Transit Authority,2009,12,0,29407,54
President of Liberia,2013,4,4,148863,560
Seaview Golf Club,2013,3,0,27812,48
Blood diamond,2010,8,34,95889,166
Operation Shining Express,2003,7,0,22305,31
First Liberian Civil War,2007,12,1,63365,162
Armed Forces of Liberia,2008,10,21,65911,164
Buduburam,2011,2,1,34440,55
Boy Scouts of Liberia,2007,3,0,30152,47
Satgur Air Transport,2006,6,0,33853,84
History of Liberia,2013,9,33,188132,482
Politics of Liberia,2007,11,0,86079,244
First Liberian Civil War,2006,11,0,37486,87
National Patriotic Front of Liberia,2005,11,0,29638,68
National Reformation Party,2012,8,0,33238,77
Bridge Airlines,2011,5,0,37791,95
Bassa people (Liberia),2007,2,0,27887,45
Geography of Liberia,2012,7,0,61277,235
List of people on stamps of Liberia,2005,12,0,29348,82
Liberian greenbul,2007,7,0,30239,55
Governance and Economic Management Assistance Program,2012,9,0,32711,56
Telephone numbers in Liberia,2010,4,0,35756,109
Blood diamond,2013,5,42,108913,198
Tchien Airport,2009,2,0,31028,59
Kimmie Weeks,2012,11,13,52679,82
Agents and Governors of Liberia,2012,6,0,38550,76
Education in Liberia,2008,6,0,38692,111
Women of Liberia Mass Action for Peace,2011,10,19,52220,90
Lamco,2008,3,0,26928,50
First Liberian Civil War,2007,3,1,45250,107
Liberians United for Reconciliation and Democracy,2008,8,1,31887,60
National Patriotic Reconstruction Assembly Government,2008,11,0,28927,51
Women of Liberia Mass Action for Peace,2011,6,19,51605,92
Blood diamond,2011,10,34,99915,188
Central Bank of Liberia,2011,11,0,59947,250
Masonic Order of Liberia,2014,1,6,49049,160
Reformed United Liberia Party,2006,6,0,35697,81
Geography of Liberia,2006,12,0,45243,157
Air Liberia,2005,12,0,31427,77
History of Liberia,2010,2,18,148309,424
Clans of Liberia,2008,5,0,43293,148
Coalition for the Transformation of Liberia,2007,11,0,32165,66
First Liberian Civil War,2008,6,3,62788,157
Kentucky In Africa,2009,2,3,26596,44
Daniel Dulany Addison,2011,6,0,29072,52
Boy Scouts of Liberia,2007,2,0,30116,47
Liberians United for Reconciliation and Democracy,2010,9,1,32825,53
Liberty Party (Liberia),2007,9,0,32463,67
First Liberian Civil War,2007,11,1,63715,170
Liberia,2005,3,0,91300,221
United Nations Mission in Liberia,2008,4,5,82207,290
History of Liberia,2003,6,0,30096,42
President of Liberia,2006,12,2,71265,295
Liberian Times,2013,2,3,34231,63
Liberian People%27s Party,2014,11,0,34449,80
National Vision Party of Liberia,2009,8,0,35683,76
First International Bank (Liberia),2015,2,4,37916,73
Liberia,2010,3,41,261375,790
Liberia Equal Rights Party,2009,12,0,36947,84
Bassa people (Liberia),2006,5,0,26339,41
Tajuasohn language,2009,3,2,34179,65
Air Liberia,2008,2,0,35929,93
Liberia Equal Rights Party,2005,9,0,24392,40
Liberia,2007,1,1,146468,454
Blood diamond,2014,1,41,112758,198
Mano River Union,2007,10,0,32403,66
Poro,2010,6,1,31948,54
Liberia,2009,10,36,253668,774
Reformed United Liberia Party,2005,11,0,34245,75
Armed Forces of Liberia,2009,2,38,86945,204
Western Krahn language,2011,10,0,30961,64
Buduburam,2006,12,0,27184,52
Robert F. Stockton,2007,2,0,37410,105
Union of Liberian Democrats,2005,10,0,25240,36
Armed Forces of Liberia,2010,10,87,164442,307
Mano River Union,2012,5,0,35322,75
Blood diamond,2013,1,42,108145,187
Bassa people (Liberia),2012,5,1,31263,55
UTC%E2%88%9200:44,2008,1,0,37033,115
Hotel Africa,2012,4,4,35239,59
History of Liberia,2014,3,34,176629,455
Cape Palmas Airport,2009,12,0,32207,59
National Patriotic Party,2004,9,0,33868,73
Liberia,2013,2,106,364772,912
Dewoin language,2011,5,2,34146,66
Outline of Liberia,2012,5,2,91739,246
Blood diamond,2015,2,43,115320,171
Public holidays in Liberia,2010,9,1,48839,184
Kpelle language,2014,11,4,48915,141
Tajuasohn language,2011,4,2,32979,60
Maryland State Colonization Society,2010,3,15,58157,88
Economy of Liberia,2008,2,0,46789,178
Governance and Economic Management Assistance Program,2009,7,0,31703,47
Kimmie Weeks,2007,12,11,40569,66
Armed Forces of Liberia,2014,1,94,179488,349
Liberian Girl Guides Association,2009,6,0,31368,47
National Democratic Party of Liberia,2009,12,0,34658,76
History of Liberia,2010,4,23,151130,426
Buduburam,2011,10,1,34740,61
Gbii language,2013,9,3,33192,65
United Democratic Alliance,2011,5,1,34012,72
Loma people,2011,5,3,37063,63
Firestone Natural Rubber Company,2011,7,5,42198,65
Poro,2008,11,0,31493,52
Boy Scouts of Liberia,2009,5,0,31160,49
List of Ambassadors of the United Kingdom to Liberia,2014,2,23,71028,216
Blood diamond,2008,1,26,92556,192
First Liberian Civil War,2007,8,1,63605,164
Liberia Herald,2009,12,2,29829,61
Economy of Liberia,2005,1,0,33170,88
Independent National Patriotic Front of Liberia,2013,12,2,27964,44
Ducor Hotel,2010,10,2,30434,62
Politics of Liberia,2008,4,0,89396,257
Mano language,2013,8,1,32406,66
Sapo language,2012,12,2,33632,64
President of Liberia,2011,12,3,146797,553
Liberian greenbul,2010,2,0,32980,65
Satgur Air Transport,2006,8,0,34130,84
Ivory Coast Expedition,2013,10,5,58949,194
Blood diamond,2013,7,42,108828,191
Poro,2007,7,0,27761,42
Roman Catholic Diocese of Cape Palmas,2013,12,0,35694,67
Liberian Federation of Labour Unions,2010,3,0,30801,53
Congress for Democratic Change,2006,6,0,37856,84
Lamco Airport,2009,1,0,30764,59
Liberian dollar,2008,7,2,72889,248
History of Liberia,2011,3,23,160082,414
Liberians United for Reconciliation and Democracy,2008,7,0,30633,53
Liberia,2015,2,137,415193,1032
Minister of Foreign Affairs (Liberia),2008,8,0,37338,92
Liberians United for Reconciliation and Democracy,2004,7,0,26663,50
Liberia,2003,6,0,65174,80
Firestone Natural Rubber Company,2006,12,2,30209,48
First Liberian Civil War,2012,6,11,77073,190
List of Presidents Pro Tempore of the Senate of Liberia,2011,5,6,28281,33
List of diplomatic missions in Liberia,2014,5,32,78291,176
Vice President of Liberia,2009,1,0,45350,173
First Liberian Civil War,2005,9,0,35669,81
Gola people,2008,11,0,28902,49
Western Krahn language,2015,3,2,32518,61
Robert F. Stockton,2012,7,3,70985,307
Robert F. Stockton,2007,3,0,37019,109
Movement for Justice in Africa,2007,11,0,27073,42
Roman Catholic Diocese of Gbarnga,2009,5,0,33406,56
Kimmie Weeks,2014,9,13,52566,83
Armed Forces of Liberia,2013,11,94,179949,352
Liberia,2006,5,1,125020,309
GreenvilleSinoe Airport,2009,2,0,31588,59
ISO 3166 2:LR,2006,6,0,28796,65
Kimmie Weeks,2008,6,11,43112,71
International Bank,2009,6,0,31047,63
