filename,year,month,num_citations,file_size,forward_links
"Cyrene, Libya",2010,10,5,57494,159
Libyan Air Force,2011,11,49,168082,448
Hasan ibn al Nu%27man,2007,10,3,31878,69
Amazonian Guard,2014,8,14,58296,87
Homeland Party (Libya),2013,9,8,48263,89
Tripoli Agreement,2012,6,18,67351,141
Mohammed El Senussi,2006,12,0,33398,56
General People%27s Congress (Libya),2006,11,0,52129,150
Libyan Foreign Bank,2008,3,1,33094,62
Kingdom of Libya,2008,8,0,62636,167
Kanem Empire,2010,8,3,50384,123
Libya,2009,9,107,346428,937
Libyan Airlines,2013,1,35,128965,569
Salah Rais,2008,9,0,57992,216
Health in Libya,2014,9,2,46881,173
List of diplomatic missions in Libya,2014,3,14,108363,232
"Jebel Akhdar, Libya",2008,1,0,29814,53
Libyan National Army,2014,9,45,151817,428
National Liberation Army (Libya),2014,11,109,326952,924
Sabkhat Ghuzayyil,2011,9,0,30369,45
Barca (ancient city),2010,7,4,42010,96
Kingdom of Libya,2007,6,0,63029,166
Politics of Libya,2012,3,20,111950,403
List of colonial governors of Tripolitania,2011,3,0,29228,46
Libyan dinar,2006,4,0,44131,130
Index of Libya related articles,2011,3,0,39781,86
Barbary Wars,2004,7,0,26986,42
Djerid,2006,3,0,24598,48
Libyan Freedom and Democracy Campaign,2013,2,3,62410,206
General People%27s Committee,2013,2,9,76506,194
HIV trial in Libya,2007,1,63,163355,214
HMS Greetham (M2632),2009,4,0,51406,177
Senussi,2007,8,0,41068,91
Brotherly Leader and Guide of the Revolution,2011,8,0,27469,39
Ancient Libya,2008,12,17,55997,123
The Green Book (Muammar Gaddafi),2013,11,10,70441,134
History of Libya,2006,2,0,77004,294
Madina Air,2009,12,0,42344,111
"Cyrene, Libya",2011,7,10,63263,171
Pacification of Libya,2013,10,13,53423,88
Copts,2015,3,80,260354,825
Kingdom of Libya,2014,9,7,110219,294
Sa%CA%BFada and Murabtin,2012,1,0,25991,49
Human rights in Libya,2007,3,1,40905,110
Transport in Libya,2013,6,2,58461,211
El Tag,2011,11,1,34956,71
General Posts and Telecommunications Company,2009,7,0,26093,38
Kanem Empire,2013,1,3,52556,152
Mukhabarat el Jamahiriya,2010,9,1,71585,309
Economy of Libya,2006,12,0,60147,212
Arab Islamic Republic,2012,8,21,88270,236
Kingdom of Libya,2012,8,7,107729,292
Aouzou Strip,2005,12,0,31512,56
Dragut,2011,11,18,120260,451
Libya Shield 1,2014,5,4,30092,45
Ancient Libya,2006,8,0,34066,63
Transport in Libya,2007,7,0,54731,206
Transliteration of Libyan placenames,2010,3,4,45024,120
Sirte Basin,2010,12,14,69902,211
Corriere del Luned%C3%AC,2014,1,2,30588,53
Revolutionary Guard Corps,2011,5,5,59246,196
HMS Greetham (M2632),2008,2,0,26835,38
General People%27s Congress (Libya),2010,1,0,62434,220
Geography of Libya,2014,3,3,86642,353
Kingdom of Libya,2010,7,1,63668,144
Salah Rais,2012,4,5,64833,229
Geography of Libya,2013,10,3,86747,353
Agriculture in Libya,2011,10,6,68658,217
Ksar Nalut,2013,3,1,28904,53
"Jebel Akhdar, Libya",2010,12,0,35582,65
Telephone numbers in Libya,2011,7,0,42470,113
Politics of Libya,2014,11,27,130466,440
Mukhabarat el Jamahiriya,2011,4,1,74057,317
Music of Libya,2006,12,0,35182,113
National Transitional Council,2011,12,72,246350,735
The Green Book (Muammar Gaddafi),2007,5,0,44835,82
HMS Greetham (M2632),2008,11,0,28885,49
Libyan Civil War (2011),2014,8,355,731817,1206
Dey,2009,12,2,28569,52
Mukhabarat el Jamahiriya,2011,10,1,74768,321
Portal:Libya,2015,2,1,51014,94
Tibesti Jebel Uweinat montane xeric woodlands,2015,4,1,58035,183
Mehmed Saqizli,2011,9,1,29279,56
Libyan Foreign Bank,2006,10,0,27048,46
Dragut,2007,5,0,77328,347
Demographics of Libya,2010,4,0,55987,194
History of Libya,2012,3,32,146550,483
Libyana,2011,11,1,29620,60
Bazeen,2009,5,0,28934,41
History of Libya,2004,11,0,51953,156
Kanem Empire,2010,9,3,50744,129
2010 Arab League summit,2010,8,2,38764,76
Free Libyan Air Force,2011,8,28,98771,247
"Jebel Akhdar, Libya",2012,3,0,42732,93
Libya,2010,8,115,350162,980
Index of Libya related articles,2013,1,0,35315,101
El Tag,2006,2,0,24633,39
That El Emad Towers,2013,9,0,30776,52
List of diplomatic missions in Libya,2014,7,14,110949,233
Ksar Nalut,2015,2,1,29454,48
Roman colonies in Berber Africa,2014,7,22,86095,315
Al Saiqa (Libya),2014,6,7,35042,40
Music of Libya,2012,12,0,55086,256
Senussi,2012,4,9,116686,145
Libu,2012,11,5,31690,67
Dragut,2008,3,0,78919,359
Corriere del Luned%C3%AC,2013,9,2,29943,50
Arab Islamic Republic,2008,10,28,48761,42
Apostolic Vicariate of Derna,2013,6,0,33673,58
Italian Libyan Colonial Division,2012,2,1,71639,298
Demographics of Libya,2012,4,6,79084,272
Armed Forces of the Libyan Arab Jamahiriya,2005,2,0,24394,28
Public Scout and Girl Guide Movement,2006,6,0,30199,39
Mukhabarat el Jamahiriya,2012,1,1,77201,327
Apostolic Vicariate of Tripoli,2009,12,0,35690,56
Council of Deputies,2014,9,12,84064,328
The Green Book (Muammar Gaddafi),2014,2,12,73181,133
Free Libyan Air Force,2014,10,38,126221,312
Libyan Arab Air Cargo,2011,5,3,46481,132
Economy of Libya,2013,1,12,100745,314
Libya%E2%80%93Russia relations,2014,11,6,77215,285
