filename,year,month,num_citations,file_size,forward_links
2008 Liechtenstein tax affair,2010,3,34,83713,128
Rugby union in Liechtenstein,2011,3,2,49713,208
History of Liechtenstein,2003,8,0,31389,49
List of diplomatic missions of Liechtenstein,2008,11,0,35442,50
German toponymy,2014,2,0,53236,233
Postal codes in Switzerland and Liechtenstein,2005,4,0,100746,870
Landtag of Liechtenstein,2014,11,0,81625,342
List of mountains in Liechtenstein,2008,9,2,36361,66
List of Presidents of the Landtag of Liechtenstein,2010,4,0,39130,80
Progressive Citizens%27 Party,2008,7,0,35916,60
Prince of Liechtenstein Foundation,2011,1,6,34100,59
Patriotic Union (Liechtenstein),2007,7,0,35847,57
International Lottery in Liechtenstein Foundation,2010,10,7,50020,83
History of Liechtenstein,2004,5,0,34096,51
Economy of Liechtenstein,2011,2,0,51711,138
Liechtensteinische Post,2012,4,0,37741,118
1FLTV,2011,10,3,63179,255
List of newspapers in Liechtenstein,2006,2,0,23999,32
Neutrik,2012,4,0,32282,63
Politics of Liechtenstein,2003,9,0,36697,59
History of Liechtenstein,2005,6,0,35910,71
Liechtenstein,2014,10,51,291956,911
German toponymy,2009,2,0,44912,177
Liechtenstein,2007,2,3,125093,267
Roman Catholicism in Liechtenstein,2010,7,0,40303,114
Template:Municipalities Liechtenstein,2004,7,0,28821,37
Law enforcement in Liechtenstein,2013,5,43,103483,208
Liechtenstein Employees%27 Association,2006,6,0,29528,45
Liechtenstein,2013,8,47,275898,840
International Lottery in Liechtenstein Foundation,2009,9,8,52024,99
History of the Jews in Liechtenstein,2008,6,3,45545,121
Ducal hat of Liechtenstein,2012,5,3,28239,38
History of Liechtenstein,2007,2,0,46023,140
1FLTV,2008,8,2,33885,57
Financial Market Authority (Liechtenstein),2010,3,2,32132,40
Law enforcement in Liechtenstein,2014,7,43,103868,210
Municipalities of Liechtenstein,2010,7,0,62656,182
Liechtenstein%E2%80%93United States relations,2011,12,0,77560,318
Liechtenstein,2015,3,52,290298,911
Postal codes in Switzerland and Liechtenstein,2010,7,0,50562,252
ISO 3166 2:LI,2007,6,0,27490,48
Liechtenstein State Library,2014,1,0,49459,135
Liechtenstein,2008,7,22,200274,609
Boris Smyslovsky,2009,1,3,35682,71
Template:Liechtenstein stub,2010,10,0,34016,47
List of English exonyms for German toponyms,2005,5,0,29126,74
Economy of Liechtenstein,2004,2,0,33024,32
Patriotic Union (Liechtenstein),2007,5,0,36900,61
List of heads of government of Liechtenstein,2013,3,0,73422,278
Geography of Liechtenstein,2005,2,0,32994,64
Economy of Liechtenstein,2009,12,0,47601,132
Liechtenstein,2012,9,46,271162,817
List of newspapers in Liechtenstein,2009,9,0,34533,95
"Liechtenstein general election, 2009",2011,3,3,55941,164
List of mountains in Liechtenstein,2008,12,3,39615,76
Liechtenstein,2006,3,0,125755,331
Landtag of Liechtenstein,2013,2,0,57321,170
Patriotic Union (Liechtenstein),2004,8,0,28631,36
Liechtenstein passport,2009,7,2,168027,514
Orientierungslaufclub des F%C3%BCrstentums Liechtenstein,2008,6,2,42664,70
ISO 3166 2:LI,2009,9,0,82914,696
Landtag of Liechtenstein,2010,8,1,51843,150
Municipalities of Liechtenstein,2012,11,0,70296,209
Postal codes in Switzerland and Liechtenstein,2006,12,0,50078,229
Eschnerberg,2009,4,0,27436,43
Liechtenstein,2006,11,2,135867,410
"Liechtenstein general election, 2009",2014,2,3,59783,178
Line of succession to the Liechtensteiner throne,2008,12,0,37285,94
Liechtenstein,2002,10,0,81157,118
List of Liechtensteiners,2006,8,0,28306,67
List of English exonyms for German toponyms,2004,11,0,29112,76
Prince of Liechtenstein Foundation,2015,4,21,52303,77
Demographics of Liechtenstein,2009,3,0,44274,146
Geography of Liechtenstein,2010,12,0,62771,208
Progressive Citizens%27 Party,2015,3,8,98550,134
Progressive Citizens%27 Party,2014,2,4,47735,88
Economy of Liechtenstein,2012,11,2,54995,138
List of heads of government of Liechtenstein,2008,8,0,50960,190
List of English exonyms for German toponyms,2011,11,0,38103,130
List of diplomatic missions of Liechtenstein,2006,10,0,29177,40
Line of succession to the Liechtensteiner throne,2013,2,6,54354,129
History of Liechtenstein,2013,4,6,73026,270
Rugby union in Liechtenstein,2011,11,2,51998,217
Line of succession to the Liechtensteiner throne,2009,8,0,38041,93
ISO 3166 2:LI,2010,2,0,83220,698
Geography of Liechtenstein,2006,4,0,49424,135
German toponymy,2008,2,1,38514,151
Schalun Castle,2013,3,7,37322,54
Law enforcement in Liechtenstein,2013,12,43,104652,213
Elections in Liechtenstein,2012,12,1,63191,233
Vaduz Cathedral,2009,3,0,31713,51
Liechtenstein krone,2007,1,0,32011,65
Rail transport in Liechtenstein,2010,3,0,52009,125
List of ambassadors to Liechtenstein,2013,8,0,107562,346
Liechtenstein,2002,9,0,79603,112
List of heads of government of Liechtenstein,2009,8,0,48982,142
Law enforcement in Liechtenstein,2013,7,43,103985,212
History of the Jews in Liechtenstein,2012,6,2,45133,126
"Liechtenstein general election, 2005",2008,3,0,53403,165
Outline of Liechtenstein,2008,7,0,74861,134
List of English exonyms for German toponyms,2012,7,0,36518,131
Demographics of Liechtenstein,2010,9,0,46289,148
German toponymy,2007,5,0,37630,145
Erhard Berner,2012,3,1,35157,74
Neutrik,2011,11,0,32742,60
History of the Jews in Liechtenstein,2012,1,2,46001,125
Workers%27 and Peasants%27 Party (Liechtenstein),2006,5,0,26895,37
Progressive Citizens%27 Party,2005,5,0,35368,63
Liechtenstein,2012,5,45,271211,801
1862 Constitution of Liechtenstein,2009,2,0,28703,54
Progressive Citizens%27 Party,2011,6,1,40388,76
Boris Smyslovsky,2010,8,3,37596,82
Politics of Liechtenstein,2011,12,6,63308,202
History of Liechtenstein,2006,12,0,45994,144
Outline of Liechtenstein,2013,6,2,116130,358
History of the Jews in Liechtenstein,2007,1,2,42296,118
Workers%27 and Peasants%27 Party (Liechtenstein),2005,11,0,25041,33
Liechtenstein at the Olympics,2012,3,1,81299,355
List of English exonyms for German toponyms,2004,10,0,29256,79
Municipalities of Liechtenstein,2007,8,0,49268,113
List of English exonyms for German toponyms,2007,8,0,35579,104
Outline of Liechtenstein,2012,12,2,116939,356
Postage stamps and postal history of Liechtenstein,2010,4,1,55634,181
Buddhism in Liechtenstein,2008,3,0,36808,74
Economy of Liechtenstein,2010,11,0,51969,139
Template:Liechtenstein stub,2006,6,0,26339,31
Politics of Liechtenstein,2007,3,0,58874,203
Vaduz Cathedral,2009,6,0,31775,51
Municipalities of Liechtenstein,2010,9,0,67005,209
German National Movement in Liechtenstein,2006,6,0,30540,51
Postal codes in Switzerland and Liechtenstein,2005,8,0,100938,875
Allgemeines b%C3%BCrgerliches Gesetzbuch,2006,1,0,31469,45
Liechtenstein,2007,10,5,206061,772
