filename,year,month,num_citations,file_size,forward_links
Polish%E2%80%93Lithuanian Commonwealth,2011,8,136,376856,1133
Television in Lithuania,2006,6,0,25345,37
Lithuanians,2011,5,30,103887,317
Baltic Sea,2010,5,12,190340,867
JBC (group),2011,7,0,28332,52
Lithuanians,2014,6,34,146176,477
Television in Lithuania,2006,11,0,32708,54
History of Lithuania,2014,11,170,466155,1445
Outline of Lithuania,2008,9,2,73570,203
Mango (group),2008,11,0,30089,51
Polish%E2%80%93Lithuanian Commonwealth,2004,10,0,48256,96
Roman Catholic Diocese of Kai%C5%A1iadorys,2008,11,0,37621,71
Lituanus,2009,3,0,31091,57
Lithuanian Wikipedia,2011,9,2,71346,180
Kremerata Baltica,2014,7,15,53190,127
Outline of Lithuania,2010,2,3,98157,307
Lituanus,2007,6,0,26613,43
Lithuanians,2013,11,32,142155,482
Antanas Pur%C4%97nas,2009,2,0,29882,66
Template:Lithuania stub,2010,3,0,35596,47
Lithuania,2005,10,0,120245,385
B%27Avarija,2010,2,0,35999,53
K%C5%ABlgrinda (band),2009,2,1,30443,53
Lithuania,2009,2,53,315646,1165
Lithuanians,2006,4,0,50508,136
Politics of Lithuania,2007,12,6,88709,349
A%C5%A1vieniai,2006,12,0,31294,62
Kenesa,2006,3,0,28346,56
List of people on stamps of Lithuania,2009,7,1,39525,141
Economy of Lithuania,2008,12,1,88881,399
Something (Andrius Pojavis song),2015,4,1,71761,245
Lietuvos Radijo M%C4%97g%C4%97j%C5%B3 Draugija,2008,8,2,32813,61
Kaunas Jazz,2008,2,0,26972,55
Lithuanian State Symphony Orchestra,2013,3,2,32332,56
Politics of Lithuania,2009,3,6,88174,326
Kugelis,2010,11,1,55335,266
Elderships of Lithuania,2010,1,0,48402,157
Kremerata Baltica,2010,9,0,27865,46
Visuotin%C4%97 lietuvi%C5%B3 enciklopedija,2013,3,2,37924,57
Lithuanian Red Cross Society,2009,6,0,25375,35
Kugelis,2007,11,0,35824,64
M.A.M.A. awards,2015,1,1,63971,277
