filename,year,month,num_citations,file_size,forward_links
Grand Ducal Family of Luxembourg,2014,6,11,143232,408
C%27est peut %C3%AAtre pas l%27Am%C3%A9rique,2010,9,0,36630,76
Holy Roman Empire,2012,7,26,254213,965
L%27amour de ma vie,2006,11,0,27282,48
Line of succession to the Luxembourger throne,2012,10,1,42053,95
Greater Region,2011,6,5,37880,112
Geography of Luxembourg,2005,8,0,29117,33
German toponymy,2014,2,0,53236,233
ISO 3166 2:LU,2005,2,0,26808,44
Nuclear energy in Luxembourg,2012,12,1,41391,88
100%25 d%27amour,2008,10,0,30175,61
List of monarchs of Luxembourg,2011,11,1,157142,452
Brasserie Nationale,2010,2,0,28692,49
"Place des Martyrs, Luxembourg",2011,12,1,31898,60
Who%27s Quentin%3F,2007,1,0,32504,54
Rendolepsis,2006,9,0,26511,49
Yolanda of Vianden,2009,4,2,32150,49
Template:Luxembourg stub,2009,8,0,33876,47
Astra 1KR,2006,5,0,25566,44
Luxembourg Philharmonic Orchestra,2007,2,0,33189,68
Low Countries,2012,5,14,91221,270
Seventeen Provinces,2005,5,14,83935,234
History of Luxembourg,2013,10,21,146863,504
Seventeen Provinces,2006,11,28,126323,362
Belgium%E2%80%93Luxembourg Economic Union,2009,2,1,36449,62
Croire,2015,3,0,49530,148
Luxembourg Stock Exchange,2007,8,6,46046,93
Kontinent (band),2012,6,0,29909,51
Geography of Luxembourg,2009,11,0,55267,156
Banque et Caisse d%27%C3%89pargne de l%27%C3%89tat,2009,12,0,64507,182
Portal:Luxembourg,2012,7,0,97743,196
Luxembourgish Wikipedia,2015,3,0,59255,166
Demographics of Luxembourg,2005,9,0,31104,63
County of Nassau,2010,3,0,74072,254
King Grand Duke,2011,11,0,29037,61
Politics of Luxembourg,2012,8,6,69772,250
Holy Roman Empire,2013,6,39,273253,1008
Holy Roman Empire,2014,11,51,289370,1032
Catherine (song),2010,5,0,31464,68
German occupation of Luxembourg during World War II,2007,6,0,69714,223
House of Luxembourg,2006,8,0,34291,57
Religion in Luxembourg,2006,11,4,43660,142
Born Castle,2013,3,2,36388,109
Luxembourg,2006,6,6,139550,433
Astra 1KR,2010,8,2,53172,181
%C3%80 force de prier,2008,9,0,31058,58
Alzheimer Europe,2013,7,1,28333,45
Geography of Luxembourg,2005,12,0,29189,34
NATO Support Agency,2008,5,1,31805,54
Luxembourg Army,2010,11,4,72012,245
Grand Ducal Family of Luxembourg,2005,8,0,50087,209
Low Countries,2005,10,14,77789,191
Cegedel,2008,1,4,42544,88
Economy of Luxembourg,2011,9,14,102331,431
German toponymy,2009,2,0,44912,177
Chief of Defence (Luxembourg),2013,4,2,31925,50
Un grand amour,2011,5,0,31810,59
Geography of Luxembourg,2004,1,0,27983,27
Cantons of Luxembourg,2012,12,0,55320,176
Capetian dynasty,2001,9,0,33466,40
Je suis tomb%C3%A9 du ciel,2011,8,0,31498,64
Nous vivrons d%27amour,2010,1,0,29976,55
Peasants%27 War (1798),2012,10,4,118774,502
Luxinnovation,2011,5,55,196416,619
Benelux,2008,1,3,56322,97
Economy of Luxembourg,2005,12,0,70636,307
Seventeen Provinces,2010,10,15,121877,365
Renaissance in the Low Countries,2011,9,5,67875,213
Luxembourg,2005,12,0,107283,273
Luxembourg,2013,10,126,328640,776
Holy Roman Empire,2005,4,0,118047,358
List of flags of Luxembourg,2009,9,0,72823,288
.lu,2007,1,0,69176,412
Luxembourg Boy Scouts Association,2008,10,1,35447,53
Catherine (song),2012,5,0,43248,109
Les amants de minuit,2011,11,0,32462,59
County of Nassau,2008,7,0,57271,180
Wedding Night %E2%80%93 End of the Song,2009,8,1,35139,57
Low Countries,2011,12,14,91215,262
Low Countries,2008,6,14,87321,243
Luxembourg Army,2011,7,5,99155,341
Central Bank of Luxembourg,2006,4,0,28084,41
Burgundian Netherlands,2014,7,15,106213,300
List of monarchs of Luxembourg,2009,10,1,173980,843
Cours apr%C3%A8s le temps,2007,4,0,29186,55
