filename,year,month,num_citations,file_size,forward_links
Malawi Congress Party,2015,1,0,45750,112
.mw,2008,3,1,69429,407
List of Christian denominations in Malawi,2008,9,0,33751,69
Telecommunications in Malawi,2008,8,0,45635,128
Malawi Young Pioneers,2010,12,19,37066,33
Malawi Savings Bank,2010,10,1,29562,54
List of heads of state of Malawi,2006,9,0,38014,81
Nkhula B Hydroelectric Power Station,2009,8,1,27602,40
National Democratic Alliance (Malawi),2008,8,0,32322,66
Malawi,2009,8,37,222851,698
Federation of Rhodesia and Nyasaland,2008,9,0,98097,219
Kapichira Hydroelectric Power Station,2011,4,2,31344,48
List of Malawians,2008,9,0,30063,52
Telephone numbers in Malawi,2014,5,1,39978,114
British Central Africa Protectorate,2014,5,33,106279,354
National Assembly (Malawi),2010,6,0,44778,143
Malawi Stock Exchange,2006,5,0,25120,39
Air Malawi,2009,8,1,40705,110
Roman Catholic Diocese of Chikwawa,2009,5,0,31741,53
Kapichira Hydroelectric Power Station,2013,3,2,31649,52
Henry Odillo,2013,3,7,29972,41
Patrick Allen,2014,2,1,57617,203
History of Malawi,2011,9,4,115418,479
Malawi Stock Exchange,2010,12,1,34776,81
Malawi Congress Party,2005,11,0,31935,65
Malawian Defence Force,2013,5,10,63740,207
Patrick Allen,2014,7,1,57885,203
Telephone numbers in Malawi,2012,3,1,39700,115
History of Malawi,2012,7,5,130236,550
Central Zambezian Miombo woodlands,2010,1,1,38661,108
Maravi,2011,3,0,33023,72
Pink Map,2014,4,62,85298,149
Index of Malawi related articles,2009,3,0,165340,345
Alfred Sharpe,2007,9,3,38747,94
Blantyre and East Africa Ltd,2013,4,42,63735,86
LGBT rights in Malawi,2010,9,18,61650,159
Maravi,2014,1,0,34565,78
Mzuzu Airport,2009,5,0,33631,59
Nkhula B Hydroelectric Power Station,2010,2,1,27952,44
Outline of Malawi,2012,12,2,89691,245
Chichiri Museum,2010,10,0,28981,49
List of heads of state of Malawi,2012,9,1,88580,342
Malawi Congress Party,2008,11,0,34385,76
Agriculture in Malawi,2010,11,1,45694,101
Malawi Forum for Unity and Development,2007,9,0,32317,67
Providence Industrial Mission,2013,2,0,26961,43
List of heads of government of Malawi,2013,3,0,57268,237
Malawian Defence Force,2012,10,9,62733,211
LGBT rights in Malawi,2011,4,18,60313,137
Central Zambezian Miombo woodlands,2012,12,1,42018,121
Tumbuka people,2012,10,1,32911,65
Reserve Bank of Malawi,2012,3,1,60869,245
List of ecoregions in Malawi,2009,9,0,28800,49
MV Chauncy Maples,2009,8,21,53260,82
Star Radio Malawi,2015,2,0,27773,43
Malawi Diffusion and Ideational Change Project,2010,9,2,28933,32
Zambezi Industrial Mission,2013,7,16,42303,49
Native Trust Land,2013,12,26,58204,77
LGBT rights in Malawi,2011,6,19,61471,138
Tumbuka people,2009,11,0,32973,67
Mulanje Mountain Conservation Trust,2008,2,0,27651,48
Tobacco industry in Malawi,2012,6,19,48722,41
African Lakes,2012,12,6,30828,43
Roman Catholicism in Malawi,2013,4,1,42832,131
Reserve Bank of Malawi,2006,8,0,31919,63
Malawian food crisis,2009,11,9,36242,52
Federation of Rhodesia and Nyasaland,2005,7,0,63835,95
Cabinet of Malawi,2011,5,3,57275,137
List of rulers of the Ngoni Dynasty of Jere (Qeko),2014,7,0,26633,38
Malawi,2014,9,78,337685,957
Agriculture in Malawi,2008,2,1,26193,42
Healthcare in Malawi,2014,12,25,94705,163
Federation of Rhodesia and Nyasaland,2004,1,0,35433,64
Reserve Bank of Malawi,2007,3,0,35229,60
List of diplomatic missions in Malawi,2013,2,30,80454,144
Demographics of Malawi,2010,9,1,48722,148
Hinduism in Malawi,2008,3,0,41362,84
Telecommunications in Malawi,2007,9,0,41582,116
Malawi at the 2006 Commonwealth Games,2006,6,0,44248,127
Malawi Democratic Party,2005,9,0,30099,59
Malawi Democratic Party,2009,12,0,33791,78
South Malawi montane forest grassland mosaic,2009,1,0,26510,45
Politics of Malawi,2012,5,4,59764,255
Traditional courts in Malawi,2013,9,30,69625,80
Pink Map,2007,10,0,32808,60
List of Christian denominations in Malawi,2008,7,0,32563,68
Central Zambezian Miombo woodlands,2010,5,1,38297,106
Transport in Malawi,2006,8,0,41956,134
British Central Africa Protectorate,2013,1,29,98965,339
Reserve Bank of Malawi,2008,5,0,32219,61
Malawi Lomwe language,2008,10,2,30091,54
Federation of Rhodesia and Nyasaland,2005,6,0,64250,103
Maravi,2009,11,0,33238,71
Demographics of Malawi,2012,8,3,51537,145
Jumani Johansson,2010,12,5,35939,35
Tumbuka people,2011,1,0,32428,65
Malawi Democratic Party,2009,8,0,32262,69
List of Malawians,2013,7,0,30699,60
Air Malawi,2006,7,0,37191,112
Jacaranda Foundation,2010,2,4,32594,53
Malawian Defence Force,2014,2,10,64103,214
List of diplomatic missions in Malawi,2013,5,30,81650,151
Mulanje Mountain Conservation Trust,2008,10,0,27421,47
People%27s Party (Malawi),2013,3,7,43926,94
Economy of Malawi,2014,4,5,95181,448
People%27s Party (Malawi),2012,4,7,40540,84
Malawian English,2010,12,1,87144,377
History of Malawi,2008,3,0,103450,463
Malawian Defence Force,2012,6,9,52450,146
Native Trust Land,2013,7,26,56931,80
Ambassador of China to Malawi,2013,3,1,30582,53
District Commissioner (Malawi),2012,4,5,28523,37
Mlungu dalitsani Mala%C5%B5i,2012,7,0,49325,135
Malawi,2014,4,73,322010,920
Tourism in Malawi,2008,8,1,41245,110
Mzuzu University,2013,2,1,36103,78
Mzuzu Airport,2006,7,0,28754,44
Malawi,2007,6,1,165280,599
Orton Chirwa,2013,8,8,40963,46
List of people on stamps of Malawi,2005,9,0,24725,41
Jacaranda Foundation,2010,6,4,32448,53
British Central Africa Protectorate,2009,1,0,73550,306
Air Malawi,2005,12,0,37086,109
Raising Malawi,2013,6,18,69229,190
List of Christian denominations in Malawi,2013,5,0,34018,66
Kapichira Hydroelectric Power Station,2010,3,2,30570,48
Club Makokola Airport,2013,3,0,31247,61
Politics of Malawi,2009,5,0,54909,236
Electricity Supply Commission of Malawi,2010,11,1,31896,63
Mlungu dalitsani Mala%C5%B5i,2007,7,0,44570,115
Federation of Rhodesia and Nyasaland,2009,5,0,98555,228
Malawian Defence Force,2012,4,8,55723,140
Outline of Malawi,2008,3,0,41478,56
Federation of Rhodesia and Nyasaland,2010,5,0,101434,222
Patrick Allen,2005,11,0,28884,63
Malawi terror beast,2008,8,1,51741,274
Ndali language,2010,9,0,30242,58
Raising Malawi,2007,7,1,42357,60
Outline of Malawi,2011,12,2,91235,247
.mw,2010,3,1,69962,406
