filename,year,month,num_citations,file_size,forward_links
Infonet,2013,10,0,26456,44
Southern Integrated Gateway,2006,3,0,33212,60
Ai FM,2014,8,0,80139,294
East Malaysia,2011,1,18,63443,106
Malay styles and titles,2007,3,0,55483,113
Malay Annals,2005,10,0,24522,38
Yijing (monk),2008,3,0,37229,63
Tom%C3%A9 Pires,2012,10,10,44838,96
Ardasier Reef,2014,5,0,63283,206
Outline of Malaysia,2009,8,7,119889,426
Malay styles and titles,2005,1,0,46512,89
Warung,2009,6,0,28768,49
Ong Kean Swan,2014,11,19,64535,69
Malaysian names,2011,12,3,60519,210
Economy of Malaysia,2008,1,16,118987,451
Gerhana Skacinta,2008,4,0,27772,44
Malaysian names,2007,12,0,42346,162
Astro Hua Hee Dai,2015,2,0,46915,112
National Service Training Programme (Malaysia),2008,11,23,112861,232
Langkawi Cable Car,2009,9,0,30956,48
Innuendo (band),2009,8,0,30866,61
Cyberjaya,2010,9,0,96278,315
Ketuanan Melayu,2010,5,214,290286,680
Tamil diaspora,2010,2,3,67714,302
Public holidays in Malaysia,2009,7,0,48325,201
Tun Hussein Onn University of Malaysia,2009,9,0,67130,132
List of shopping malls in Malaysia,2012,2,0,65680,141
Ming Shilu,2011,7,2,29126,45
Bright Sparklers Fireworks disaster,2006,10,0,23035,30
Transport in Malaysia,2006,5,0,32906,64
Commander in Chief of the Malaysian Armed Forces,2014,5,0,42511,75
Best FM (Malaysia),2006,1,0,27147,57
Tom%C3%A9 Pires,2007,3,1,33775,66
Cyberjaya,2007,3,0,87396,319
Ai FM,2008,6,0,32672,69
Infonet,2012,10,0,35529,73
Proa,2008,2,11,151037,564
Golden Awards,2011,8,2,30898,53
Maria Hertogh riots,2010,7,0,81055,222
Prehistoric Malaysia,2009,7,11,73852,213
Innuendo (band),2006,4,0,23866,40
HVDC Thailand%E2%80%93Malaysia,2005,4,0,22836,28
Ali Baba (Malaysia),2011,7,2,26027,43
Banana leaf rice,2007,4,0,31483,50
Sang Nila Utama,2007,8,0,29191,43
Puspakom,2013,3,0,27267,44
Bumiputera (Malaysia),2010,1,15,78505,161
List of programs broadcast by TV3,2011,7,0,96921,416
Malaysian National Space Agency,2014,3,9,139586,465
Proa,2008,12,10,150743,552
HMS Altham (M2602),2008,7,0,26828,38
Sarawak Regatta,2012,1,1,28076,45
2000 Sipadan kidnappings,2014,9,18,89786,237
Malaysia,2012,3,214,634323,1628
Integrated Transport Information System,2014,6,0,31255,49
Malaysian Army,2009,5,13,133043,394
Environmental issues in Malaysia,2010,8,1,33181,61
"Singaporean national referendum, 1962",2012,10,1,50724,154
Aquaria KLCC,2012,6,0,44366,127
Postage stamps and postal history of Malaysia,2006,7,0,33962,60
Federal Land Development Authority,2013,7,13,89731,332
Template:Malaysia election stub,2014,9,0,31510,50
MSC Malaysia,2006,6,0,26336,40
Zabag kingdom,2010,7,10,40048,61
Ai FM,2013,5,0,67379,248
Investigator Shoal,2014,5,0,63134,204
Science and technology in Malaysia,2013,3,4,63738,190
Ming Shilu,2014,3,3,32085,53
Warung,2012,1,0,33759,68
Hikayat Hang Tuah,2015,4,5,33862,60
Proa,2012,7,13,202759,837
Royal Malaysian Air Force,2007,4,2,84049,237
Bank Negara Malaysia,2013,1,7,126151,521
Syburi,2005,4,0,22726,33
Project IC,2013,7,22,73008,130
Bumiputera (Malaysia),2006,8,2,51313,91
Allah Lanjutkan Usia Sultan,2006,6,0,29168,51
Digital television in Malaysia,2008,12,18,61186,126
Istana,2013,3,0,33781,91
Deposit taking co operative,2009,1,1,29455,49
List of Chief Ministers of Sarawak,2014,8,3,61835,203
Portal:Malaysia,2012,8,0,73294,258
Hot FM (Malaysia),2011,7,1,43937,85
Yang di Pertuan Agong,2012,3,5,113766,301
Politics of Malaysia,2011,9,35,119831,317
National Grid (Malaysia),2013,3,14,54664,105
Bank Negara Malaysia,2014,3,7,127897,526
Malaysian Army,2005,7,0,30526,48
List of shopping malls in Malaysia,2012,7,0,84296,178
Outline of Malaysia,2011,7,7,148130,551
Ali Baba (Malaysia),2013,5,3,28331,47
Royal Malaysian Navy,2006,3,0,44182,61
SmartTAG,2012,9,0,49657,101
Tom%C3%A9 Pires,2008,3,10,35446,65
Transport in Malaysia,2008,2,0,36628,82
Tambralinga,2007,6,0,38034,87
Sky Kingdom,2011,10,13,54056,95
Demographics of Malaysia,2006,3,0,37619,98
Tomoi,2014,12,2,52987,186
Eastern Sabah Security Command,2015,1,11,49048,84
Ah Beng,2011,12,4,62664,293
Malaysian Armed Forces,2006,7,0,58868,130
Aquaria KLCC,2006,9,0,24978,37
1Malaysia,2009,12,13,37282,41
Malaysian National Projects,2006,3,0,26973,54
Hikayat Hang Tuah,2010,10,3,32614,64
Titiwangsa Forest Complex,2013,3,0,25465,40
Malaysia%E2%80%93European Union Free Trade Agreement,2014,5,0,36333,85
National Defence University of Malaysia,2013,1,5,87358,164
East Malaysia,2012,5,19,64890,112
Urban Transformation Centre,2013,12,0,34616,58
Malaysia,2006,1,0,152857,466
Bernama,2008,6,0,26779,47
Bumiputera (Malaysia),2006,4,1,48589,91
Hikayat Bayan Budiman,2008,12,0,24843,39
Sabah Adventure Race,2011,3,0,28756,46
2012 Malaysia Para Games,2015,3,5,59256,82
Mount Chamah,2011,6,0,34768,57
E pek@k,2013,9,0,46181,45
Politics of Malaysia,2013,4,35,140161,433
List of cinemas in Malaysia,2006,6,0,34262,85
Bank Simpanan Nasional,2008,3,1,31614,49
Johor Premium Outlets,2013,8,3,45837,140
List of Chief Ministers of Sarawak,2008,1,0,29790,53
List of cinemas in Malaysia,2013,3,0,125771,538
Bank Simpanan Nasional,2012,2,1,32047,43
Ah Beng,2013,3,5,62675,296
LGBT rights in Malaysia,2011,11,17,76714,248
Malaysian names,2012,7,3,63567,225
Ah Lian,2007,8,0,33471,97
Geography of Malaysia,2015,3,36,172472,587
List of Hikayat,2008,3,1,30496,33
List of British Governors of the Straits Settlements,2007,2,0,33590,142
Portal:Malaysia,2011,4,0,72860,253
"Singaporean national referendum, 1962",2010,8,1,49580,146
Kesatuan Melayu United Kingdom,2013,1,0,26043,43
Chi Tu,2014,11,0,53582,137
ISO 3166 2:MY,2014,12,0,105673,724
Lee Chong Wei,2013,3,136,362935,663
Ai FM,2011,1,0,40194,130
Attorney General of Malaysia,2009,11,2,32697,47
Reserve Officer Training Unit,2009,2,0,25891,41
Portal:Malaysia,2010,11,0,72848,253
Bumiputera (Malaysia),2002,11,0,25962,22
Bruneian Empire,2012,10,1,30744,47
Malay Annals,2009,5,0,36504,70
Chronicle of Malaysia,2007,12,0,30548,65
Campbell Shopping Complex fire,2010,4,0,32050,51
Fisheries Act 1985 (Act 317) Malaysia,2013,7,0,32103,65
Politics of Malaysia,2006,11,5,74771,239
Belum Temengor,2007,9,2,27857,38
Lee Chong Wei,2012,12,132,353025,638
List of diplomatic missions in Malaysia,2009,2,0,100394,182
Proa,2006,10,0,123681,495
Women in Malaysia,2014,4,9,84707,397
Hang Tuah Jaya Municipal Council,2011,1,0,36299,54
GangStarz,2008,11,0,34723,66
"Galas by election, 2010",2013,3,4,86325,147
History of the Iban people,2008,8,0,37574,76
Hae mee,2006,3,0,27039,50
Yijing (monk),2011,8,0,80329,463
1Malaysia,2010,9,15,42824,42
