filename,year,month,num_citations,file_size,forward_links
Kosovo%E2%80%93Maldives relations,2013,6,12,62706,152
.mv,2010,7,0,70302,420
%E1%B9%86aviyani,2012,3,1,30565,60
Maldives,2011,12,58,418065,1633
President of the Maldives,2013,2,7,81597,213
.mv,2011,4,0,70243,420
12 Blues,2011,3,0,31545,60
Telecommunications in the Maldives,2005,8,0,24536,32
List of sultans of the Maldives,2015,2,0,90842,272
Maldives Stock Exchange,2015,3,0,46101,128
President of the Maldives,2013,1,7,82802,217
Maldivian Air Taxi,2012,2,1,49535,117
History of the Maldives,2007,2,0,107002,488
Television Maldives,2011,11,0,32895,55
Maldivian laari,2006,7,0,28126,47
List of diplomatic missions in the Maldives,2013,4,1,76406,173
Utheemu dynasty,2006,4,0,26146,41
Template:Mosques in the Maldives,2009,8,0,25077,38
New Maldives,2011,12,0,39977,52
United Nations Security Council Resolution 212,2009,12,0,26509,38
Aminiyya School,2011,8,0,30415,49
Abdullah Afeef,2008,10,0,37286,68
ISO 3166 2:MV,2006,9,0,25170,33
Outline of Maldives,2009,5,3,87267,199
Template:Maldives stub,2012,8,0,31725,47
Environmental Research Center and Maldives Water %26 Sanitation Authority,2013,5,0,25636,30
Maldives Girl Guide Association,2009,5,2,37642,52
Template:Islands of the Maldives,2006,1,0,44265,245
Laila Ali Abdulla,2010,1,1,28051,47
Amina of the Maldives,2013,3,0,30036,54
Social Liberal Party (Maldives),2009,12,2,34888,65
People%27s Majlis,2012,2,0,61160,155
Maldivian passport,2010,4,0,77334,351
Maldives Monetary Authority,2011,5,0,60416,244
Ibrahim Muhammad Didi,2012,9,0,33858,69
Kuruhinna Tharaagandu,2013,2,4,42488,56
Trade unions in Maldives,2008,12,0,40781,72
Telecommunications in the Maldives,2006,3,0,24240,31
Progressive Party of Maldives,2012,12,5,37835,57
Television Maldives,2012,3,1,35318,59
Geography of the Maldives,2009,2,0,58253,187
Emblem of Maldives,2012,12,1,51043,137
Dhivehi beys,2011,11,0,26770,43
House of Theemuge,2006,1,0,25492,42
DhiTV,2009,2,1,31115,50
ISO 3166 2:MV,2006,7,0,26460,36
Maldives%E2%80%93Pakistan relations,2011,2,2,60458,189
