filename,year,month,num_citations,file_size,forward_links
Tanezrouft,2005,5,0,27926,41
Sankore Madrasah,2005,7,0,27646,39
Demographics of Mali,2006,9,0,40686,118
Gao,2011,7,38,142892,271
Timbuktu Manuscripts,2009,3,4,37565,67
Sundiata Keita,2007,3,0,34628,65
Morimakan Ko%C3%AFta,2015,2,4,40053,65
Office de Radiodiffusion T%C3%A9l%C3%A9vision du Mali,2012,10,7,44028,73
Timbuktu Airport,2009,8,0,37473,79
Council of Ministers of Mali,2010,8,5,41486,73
Mali,2001,9,0,56952,26
Mali,2006,7,0,105552,266
Demographics of Mali,2008,8,3,61902,225
Demographics of Mali,2006,1,0,40178,114
2010 Sahel famine,2011,5,178,454032,1416
Telecommunications in Mali,2008,5,3,58116,193
EUTM Mali,2013,11,3,53545,73
Lamine Diawara (footballer),2014,2,5,35382,53
Economy of Mali,2008,4,2,96029,452
Nar%C3%A9 Maghann Konat%C3%A9,2005,7,0,25602,40
Jews of Bilad el Sudan,2013,8,24,81478,171
K%C3%A9ni%C3%A9ba Airport,2010,9,2,37789,88
List of Malians,2013,1,3,56447,268
Sonni Ali,2013,12,8,38466,64
Malian franc,2006,8,0,40440,127
Nar%C3%A9 Maghann Konat%C3%A9,2009,2,0,27755,49
Wassoulou,2007,7,0,35459,81
Union of African States,2008,1,0,40204,87
Mali,2011,3,62,254464,881
People%27s Movement for the Liberation of Azawad,2011,6,3,33195,57
Air Mali (2005),2008,10,1,47568,117
Law enforcement in Mali,2013,8,2,52042,162
Mademba Sy,2013,4,1,30848,58
National Assembly (Mali),2009,12,0,65376,242
Kaarta,2012,10,2,40952,132
Demographics of Mali,2004,3,0,27871,33
Balla Fass%C3%A9k%C3%A9,2009,7,3,27138,39
Politics of Mali,2013,2,4,81353,317
Takrur,2010,4,0,36576,77
Economy of Mali,2007,9,0,80282,354
Il %C3%A9tait une fois l%E2%80%99ind%C3%A9pendance,2013,9,0,31565,51
URTEL,2011,8,0,32766,63
Malian franc,2007,3,0,43926,132
Tidiani Tall,2007,2,0,24993,42
List of diplomatic missions in Mali,2013,3,22,77106,160
Bafoulab%C3%A9 Airport,2014,10,3,37442,82
Jews of Bilad el Sudan,2012,5,24,84044,198
Tadaksahak,2013,2,0,40845,89
Tanezrouft,2010,12,6,34200,61
.ml,2006,1,0,62519,393
Sundiata Keita,2013,3,78,120142,280
El Hadj Umar Tall,2006,5,0,34046,96
List of heads of government of Mali,2012,4,0,80132,320
Sankarani River,2010,5,0,39342,105
Soninke Wangara,2010,7,0,33958,71
LGBT rights in Mali,2013,8,9,49428,123
List of colonial governors of Mali,2009,11,0,37706,48
Second Battle of Gao,2014,10,1,44655,103
Gao,2013,3,49,146074,300
Tadaksahak,2012,7,0,40248,80
2010 Sahel famine,2015,2,165,415789,1158
Geography of Mali,2007,8,1,46022,167
Niafunk%C3%A9 Airport,2009,2,0,31697,73
Union of African States,2006,2,0,28801,45
Mali,2010,8,61,250597,852
Telecommunications in Mali,2011,8,2,123509,581
West Saharan montane xeric woodlands,2008,3,0,32764,59
Malian Family Code,2012,1,12,47137,57
Asselar man,2012,4,1,28015,53
List of heads of state of Mali,2012,1,1,84121,321
Islam in Mali,2014,2,7,77181,364
Rally for Education about Sustainable Development,2009,12,2,35649,74
Mali Air Express,2014,1,0,33264,65
Geography of Mali,2011,12,5,74907,298
The Young Girl,2012,4,0,30139,47
Economy of Mali,2014,1,11,116840,493
Geography of Mali,2009,6,5,62881,220
Mali,2009,2,49,237415,818
Geography of Mali,2005,3,0,31052,70
Samori Ture,2011,3,2,46909,98
Tomb of Askia,2008,9,0,35594,52
Environmental issues in Mali,2009,8,0,52363,129
Hamdullahi,2011,12,2,34929,57
Environmental issues in Mali,2014,5,2,54320,134
Hamdullahi,2012,4,2,34341,55
SAM Intercontinental,2012,4,0,45338,123
Air Mali (2005),2009,2,1,47028,114
Les %C3%89chos (Mali),2008,6,2,27698,45
Bank of West Africa (BAO),2009,8,7,68808,217
Sundiata Keita,2014,8,62,117207,266
Economy of Mali,2005,8,0,62875,269
