filename,year,month,num_citations,file_size,forward_links
Sovereign Military Order of Malta,2011,9,31,128000,331
"Maltese presidential election, 2009",2013,1,2,42168,104
MARSEC XL,2012,3,17,41915,44
Maltese in Belgium,2014,7,6,42486,86
Federica Falzon,2014,9,5,46984,111
Great Siege of Malta,2010,6,21,110674,223
Margaritus of Brindisi,2010,8,0,36111,94
Upper Barrakka Gardens,2014,5,0,28874,55
Transport in Malta,2005,1,0,25522,25
Malta,2014,3,165,613043,2096
George Stoddart Whitmore,2013,10,3,36136,49
Cippi of Melqart,2013,1,4,33161,56
Froberg mutiny,2015,4,7,53854,83
Maltese people,2011,12,31,110538,477
Bigilla,2007,7,0,24920,42
Show of Arms,2013,6,6,40489,77
Public Broadcasting Services,2011,11,0,49343,194
List of flags of Malta,2014,1,1,128664,382
Salah Rais,2008,9,0,57992,216
Great Siege of Malta,2015,2,25,142725,413
Ta%27 Kenuna Tower,2006,6,0,27655,49
Transport in Malta,2007,12,3,47605,132
Maltese people,2007,12,18,63159,172
Castellania (Malta),2008,5,0,25938,44
Maltese in Belgium,2010,11,6,36386,66
Battle of Malta poker tournament,2013,7,3,38247,68
Fatimid Caliphate,2007,7,2,63684,252
Kull%C4%A7add,2012,8,0,25602,44
Verdala Palace,2010,8,0,31369,50
San Anton School,2008,5,0,25184,40
Fatimid Caliphate,2008,4,3,91232,335
Malta,2013,1,140,580866,2067
French occupation of Malta,2014,9,1,52286,163
Telecommunications in Malta,2010,9,0,41668,116
Interdict,2012,9,28,62800,126
This Time (William Mangion song),2014,2,0,47105,139
Deputy Prime Minister of Malta,2008,8,0,41386,129
%C4%8Airkewwa,2007,3,0,27973,46
Constitution of Malta,2013,1,18,83026,282
Public Broadcasting Services,2010,3,0,47687,192
Revenue stamps of Malta,2013,1,4,71390,182
Climate of Malta,2014,10,22,157090,232
Porte des Bombes,2005,10,0,24887,39
Maltenglish,2014,12,3,63389,268
List of diplomatic missions of Malta,2010,9,0,62580,173
List of diplomatic missions in Malta,2008,9,0,88734,197
History of Malta,2006,8,0,78323,270
1693 Sicily earthquake,2014,9,23,98260,187
Malta,2006,9,8,184449,667
MaltaPost,2010,3,2,77977,321
Grandmaster%27s Palace,2006,12,0,27731,36
List of wars involving Malta,2014,9,0,118358,268
Italian irredentism in Malta,2012,3,1,40479,102
Martin Garzez,2014,11,0,36360,80
Effort to prosecute Ottoman war criminals,2007,8,28,70674,174
St Augustine Church (Malta),2007,12,0,34995,69
Martin de Redin,2007,1,0,27922,43
Fatimid Caliphate,2014,10,23,224702,1040
Parliament of Malta,2014,1,1,76625,272
Ta%27 Kenuna Tower,2008,5,1,31633,59
Ta%27 Kenuna Tower,2011,11,1,29950,49
Religion in Malta,2008,6,12,106314,473
President of Malta,2007,2,0,44479,123
Joseph Gatt,2011,4,25,53227,74
St. Augustine%27s College (Malta),2009,3,0,31235,70
Prime Minister of Malta,2004,11,0,32542,104
Postage stamps and postal history of Malta,2014,7,7,95350,274
Culture of Malta,2007,1,27,106820,407
List of flags of Malta,2007,12,0,94005,307
Black Monday (Malta),2014,8,1,31141,55
Great Siege of Malta,2008,10,21,101175,212
