filename,year,month,num_citations,file_size,forward_links
Bafour,2006,8,0,22811,27
History of Mauritania,2002,2,0,26974,29
Almoravid dynasty,2015,1,27,224499,733
Maghreb highway,2011,4,0,33732,110
Mauritania,2006,8,2,137896,396
Association Mauritanienne des Droits de l%27Homme,2009,11,0,36512,70
Mauritel,2006,12,0,27266,42
Mauritania at the 1988 Summer Olympics,2009,12,0,57542,230
Telephone numbers in Mauritania,2012,10,0,40361,121
Mauritania at the 1992 Summer Olympics,2007,10,0,60390,235
Timeline of Serer history,2013,5,54,170662,602
History of Mauritania,2003,11,0,32126,56
Ghana Empire,2013,11,39,131331,288
Almoravid dynasty,2006,6,0,59265,175
Military of Mauritania,2006,7,0,27941,36
Portal:Mauritania,2010,8,0,69959,126
Tiris al Gharbiyya,2013,2,3,46411,127
Postage stamps and postal history of Mauritania,2013,6,1,52914,180
International Court of Justice Advisory Opinion on Western Sahara,2008,8,1,54493,156
Char Bouba war,2006,8,0,29416,70
Politics of Mauritania,2002,2,0,32180,96
Mauritania national basketball team,2013,3,0,47036,150
Coupe du Pr%C3%A9sident de la R%C3%A9publique,2007,10,0,34111,90
Almoravid dynasty,2014,9,27,225574,737
Jews of Bilad el Sudan,2013,8,24,81478,171
ASC Nasr de Sebkha,2010,11,0,39582,85
Template:Mauritania stub,2012,3,0,32824,47
Template:Mauritania stub,2008,1,0,25982,33
List of diplomatic missions in Mauritania,2013,6,28,96701,181
Union of Mauritanian Workers,2006,6,0,28193,47
Sanhaja,2010,9,0,38669,109
Ain Ben Tili,2006,6,0,28993,60
2005 Mauritanian coup d%27%C3%A9tat,2010,10,1,50152,143
Sanhaja,2012,9,3,31563,73
Association des Scouts et Guides de Mauritanie,2007,6,0,33254,52
Transport in Mauritania,2011,4,8,57857,159
Takrur,2010,4,0,36576,77
Brak (African kings),2007,6,0,24730,46
Ouled Birri,2009,9,0,27266,62
Precolonial Mauritania,2012,12,14,78435,260
Western Sahara conflict,2014,1,48,175273,440
2007 killing of French tourists in Mauritania,2012,4,11,33991,50
Economy of Mauritania,2005,12,0,52151,232
Jews of Bilad el Sudan,2012,5,24,84044,198
Geography of Mauritania,2007,6,0,66534,197
Mauritania at the 2013 World Championships in Athletics,2014,1,1,70352,263
Military Council for Justice and Democracy,2012,2,1,42596,89
Mauritanian ouguiya,2010,2,3,74459,205
Richat Structure,2013,7,7,53787,95
List of colonial governors of Mauritania,2004,11,0,43040,205
Imraguen people,2013,2,1,32788,75
ASC Mauritel Mobile FC,2007,6,0,34894,71
Bafour,2013,12,9,45992,81
Sanhaja,2007,2,0,28566,68
Index of Mauritania related articles,2010,1,0,42145,135
Aoudaghost,2015,4,13,58577,72
Mauritania at the 1992 Summer Olympics,2008,6,0,60390,231
National anthem of Mauritania,2014,4,1,47999,109
Mauritania at the 2013 World Championships in Athletics,2013,8,1,69960,260
Coupe du Pr%C3%A9sident de la R%C3%A9publique,2009,4,0,34974,97
Tajakant,2012,12,2,38177,108
Politics of Mauritania,2005,11,0,44315,150
Religion in Mauritania,2013,9,14,70858,200
Mauritania Railway,2010,11,3,72950,104
List of heads of government of Mauritania,2014,12,0,84862,317
Roman Catholic Diocese of Nouakchott,2014,1,0,34906,54
West Saharan montane xeric woodlands,2008,3,0,32764,59
Zawiya (institution),2006,1,0,27459,38
French West Africa,2010,5,6,109428,344
Sport in Mauritania,2006,2,0,21892,21
LGBT rights in Mauritania,2009,5,1,46003,140
Waiting for Happiness,2007,11,0,35550,72
List of heads of state of Mauritania,2008,5,0,53712,135
Rosso,2013,1,2,59982,272
International Court of Justice Advisory Opinion on Western Sahara,2013,9,2,61501,166
List of diplomatic missions of Mauritania,2009,5,0,65355,181
Almoravid dynasty,2005,11,0,55102,153
List of diplomatic missions of Mauritania,2011,9,0,67833,183
Mauritania at the 1996 Summer Olympics,2010,1,0,64089,265
Hassane,2011,10,0,34344,97
Postage stamps and postal history of Mauritania,2010,11,1,52438,181
Postage stamps and postal history of French Sudan,2013,3,1,56514,206
Postage stamps and postal history of Mauritania,2013,10,1,53130,182
Geography of Mauritania,2007,4,0,65947,195
General Confederation of Mauritanian Workers,2006,9,0,28727,43
Union of Mauritanian Workers,2010,3,0,30589,58
French West Africa,2011,1,6,110959,355
2007 killing of French tourists in Mauritania,2015,4,11,54168,90
Bank of West Africa (BAO),2009,8,7,68808,217
Chinguetti oil field,2006,10,1,29276,47
Serer history,2015,4,51,129237,334
Transport in Mauritania,2008,5,3,50438,156
Almoravid dynasty,2005,8,0,51383,141
ASAC Concorde,2009,3,0,31942,74
Geography of Mauritania,2009,6,0,75884,253
ASC Snim,2011,9,0,42787,80
Constitution of Mauritania,2013,2,6,77598,183
Mauritania at the 2004 Summer Paralympics,2010,5,1,51357,189
Mauritania,2005,7,0,100050,266
Almoravid dynasty,2007,12,1,63908,220
ASC Imraguens,2014,4,0,42624,86
List of colonial governors of Mauritania,2005,8,0,46858,207
LGBT rights in Mauritania,2008,11,1,45005,134
Football Federation of the Islamic Republic of Mauritania,2006,6,0,52782,177
Military Council for Justice and Democracy,2011,9,1,42271,87
Economy of Mauritania,2006,4,0,52027,236
African Liberation Forces of Mauritania,2009,5,0,31814,68
Zawiya (institution),2009,8,1,35186,75
LGBT rights in Mauritania,2009,2,1,39866,119
Index of Mauritania related articles,2010,7,0,49933,141
Mohamed Ould Abdel Aziz,2009,12,48,91833,116
Association Mauritanienne des Droits de l%27Homme,2011,3,0,36913,73
National anthem of Mauritania,2013,7,1,49240,111
Template:Mauritania stub,2012,5,0,33300,47
Mauritania at the 1984 Summer Olympics,2013,3,0,55336,207
Jews of Bilad el Sudan,2010,4,25,84672,203
History of Mauritania,2013,5,9,117374,460
Koumbi Saleh,2006,12,0,29197,53
Telecommunications in Mauritania,2006,5,0,35645,102
Khoums,2012,4,1,30278,56
Koumbi Saleh,2013,2,30,97076,314
2005 Mauritanian coup d%27%C3%A9tat,2007,3,0,34994,80
Mauritania Railway,2006,8,0,29100,42
Oulad Bou Sbaa,2008,8,0,30459,63
2008 Mauritanian coup d%27%C3%A9tat,2010,3,118,198575,252
Transport in Mauritania,2004,4,0,25734,43
Mauritania,2009,7,23,238275,837
Aoudaghost,2007,2,0,27836,50
Mauritania at the 2000 Summer Olympics,2012,8,0,66368,271
Sanhaja,2011,10,2,33913,82
Zawiya (institution),2009,3,1,35103,75
ASC Mauritel Mobile FC,2009,9,0,42087,82
Mauritania,2007,11,4,206707,764
Demographics of Mauritania,2006,4,0,40034,116
Aoudaghost,2013,2,13,57357,80
List of heads of state of Mauritania,2009,5,0,56096,150
Aoudaghost,2008,10,0,33061,51
Pulaar language,2011,5,0,39338,102
2008 Mauritanian coup d%27%C3%A9tat,2009,1,115,198778,306
Precolonial Mauritania,2012,5,14,78898,268
North Saharan steppe and woodlands,2012,9,0,32165,77
Mohamed Ould Abdel Aziz,2014,6,55,114804,201
2008 Mauritanian coup d%27%C3%A9tat,2013,12,117,220613,291
Template:Mauritania footyclub stub,2009,8,0,31562,56
.mr,2007,12,0,64976,398
French West Africa in World War II,2007,5,1,95496,447
Religion in Mauritania,2013,4,13,70324,201
Jews of Bilad el Sudan,2007,7,24,83508,200
Mauritania Railway,2005,10,0,26581,37
List of governors of French West Africa,2011,11,0,36347,77
Mauritanian ouguiya,2012,4,7,78479,206
Khoums,2010,11,0,29804,59
Military of Mauritania,2009,11,2,58002,194
Pulaar language,2013,8,1,38990,103
Free Confederation of Mauritanian Workers,2009,2,0,30940,54
.mr,2006,10,0,62461,388
Richat Structure,2011,7,1,42697,68
Index of Mauritania related articles,2009,3,0,42901,139
Ghana Empire,2013,7,39,131121,279
Mauritania,2013,8,60,285302,859
Politics of Mauritania,2006,9,1,76496,290
States headed by Serer Lamanes,2012,4,9,82800,252
Slavery in Mauritania,2007,8,0,26259,35
Military Council for Justice and Democracy,2006,6,0,36553,77
Colonial Mauritania,2013,2,8,121868,357
Zawiya (institution),2009,9,1,36082,83
Education in Mauritania,2008,1,0,42606,127
2005 Mauritanian coup d%27%C3%A9tat,2008,6,0,35828,80
Politics of Mauritania,2013,2,8,110323,367
Mauritania,2006,5,1,124008,320
Ghana Empire,2014,12,40,152494,474
Pulaar language,2015,3,2,42640,111
History of Mauritania,2010,2,7,108741,420
Constitution of Mauritania,2013,3,6,77534,181
Telecommunications in Mauritania,2003,8,0,23867,33
FC Tevragh Zeina,2011,9,5,42832,91
Serer history,2012,12,51,146070,509
International Court of Justice Advisory Opinion on Western Sahara,2005,6,0,36836,85
Coupe du Pr%C3%A9sident de la R%C3%A9publique,2012,4,1,63723,203
Football Federation of the Islamic Republic of Mauritania,2014,12,2,69075,206
South Saharan steppe and woodlands,2012,2,1,31370,65
Serer history,2013,1,51,146247,514
.mr,2010,3,0,65476,397
Almoravid dynasty,2008,5,3,93784,310
Richat Structure,2008,10,0,38790,67
Ghana Empire,2009,7,6,71515,174
Caravane cheese,2007,3,0,25225,46
Pan Sahel Initiative,2009,9,1,38610,64
Mauritanian ouguiya,2008,11,2,73196,206
Mauritanian Super Cup,2014,4,0,44833,104
Aoudaghost,2010,6,14,51863,66
Military of Mauritania,2013,1,15,65444,214
Politics of Mauritania,2011,7,8,108792,362
ASC Snim,2012,10,0,42541,81
Char Bouba war,2010,7,2,33000,76
North Saharan steppe and woodlands,2008,5,0,29098,53
Mauritania,2015,3,69,304450,888
Military of Mauritania,2002,2,0,24177,24
Bafour,2007,4,0,25126,38
Pan Sahel Initiative,2010,8,7,40020,74
African Liberation Forces of Mauritania,2009,4,0,31216,62
Rosso,2013,3,2,59930,282
Mauritania at the 1988 Summer Olympics,2010,2,0,58372,226
Madrid Accords,2013,2,4,63264,180
Mohamed Ould Abdel Aziz,2011,12,49,94633,131
Takrur,2007,6,0,29844,57
French West Africa,2011,8,6,109049,343
Hassane,2007,3,0,33570,90
Health in Mauritania,2008,9,1,49385,174
Military of Mauritania,2009,12,2,57677,190
Outline of Mauritania,2013,4,2,90282,249
African Liberation Forces of Mauritania,2013,11,0,37849,80
List of heads of government of Mauritania,2008,9,0,65751,305
Slavery in Mauritania,2011,7,6,74288,286
West Saharan montane xeric woodlands,2011,6,0,35168,69
Association des Scouts et Guides de Mauritanie,2006,7,0,31986,47
Reguibat tribe,2010,9,0,28631,76
Ain Ben Tili,2008,7,0,32760,63
TV de Mauritanie,2010,4,0,27490,38
Constitution of Mauritania,2014,2,6,78608,191
Bank of West Africa (BAO),2009,2,7,69839,228
List of governors of French West Africa,2012,9,0,36527,80
Mauritania at the 2000 Summer Olympics,2006,5,0,61983,252
Mauritania,2006,12,2,191934,700
History of the Soninke people,2010,6,6,44567,48
Mauritania Railway,2007,12,0,29931,45
Zawiya (institution),2010,1,1,37224,83
Brak (African kings),2009,12,0,27035,53
AS Garde Nationale,2014,5,0,48316,106
FC Tevragh Zeina,2012,12,5,62222,132
Languages of Mauritania,2011,3,1,45875,147
Mauritania,2008,10,18,217212,763
Takrur,2013,2,14,82820,227
Jews of Bilad el Sudan,2011,2,25,84373,198
Rosso,2007,11,0,31735,47
Azougui,2014,8,3,31194,61
Islam in Mauritania,2008,1,0,44787,142
Economy of Mauritania,2002,9,0,29331,53
North Saharan steppe and woodlands,2010,2,0,28651,53
Mauritania national basketball team,2011,3,0,58962,163
Serer maternal clans,2014,3,95,255244,702
National anthem of Mauritania,2009,8,0,44123,110
Polygamy in Mauritania,2009,3,1,37785,98
Portal:Mauritania,2015,1,0,70553,131
Outline of Mauritania,2008,3,0,42182,57
Reguibat tribe,2015,3,1,36241,88
Islam in Mauritania,2012,11,0,77885,404
Postage stamps and postal history of French Sudan,2011,5,1,55888,203
Organisation pour la mise en valeur du fleuve S%C3%A9n%C3%A9gal,2007,9,0,34982,69
LGBT rights in Mauritania,2010,7,1,44851,135
Sanhaja,2007,1,0,28714,68
ASC Socogim,2008,12,0,36341,78
Ain Ben Tili,2006,1,0,28782,56
Ain Ben Tili,2008,9,0,33632,70
Oulad Bou Sbaa,2005,12,0,25686,57
Mauritanian ouguiya,2012,6,7,77988,203
Almoravid dynasty,2005,7,0,48587,137
Mallemin,2007,12,0,29856,70
List of heads of government of Mauritania,2004,8,0,32646,111
West Saharan montane xeric woodlands,2007,12,0,32778,57
Wildlife of Mauritania,2008,11,0,46846,168
Pulaar language,2007,11,0,33491,72
Senate (Mauritania),2009,12,0,53739,189
French West Africa,2005,11,0,61706,199
French West Africa,2013,2,6,113467,368
Oulad Delim,2007,12,0,29047,70
Military Council for Justice and Democracy,2007,4,1,40791,84
Alliance for a Democratic Mauritania,2013,11,1,32837,66
French West Africa in World War II,2013,1,1,94444,436
Ain Ben Tili,2009,2,0,33372,64
Zawiya (institution),2012,3,2,40293,89
Mauritanian ouguiya,2008,7,2,57618,141
Oulad Bou Sbaa,2010,12,0,30433,67
Tiris al Gharbiyya,2008,7,1,33844,93
Geography of Mauritania,2006,11,0,65072,194
Military Council for Justice and Democracy,2007,8,1,38312,78
Caravane cheese,2013,5,0,30100,60
Sanhaja,2010,3,0,30595,68
Richat Structure,2013,10,7,53958,98
Economy of Mauritania,2009,8,2,82726,383
Politics of Mauritania,2012,9,8,109666,365
Mohamed Ould Abdel Aziz,2012,1,49,93872,119
Geography of Mauritania,2007,8,0,66494,196
Mauritania,2012,11,72,307428,898
History of Mauritania,2012,11,9,112826,436
Precolonial Mauritania,2009,3,7,68384,218
Politics of Mauritania,2009,9,8,109471,379
Sanhaja,2010,8,0,38343,105
National anthem of Mauritania,2008,12,0,44295,115
Mauritania,2014,2,65,294403,873
Char Bouba war,2012,8,2,29912,68
Military Council for Justice and Democracy,2006,8,0,36489,77
History of Mauritania,2005,12,0,74165,304
French West Africa,2003,8,0,31988,46
Aoudaghost,2006,3,0,27807,48
"Diamer, Mauritania",2010,4,0,27308,48
Senate (Mauritania),2007,7,0,40764,91
