filename,year,month,num_citations,file_size,forward_links
Bhojpuri Channel (Mauritius),2014,9,0,39134,79
History of Mauritius,2006,8,0,106010,403
Mauritius,2009,8,31,236343,840
Federation of Civil Service Unions,2009,8,0,28929,44
Aapravasi Ghat,2008,1,0,33713,50
Cabinet of Mauritius,2011,11,4,67684,226
Motherland (anthem),2011,12,1,46665,114
Mauritius Time,2009,3,1,33009,69
Open University of Mauritius,2014,11,4,38892,61
Education in Mauritius,2011,11,2,92810,175
Integrated Resort Scheme,2009,6,0,31533,39
Phoenix Beverages,2009,10,0,32282,55
Mauritian passport,2007,10,0,131006,433
Mauritian Party of Xavier Luc Duval,2008,1,0,35664,68
International rankings of Mauritius,2014,8,0,56572,172
Foreign relations of Mauritius,2013,12,9,80546,250
Transport in Mauritius,2004,9,0,23374,29
Rodriguan creole,2008,12,0,27932,48
Mauritius,2013,2,54,382010,1405
Apostolic Vicariate of Rodrigues,2008,11,0,33020,51
Apostolic Vicariate of Rodrigues,2013,2,0,34494,56
LGBT rights in Mauritius,2013,6,4,46139,133
Politics of Mauritius,2011,9,4,88009,303
Auguste Toussaint,2012,6,3,27544,38
France%E2%80%93Mauritius Delimitation Convention,2010,10,0,33943,68
Cyclone Amara,2014,11,41,112876,117
Seggae,2005,5,0,25001,40
Menon Holdings,2009,5,0,26186,34
Motherland (anthem),2014,12,1,47987,120
Transport in Mauritius,2010,9,1,56029,176
Mauritius (Commonwealth realm),2012,3,0,47238,157
Mauritius,2014,9,70,407217,1409
Mauritian passport,2011,1,0,78345,345
Mauritius Labour Congress,2010,3,0,30078,56
.mu,2007,3,0,65867,398
Rodrigues People%27s Organisation,2007,10,0,36233,69
Kayamb,2006,5,0,28475,50
.mu,2007,12,0,68279,412
Stock Exchange of Mauritius,2012,8,1,71495,294
History of Mauritius,2014,11,9,144187,532
Prime Minister of Mauritius,2014,8,5,84582,294
Monarchy of Mauritius,2013,2,1,45489,136
Cabinet of Mauritius,2010,8,1,64552,229
History of Mauritius,2008,6,8,128064,490
Mauritius Trade Union Congress,2009,5,0,30723,54
Mauritian dollar,2007,3,0,41236,151
Mauritian passport,2008,1,0,130528,415
State Bank of Mauritius,2006,11,0,23957,37
Mauritian rupee,2004,5,0,31119,32
Mauritian passport,2008,12,0,135609,422
Michael Atchia,2015,2,0,29653,45
Harmogenanina linophora,2007,8,0,27932,50
Media of Mauritius,2014,1,0,52702,124
National Assembly (Mauritius),2009,8,0,62324,195
Bank of Mauritius Tower,2007,2,1,33317,51
114 (number),2005,7,0,33034,61
Bank of Mauritius Tower,2007,3,1,33449,48
Mauritius Radio Telescope,2007,8,0,27721,38
Harmogenanina linophora,2008,5,0,28873,54
Barclays Bank Mauritius,2015,1,1,35537,79
Tourism in Mauritius,2013,3,2,75268,283
Demographics of Mauritius,2007,5,0,41227,125
Chagos Archipelago sovereignty dispute,2013,11,12,87445,237
Education in Mauritius,2006,3,0,54113,38
Apostolic Vicariate of Rodrigues,2011,1,0,33828,53
Dupontia proletaria,2008,3,0,28912,51
.mu,2012,8,1,70822,422
L%27Express (Mauritius),2006,7,0,25058,38
Hermitage Island,2012,11,0,38467,70
Politics of Mauritius,2010,2,3,65764,236
University of Mauritius,2011,12,1,37792,64
Kayamb,2012,12,0,32937,65
State Bank Tower,2009,11,0,28816,42
Politics of Mauritius,2010,3,3,65938,236
Media of Mauritius,2013,8,0,53890,122
State House (Mauritius),2010,3,0,35565,42
114 (number),2005,10,0,33222,62
Seggae,2013,3,1,32609,72
