filename,year,month,num_citations,file_size,forward_links
Maquiladora,2012,9,24,69623,104
Vehicle registration plates of Mexico,2008,10,0,48739,79
Paso de Cort%C3%A9s,2012,12,0,30802,61
Human rights in Mexico,2010,4,11,45196,68
Mexico,2005,2,0,126966,402
Maquiladora,2012,3,25,71964,110
Maquiladora,2004,10,0,26909,31
Pelagio Antonio de Labastida y D%C3%A1valos,2013,6,0,51465,155
Marxist Leninist Centre in Mexico,2011,9,0,23393,35
List of Mexican states by Human Development Index,2009,3,0,40714,92
Chocho people,2011,4,1,32663,62
List of diplomatic missions in Mexico,2007,12,0,105882,176
List of conflicts in Mexico,2014,9,0,60192,183
President of Mexico,2011,11,3,94939,321
First Mexican Empire,2008,1,0,50434,123
Human rights in Mexico,2011,8,7,45585,73
Pancho Villa Expedition,2013,3,38,136049,351
List of regions of Mexico,2013,1,0,37071,103
Politics of Mexico,2013,2,4,96487,297
Coromuel,2008,3,0,26869,37
Politics of Mexico,2008,10,7,100823,297
Border War (1910%E2%80%9319),2010,11,0,94065,328
Immigration to Mexico,2011,2,24,194769,335
Republic of Sonora,2011,7,0,38037,77
NAFTA superhighway,2008,5,0,30805,65
Nuevo Cine Mexicano,2011,8,2,32647,59
Guadalupe Reyes Marathon,2008,9,0,29817,68
Mexican oil expropriation,2012,5,0,58541,170
Censo Econ%C3%B3mico,2006,8,0,23100,29
%C2%A1Ask a Mexican!,2014,4,3,31325,52
Senate of the Republic (Mexico),2010,9,0,84766,313
First Magdalena massacre,2015,3,0,31711,80
Mexican Navy,2010,7,39,190385,525
Don Eladio Sauza,2010,4,2,30958,48
Instituto Escuela del Sur,2014,6,1,27434,41
Mexico,2011,5,251,675058,1820
Bank of Mexico,2005,8,0,29535,40
Mexican Stock Exchange,2011,11,2,75186,355
Mexican Air Force,2013,12,30,215790,641
List of Nuestra Belleza M%C3%A9xico titleholders,2012,7,0,81739,343
Bank of Mexico,2010,9,1,73225,281
Transportation in Mexico,2010,12,16,59017,153
Telephone numbers in Mexico,2010,2,0,36857,92
Mocho%E2%80%99 language,2015,3,3,49925,158
Index of Mexico related articles,2009,2,1,134489,592
List of Mexican states by GDP,2010,4,1,63166,129
The Californias,2013,7,7,80195,271
Manufacturing in Mexico,2010,5,0,40501,56
Poverty in Mexico,2013,10,130,253396,290
Don Eladio Sauza,2013,2,2,31301,45
Sexenio (Mexico),2007,10,0,26497,43
Manuel Lozada,2015,4,0,31398,48
Pelagio Antonio de Labastida y D%C3%A1valos,2007,3,0,33438,64
Mexican Revolution,2014,7,38,224227,629
Chatino people,2008,7,0,31758,69
List of diplomatic missions of Mexico,2013,5,0,130827,491
Operaci%C3%B3n Escorpi%C3%B3n,2012,8,3,35370,78
List of seaports in Mexico,2011,4,0,31380,113
Transportation in Mexico,2009,7,20,57650,153
H Para Hombres,2009,9,0,36529,96
Jean Lafitte,2006,3,0,39966,82
Timeline of Mexican history,2015,2,0,72951,242
La Calle de las Sirenas,2011,1,0,26972,43
Abortion in Mexico,2009,1,11,50456,83
