filename,year,month,num_citations,file_size,forward_links
Transnistria,2011,6,132,281123,798
Sarmatians,2005,12,0,72749,156
President of Transnistria,2012,6,0,71308,254
Joint Control Commission,2006,8,0,29736,51
Kishinev pogrom,2006,1,0,36325,75
Telecommunications in Moldova,2013,6,35,160261,627
Organiza%C8%9Bia Na%C8%9Bional%C4%83 a Scou%C8%9Bilor din Moldova,2011,3,1,38582,62
History of Transnistria,2009,1,21,89350,279
International recognition of Transnistria,2011,5,6,64315,132
Moldova,2006,2,0,169196,554
Controversy over ethnic and linguistic identity in Moldova,2012,12,77,138157,288
"Moldovan constitutional referendum, 2010",2010,5,6,69139,270
Moldova,2013,7,98,415516,1347
Transnistria,2009,5,130,268803,775
Military of Moldova,2004,12,0,31049,62
President of Transnistria,2012,1,0,71691,252
Transnistria,2006,11,47,131603,293
BASA press,2011,11,4,31404,51
Eastern Moldova,2012,9,0,36018,70
Moldova,2013,10,105,449922,1373
Moldova,2006,12,14,187692,559
Moldova,2011,6,72,394789,1424
History of Moldova,2011,9,83,219813,771
List of Chairmen of the Gagauzian People%27s Assembly,2009,3,0,26647,46
Alliance for European Integration,2010,3,10,99176,385
Military of Moldova,2014,10,5,69998,240
Transnistria,2006,12,59,143299,364
Economy of B%C4%83l%C8%9Bi,2011,3,0,32693,72
Moldavian Democratic Republic,2011,7,3,74655,177
Democratic Forum of Romanians in Moldova,2015,1,6,42392,97
Transnistria,2005,8,0,83487,184
Moldovan Parliament 2005%E2%80%9309,2009,11,0,73881,257
Sarmatians,2011,10,23,89251,237
Transnistria,2010,4,136,281420,820
President of Moldova,2006,7,0,38778,66
Moldovan Air Force,2006,11,0,24612,29
Independence Day (Republic of Moldova),2012,10,1,42643,135
Geography of Moldova,2003,9,0,33021,49
"Moldovan constitutional referendum, 2010",2010,7,9,71389,271
Comrat,2009,12,1,58631,190
History of Transnistria,2007,2,18,77502,231
Political status of Transnistria,2009,10,12,59257,166
"Sfatul %C8%9A%C4%83rii election, 1917",2010,3,2,75097,288
Telecommunications in Transnistria,2007,3,0,30294,58
Independence Day (Republic of Moldova),2014,12,1,42764,138
Independence Day (Republic of Moldova),2012,11,1,42710,140
Prime Minister of Moldova,2009,8,0,76067,283
Controversy over ethnic and linguistic identity in Moldova,2014,7,92,165925,316
Odessa Military District,2011,1,4,58678,171
Comrat,2006,7,0,31641,37
Moldova Agroindbank,2007,4,1,29601,57
Portal:Moldova,2007,5,0,77583,141
Communist Party of Moldova,2011,12,0,43675,119
Eastern Moldova,2008,7,0,35893,78
Telecommunications in Transnistria,2008,6,0,36482,108
Transport in Moldova,2010,2,1,48372,156
Alliance for European Integration,2010,8,22,108940,408
