filename,year,month,num_citations,file_size,forward_links
Vehicle registration plates of Montenegro,2008,9,0,43135,134
President of Montenegro,2010,1,0,69504,231
Drobnjaci,2010,3,1,33640,81
World War II,2005,8,0,233628,880
Kingdom of Montenegro,2014,9,1,103089,356
Illyria,2008,2,11,56276,144
Ste%C4%87ak,2010,11,7,45180,83
"State of Slovenes, Croats and Serbs",2004,7,0,35669,47
Crmnica,2013,1,0,41785,115
World War II,2010,1,330,683077,1886
Bijela gora,2011,8,0,30877,54
%C5%A0avnik,2008,1,0,39786,87
Geography of Montenegro,2009,8,2,53828,159
Foreign relations of Montenegro,2010,10,5,201836,544
List of mayors of Ulcinj,2013,2,0,25581,42
%C4%90ur%C4%91evi%C4%87a Tara Bridge,2011,3,0,34413,58
Drobnjaci,2014,10,15,58608,173
Nikola Vuk%C4%8Devi%C4%87 (film director),2008,2,0,26362,38
Drobnjaci,2008,5,0,25652,45
"Montenegrin independence referendum, 1992",2010,5,0,65431,169
List of diplomatic missions in Montenegro,2012,5,0,85611,208
Drobnjaci,2008,11,1,31905,74
Orthodoxy in Montenegro,2009,11,0,39703,90
Dra%C4%8D County,2014,1,13,61158,90
Vasojevi%C4%87i,2008,10,21,65358,172
Foreign relations of Montenegro,2011,8,24,268160,629
"Embassy of Montenegro in Washington, D.C.",2010,6,1,38558,81
"Nicholas, Crown Prince of Montenegro",2014,3,13,134149,196
"Montenegrin independence referendum, 2006",2011,1,31,129037,381
History of Montenegro,2006,8,0,94696,398
Grbalj,2014,9,2,42990,96
Kingdom of Dalmatia,2008,9,0,48774,110
Duklja,2007,2,0,97783,489
Mihailo I of Duklja,2014,5,8,64933,182
Bijela gora,2005,11,0,23872,32
Chetniks,2011,1,73,228254,625
Uprising in Montenegro,2014,12,56,221399,679
%C5%A0avnik,2014,5,0,40189,68
Drobnjaci,2012,10,12,51444,144
Serbian Empire,2011,1,6,116584,519
Montenegrin American,2014,1,4,73896,277
"Grahovo, Nik%C5%A1i%C4%87",2013,8,0,30070,56
List of diplomatic missions of Montenegro,2014,2,1,70282,210
Montenegrin Navy,2013,10,0,67317,212
World War II,2003,11,0,99384,241
Radio Jadran,2010,7,0,32144,71
%C5%A0piro Mugo%C5%A1a Airport,2011,5,0,40637,69
History of the Jews in Montenegro,2007,5,0,22578,25
%C5%A0avnik,2006,11,0,38585,77
World War II,2010,9,332,707238,2069
"State of Slovenes, Croats and Serbs",2014,11,8,125565,429
Montenegro,2013,7,57,376084,1249
Sand%C5%BEak,2008,2,1,79358,354
Janko Vukoti%C4%87,2012,3,0,33283,65
List of populated places in Montenegro,2006,8,0,82364,184
Male%C5%A1evci,2007,3,0,27374,45
Transport in Montenegro,2012,2,0,85353,383
Duchy of Saint Sava,2011,5,10,50194,113
Islam in Montenegro,2013,12,1,85780,445
Foreign relations of Montenegro,2011,12,24,284609,651
Moj svijet,2015,1,1,71741,216
Kingdom of Montenegro,2012,9,0,102697,349
Regions in Montenegro,2007,1,0,46947,164
Sport in Montenegro,2008,3,0,51835,206
Dajbabe Monastery,2010,11,0,108352,395
Montenegrins,2015,4,19,158491,516
World War I,2014,7,328,841496,2161
Principality of Montenegro,2007,9,0,47779,115
List of populated places in Montenegro,2011,2,0,98136,211
List of diplomatic missions of Montenegro,2009,6,5,64612,170
Bijela gora,2006,10,0,25320,40
List of diplomatic missions in Montenegro,2015,3,6,91369,212
Sand%C5%BEak,2010,9,2,80316,268
Matica crnogorska,2010,5,0,23436,24
Lower Kola%C5%A1in,2012,10,0,35160,104
Mira%C5%A1 Dedei%C4%87,2009,5,0,55229,161
Italian governorate of Montenegro,2011,1,3,104376,387
Geography of Montenegro,2006,5,0,49720,145
Lane moje,2009,1,0,30585,41
Illyria,2011,12,19,72420,166
Cinema of Montenegro,2007,2,0,54245,216
Parliament of Montenegro,2008,1,0,74407,227
Chetniks,2014,9,236,479135,829
Male%C5%A1evci,2008,2,0,28742,49
"%27Ajde, kro%C4%8Di",2008,5,1,31637,66
Parliament of Montenegro,2009,12,0,68859,205
Mira%C5%A1 Dedei%C4%87,2009,9,0,55367,156
"Nicholas, Crown Prince of Montenegro",2011,6,6,68793,165
Republic of Venice,2013,4,21,136116,438
Vehicle registration plates of Montenegro,2012,9,1,70067,187
Government of Montenegro,2006,12,0,43145,97
Tara River Canyon,2007,9,0,28465,42
Montenegrin American,2009,9,0,61945,233
Montenegrin passport,2011,7,10,102432,387
Mira%C5%A1 Dedei%C4%87,2006,3,0,30932,63
Serb clans,2008,9,1,43535,95
Republic of Montenegro (1992%E2%80%932006),2008,3,0,41890,79
Crkvice,2013,6,1,38650,73
Montenegro,2001,12,0,64736,27
Radio Luna,2009,9,0,24796,37
Tito%27s Blue Train,2014,12,3,35940,64
"Nicholas, Crown Prince of Montenegro",2008,12,5,65631,168
Template:Montenegro stub,2009,8,0,35313,55
Roman Catholic Archdiocese of Bar,2012,3,2,42387,85
Italian governorate of Montenegro,2014,12,69,224348,588
Lower Kola%C5%A1in,2012,11,0,35050,102
Montenegro,2013,4,55,373218,1237
Cuce,2008,3,0,27244,44
President of Montenegro,2012,9,0,97010,357
Serb clans,2008,4,1,42977,92
Cuce,2008,6,0,27451,47
"Nicholas, Crown Prince of Montenegro",2012,2,13,73764,177
Male%C5%A1evci,2011,3,1,32282,60
Po%C5%A1ta Crne Gore,2014,6,2,36847,115
Montenegrins,2005,1,0,48795,118
Serbian Empire,2014,9,10,134064,562
Principality of Montenegro,2008,1,0,54073,133
LGBT rights in Montenegro,2008,12,0,47628,132
Montenegrin Ground Army,2014,11,1,80824,275
LGBT rights in Montenegro,2011,5,2,63224,228
Template:Regions in Montenegro,2014,1,0,26997,58
RTV Nik%C5%A1i%C4%87,2006,10,0,24544,39
Star%C4%8Devo culture,2006,12,0,34780,71
Line of succession to the former Montenegrin throne,2013,3,5,46383,96
Italian governorate of Montenegro,2014,4,61,201849,574
World War II,2009,7,280,449944,1478
TV In,2012,5,0,34387,75
RTV Luna,2014,12,0,26352,48
List of rulers of Montenegro,2007,11,0,57873,209
Mala Rijeka Viaduct,2011,4,3,38778,65
Pa%C5%A1trovi%C4%87i,2013,6,1,32350,53
Demographic history of Montenegro,2013,3,6,171518,397
Bihor (region),2007,2,0,30291,59
Eparchy of Budimlja and Nik%C5%A1i%C4%87,2009,9,0,108501,400
List of Montenegrins,2008,10,0,94860,288
Montenegrin Mountain Hound,2010,8,1,34478,67
Ministry of Foreign Affairs and European Integration of Montenegro,2014,10,0,33420,52
Roman Catholic Archdiocese of Bar,2009,11,0,41272,85
Illyria,2005,10,0,59344,185
Chetniks,2009,4,30,118458,340
Government of Montenegro,2013,6,0,92508,307
Coat of arms of Ulcinj,2014,1,2,38756,85
Mira%C5%A1 Dedei%C4%87,2012,10,1,54273,129
Serb National Guard of Kotor,2010,3,1,29780,52
Just Get Out of My Life,2010,4,5,39547,60
Duklja,2009,3,17,106421,362
Dra%C4%8Devica (%C5%BEupa),2013,7,1,26679,41
List of rulers of Zeta,2008,8,0,24482,28
World War II,2006,12,21,409335,1930
Republic of Montenegro (1992%E2%80%932006),2008,6,0,42428,81
Illyria,2011,10,19,72034,160
Islam in Montenegro,2015,2,1,90265,452
Montenegro and the euro,2007,11,1,49839,173
Montenegrins of Bosnia and Herzegovina,2007,5,0,45942,94
Sand%C5%BEak,2004,5,0,31377,53
List of Montenegrins,2009,2,0,100770,294
A View from Eiffel Tower,2006,7,0,33305,64
%C5%A0avnik,2007,9,0,39432,83
Montenegro and the euro,2014,2,7,63072,201
Ministry of Foreign Affairs and European Integration of Montenegro,2008,11,0,30550,58
Prince Bishopric of Montenegro,2014,1,17,104771,285
Croatian Civic Society of Montenegro,2006,8,0,25784,38
Vasojevi%C4%87i,2014,7,23,83512,220
"Montenegrin parliamentary election, 2009",2011,4,10,88826,202
Kingdom of Montenegro,2007,6,0,72992,235
List of populated places in Montenegro,2011,1,0,98371,215
Montenegrin Littoral,2013,11,1,50504,138
Montenegrin Australian,2007,1,0,39927,77
Serb clans,2009,8,1,44877,99
Montenegrin Australian,2011,8,3,69252,265
"State of Slovenes, Croats and Serbs",2006,5,0,39650,73
List of postal codes in Montenegro,2014,12,0,73201,253
Morinj camp,2013,9,6,26144,37
"Nicholas, Crown Prince of Montenegro",2010,3,7,65097,152
Vojislavljevi%C4%87 dynasty,2009,5,0,105636,630
World War I,2008,7,125,488034,1657
Serb clans,2011,1,1,48210,115
Republic of Venice,2005,9,0,51251,108
History of Montenegro,2009,8,8,112977,411
Demographic history of Montenegro,2009,11,4,92146,362
List of postal codes in Montenegro,2012,1,0,72415,250
World War I,2004,5,0,147760,531
Chetniks,2010,2,48,155097,407
Kingdom of Montenegro,2010,2,0,74634,220
Geography of Montenegro,2008,7,2,51392,155
World War I,2009,10,186,545289,1536
Ste%C4%87ak,2014,1,7,53834,105
Military of Montenegro,2008,12,1,56522,165
Montenegrin Campaign (World War I),2015,1,0,43727,92
Radio Luna,2014,12,0,27105,51
Montenegro and the euro,2009,10,1,54497,190
Pjesma Mediterana,2013,2,1,34217,66
World War I,2012,4,276,784466,2103
List of Presidents of Montenegro,2008,4,0,22363,25
Montenegro and the euro,2013,3,7,66118,208
Montenegro,2007,12,18,242675,885
Ivica Tunnel,2015,4,0,25322,41
Sand%C5%BEak,2007,12,0,80685,367
Military of Montenegro,2010,10,5,105994,334
World War II,2003,9,0,169425,715
NTV Montena,2007,7,0,27089,47
Montenegro,2011,7,54,278049,788
Mihailo I of Duklja,2009,9,0,33173,63
Kingdom of Montenegro,2010,10,0,92019,318
Kingdom of Montenegro,2013,2,0,103355,358
Croatian Civic Society of Montenegro,2014,10,0,31749,55
Government of Montenegro,2013,3,0,92677,313
President of Montenegro,2008,9,0,70099,280
Montenegro,2004,4,0,77914,114
Serb clans,2007,10,1,42836,92
Radio Jadran,2014,9,0,31919,65
Serbian Empire,2008,10,0,56890,141
Geography of Montenegro,2011,4,2,80899,329
Chetniks,2007,2,0,48132,124
Serb National Guard of Kotor,2009,6,0,29814,52
Montenegro Stock Exchange,2006,1,0,26231,42
Illyria,2011,2,17,65663,158
Pjesma Mediterana,2011,6,1,34230,66
TV In,2008,6,0,26061,48
Principality of Montenegro,2008,6,0,54122,133
World War I,2009,2,157,575300,1674
World War II,2008,10,252,391625,1249
Economy of Montenegro,2008,1,3,68387,268
Father in law of Europe,2006,4,0,31316,55
"Savina Monastery, Montenegro",2005,12,0,36300,89
World War II,2013,3,369,740833,2084
Roman Catholic Archdiocese of Bar,2013,6,2,42780,85
Vasojevi%C4%87i,2010,1,24,75371,182
List of rulers of Montenegro,2006,1,0,44239,159
President of Montenegro,2007,4,0,51886,120
United Nations Security Council Resolution 1691,2013,2,1,56956,156
"Grahovo, Nik%C5%A1i%C4%87",2013,2,0,30112,58
List of diplomatic missions of Montenegro,2007,2,0,30366,54
Mrkojevi%C4%87i,2007,2,0,25747,40
Embassy of Montenegro in Ljubljana,2012,11,0,38014,77
Montenegrin passport,2009,2,8,94336,380
Mal%C3%ABsia,2013,4,0,53500,143
Illyria,2004,6,0,61208,219
List of Ambassadors from Montenegro,2007,4,0,32678,51
Geography of Montenegro,2005,12,0,37757,56
List of Ambassadors to Montenegro,2013,6,0,111795,342
Crnogorska komercijalna banka,2008,12,0,26314,37
History of Montenegro,2005,1,0,44894,113
President of Montenegro,2011,2,0,96525,355
Template:Montenegro stub,2013,7,0,34880,46
Male%C5%A1evci,2006,7,0,27220,46
Public holidays in Montenegro,2013,3,0,35767,110
Principality of Montenegro,2014,5,6,103807,280
Parliament of Montenegro,2010,7,0,78619,288
Drobnjaci,2013,8,16,54053,146
"Montenegrin independence referendum, 2006",2009,1,32,109795,304
Vojislavljevi%C4%87 dynasty,2007,2,0,42107,143
Mal%C3%ABsia,2007,9,3,72897,144
Mihailo I of Duklja,2013,6,8,64974,180
LGBT rights in Montenegro,2015,4,5,76229,240
Transport in Montenegro,2008,1,0,60853,267
Serbian%E2%80%93Montenegrin unionism,2013,11,2,37743,70
Montenegrin perun,2013,3,0,29807,53
Montenegrin%E2%80%93Ottoman War (1876%E2%80%9378),2008,9,0,41111,118
Montenegrin Air Force,2015,3,7,73834,239
Montenegrin perun,2008,9,0,29722,56
"Savina Monastery, Montenegro",2005,11,0,30932,55
Parliament of Montenegro,2009,2,0,76825,223
Republic of Montenegro (1992%E2%80%932006),2010,11,0,52371,105
Ministry of Foreign Affairs and European Integration of Montenegro,2009,3,0,30825,60
Serbian Empire,2013,3,9,130095,560
Roman Catholic Archdiocese of Bar,2011,7,2,42507,85
Constitution of Montenegro,2006,11,0,38647,83
Ministry of Finance (Montenegro),2013,3,1,34935,47
.me,2008,10,3,76962,434
Television in Montenegro,2007,10,0,26354,58
Villa %22Gorica%22,2013,10,1,30764,49
Economy of Montenegro,2014,9,7,80501,230
Montenegrins,2006,8,6,83392,298
Elmag RTV,2006,11,0,27479,50
Prince Bishopric of Montenegro,2012,10,17,105358,284
Lane moje,2008,3,0,29348,42
Radio 98,2014,2,0,28304,45
Janko Vukoti%C4%87,2014,1,0,43483,95
"Nicholas, Crown Prince of Montenegro",2015,2,11,127534,185
