filename,year,month,num_citations,file_size,forward_links
Chemseddine Chtibi,2013,12,2,43906,78
Thami El Glaoui,2012,5,5,57997,97
Le Fil vert,2013,8,0,32681,61
Judar Pasha,2007,6,1,27559,53
Muhammad al Muqri,2012,3,1,30497,59
Assadissa,2013,11,0,47489,128
Almohad Caliphate,2007,3,0,48411,127
Green March,2013,4,8,85450,281
Al Adl Wa Al Ihssane,2006,7,0,28067,42
Action Party (Morocco),2012,1,0,33137,67
Foreign relations of Morocco,2005,8,0,34728,103
Morocco,2012,9,93,464924,1679
Royal Moroccan Armed Forces,2006,3,0,25692,32
Makhzen,2014,7,1,37945,86
Royal Moroccan Armed Forces,2006,6,0,31154,45
Almoravid dynasty,2015,1,27,224499,733
Horses of God,2014,2,6,41157,81
Philippe P%C3%A9tain,2005,9,0,70850,203
Brahim Takioullah,2012,5,4,35937,56
ONPT,2014,1,0,32407,62
Template:History of Morocco,2014,6,0,54635,129
Alyam Alyam O les jours aka Oh the days,2014,4,0,34783,53
Greater Morocco,2006,6,0,41986,126
Auxiliary Forces,2011,1,0,61448,114
Royal Moroccan Army,2011,8,11,164481,498
Transport in Morocco,2007,5,0,44675,144
Jet4you,2011,5,6,60663,172
List of governors of Tangier,2004,11,0,45308,230
Morocco Times,2007,2,0,26559,47
Judar Pasha,2011,12,2,31070,61
Morocco,2013,6,84,388453,1292
Foreign relations of Morocco,2004,9,0,32444,75
Muhammad al Muqri,2013,9,1,30664,64
List of governors of Tangier,2007,3,0,47608,232
Franco Moroccan Treaty (1631),2011,3,2,27479,46
Geography of Morocco,2008,9,0,60714,171
Zayyanid dynasty,2011,7,1,56583,154
Children of the Sun (1962 film),2012,6,1,32459,50
Mechouar,2011,8,0,30391,72
Chebakia,2014,4,0,39437,157
Ifni,2005,10,0,30786,65
Index of Morocco related articles,2009,5,0,85935,390
Judiciary of Morocco,2013,8,0,42494,68
History of Morocco,2006,9,1,92494,318
Morocco%E2%80%93European Union relations,2010,3,15,96063,290
Ismail Ibn Sharif,2010,6,8,60391,154
Marinid Tombs,2013,1,1,25627,42
Almoravid dynasty,2006,6,0,59265,175
Al Hoceima National Park,2014,1,0,37741,73
Ha Mim,2011,12,0,29604,65
Mohamed Oufkir,2012,3,0,32677,61
Pillars of Hercules,2008,11,8,81364,277
Outline of Morocco,2013,12,3,97044,292
Wattasid dynasty,2011,10,1,68001,230
Moroccans,2011,5,10,66695,222
International Court of Justice Advisory Opinion on Western Sahara,2008,8,1,54493,156
Yusuf ibn Tashfin,2008,12,6,58094,206
History of Morocco,2014,1,20,186195,784
Barbary Wars,2004,7,0,26986,42
Zayyanid dynasty,2014,12,8,90950,242
Berlin Conference,2011,8,2,65589,194
List of postal codes in Morocco,2011,4,0,28203,87
Draa River,2008,2,11,75574,156
Yusuf ibn Tashfin,2011,4,6,58733,193
Strait of Gibraltar crossing,2011,12,14,62489,103
El Kouar,2010,8,2,26763,45
Democratic Federation of Labour,2009,5,0,30221,51
Taxicabs of Morocco,2011,6,2,35751,69
Royal Moroccan Navy,2011,12,6,105140,246
Parliament of Morocco,2007,11,0,39624,94
Taghazout,2010,12,0,39447,68
Berlin Conference,2011,12,3,72240,205
Ahriche,2011,10,0,25953,44
BMCI,2014,12,1,40966,84
Green March,2013,10,8,85460,288
Almoravid dynasty,2014,9,27,225574,737
%C3%89cole Mohammadia d%27ing%C3%A9nieurs,2013,8,0,42647,65
Green March,2009,9,8,63531,177
Abu Yaaza,2013,5,1,28427,44
"Hugo O%27Donnell, 7th Duke of Tetuan",2011,6,0,32061,66
Sport in Morocco,2010,5,2,44952,117
Years in Morocco,2015,1,0,89487,84
Royal Moroccan Armed Forces,2011,10,7,87384,272
Farid Essebar,2010,8,2,28971,62
Hoba Hoba Spirit,2011,2,0,34140,61
Ahmed Errachidi,2011,6,21,85056,189
Jet4you,2010,4,5,51194,142
Marinid dynasty,2012,2,6,113597,521
Bouknadel,2010,6,2,27234,48
ONA Group,2013,7,0,33519,66
History of Morocco,2007,8,1,92795,309
Marrakech Grand Prix,2007,1,0,40603,77
Marinid dynasty,2007,12,3,68462,299
Political status of Western Sahara,2013,2,378,604036,704
Children of the Sun (1962 film),2012,11,1,32351,46
First Moroccan Crisis,2006,8,0,32702,66
Mohammed Ameziane,2014,6,1,51398,114
Ismail Ibn Sharif,2012,2,9,63040,154
Laraki,2013,12,1,33820,54
Water supply and sanitation in Morocco,2009,11,57,134428,167
Bay%27ah,2008,11,1,34277,62
Royal Advisory Council for Saharan Affairs,2006,5,1,40880,95
Haha (tribe),2010,11,0,27978,45
Southern Provinces,2010,9,5,54818,146
Ain Ben Tili,2006,6,0,28993,60
Banque Populaire du Maroc,2013,4,1,40868,82
Waggag ibn Zallu al Lamti,2012,3,4,37828,76
Spanish protectorate in Morocco,2007,4,1,48774,106
Moroccan Airports Authority,2007,1,0,28104,55
Ouzoud Falls,2008,2,0,30567,45
Public holidays in Morocco,2007,11,0,39395,130
Franco Moroccan War,2013,8,0,40500,84
First Moroccan Crisis,2014,8,4,80810,285
MEDays,2014,8,0,69743,167
Morocco%E2%80%93United States Free Trade Agreement,2006,9,0,32019,65
Ouzoud Falls,2011,2,0,34141,54
Strait of Gibraltar crossing,2013,10,16,65798,116
Strait of Gibraltar crossing,2007,10,5,32985,46
Water supply and sanitation in Morocco,2012,6,64,150485,198
ONPT,2009,8,0,27694,46
Ouka%C3%AFmeden,2010,10,0,28587,46
Public holidays in Morocco,2011,9,0,39939,130
Philippe P%C3%A9tain,2013,11,40,212050,770
Thami El Glaoui,2014,3,5,72418,157
