filename,year,month,num_citations,file_size,forward_links
Military of Mozambique,2003,7,0,24547,22
Southern African Sand Forest,2011,7,6,41701,66
History of Mozambique,2011,11,2,61951,183
Operation Gordian Knot,2010,1,3,40175,65
Roman Catholic Diocese of Quelimane,2010,12,0,32917,53
Roman Catholic Diocese of Quelimane,2013,4,0,37653,66
Geography of Mozambique,2004,9,0,30177,46
Transport in Mozambique,2010,12,4,53953,157
Beira Airport,2012,10,1,38674,73
Songo Airport,2010,9,0,34775,64
Pal%C3%A1cio da Ponta Vermelha,2009,5,0,27022,44
"Party for Peace, Democracy, and Development",2009,12,0,64235,272
Geography of Mozambique,2003,12,0,28896,38
Greens Party of Mozambique,2014,9,1,60350,212
Demographics of Mozambique,2011,7,3,54674,149
Mozambican Civil War,2014,12,39,151338,454
Alexandre de Serpa Pinto,2012,5,1,39174,88
Eduardo Mondlane University,2009,8,0,33116,58
Makua people,2006,8,0,31918,57
Maviha people,2006,8,0,28006,50
Pemba Airport (Mozambique),2007,8,0,28006,46
Mozambique,2007,12,4,243636,882
Mozambique at the 2006 Commonwealth Games,2011,4,0,46048,142
Military of Mozambique,2007,8,0,42142,116
Liberal Democratic Party of Mozambique,2005,3,0,30730,57
Mozambique Company,2012,6,3,46105,126
National Unity Party (Mozambique),2013,3,0,33684,73
Mozambique women%27s national football team,2012,12,2,84176,215
"Ibo, o sangue do sil%C3%AAncio",2014,5,0,33601,62
RENAMO,2015,2,24,72184,137
Benguerra Island Airport,2011,8,0,34303,57
RENAMO,2006,3,0,38722,87
Mozambique,2010,10,25,297247,1046
Pedagogical University,2008,4,0,28993,49
RENAMO,2014,4,24,67028,131
National Democratic Union of Mozambique,2008,9,0,34417,79
Beira Airport,2010,8,0,35911,62
Mozambique,2002,9,0,59894,36
Nkomati Accord,2013,1,0,32818,62
Lichinga Airport,2007,2,0,26556,45
HIVAIDS in Mozambique,2014,6,2,66102,217
Mozambican real,2012,1,0,30280,59
A ponte: uma hist%C3%B3ria do ferryboat Bagamoyo,2013,7,0,33103,59
Telecomunica%C3%A7%C3%B5es de Mo%C3%A7ambique,2008,12,0,32197,57
Nampula Airport,2013,7,0,40259,91
Beira Airport,2014,8,1,41089,83
Gokomere,2010,7,0,33168,81
Mozambican passport,2013,3,0,77339,352
Bank of Mozambique,2013,10,1,67949,269
Military of Mozambique,2015,2,17,93704,302
P%C3%A1tria Amada,2006,9,0,42061,114
Rugby union in Mozambique,2011,4,2,53447,206
Mozambique,2014,11,65,381537,1309
Roman Catholic Diocese of Pemba,2013,7,0,36595,64
Military of Mozambique,2013,12,15,82845,284
Maravi,2011,3,0,33023,72
Pink Map,2014,4,62,85298,149
Gazaland,2014,1,0,31338,66
List of companies based in Mozambique,2014,8,2,53170,154
Portuguese India Armadas,2012,9,44,218874,665
List of heads of state of Mozambique,2004,10,0,31608,49
"List of Council of Ministers of Mozambique, 1984",2007,12,0,36100,75
"Party for Peace, Democracy, and Development",2009,8,0,63182,268
Pemba Airport (Mozambique),2013,3,1,39920,88
Maravi,2014,1,0,34565,78
Nampula Airport,2007,2,0,27487,45
Mozambican Civil War,2014,3,36,143308,437
List of heads of government of Mozambique,2015,3,0,75494,287
Economy of Mozambique,2009,11,0,102519,474
Dona Ana Bridge,2009,4,1,33772,67
Kionga Triangle,2006,5,0,29850,52
Muidumbe District,2010,5,0,48388,198
Timeline of Maputo,2013,5,23,75320,116
Portuguese Colonial War,2007,10,1,135219,527
Alexandre de Serpa Pinto,2012,10,2,39554,84
Hinduism in Mozambique,2013,9,0,45321,110
United Nations Operation in Mozambique,2008,6,3,33724,59
Portuguese Colonial War,2009,6,46,221295,745
