filename,year,month,num_citations,file_size,forward_links
Shahumyan Region,2008,4,3,39285,82
1993 Summer Offensives,2008,2,2,59434,179
Askeran Region,2013,2,1,50133,136
Hadrut Region,2013,1,2,48169,125
Azat u ankakh Artsakh,2013,3,0,69792,281
Operation Goranboy,2010,9,4,85521,270
Battle of Kalbajar,2007,9,22,87361,268
Battle of Kalbajar,2007,2,20,83146,234
Khodaafarin Bridges,2010,7,1,50978,165
Mardakert and Martuni Offensives,2012,1,2,62688,190
Askeran Region,2007,5,0,34887,64
List of representative offices of Nagorno Karabakh,2015,3,3,60304,187
Martuni Region,2006,4,0,28811,45
Khodaafarin Bridges,2008,5,1,26760,36
Nagorno Karabakh Republic,2014,7,109,316089,803
Political status of Nagorno Karabakh,2014,11,57,114800,142
Mardakert and Martuni Offensives,2010,12,2,62828,190
Political status of Nagorno Karabakh,2013,4,43,92888,134
Kashatagh Region,2014,9,5,55124,94
Flag of Nagorno Karabakh,2011,4,1,42118,114
Capture of Shusha,2008,10,21,95270,291
Martuni Region,2007,12,0,37393,76
Battle of Kalbajar,2009,1,22,83846,223
Nagorno Karabakh passport,2014,6,1,77525,346
2008 Mardakert skirmishes,2012,3,32,117731,288
1993 Summer Offensives,2010,8,3,64693,197
Flag of Nagorno Karabakh,2007,1,1,26857,45
2008 Mardakert skirmishes,2009,11,31,107500,251
2010 Mardakert skirmishes,2011,1,15,86009,240
Operation Goranboy,2013,2,5,88181,277
Nagorno Karabakh Republic,2011,6,108,278936,761
Azat u ankakh Artsakh,2008,12,0,67526,281
Operation Goranboy,2013,7,5,87946,281
Flag of Nagorno Karabakh,2005,9,0,23416,36
Nagorno Karabakh Republic,2012,6,112,306343,763
Askeran Region,2008,6,0,34825,68
Nagorno Karabakh national football team,2014,8,3,57372,107
Nagorno Karabakh national football team,2014,12,3,59650,113
Battle of Aghdam,2010,6,6,49875,111
Nagorno Karabakh Republic,2011,8,108,275160,745
Hadrut Region,2007,2,1,37280,73
Azat u ankakh Artsakh,2012,9,0,70349,285
