filename,year,month,num_citations,file_size,forward_links
History of Namibia,2014,7,27,138961,406
German South West Africa,2014,2,17,95699,229
Red Scorpion,2011,8,2,47390,121
Koevoet,2011,2,6,59329,150
Kalahari Acacia Baikiaea woodlands,2009,4,2,27749,56
Tubas Red Sand mine,2013,7,1,27412,43
Prime Minister of Namibia,2009,12,0,39319,89
Who Am I%3F (1998 film),2007,1,0,32082,47
Mbukushu,2011,7,0,24967,40
Namibia Press Agency,2011,6,3,31849,49
Kwanyama dialect,2006,3,0,30838,41
Cuba%E2%80%93Namibia relations,2008,4,2,46928,130
James Edward Alexander,2013,10,3,49827,119
Mining in Namibia,2011,1,5,58720,95
Namibian Air Force,2013,10,9,43322,78
Namibia women%27s national football team,2011,7,0,72199,196
Kolmanskop,2008,8,0,36495,71
Hoba meteorite,2008,2,0,36571,56
Victor Franke,2011,9,0,29164,65
South West African Territorial Force,2007,7,0,31046,51
Damaraland,2006,1,0,50400,118
The Cell,2014,3,9,55873,140
Tswanaland,2010,3,0,52408,125
Maharero,2013,2,4,43479,93
Minister of Defence (Namibia),2009,2,1,28705,52
Ghajini (2008 film),2012,2,35,118179,304
Cuca shop,2008,4,0,26862,39
Roman Catholicism in Namibia,2008,4,0,39660,116
German South West African Mark,2012,5,0,36589,89
South West Africa,2007,2,8,44438,82
United Nations Transition Assistance Group,2010,9,8,66727,158
Koevoet,2015,2,31,109964,250
Tswanaland,2013,9,2,56335,136
Namaland,2009,2,0,49546,114
Sebastian Kamwanga,2011,5,1,29633,55
B3 road (Namibia),2013,1,0,35544,63
Namibia women%27s national football team,2012,9,0,72616,196
The Cell,2011,12,8,53514,135
"10,000 BC (film)",2011,9,27,87362,171
"South West African legislative election, 1961",2012,12,0,36843,83
Constitution of Namibia,2010,11,1,48984,135
Telecommunications in Namibia,2011,5,0,44578,136
Telecommunications in Namibia,2008,10,0,42304,120
Second Congo War,2014,6,38,187969,522
Taxation in Namibia,2014,7,5,63807,227
1988 Oshakati bomb blast,2013,1,4,31395,55
Protected areas of Namibia,2013,9,53,155952,311
1988 Oshakati bomb blast,2012,1,4,30982,51
Nehale Senior Secondary School,2012,5,3,34554,52
Olufuko festival,2014,7,3,29887,45
President of Namibia,2004,11,0,29412,25
2009 L%C3%BCderitz oil spill,2014,12,1,29896,54
Second Congo War,2008,9,20,176848,570
Special Field Force,2014,4,7,33674,46
Michael Scott (activist),2009,1,2,32494,61
Template:Namibia stub,2010,3,0,33367,47
South West Africa,2005,11,0,33225,57
Skeleton Coast,2010,10,0,38476,78
"Namibian parliamentary election, 1989",2009,12,1,43546,122
Turnhalle Constitutional Conference,2014,10,25,75070,122
The Cell,2008,9,2,42811,102
United Nations Institute for Namibia,2009,2,7,34686,66
Black Vulcanite,2015,2,3,33851,68
Lothar von Trotha,2008,10,3,44558,108
Namibia,2011,8,74,346704,1019
"South West African legislative election, 1955",2011,3,1,41647,114
Herero Wars,2005,7,0,27843,56
Namibian Navy,2013,1,11,50790,83
Deutscher Pfadfinderbund Namibia,2010,6,1,34780,52
South West Africa Campaign,2006,2,0,80789,314
Finland%E2%80%93Namibia relations,2009,2,0,44691,116
South West Africa,2004,7,0,29297,39
United States Ambassador to Namibia,2008,7,0,33339,55
Red Scorpion,2006,2,0,29689,45
Theodor Leutwein,2013,2,1,38828,91
Namibia National Students Organisation,2011,9,2,28929,40
Ana Paula dos Santos,2012,12,3,34055,54
Nkurenkuru,2010,7,7,43521,78
South West Africa Campaign,2009,1,0,51874,105
Lothar von Trotha,2009,9,3,44308,107
Kolmanskop,2009,9,4,39627,76
Bank of Namibia,2007,10,0,29193,52
Ndonga dialect,2010,2,0,39173,79
The Salvation Army in Namibia,2013,11,0,29792,65
Damaraland,2013,2,0,56548,146
History of Namibia,2007,6,9,119024,421
Beyond Borders,2012,6,2,47184,104
Ghajini (2008 film),2007,7,0,33316,61
Flight of the Phoenix (2004 film),2008,4,2,44987,95
Namibia Red Cross Society,2009,10,0,23300,28
Ndonga dialect,2007,9,0,34377,57
List of supermarket chains in Namibia,2014,12,3,40982,96
Adolf L%C3%BCderitz,2006,7,0,29828,56
Members of the Constituent Assembly of Namibia,2010,11,0,35119,78
New Era (Namibia),2008,4,1,27251,42
Gazza Music Productions,2011,11,1,32938,56
Operation Protea,2012,4,1,41833,74
Max Hamata,2012,9,2,29821,52
Education in Namibia,2009,3,2,42173,101
Bushmanland (South West Africa),2006,5,0,50384,110
"10,000 BC (film)",2012,6,28,88540,158
History of rail transport in Namibia,2013,4,2,64898,133
Herero Day,2013,6,5,33990,57
Second Congo War,2007,10,11,139560,417
Turnhalle Constitutional Conference,2013,10,21,67914,116
Minister of Defence (Namibia),2013,1,1,25964,41
Steel Dawn,2008,3,0,35987,76
Kavangoland,2009,12,0,51885,123
Namibia,2010,4,58,282738,870
Economy of Namibia,2009,7,3,86863,411
History of Namibia,2006,12,9,118421,421
James Edward Alexander,2006,7,0,30100,61
East Caprivi,2005,9,0,28551,57
Kaokoveld,2010,3,0,26150,40
Namibian Marine Corps,2015,2,7,38536,56
Namibia Defence Force,2014,10,29,102544,298
Oorlam people,2010,2,3,26329,41
Namibia national inline hockey team,2014,7,0,40874,69
Constituency (administrative division),2009,7,0,26152,46
B5 road (Namibia),2013,11,0,34675,63
Caprivi treason trial,2012,3,23,69492,105
Battle of Cassinga,2013,5,38,137077,236
Creatures the World Forgot,2009,10,0,33936,64
Ombalantu baobab tree,2010,10,3,26276,40
Kwanyama dialect,2006,10,0,34359,48
Langer Heinrich mine,2014,11,1,34712,47
German Namibians,2005,10,0,26465,35
South West Africa,2008,1,9,54758,120
Finnish Missionary Society,2013,7,6,49572,132
Ghajini (2008 film),2008,7,0,34481,65
Prime Minister of Namibia,2010,6,0,61286,226
Namibian Stock Exchange,2013,1,3,53678,191
List of diplomatic missions in Namibia,2008,1,0,70297,112
LGBT rights in Namibia,2012,2,3,47782,139
Gobabeb,2007,5,0,24899,37
Rhenish Missionary Society,2007,1,0,30253,63
Hoba meteorite,2006,7,0,32694,50
National Council (Namibia),2011,9,2,53735,194
Negumbo Secondary School,2014,8,2,37726,71
Prime Minister of Namibia,2006,2,0,36161,82
Who Am I%3F (1998 film),2009,3,0,57684,186
Battle of Cassinga,2007,9,9,98238,189
Government of Namibia,2012,6,3,44951,87
Who Am I%3F (1998 film),2012,2,1,70944,242
List of Namibians,2007,12,0,35897,75
History of Namibia,2008,3,13,118655,372
List of ecoregions in Namibia,2010,10,0,29534,54
Dhoom 2,2010,2,61,184308,606
Public holidays in Namibia,2008,5,1,38070,126
Hoba meteorite,2011,11,2,44603,80
SWAPO,2006,1,0,38062,84
Namibia national under 19 cricket team,2015,3,0,32281,60
Nkurenkuru,2010,6,7,43587,75
Namibian Marine Corps,2014,12,7,38515,60
Namibia Directorate of Civil Aviation,2013,12,4,123181,310
Parliament of Namibia,2006,7,0,44496,154
List of Namibians,2013,7,1,34120,101
Namibian Black German,2014,4,1,36696,72
List of Angolans,2009,5,0,45021,171
East Caprivi,2006,8,0,50408,115
Outline of Namibia,2008,8,0,67602,158
List of Namibians,2004,3,0,25849,40
Operation Safraan,2015,4,2,44126,116
New Era (Namibia),2013,10,2,28993,49
Herero Day,2010,8,2,28514,48
List of colonial governors of South West Africa,2009,10,0,40645,76
South West Africa Campaign,2011,12,3,111345,393
Operation Protea,2007,1,0,33472,64
Kaokoveld,2012,9,0,26440,43
