filename,year,month,num_citations,file_size,forward_links
Ruben Kun,2006,3,0,27637,45
British Phosphate Commission,2006,5,0,25995,41
History of Nauru,2004,8,0,34627,70
List of airports by ICAO code: A,2010,3,0,56625,234
Baron Waqa,2009,12,0,35203,69
Nauru,2005,9,0,97132,271
Bernard Dowiyogo,2007,3,0,32759,97
Anabar District,2010,10,0,39004,71
Bernard Dowiyogo,2006,7,0,27486,54
Postage stamps and postal history of Nauru,2012,1,1,40230,98
Nauruan Pidgin English,2007,8,0,36096,92
Fabian Ribauw,2008,7,0,25585,46
Democratic Party of Nauru,2009,8,0,32050,54
"Ewa District, Nauru",2011,3,0,39866,76
President of Nauru,2011,11,0,53415,155
Linkbelt Oval,2009,4,0,31707,56
Elections in Nauru,2011,12,2,59981,196
Nauru detention centre,2012,3,12,45546,69
Nauru House,2008,2,1,34813,52
Supreme Court of Nauru,2011,1,13,48836,97
Centre Party (Nauru),2007,6,0,30659,56
Landon Deireragea,2013,3,1,34026,64
Landon Deireragea,2013,5,1,36470,69
Joanne Gobure,2005,6,0,25281,42
Anetan District,2006,11,0,36638,66
Nauru First,2007,8,0,31011,59
Scouting and Guiding in Nauru,2009,12,0,37416,91
Joanne Gobure,2009,7,0,31348,70
State House (Nauru),2012,9,0,27226,44
Godfrey Thoma,2013,6,3,40199,73
.nr,2006,11,0,66369,400
History of Nauru,2008,10,4,61115,190
Nauru First,2006,3,0,31086,61
Yukio Peter,2008,10,0,26843,49
Politics of Nauru,2003,3,0,29251,57
Japanese government issued Oceanian Pound,2014,7,0,44743,162
Frigatebird,2009,4,2,47116,86
Template:Nauru stub,2008,11,0,24724,31
President of Nauru,2011,1,0,51195,147
Buada District,2006,5,0,35258,65
Nauru%E2%80%93Russia relations,2011,11,9,70280,240
Baron Waqa,2012,4,1,37606,79
Australian rules football in Nauru,2006,3,0,32412,67
Russell Kun,2009,7,0,34060,79
Denigomodu District,2005,12,0,36562,65
High Court of Australia,2010,3,105,305664,900
Nauru,2011,10,55,274883,928
Nauru Island Agreement,2013,7,0,29119,61
Parliament of Nauru,2006,3,0,33277,59
Denigomodu District,2010,10,0,39563,73
Eigamoiya,2012,12,0,34368,72
Demographics of Nauru,2006,3,0,26871,46
Menen Hotel,2013,2,2,33135,57
Frigatebird,2012,12,3,65385,177
German attacks on Nauru,2010,5,13,69836,129
Frigatebird,2013,3,3,64049,182
Lawrence Stephen,2010,9,0,33720,66
Anibare Bay,2009,5,0,29635,51
Boe District,2008,1,0,34884,61
Anibare Bay,2007,8,0,31587,59
Mathew Batsiua,2011,1,1,32497,67
Nibok District,2009,12,0,37279,67
Nauru detention centre,2013,10,25,71781,89
Lawrence Stephen,2008,4,0,31563,62
German attacks on Nauru,2010,2,13,69941,129
Flag of Nauru,2008,11,0,48480,102
Telecommunications in Nauru,2009,3,0,40804,112
Lagumot Harris,2014,5,0,46804,132
Nibok District,2006,7,0,34881,62
Alois Kayser,2010,11,0,32673,70
.nr,2006,3,0,65913,400
Itubwa Amram,2008,12,0,26165,53
Laurence Henry Hicks,2009,7,0,30901,54
Margaret Hendrie,2010,10,0,31773,60
Denigomodu District,2004,8,0,29896,36
Buada District,2011,11,0,37802,66
Ijuw District,2007,12,0,35158,62
Itte Detenamo,2014,10,5,41642,79
History of Nauru,2007,3,4,59501,196
Philip Delaporte,2004,1,0,26449,41
Meneng District,2008,3,0,34812,61
Calophyllum,2012,6,5,53721,150
Crime in Nauru,2011,1,1,25942,41
Ubenide Constituency,2010,10,0,32068,64
History of Nauru,2013,6,18,83383,224
Buada Lagoon,2008,6,0,30482,46
Nauru at the 2006 Commonwealth Games,2006,5,0,42697,133
Nauru,2013,5,88,341871,898
Baron Waqa,2014,9,6,52161,151
Nauru House,2005,10,0,28263,43
List of political parties in Nauru,2008,5,0,50077,144
High Court of Australia,2011,11,106,312883,948
Fabian Ribauw,2011,1,0,32700,77
Operation RY,2014,5,4,67311,210
Elections in Nauru,2006,7,0,49608,145
List of diplomatic missions of Nauru,2007,10,0,31489,56
Buada District,2005,5,0,33151,57
Moqua Well,2010,9,0,34717,58
Russell Kun,2008,4,0,29829,54
Australian rules football in Nauru,2009,6,2,62395,195
List of airports by ICAO code: A,2008,3,0,46961,168
Economy of Nauru,2010,12,6,48645,131
Buada Lagoon,2007,7,0,31278,45
History of Nauru,2003,1,0,30898,58
Outline of Nauru,2008,6,0,68009,123
Kenas Aroi,2008,12,0,36648,106
Bernard Dowiyogo,2011,6,2,51757,147
List of Speakers of the Parliament of Nauru,2011,10,0,32756,66
Menen Hotel,2010,8,0,29111,46
High Court of Australia,2008,11,107,243678,659
Philip Delaporte,2004,9,0,26791,43
Anibare District,2008,9,0,36370,64
Landon Deireragea,2011,1,0,33325,69
Riddell Akua,2009,12,2,34042,68
List of airports by ICAO code: A,2008,2,0,47675,169
Politics of Nauru,2006,1,0,45402,217
Terangi Adam,2013,3,1,33917,68
William Harris (beachcomber),2011,9,3,31678,58
Demographics of Nauru,2013,2,0,49506,138
List of political parties in Nauru,2008,4,0,48257,137
Flag of Nauru,2015,4,0,56892,128
Meneng District,2005,6,0,31909,53
Operation RY,2014,4,4,67972,213
Landon Deireragea,2013,6,1,37539,70
Boe Constituency,2013,3,0,38991,82
Boe District,2006,3,0,34699,63
Anibare District,2005,12,0,32081,53
History of Nauru,2014,7,18,85201,226
Terangi Adam,2009,3,0,28819,61
Music of Nauru,2011,3,0,85597,405
Dantes Tsitsi,2009,4,0,30319,59
.nr,2009,5,0,67062,400
Centre Party (Nauru),2010,6,0,34341,62
Roland Kun,2008,7,0,27389,53
Aiwo District,2005,5,0,33400,59
Nauru detention centre,2008,3,11,42131,59
Calophyllum,2005,9,0,45560,82
Aweida,2011,12,0,34409,74
William Harris (beachcomber),2009,6,6,30100,52
Flag of Nauru,2007,8,0,49323,69
Nauru,2007,10,32,171663,531
LGBT rights in Nauru,2013,12,15,46751,99
Menen Hotel,2010,11,0,29309,46
Nauru,2004,10,0,95030,310
Aweida,2008,6,0,30545,59
Operation RY,2014,3,4,67682,210
Politics of Nauru,2010,3,6,69624,173
Operation RY,2010,4,1,65008,205
British Phosphate Commission,2010,6,0,30983,43
Template:Nauru stub,2007,12,0,24217,31
Menen Hotel,2014,5,2,33680,55
Menen Hotel,2007,2,0,29083,44
Japanese occupation of Nauru,2012,12,26,119020,184
Law of Nauru,2011,7,13,50946,84
ISO 3166 2:NR,2010,8,0,82669,703
History of Nauru,2010,1,4,61520,183
Shadlog Bernicke,2013,6,4,35209,54
Moqua Caves,2011,8,0,28355,52
Laurence Henry Hicks,2009,1,0,30419,54
Nauru,2012,2,58,286080,938
Alois Kayser,2009,9,0,30863,70
Millicent Aroi,2010,11,0,30358,60
Nauru at the 2004 Summer Olympics,2008,12,0,66057,276
Nauruan Tribal War,2013,2,0,43470,128
Human rights in Nauru,2011,12,9,34217,43
Coat of arms of Nauru,2014,3,1,42606,89
German attacks on Nauru,2013,5,15,73208,154
Denigomodu District,2009,2,0,36683,64
Buada District,2004,1,0,27820,29
LGBT rights in Nauru,2012,8,12,45080,101
Yukio Peter,2014,10,4,37155,65
Nauruan Tribal War,2010,1,0,42522,120
Anabar District,2014,1,0,39754,71
Lagumot Harris,2006,3,0,29287,56
Frigatebird,2007,1,0,38837,61
"Nauruan constitutional referendum, 2010",2011,5,7,50717,109
Buada District,2008,9,0,35028,63
Denigomodu District,2005,4,0,29785,36
Flag of Nauru,2013,2,0,54202,128
Nauru Pacific Line,2005,4,0,25120,39
Shadlog Bernicke,2011,1,0,33491,69
List of Speakers of the Parliament of Nauru,2014,5,0,33937,74
History of Nauru,2011,11,17,77396,209
High Court of Australia,2004,8,0,34587,78
Ruben Kun,2009,5,1,40004,119
President of Nauru,2008,12,0,38473,68
Nauru detention centre,2009,5,11,43601,65
Aiwo District,2005,4,0,33426,60
Dantes Tsitsi,2012,8,1,35521,72
Eigamoiya,2008,9,0,28010,47
William Harris (beachcomber),2009,8,3,30047,56
