filename,year,month,num_citations,file_size,forward_links
Template:History of Nepal,2007,6,0,25285,29
List of Nepalese people,2014,9,0,44426,181
Bhimsen Thapa,2011,11,13,62832,134
Nepal citizenship law,2012,4,0,63297,210
Bacchu Kailash,2014,2,3,48885,177
Tenzing Norgay,2011,11,23,87459,163
Kusunda language,2013,8,4,111817,543
Anil Mandal,2015,4,15,65245,141
Gurung people,2010,1,7,65595,150
Lachhiman Gurung,2005,2,0,25560,38
Transport in Nepal,2006,6,0,26537,47
Mehndi,2009,3,0,37029,70
Yakkha language,2014,6,6,53467,102
Kukri,2010,9,1,73477,343
Fighter kite,2014,6,19,75323,173
Gorkha District,2014,3,4,60104,239
Koch Rajbongshi people,2015,1,0,49842,95
Bhujel language,2013,3,0,29000,51
Flying Dragon Airlines,2012,7,3,42904,135
Netrabahadur Thapa,2011,11,1,34151,66
Amar Singh Thapa,2013,9,0,34002,82
Nepal,2008,12,55,266249,768
Shah dynasty,2008,12,3,49587,139
Magarat,2013,2,1,24887,34
Newar language,2007,4,10,95562,174
Maithil,2009,7,0,27498,48
Doti,2014,10,18,60041,127
10th Princess Mary%27s Own Gurkha Rifles,2007,7,0,57060,183
Sherpa people,2015,1,24,84201,145
List of Nepalese people,2009,11,0,45118,193
Limbuwan,2009,10,0,64875,119
Gorkha regiments (India),2012,11,0,38567,111
Demographics of Nepal,2011,10,40,152886,466
Manang language,2014,6,10,45250,64
Belbase,2008,2,0,24935,31
Basain,2014,2,2,32648,64
Nagarkot,2007,2,0,28138,43
8 Gorkha Rifles,2012,11,10,59110,152
Kingdom of Nepal,2010,9,11,80449,201
Battle of Nalapani,2014,7,46,108434,135
Ratna Rajya Laxmi Campus,2014,12,0,26699,45
3 Gorkha Rifles,2009,8,4,68533,248
Indian numbering system,2010,7,0,44850,87
Jhyali,2009,7,0,27091,47
1950 Indo Nepal Treaty of Peace and Friendship,2008,5,6,38353,66
Classical Tibetan,2009,3,0,28260,61
Internet in Nepal,2008,1,0,21895,29
Arimalla,2006,4,0,25080,40
Dal bhat,2010,6,0,41061,178
Dharahara,2008,10,0,30673,43
Tenzing Norgay,2013,12,30,97066,177
Office of Nepal Trust,2009,2,1,27603,47
Pahari languages,2007,5,0,40715,84
Kayort language,2008,6,0,74493,302
Mercantile Exchange Nepal Limited,2012,2,3,31675,33
Federalism in Nepal,2014,9,0,24645,39
Arjun Bahadur Thapa,2014,8,2,39880,68
Non Resident Nepali,2010,10,5,44026,96
Mehndi,2015,2,6,70342,163
Kantipur Television Network,2014,11,0,30401,46
Ashthimki festival,2013,8,2,31389,52
Hami Tin Bhai,2015,3,2,38107,71
Khadka,2015,2,0,27340,47
Tenzing Norgay,2014,8,33,111344,186
History of Nepal,2007,4,3,108553,409
Dhunge Dhara,2014,1,0,33100,66
Gorkha District,2007,3,0,37864,120
Royal Gurkha Rifles,2014,10,10,65932,166
Udit Narayan,2015,2,5,197427,1059
Template:Nepal topics,2009,6,0,38497,119
Bisket Jatra,2015,4,1,28190,40
Anglo Nepalese War,2005,9,0,31243,46
Gorkha District,2007,12,0,38278,120
Gyanjyoti Higher Secondary School,2014,10,1,29721,44
Mugom dialect,2013,9,1,28510,44
Education in Nepal,2007,1,0,50468,170
