filename,year,month,num_citations,file_size,forward_links
Postage stamps and postal history of New Zealand,2010,3,1,47016,109
New Zealand Defence Force,2012,2,63,121288,247
Think Big,2015,3,3,47753,126
Beehive (New Zealand),2012,7,2,43318,67
Moriori people,2005,4,0,32831,64
Electoral system of New Zealand,2013,10,23,90317,217
New Zealand place names,2007,6,4,42333,127
Kiwi (people),2007,9,1,30244,45
Waka jumping,2011,3,0,29245,70
Tamil bell,2010,10,2,33917,52
Report of the Royal Commission on Genetic Modification,2009,10,0,29122,58
Bird v Bicknell,2014,11,1,28030,43
Waikikamukau,2006,6,0,23365,37
Kiwi (people),2010,11,3,48223,160
History of New Zealand,2013,7,79,191665,485
Official cash rate,2010,8,0,55797,179
Outline of New Zealand,2012,3,1,111889,438
Transport in New Zealand,2008,11,21,97262,341
Cuba Street Carnival,2009,5,0,25935,41
JetStream,2008,2,0,30033,64
The bush,2012,11,8,50071,121
Biological control of gorse in New Zealand,2011,11,12,63370,81
Social class in New Zealand,2011,1,22,62081,123
Unitary authority,2009,11,3,45539,94
Gastrocymba quadriradiata,2011,10,0,32882,61
Camping in New Zealand,2011,6,6,40723,63
Auckland Anniversary Day,2009,12,2,28816,50
Bush moa,2013,4,2,38731,82
Kiwiblog,2011,9,2,27606,42
Acclimatisation societies in New Zealand,2009,9,0,27415,42
Transport in New Zealand,2010,8,34,116637,370
Responsible government,2012,2,2,48260,121
Jetz International Ltd v Orams Marine Ltd,2014,10,1,28032,35
Apollo Eleven (horse),2006,8,0,26149,51
Unitary authority,2003,12,0,30947,51
Chatham penguin,2009,4,3,35846,69
Transport in New Zealand,2004,9,0,32693,76
New Zealand pound,2012,2,0,70794,263
Kim Dotcom,2014,12,118,195176,200
National War Memorial (New Zealand),2013,11,12,70255,117
Colonial goose,2007,2,0,23676,39
Electoral system of New Zealand,2011,8,2,47700,119
History of New Zealand,2003,2,0,41614,117
List of New Zealand%27s big things,2014,3,13,50039,79
Sealers%27 War,2009,2,6,36673,57
List of awards and nominations received by Lorde,2014,2,20,73496,123
