filename,year,month,num_citations,file_size,forward_links
Index of Nicaragua related articles,2007,10,0,117086,836
Contras,2007,2,6,62514,157
Esguerra B%C3%A1rcenas Treaty,2013,8,1,32918,63
Captaincy General of Guatemala,2008,4,0,38939,116
LGBT rights in Nicaragua,2013,2,6,59498,169
United States Ambassador to Nicaragua,2009,10,7,83373,334
President of Nicaragua,2013,7,0,111586,377
Government of Nicaragua,2012,11,0,63234,71
Geography of Nicaragua,2009,3,0,69751,233
Bryan%E2%80%93Chamorro Treaty,2008,8,0,28493,50
Se le movi%C3%B3 el piso: A portrait of Managua,2011,9,2,36889,78
Ecocanal,2008,10,0,25302,42
Chacraseca,2013,2,0,27165,46
Nicaraguan Democratic Force,2007,10,0,38244,77
Portal:Nicaragua,2012,8,0,75201,151
1931 Nicaragua earthquake,2008,5,1,26672,39
United Nicaraguan Opposition,2009,6,0,26147,45
Legitimist Party (Nicaragua),2006,10,0,33186,69
List of Ambassadors of the United Kingdom to Nicaragua,2014,4,18,75039,224
Tip Top Restaurant,2013,6,2,44377,144
Atlantic Airlines (Nicaragua),2010,5,2,40622,104
Demographics of Nicaragua,2013,6,14,101913,343
Coat of arms of Nicaragua,2007,5,1,52101,56
Mister Nicaragua,2015,1,0,36050,64
Political history of Nicaragua,2007,10,20,52337,93
Scouting and Guiding in Nicaragua,2007,5,0,29912,54
Sandinista Popular Army,2011,7,1,35310,68
Contras,2005,1,0,37351,88
President of Nicaragua,2005,4,0,37373,179
Abortion in Nicaragua,2007,5,8,58454,262
Telenica (Canal 8),2009,2,0,33955,72
Liberal Conservative Junta,2010,3,0,42082,127
President of Nicaragua,2009,2,0,61718,188
President of Nicaragua,2008,5,0,65312,403
Nicaraguans,2008,5,17,104722,376
Ca%C3%B1as%E2%80%93Jerez Treaty,2012,4,1,33081,55
National Opposition Union,2006,10,0,29344,38
Nacatamal,2014,12,4,36942,65
Demographics of Nicaragua,2008,4,8,88095,312
Tourism in Nicaragua,2009,4,24,102593,324
Avena (drink),2012,7,0,31246,62
Nicaraguan Revolution,2009,4,12,60520,120
Nicaragua v. United States,2004,12,0,41368,70
Ministry of the Environment and Natural Resources,2005,11,0,29036,76
Democratic Party of National Confidence,2008,11,0,32967,66
1966 National Opposition Union,2010,10,0,33813,75
