filename,year,month,num_citations,file_size,forward_links
Mohammed Abacha,2007,4,0,26772,39
Template:Campaignbox Religious violence in Nigeria,2013,7,0,27977,54
Bonny Light oil,2005,12,0,26699,45
Chimamanda Ngozi Adichie,2010,11,5,48171,100
History of Nigeria,2014,3,50,187704,548
Chimamanda Ngozi Adichie,2009,9,4,42195,78
Ayodele Awojobi,2013,7,23,78844,130
John Beecroft,2005,7,0,27329,68
Weppa Wanno,2010,3,0,24963,30
Nigerian Mobile Police,2012,2,4,48708,117
Nigerian Army,2012,6,16,79925,256
Business Day (Nigeria),2014,7,9,43527,77
Poverty in Nigeria,2015,3,10,58269,142
2009 Boko Haram uprising,2011,6,16,66784,94
Kano State,2012,2,5,68437,239
List of Abuja Federal Capital Territory ministers,2008,12,0,27504,45
Fali of Mubi,2013,3,1,32726,61
Mohammed Abacha,2005,8,0,23667,26
Katsina State,2008,7,2,48912,178
Transport in Nigeria,2008,10,4,67409,223
Kutto language,2014,4,1,30808,58
Calabar Free Trade Zone,2014,4,8,36971,53
Benin Expedition of 1897,2014,9,10,75068,256
President of Nigeria,2007,9,0,78222,252
List of Sultans of Sokoto,2006,1,0,28153,62
Ray Jacobs Boarding School,2014,6,7,34834,50
Imo State,2014,5,13,71055,205
Equitorial Trust Bank,2011,8,6,32526,56
Oba of Benin,2008,1,0,40596,141
Adamawa State,2014,11,2,56479,143
Ibibio Efik languages,2012,4,2,39016,95
Ifa Muaza,2014,1,6,30202,32
Kaduna State,2011,3,2,54474,160
Anglo Aro War,2014,2,2,74842,323
British West African pound,2013,2,1,50681,191
National Agency for Science and Engineering Infrastructure,2011,6,6,33111,32
Kebbi State,2014,11,2,51251,146
States of Nigeria,2013,11,2,80988,308
Fela Kuti,2003,11,0,31279,62
2009 Boko Haram uprising,2013,6,18,73797,116
Patti Boulaye,2012,5,7,36326,66
Biafra,2005,1,0,40271,85
Benin Empire,2014,11,6,93276,319
Ipetumodu,2013,9,0,27180,46
Index of Nigeria related articles,2006,11,0,32941,88
Muhammadu Sanusi I,2014,7,0,33930,60
