filename,year,month,num_citations,file_size,forward_links
List of heads of state of North Korea,2007,5,0,51044,163
Korean People%27s Air Force,2014,5,33,191476,414
Korea Sogyong Trading,2005,10,0,23134,30
Foreign Languages Publishing House,2008,4,0,25338,35
Korean Social Democratic Party,2012,8,4,45686,82
General Federation of Trade Unions of Korea,2011,1,0,49113,115
North Korea and weapons of mass destruction,2011,6,74,206303,521
North Korean defectors,2013,12,72,149937,266
United States Forces Korea,2012,3,5,49400,123
List of Korean flags,2015,2,0,74188,227
North Korea and weapons of mass destruction,2009,6,56,150237,331
Provisional People%27s Committee for North Korea,2011,3,3,44232,86
North Korean won,2007,3,0,72287,180
Economy of North Korea,2010,12,14,197460,513
Tonghae Satellite Launching Ground,2010,5,1,61440,162
Koreans,2009,10,32,132977,310
United States Forces Korea,2007,8,0,37611,103
North Korean famine,2007,9,1,39313,65
Ryanggang explosion,2005,8,0,41873,126
Korean Social Democratic Party,2011,1,3,41859,73
Democratic Front for the Reunification of the Fatherland,2012,10,2,58355,127
Premier of North Korea,2014,2,0,42989,112
North Korea,2007,2,39,223411,637
National Treasures of North Korea,2015,2,1,171318,336
Songun,2013,4,19,72056,154
Korean People%27s Army,2011,9,33,119774,286
Ten Point Programme for Reunification of the Country,2011,8,0,37147,59
Eternal President of the Republic,2012,5,1,51583,121
Korean Social Democratic Party,2009,3,2,38580,63
North Korean won,2009,1,0,74526,185
2014 North Korean missile tests,2014,9,3,45095,106
Korea Computer Center,2011,3,2,36650,70
2009 North Korean nuclear test,2009,12,116,216162,273
Prostitution in North Korea,2012,3,7,47425,104
General Staff Department of the Korean People%27s Army,2013,4,1,26802,40
Politics of North Korea,2011,3,11,109924,320
The Respected Comrade Supreme Commander Is Our Destiny,2010,10,2,30543,51
Korean People%27s Army Ground Force,2007,8,0,28826,25
CIA activities in North Korea,2012,9,3,47504,70
Sinuiju North Korean Leader%27s Residence,2010,10,6,30872,46
Korean People%27s Air Force,2009,5,18,137559,375
Japan%E2%80%93North Korea Pyongyang Declaration,2009,5,0,29522,51
Emblem of North Korea,2005,12,0,36282,39
List of border incidents involving North Korea,2011,2,18,66684,98
List of Korean flags,2010,9,0,79808,230
List of diplomatic missions in North Korea,2010,1,73,113397,178
Koreans,2010,12,35,131989,280
Division of Korea,2009,8,12,88077,264
Communism in Korea,2010,11,17,82432,226
United States Forces Korea,2006,4,0,31217,81
Division of Korea,2014,12,39,156602,446
Geography of North Korea,2004,1,0,38043,92
Geography of North Korea,2014,5,4,72291,274
Songbun,2012,10,12,54629,67
Korean reunification,2014,1,59,171786,471
Portal:North Korea,2015,1,0,86085,248
2013 Korean crisis,2014,12,214,473588,913
Juche,2007,12,3,102013,340
North Korea,2006,7,0,193911,565
North Korea,2007,12,62,275788,678
Mansudae Art Studio,2013,2,3,35857,60
List of diplomatic missions in North Korea,2007,10,31,65986,75
Yan%27an faction,2011,10,0,27266,47
II Corps (North Korea),2013,11,3,33592,60
Koreans,2009,8,28,130071,301
Ryanggang explosion,2010,7,0,48405,126
List of Kim Jong il%27s titles,2014,12,5,47417,46
Foreign Trade Bank of the Democratic People%E2%80%99s Republic of Korea,2014,6,3,29342,33
Pyongyang Sinmun,2014,3,4,32883,59
Sea of Japan naming dispute,2007,9,62,85035,113
Pong Su incident,2007,5,6,53160,133
Sea of Japan naming dispute,2010,6,60,91373,114
Agreed Framework,2008,5,3,56710,110
Public holidays in North Korea,2015,4,5,49752,136
Korea General Chemicals Trading,2015,3,0,34936,77
Korean People%27s Navy,2008,9,3,73117,226
Outline of North Korea,2011,3,8,123101,465
Central Bank of the Democratic People%27s Republic of Korea,2010,10,5,69650,260
Yongbyon Nuclear Scientific Research Center,2012,10,27,89023,147
North Korea and weapons of mass destruction,2012,12,120,279605,551
Grand People%27s Study House,2014,1,10,57726,80
Rason Special Economic Zone,2014,2,19,72890,119
North Korea,2003,8,0,96284,206
Juche,2009,11,8,114502,415
Provisional People%27s Committee for North Korea,2011,2,3,43285,84
North Korean famine,2008,6,3,73870,193
Koreans,2011,12,38,149562,349
Central Bank of the Democratic People%27s Republic of Korea,2007,10,0,32792,49
Judiciary of North Korea,2010,4,0,38714,96
Juche,2003,8,0,31094,30
North Korean defectors,2013,4,47,118844,240
Najin class frigate,2011,10,2,38104,59
Italy%E2%80%93North Korea relations,2014,1,4,64687,189
North Korea Uncovered,2010,10,2,29996,47
North Korea and weapons of mass destruction,2008,2,19,88538,222
Yongbyon Nuclear Scientific Research Center,2009,9,20,75486,165
Kaesong Industrial Region,2012,12,11,70978,154
Supreme People%27s Assembly,2010,11,4,80433,250
Sohae Satellite Launching Station,2014,9,15,89210,208
Pomchonghakryon,2014,11,0,29409,45
List of newspapers in North Korea,2014,9,0,40175,111
Agreed Framework,2011,6,42,91645,109
North Korea%27s cult of personality,2014,3,116,195970,204
18th Division (North Korea),2008,9,1,28830,43
Axe murder incident,2009,4,12,63394,113
Emblem of North Korea,2009,8,0,52231,126
Geography of North Korea,2010,4,1,67872,270
National Defence Commission,2012,9,1,58194,131
Committee for Cultural Relations with Foreign Countries,2012,2,0,30150,46
Axe murder incident,2011,8,16,89837,243
Supreme People%27s Assembly,2007,7,0,51321,119
18th Division (North Korea),2007,6,1,28248,41
Yongbyon Nuclear Scientific Research Center,2009,3,12,59180,146
Government of North Korea,2012,6,4,57155,167
History of North Korea,2006,1,0,66956,174
Korea Computer Centre Sinhung Company,2005,6,0,26015,41
Demographics of North Korea,2006,9,0,33718,62
2006 North Korean nuclear test,2010,12,52,125203,201
2006 North Korean missile test,2014,10,66,164678,256
Democratic Front for the Reunification of the Fatherland,2010,9,2,58517,128
Pyongyang Chewing Gum Factory,2011,12,7,36610,62
List of leaders of North Korea,2013,7,0,92388,272
North Korean won,2006,5,0,65964,194
LGBT rights in North Korea,2010,7,6,71445,269
General Order No. 1,2006,6,0,28478,46
Economy of North Korea,2005,1,0,48105,125
Minister of Foreign Affairs (North Korea),2015,1,0,38659,101
Pong Su incident,2009,8,9,57564,147
Pomchonghakryon,2006,8,0,27411,51
Template:North Korean armed forces,2010,1,0,24497,37
North Korea and weapons of mass destruction,2005,3,0,69661,216
General Order No. 1,2009,7,0,33506,94
2009 North Korean nuclear test,2009,7,111,201780,263
List of newspapers in North Korea,2011,1,0,38586,111
Agreed Framework,2005,7,0,33900,68
Japan%E2%80%93North Korea Pyongyang Declaration,2007,3,0,27606,38
Korea Sinhung Trading,2012,2,0,25524,42
Korea General Zinc Industry Group,2008,4,0,24675,44
North Korea and weapons of mass destruction,2006,5,0,74760,216
Room 39,2010,2,3,39400,75
North Korean famine,2010,2,12,52142,89
List of Kim Jong il%27s titles,2012,2,3,44331,50
Rangoon bombing,2009,2,3,36289,65
List of diplomatic missions of North Korea,2007,1,0,38448,90
2006 North Korean nuclear test,2012,5,54,130347,203
Communism in Korea,2015,4,22,85817,217
Kaesong Industrial Region,2012,11,11,65068,124
North Korean famine,2012,2,47,106966,281
Korea General Magnesia Clinker Industry Group,2006,3,0,25171,40
Korean People%27s Army,2012,11,47,135485,306
North Korea,2010,3,158,439231,1082
Kaesong Industrial Region,2014,10,29,101878,180
Foreign Languages Publishing House,2013,4,0,31796,59
Juche,2009,8,7,114804,415
Worker Peasant Red Guards,2013,11,3,32217,51
Korean People%27s Navy,2012,6,7,99058,296
2006 North Korean missile test,2007,4,83,185684,360
Korean People%27s Air Force,2006,9,2,56069,59
Korean Committee of Space Technology,2011,4,3,90291,238
Rason Special Economic Zone,2007,8,0,28901,41
North Korea,2010,6,172,461429,1108
North Korean won,2013,5,38,131806,267
Supreme People%27s Assembly,2014,3,7,91641,277
2008 New York Philharmonic visit to North Korea,2012,3,22,74998,158
Kim Il sung Military University,2013,12,0,34852,62
Korean People%27s Army Ground Force,2009,9,4,75100,169
Timeline of the North Korean nuclear program,2011,3,51,129200,148
Kim Yong ha,2014,8,1,32172,48
Revolutionary martyr,2013,2,3,26477,44
Censorship in North Korea,2007,9,3,41693,113
List of heads of state of North Korea,2010,12,0,51434,121
2006 North Korean nuclear test,2007,10,51,127072,271
United States Forces Korea,2011,4,4,44965,118
Korean People%27s Army,2006,3,0,37508,59
Emblem of North Korea,2014,4,1,59184,150
List of border incidents involving North Korea,2013,1,20,68202,90
Strategic Rocket Forces (North Korea),2010,1,26,89073,171
History of North Korea,2005,5,0,66302,172
Pong Su incident,2009,7,9,57525,144
Worker Peasant Red Guards,2015,1,3,32638,61
Supreme People%27s Assembly,2007,6,0,50170,116
List of North Korean missile tests,2009,1,0,27434,50
Daily NK,2011,11,12,41928,63
Sea of Japan naming dispute,2012,5,59,155008,227
Economy of North Korea,2011,1,14,198453,519
Template:North Korean armed forces,2011,11,0,24266,38
North Korean won,2005,11,0,47890,123
Nuclear power in North Korea,2010,4,6,55482,157
Yongbyon Nuclear Scientific Research Center,2006,11,0,37371,70
Korean People%27s Army Ground Force,2007,3,0,38704,74
North Korean defectors,2010,5,19,79384,187
Kim Il sung Socialist Youth League,2011,8,4,32092,49
Korean People%27s Army,2014,1,57,175980,418
Sea of Japan naming dispute,2011,5,41,112264,170
Geography of North Korea,2010,6,1,67667,265
Outline of North Korea,2008,11,7,106952,392
North Korean won,2010,1,27,109589,239
List of North Korean missile tests,2013,2,1,36880,91
History of North Korea,2008,1,6,84969,234
Geography of North Korea,2015,4,11,80883,253
LGBT rights in North Korea,2012,3,9,77387,285
Korea Computer Center,2010,11,2,36726,73
List of heads of state of North Korea,2005,9,0,26212,46
78th Independent Infantry Regiment (North Korea),2006,12,1,29018,41
List of diplomatic missions of North Korea,2010,6,49,135845,268
Juche,2006,5,0,59020,124
Natural monuments of North Korea,2010,1,0,133189,292
List of Korean flags,2014,10,0,73055,220
Juche,2010,4,10,137949,519
Naval bases of the Korean People%27s Navy,2012,6,0,34985,51
Telephone numbers in North Korea,2012,1,6,44168,110
Juche,2004,9,0,35223,48
Arirang (smartphone),2015,2,6,38450,63
Economy of North Korea,2011,3,14,196781,517
North Korea at the 2014 Asian Games,2014,8,1,45126,117
Environment of North Korea,2014,6,4,43460,70
Sea of Japan naming dispute,2014,3,65,163739,233
Agreed Framework,2011,2,41,89351,110
Presidium,2008,2,0,29725,53
List of leaders of North Korea,2011,12,0,79083,233
List of Premiers of North Korea,2007,1,0,45803,138
North Korean famine,2006,6,0,35423,62
Supreme People%27s Assembly,2012,4,6,86903,262
Korean People%27s Army Ground Force,2011,9,3,78555,189
Korea Computer Center,2010,3,1,34086,61
Korean People%27s Air Force,2011,4,16,139843,365
Division of Korea,2003,10,0,42357,151
North Korean won,2006,3,0,65446,191
V Corps (North Korea),2013,7,1,28583,46
Empress Chung,2007,5,0,33097,68
Provisional People%27s Committee for North Korea,2012,7,3,44218,87
List of diplomatic missions in North Korea,2010,2,74,113998,186
Sanggamnyong,2009,5,0,21970,29
Korea General Zinc Industry Group,2005,11,0,28472,57
Politics of North Korea,2007,3,3,67956,177
List of diplomatic missions in North Korea,2013,7,67,121769,237
Juche,2012,8,31,158202,503
North Korean famine,2010,10,18,74244,239
Economy of North Korea,2013,4,52,250691,554
Axe murder incident,2008,7,13,63165,121
2008 New York Philharmonic visit to North Korea,2013,3,22,74870,159
List of border incidents involving North Korea,2010,4,7,50680,85
Axe murder incident,2010,4,14,72565,129
North Korea%27s cult of personality,2013,10,95,184257,208
Koreans,2004,8,0,46827,139
Censorship in North Korea,2015,3,15,69449,160
Supreme People%27s Assembly,2010,9,4,80273,251
Yongbyon Nuclear Scientific Research Center,2015,4,33,109735,184
Government of North Korea,2010,10,3,55739,167
Tonghae Satellite Launching Ground,2012,1,1,62836,168
North Korea and weapons of mass destruction,2004,6,0,59356,191
2009 North Korean nuclear test,2011,11,117,221173,280
Songun,2012,9,19,72508,154
Central Committee of the Workers%27 Party of Korea,2011,1,0,44259,107
North Korean famine,2007,4,1,38337,68
Economy of North Korea,2013,6,62,267417,570
Template:North Korean armed forces,2008,2,0,24496,33
Welcome to Pyongyang Animal Park,2013,3,2,27128,39
Koryolink,2010,5,3,35742,50
Sea of Japan naming dispute,2015,3,65,163650,230
Korean People%27s Air Force,2007,9,8,147623,241
Minister of Foreign Affairs (North Korea),2014,12,0,38523,99
Strategic Rocket Forces (North Korea),2013,3,40,109980,190
Korean People%27s Army Ground Force,2007,11,2,54520,87
Korean Social Democratic Party,2013,1,4,44591,83
North Korea and weapons of mass destruction,2003,1,0,37214,63
North Korean defectors,2014,10,75,169919,259
Geography of North Korea,2012,8,3,69362,263
History of North Korea,2009,1,5,83213,235
Communism in Korea,2008,5,1,40040,136
North Korea,2007,7,53,211479,581
Daily NK,2014,4,13,42837,66
Premier of North Korea,2011,3,0,42825,108
Songbun,2014,10,16,61161,68
Koreans,2007,1,2,64241,180
National Defence Commission,2010,7,0,50892,115
2013 Korean crisis,2013,11,207,448497,839
Defense industry of North Korea,2010,3,0,36421,79
Juche,2010,5,10,117909,416
United States Forces Korea,2011,11,5,49385,126
North Korea,2004,3,0,100881,210
Korean People%27s Air Force,2008,1,9,151316,261
Automotive industry in North Korea,2012,4,1,65880,156
Juche,2007,1,1,71060,189
John Everard (diplomat),2013,3,1,30541,51
North Korean famine,2012,11,55,110106,283
Chollima (magazine),2009,2,0,29108,52
General Federation of Trade Unions of Korea,2012,2,0,48725,116
Korean reunification,2008,9,16,91367,247
Defense industry of North Korea,2007,8,0,32709,62
Naval bases of the Korean People%27s Navy,2008,12,0,32371,57
Empress Chung,2006,5,0,31462,64
Strategic Rocket Forces (North Korea),2010,5,26,89315,169
Presidium,2015,3,0,32574,56
Kaesong Industrial Region,2011,7,8,59789,123
Korean People%27s Navy,2010,11,6,79889,253
List of leaders of North Korea,2012,3,0,80194,239
James Church,2010,11,5,33703,61
Yugo class submarine,2009,11,0,30882,45
History of North Korea,2012,11,17,136724,417
North Korean defectors,2007,7,10,51662,101
North Korean famine,2011,4,24,84557,253
Yongbyon Nuclear Scientific Research Center,2004,3,0,33895,64
Axe murder incident,2005,12,0,27602,44
Naenara,2009,12,0,32106,63
Politics of North Korea,2007,7,3,74621,186
Korean reunification,2006,7,0,67156,197
2009 North Korean nuclear test,2009,11,116,215901,269
Song of General Kim Jong il,2013,10,1,37807,61
V Corps (North Korea),2010,2,1,26375,42
List of diplomatic missions of North Korea,2006,12,0,38104,85
General Order No. 1,2006,9,0,28257,50
List of Kim Jong il%27s titles,2014,11,4,45870,47
List of Premiers of North Korea,2005,7,0,29277,61
General Federation of Trade Unions of Korea,2006,10,0,45327,110
North Korea International Documentation Project,2012,3,0,31064,45
Juche,2013,5,43,197066,656
Yan%27an faction,2010,2,0,27820,43
Kim Il sung Socialist Youth League,2012,3,2,30631,39
Songbun,2015,4,16,70879,107
Rangoon bombing,2006,4,0,29901,56
Korean Committee of Space Technology,2012,9,4,98534,256
Politics of North Korea,2010,7,11,94976,266
North Korean won,2010,11,37,120249,257
Songbun,2013,12,16,61319,66
Sea of Japan naming dispute,2008,4,61,86623,115
Song of General Kim Jong il,2014,10,1,38537,67
9th Division (North Korea),2007,6,1,28030,42
Yugo class submarine,2010,12,0,36312,66
North Korea and weapons of mass destruction,2013,4,125,299146,598
Judiciary of North Korea,2013,10,5,56711,141
Economy of North Korea,2010,8,12,188907,469
Chairman of the National Defence Commission,2012,1,0,47998,116
II Corps (North Korea),2011,5,3,31474,52
2006 North Korean missile test,2006,7,78,181817,334
Sea of Japan naming dispute,2009,9,60,87941,116
Economy of North Korea,2002,12,0,29986,26
Economy of North Korea,2014,11,66,279324,578
Koreans,2011,4,43,145282,314
Prostitution in North Korea,2011,9,7,46963,102
Sang O class submarine,2009,10,0,30544,40
Naenara,2011,7,0,31148,60
International reactions to the 2013 North Korean nuclear test,2013,4,34,100137,162
North Korean won,2013,1,37,132039,268
Pong Su incident,2007,6,6,52954,133
Economy of North Korea,2006,12,1,123013,171
List of newspapers in North Korea,2011,2,0,38986,111
Korea Computer Center,2007,7,0,32530,56
Korean People%27s Air Force,2010,8,13,134307,357
North Korea and weapons of mass destruction,2007,12,19,88628,222
Korea Computer Center,2013,4,7,44486,88
Koryolink,2012,1,4,34690,49
Provisional People%27s Committee for North Korea,2012,4,3,43518,85
Empress Chung,2013,6,1,41572,77
Korean People%27s Army,2013,3,47,150369,349
Strategic Rocket Forces (North Korea),2009,11,26,89137,171
North Korea and weapons of mass destruction,2012,10,104,259921,561
Korea General Magnesia Clinker Industry Group,2014,4,4,35764,56
Korean reunification,2014,3,59,172378,470
United States Forces Korea,2014,1,39,244069,757
List of border incidents involving North Korea,2013,11,21,69916,95
List of heads of state of North Korea,2012,7,0,52640,123
Division of Korea,2009,9,12,88366,262
North Korea and weapons of mass destruction,2003,6,0,44570,108
List of North Korean defectors in South Korea,2011,12,3,45086,88
Korean People%27s Army,2011,5,33,119291,285
Index of North Korea related articles,2013,4,0,46990,148
LGBT rights in North Korea,2010,5,6,71085,271
Presidium,2011,12,0,31338,53
List of North Korean missile tests,2010,10,0,34351,87
List of diplomatic missions of North Korea,2007,3,0,39380,94
