filename,year,month,num_citations,file_size,forward_links
LGBT rights in Northern Cyprus,2011,11,3,66639,274
Law enforcement in Northern Cyprus,2009,4,6,50575,178
Miss Globe International 2011,2011,12,0,29129,48
Security Forces Command,2007,3,0,39238,109
%C4%B0stikl%C3%A2l Mar%C5%9F%C4%B1,2011,4,1,101648,315
Human rights in Northern Cyprus,2012,3,41,109770,198
Outline of Northern Cyprus,2008,3,0,43950,57
%C4%B0stikl%C3%A2l Mar%C5%9F%C4%B1,2006,2,0,46462,42
Flag of Northern Cyprus,2005,4,0,34198,30
Turkish Cypriot Protestants and Anglicans,2013,1,0,26079,43
Cyprus dispute,2005,10,0,139133,368
Security Forces Command,2010,8,6,62094,206
Northern Cyprus citizenship,2006,5,0,35033,76
Telephone numbers in Northern Cyprus,2010,9,0,45646,179
Saint Hilarion Castle,2012,4,0,42799,78
Turkish invasion of Cyprus,2013,10,105,227651,488
Revaluation of the Turkish Lira,2008,2,3,96851,356
Turkish Cypriot folk dances,2007,2,0,28610,37
Freedom of religion in Northern Cyprus,2014,7,15,51273,71
Education in Northern Cyprus,2008,11,2,54859,185
Assembly of the Republic (Northern Cyprus),2010,11,0,63892,221
Telephone numbers in Northern Cyprus,2011,2,0,43811,175
Cyprus dispute,2015,1,94,344623,962
Central Bank of the Turkish Republic of Northern Cyprus,2013,5,0,57264,234
President of Northern Cyprus,2014,11,2,84269,292
Turkish Cypriot diaspora,2007,11,0,32054,61
Public holidays in Northern Cyprus,2009,12,0,63008,268
Turkish invasion of Cyprus,2010,7,65,193290,436
Districts of Northern Cyprus,2010,10,0,33113,43
Human rights in Northern Cyprus,2011,5,42,113367,205
Turkish Cypriot diaspora,2008,2,0,30373,58
Cyprus dispute,2014,8,98,346792,949
Turkish lira,2008,9,2,102965,212
Turkish invasion of Cyprus,2013,2,102,227204,494
%C4%B0stikl%C3%A2l Mar%C5%9F%C4%B1,2009,6,1,98586,317
Northern Cyprus,2013,7,93,300729,791
Nicosia Turkish Municipality,2014,7,1,29400,39
Northern Cyprus citizenship,2006,9,0,36014,83
Human rights in Northern Cyprus,2015,2,41,110394,225
Turkish invasion of Cyprus,2007,11,15,134129,395
Turkish invasion of Cyprus,2007,2,5,107259,274
Northern Cyprus Water Supply Project,2014,8,3,34071,54
Turkish lira,2006,12,0,50250,77
Revaluation of the Turkish Lira,2005,4,0,64347,286
%C4%B0stikl%C3%A2l Mar%C5%9F%C4%B1,2012,3,4,106604,314
Turkish lira,2007,1,1,51801,84
List of Ministers of Foreign Affairs of Northern Cyprus,2015,2,0,26201,33
Declaration of Independence of the Turkish Republic of Northern Cyprus,2013,12,4,34329,60
Kosovo independence precedent,2012,2,54,129364,259
Revenue stamps of Northern Cyprus,2013,3,1,60706,174
Flag of Northern Cyprus,2007,8,0,56912,62
Elections in Northern Cyprus,2010,4,1,72877,249
Northern Cyprus Water Supply Project,2013,8,2,33667,58
Flag of Northern Cyprus,2006,6,0,39544,43
Economy of Northern Cyprus,2011,11,11,42778,102
Turkish lira,2008,2,2,65586,128
Outline of Northern Cyprus,2008,8,4,80822,156
President of Northern Cyprus,2008,1,0,36121,67
Kosovo independence precedent,2008,3,84,183473,358
List of political parties in Cyprus,2010,9,0,62708,227
