filename,year,month,num_citations,file_size,forward_links
Petty kingdoms of Norway,2009,11,4,51741,112
Taxation in Norway,2012,2,33,148469,336
By%C3%A5sen,2005,9,0,24802,37
Postage meter,2011,8,9,59437,96
Earl,2013,10,4,72829,221
For v%C3%A5r jord,2014,9,0,41586,114
Jarlsberg,2009,4,0,25983,44
Archdiocese of Nidaros,2014,3,10,54600,151
Ohthere of H%C3%A5logaland,2012,2,6,53706,178
Little Saturday,2013,1,0,30830,62
Hirdskraa,2009,10,0,30633,47
North Sea oil,2010,7,23,105894,312
Template:BouvetIsland stub,2008,12,0,22158,32
Geography of Norway,2014,5,36,211286,932
Earl,2005,11,0,40588,102
Korsaren,2012,2,2,28655,50
Buddhism in Norway,2013,9,3,85836,499
Norway,2003,12,0,97077,248
Impeachment (Norway),2009,2,2,56590,116
Jan Mayen Microcontinent,2013,3,11,57955,122
Royal Norwegian Navy,2011,5,7,112080,402
Earl,2014,4,5,74564,216
Norwegian krone,2005,12,0,61383,172
Ohthere of H%C3%A5logaland,2008,9,2,36113,74
North Sea oil,2008,4,7,47262,94
List of heads of government of Norway,2011,5,0,147397,428
Defence Medal 1940%E2%80%931945,2010,1,0,32576,62
NORDEFCO,2011,12,2,33413,42
Kransekake,2006,7,0,25964,39
Norwegian School of Information Technology,2008,4,0,33028,82
Ohthere of H%C3%A5logaland,2010,1,4,35923,63
Drammensveien,2013,10,1,28993,54
Constitution of Norway,2005,5,0,36533,67
Swedish riksdaler,2013,2,5,72776,223
V%C3%ADkar,2005,5,0,55953,206
Stian Heimlund Skj%C3%A6veland,2009,2,0,31177,68
Cartilage baroque,2008,2,0,26954,46
Norway lunar sample displays,2012,12,7,74021,209
Gun politics in Norway,2013,12,3,53132,82
Politics of Svalbard,2012,7,66,130056,367
Sami Parliament of Norway,2009,5,9,72427,237
Coat of arms of Kautokeino,2008,8,0,28420,57
Politics of Norway,2002,6,0,34774,120
Archdiocese of Nidaros,2014,11,9,53909,151
Prostitution in Norway,2008,2,0,26634,41
Sami Parliament of Norway,2012,10,12,72738,159
Norway,2010,6,128,520681,1878
Norwegian Intelligence Service,2012,7,2,42004,111
Ohthere of H%C3%A5logaland,2007,2,0,29362,55
Hversu Noregr bygg%C3%B0ist,2004,10,0,42049,180
N%C3%B3r,2013,12,2,56348,227
2nd Battalion (Norway),2008,12,0,34530,83
Entity Registry,2012,1,1,26459,45
Regesta Norvegica,2013,3,0,28350,45
List of Norwegian women writers,2015,2,0,47924,144
Orkneyinga saga,2008,5,0,33831,68
List of heads of government of Norway,2004,2,0,40205,231
Norwegian krone,2008,10,1,79031,173
Kungah%C3%A4lla,2014,1,7,38218,78
History of Norway,2011,7,7,156526,673
Scandinavian prehistory,2006,9,0,53528,175
Royal Norwegian Navy,2008,4,2,73057,231
Norwegians,2007,5,4,50210,75
History of Svalbard,2011,3,0,65913,317
Bergen International Festival,2012,12,2,53812,117
Scandinavian prehistory,2006,4,0,52710,166
Norway,2008,7,37,316464,1353
Bergen International Festival,2008,5,0,33091,65
Armoured Battalion (Norway),2013,8,0,37664,78
Exlex,2010,6,1,26126,44
Container deposit legislation,2007,9,14,54931,98
Norwegian Mapping and Cadastre Authority,2013,9,0,31893,56
List of diplomatic missions in Norway,2009,7,0,124468,265
Monarchy of Norway,2008,1,30,125354,387
Government agencies in Norway,2009,10,0,116855,242
Erik the Red%27s Land,2006,10,0,30417,56
Aristocracy of Norway,2011,7,21,165328,371
2nd Battalion (Norway),2008,11,0,34123,80
Scandinavian coastal conifer forests,2009,11,16,55191,151
Geography of Norway,2014,10,36,210598,930
Norwegian romantic nationalism,2011,7,0,39269,128
Earl,2009,1,2,58855,182
Lord Chamberlain (Norway),2011,9,0,29612,60
History of Norway,2003,7,0,41050,122
Morgenklubben med Loven %26 Co,2012,7,2,30565,54
