filename,year,month,num_citations,file_size,forward_links
Al Wajajah,2005,6,0,23866,39
Timothy Creasey,2011,9,5,47233,120
Royal Army of Oman,2012,4,0,39021,151
History of Oman,2009,3,4,76375,230
Arabian Desert,2011,11,5,74664,276
Luwati language,2013,1,3,31991,60
Visa requirements for Omani citizens,2013,12,2,130721,344
Ron Mark,2009,7,1,42321,129
University of Buraimi,2012,4,6,35575,67
Council of State of Oman,2013,8,2,45339,148
Human rights in Oman,2007,4,4,46883,119
The National Organisation for Scouts and Guides,2008,2,0,33229,58
Mehri people,2012,11,1,34777,78
Transport in Oman,2008,1,0,37325,50
Arabian Desert,2010,12,5,75751,280
Demographics of Oman,2009,12,1,64090,208
Knowledge Oasis Muscat,2014,8,0,30518,59
Hani Al Dhabit,2013,11,12,93608,298
List of universities and colleges in Oman,2011,2,0,38458,101
Roman Catholicism in Oman,2006,4,0,35535,103
University of Nizwa,2013,4,0,31027,53
Ron Mark,2004,12,0,25999,46
Yibal,2009,12,0,29746,53
Dibba Airport,2014,4,2,39975,76
Royal Army of Oman,2009,3,0,31402,85
Consultative Assembly of Oman,2011,1,0,46469,142
List of diplomatic missions in Oman,2008,5,0,50273,76
Battle of the Gulf of Oman,2013,1,1,40927,99
Sharakah,2014,3,8,37494,54
Bait al Qufl,2013,2,5,29302,44
Battle of Mirbat,2011,9,3,52118,100
Oman,2009,10,18,243897,794
Battle of Mirbat,2014,1,5,58157,118
Yibal,2007,6,0,26542,47
Oman Children%27s Museum,2015,1,3,36049,65
Arabian Desert,2009,11,6,69926,274
Central Bank of Oman,2007,1,0,28397,45
Oman Natural History Museum,2011,2,1,33420,65
Khazim ibn Khuzayma al Tamimi,2013,9,6,40407,78
Foreign relations of Oman,2008,5,0,39630,87
Foreign relations of Oman,2014,4,12,72159,196
Prostitution in Oman,2011,3,3,38731,108
Sohar Hospital,2008,4,0,24737,38
List of diplomatic missions in Oman,2013,4,2,66145,146
Knowledge Oasis Muscat,2009,12,0,28753,47
Ministry of Civil Service (Oman),2012,11,3,34069,55
Oman,2008,12,11,215433,725
Transport in Oman,2009,2,2,42589,61
Ministry of Commerce and Industry (Oman),2012,9,0,31552,56
Frankincense Trail,2012,10,0,36259,53
Oman,2003,9,0,68948,120
Ministry of Defence (Oman),2012,11,2,29081,49
Basic Statute of Oman,2013,1,2,26706,38
Shangri La%27s Barr Al Jissah Resort %26 Spa,2012,3,1,31891,64
Royal Army of Oman,2006,11,0,29472,68
Oman proper,2013,12,0,34826,76
Bathari language,2013,10,2,57830,154
Sultan of Oman%27s Armed Forces,2007,7,0,55391,115
Ministry of Legal Affairs (Oman),2012,6,2,33249,30
List of Chairmen of the Consultative Assembly of Oman,2010,10,3,25457,30
List of diplomatic missions in Oman,2012,6,0,62253,143
Qais Al Khonji,2014,8,7,36846,50
2006 Arab Capital of Culture,2010,8,1,33930,90
Mehri people,2015,1,3,39987,93
Khasab Airport,2014,11,5,39375,79
Al Mazyunah Free Zone,2015,1,5,34170,46
Globe Roundabout,2015,2,1,27273,45
Timothy Creasey,2012,4,5,46485,119
Sulaiman Said Al Shukaili,2010,11,0,38449,87
Queen of Sheba%27s Palace (Sumharam),2011,7,1,27330,41
Archaeology of Oman,2012,4,0,49263,89
Trade unions in Oman,2010,4,2,39920,61
Geography of Oman,2009,10,0,63092,191
Indian School Al Seeb,2012,4,0,25214,34
List of diplomatic missions in Oman,2013,3,2,65882,150
Oman,2008,11,9,206277,721
List of diplomatic missions of Oman,2009,7,0,65120,186
List of diplomatic missions of Oman,2010,11,0,66969,190
Project Green Oman,2014,6,5,42516,78
Timothy Landon,2011,12,3,40165,103
Demographics of Oman,2014,7,6,74690,203
List of hospitals in Oman,2005,10,0,23450,34
Qalhat,2012,8,4,71719,200
2006 Arab Capital of Culture,2012,7,1,32838,92
Sharakah,2012,7,9,30785,40
Official Gazette (Oman),2010,6,1,26525,35
Vehicle registration plates of Oman,2012,10,1,35181,96
Globe Roundabout,2012,10,1,26417,41
Mazrui,2012,4,3,26815,50
Hani Al Dhabit,2010,1,10,84780,241
Port of Khasab,2015,2,0,32268,53
List of hospitals in Oman,2013,6,1,31568,42
Ras al Hadd,2008,10,0,28516,47
Oman Medical College,2013,1,0,30566,48
Knowledge Oasis Muscat,2010,11,0,28505,48
Demographics of Oman,2009,9,1,64527,198
Foreign relations of Oman,2008,7,0,39548,85
List of rulers of Oman,2014,3,29,82987,207
Civil Status Mobile Registration Unit in Oman,2012,3,0,38502,76
Sultan of Oman%27s Armed Forces,2006,12,0,56156,120
Talib bin Ali Al Hinai,2010,4,0,24612,34
Oman,2008,9,7,201418,724
Politics of Oman,2009,10,1,66847,273
Central Bank of Oman,2008,6,0,29933,46
Battle of Mirbat,2010,5,1,46417,83
Template:Oman stub,2012,3,0,32814,47
Hani Al Dhabit,2009,11,0,37054,76
Qahir class corvette,2009,4,1,34393,62
Port Sultan Qaboos,2010,12,0,31078,46
Shihhi Arabic,2011,7,1,55672,149
Geography of Oman,2010,1,1,64261,193
List of universities and colleges in Oman,2008,7,0,27575,32
Oman Natural History Museum,2009,2,1,32842,64
Talib bin Ali Al Hinai,2008,11,0,24440,35
Telephone numbers in Oman,2008,6,0,25108,42
Oman%E2%80%93Yemen relations,2012,4,3,43470,92
Talib bin Ali Al Hinai,2012,4,0,25716,34
National Democratic Front for the Liberation of Oman and the Arabian Gulf,2010,2,10,36012,57
Muscat Securities Market,2008,12,0,35742,33
List of hospitals in Oman,2011,4,1,28065,41
History of Oman,2009,5,4,78369,241
Muhammad ibn Nur,2011,9,7,30547,46
List of rulers of Oman,2015,2,29,82738,198
Mina al Fahal,2008,10,0,26429,43
Sultan of Oman%27s Armed Forces,2006,3,0,52168,122
Oman%E2%80%93Pakistan relations,2011,5,4,63041,209
Geography of Oman,2005,1,0,28259,56
Politics of Oman,2013,2,1,65890,263
Geography of Oman,2014,6,1,74539,256
Luwati language,2013,7,4,31199,54
United Arab Emirates%E2%80%93Oman barrier,2013,3,4,36908,64
Oman Oil Company,2011,5,1,31911,46
Royal Navy of Oman,2011,1,2,35612,67
Telecommunications in Oman,2009,10,1,46898,107
Ron Mark,2007,1,0,27762,58
History of Oman,2009,11,4,77374,215
History of the Jews in Oman,2009,6,5,59296,169
List of rulers of Oman,2007,6,0,45806,167
Oman at the Olympics,2011,5,0,60491,285
Oman,2007,7,0,162507,506
Indian School Al Seeb,2015,4,1,41253,76
Geography of Oman,2007,10,0,62873,186
Indian School Muladha,2011,5,0,28742,52
List of rulers of Oman,2015,1,29,83064,202
Yaruba dynasty,2014,11,35,77279,141
Cabinet of Oman,2013,12,0,49074,128
Grand Hyatt Muscat Hotel,2010,12,1,32198,55
Seydi Ali Reis,2007,11,0,59669,178
Sulaiman Said Al Shukaili,2010,1,0,36559,80
Oman%E2%80%93United States Free Trade Agreement,2013,1,1,41936,77
Timothy Landon,2010,3,2,34086,77
Ministry of Higher Education (Oman),2013,2,11,43387,54
Muscat and Oman,2011,8,6,52806,128
Sultan of Oman%27s Armed Forces,2011,6,8,89822,246
List of hospitals in Oman,2011,10,1,28863,41
Crime in Oman,2012,11,7,42918,111
Khasab Airport,2014,7,5,39261,78
Ron Mark,2008,5,0,28473,63
The Chedi Muscat,2013,1,2,112677,231
Geography of Oman,2001,8,0,26586,28
Qalhat,2013,2,2,71855,206
Mina al Fahal,2006,12,0,25104,39
List of Chairmen of the Consultative Assembly of Oman,2011,1,3,25498,30
Transport in Oman,2014,8,2,52945,116
Bathari language,2012,10,1,35924,70
Shihhi Arabic,2014,6,3,57043,152
Oman Medical College,2013,5,0,30479,46
Oman Children%27s Museum,2009,3,3,37604,74
Al Wajajah,2008,3,0,26272,48
Oman at the 2008 Summer Olympics,2013,2,3,71654,292
Omani Aquarium and Marine Science and Fisheries Centre,2013,12,1,34195,70
Royal Army of Oman,2007,2,0,30388,68
Politics of Oman,2013,8,1,65326,255
Muscat and Oman,2012,1,6,52315,122
Hani Al Dhabit,2008,11,0,37061,75
Politics of Oman,2009,5,1,55875,203
Demographics of Oman,2011,11,2,64947,219
Battle of Mirbat,2011,12,3,52263,104
"Omani general election, 2007",2011,9,3,38650,85
Al Alam Palace,2012,11,2,30805,50
Dhofari Arabic,2011,9,1,53553,143
Archaeology of Oman,2014,1,12,61581,96
Telephone numbers in Oman,2010,7,0,28619,54
List of hospitals in Oman,2009,3,0,26549,38
"Indian School, Darsait",2011,9,0,31409,59
Saif Sareea II,2011,8,1,33997,84
Amad Al Hosni,2015,4,41,156899,435
Arabian Desert,2010,8,5,68073,269
Saif Sareea II,2006,2,0,29684,73
Seydi Ali Reis,2013,2,2,75883,251
Oman,2011,6,43,299410,943
