filename,year,month,num_citations,file_size,forward_links
Bangladesh Liberation War,2007,7,58,206618,636
PTV News,2007,11,0,28429,53
Geo News,2011,6,12,92790,449
Utility Stores Corporation,2010,2,0,33320,44
Indian independence movement,2006,7,7,175074,632
Murree rebellion of 1857,2013,9,7,40800,61
Electricity sector in Pakistan,2011,3,33,82627,155
Ahmad Hasan Dani,2007,1,0,31188,59
History of the Punjab,2005,11,0,85483,343
Attack on Pakistani ambassador to Sri Lanka,2013,6,4,34184,52
Geo News,2010,1,12,88547,428
Education in Pakistan,2006,3,0,36791,64
Greater Iran,2006,11,24,101739,416
Mahmud of Ghazni,2009,2,16,90129,339
Rabatak inscription,2010,2,2,56127,124
Kushan Empire,2014,2,57,288117,1023
Durrani Empire,2003,8,0,50734,162
Constitution Avenue (Islamabad),2014,9,2,47207,152
Chemical Society of Pakistan,2015,4,3,44723,93
Nawagai,2011,12,0,28619,45
Geo TV,2013,1,4,51440,167
List of minerals of Pakistan,2013,8,1,40300,126
Gorsial,2014,7,0,29754,52
Indher,2011,6,0,26827,60
Kahlotra,2009,1,0,26833,48
Kanishka,2014,3,20,155914,709
Sindhi names,2012,9,0,40220,212
Hamoodur Rahman Commission,2008,1,4,32479,48
Ziauddin Barani,2009,1,7,37169,58
Raja Dahir,2011,9,9,49655,129
Rabatak inscription,2007,10,2,40165,68
Overseas Pakistani,2010,10,23,156271,435
Audio Video Satellite,2007,10,0,26637,45
History of the Punjab,2010,11,65,206791,718
List of mines in Pakistan,2012,3,0,27395,50
Murga punishment,2012,6,5,36157,58
Pakthas,2008,6,4,27879,58
Mihirakula,2009,5,0,27727,54
Kushan Empire,2011,10,35,224645,648
Raja Dahir,2007,6,5,38674,89
Kushan Empire,2014,6,59,290572,1025
List of journalists killed during the Balochistan conflict (1947%E2%80%93present),2013,3,7,39899,45
Raja Dahir,2014,5,6,49093,130
Robin Raphel,2006,10,0,24064,37
Raja Dahir,2010,9,11,52046,113
Kanishka,2008,10,16,88797,239
Pakistan Army,2008,3,23,192152,700
Bulfati,2011,6,0,35640,102
Filmi pop,2005,11,0,22218,29
Geography of Pakistan,2005,10,0,65291,116
Ganga Choti,2014,5,0,26269,36
Hindu Kush,2006,5,0,63191,191
List of Urdu language films,2011,10,0,364568,1324
"Hund, Khyber Pakhtunkhwa",2014,11,2,30391,57
Standard of living in Pakistan,2015,2,4,67428,219
Pakistani rupee,2011,10,5,99166,260
Ochre Coloured Pottery culture,2005,11,0,30349,47
Indian numbering system,2010,7,0,44850,87
Geography of Pakistan,2015,3,4,173320,794
Kundi (Pashtun tribe),2013,3,0,30860,60
Drigh,2011,9,1,23527,43
Durrani Empire,2009,11,9,98707,278
Greco Buddhist art,2006,2,0,144235,522
Raja,2008,1,1,42153,102
International rankings of Pakistan,2013,8,17,105085,410
Enlightened moderation,2006,11,0,24392,35
Jhelum District,2011,3,17,99313,338
Kabirwala,2013,3,2,48494,92
Electricity sector in Pakistan,2015,2,33,112117,285
Ghaznavids,2009,10,17,110180,435
Hotak dynasty,2012,4,11,143964,569
FM 100 (Pakistan),2008,9,0,31204,57
Durrani Empire,2009,4,9,96402,271
List of earthquakes in South Asia,2006,6,0,30539,68
Indo Pakistani War of 1971,2006,6,5,76310,264
Periods of stagflation in Pakistan,2013,5,29,142995,322
Bombay Presidency,2012,1,5,106311,538
Naroki,2015,1,0,29744,48
Radioactive FM 96,2012,6,1,31953,58
Maurya Empire,2014,1,63,273794,1015
State emblem of Pakistan,2008,1,0,60497,87
Buddhism in Pakistan,2013,9,1,86511,508
Hindu Kush,2005,11,0,52356,107
Dhandla,2009,7,2,23901,40
Trade Development Authority (Pakistan),2012,10,0,26377,43
Chokery Kharlan,2013,7,0,29727,54
Space and Upper Atmosphere Research Commission,2007,1,5,92945,225
Chenab Club,2012,1,0,28682,41
List of Pakistani family names,2014,2,0,65388,483
Bombay Presidency,2013,8,10,123471,564
