filename,year,month,num_citations,file_size,forward_links
Politics of Palau,2003,11,0,28427,36
Haruo Remeliik,2010,7,4,35945,70
Roman Tmetuchl International Airport,2011,7,4,47945,88
Ngeremlengui,2011,10,0,31872,71
Palau Soccer League,2010,11,0,34313,70
Outline of Palau,2013,10,1,84480,219
Airai,2005,3,0,26147,28
Palaua babelthuapi,2011,3,0,31527,72
Battle of Angaur,2012,10,2,46823,79
Partula calypso,2012,3,0,32499,73
Roman Catholicism in Palau,2008,7,0,35175,75
Tobi (island),2012,1,0,28912,46
Diplommatina inflatula,2009,12,0,32287,69
Palaina pupa,2011,5,0,31675,71
Nesopupa eapensis,2010,4,0,31092,66
Ruby Joy Gabriel,2013,3,1,29739,48
List of airports by ICAO code: P,2011,1,0,96967,601
Palau%E2%80%93United States relations,2010,9,6,80699,322
Index of Palau related articles,2014,5,0,79638,267
Israel%E2%80%93Palau relations,2010,9,6,54522,183
Diplommatina ringens,2008,6,0,29379,53
Melekeok,2010,6,0,44612,74
Lake Ngardok,2009,1,0,29237,53
Lazarus Salii,2013,2,1,38592,89
Ngiratkel Etpison,2010,10,1,36963,71
Geography of Palau,2007,1,0,36199,87
States of Palau,2008,9,0,40202,99
Kuabeserrai,2013,2,1,29231,53
Demographics of Palau,2008,1,2,27428,38
Filipinos in Palau,2008,11,1,38215,102
Stuart Beck,2010,3,3,29646,51
List of cities in Palau,2009,2,0,33436,78
Palau at the 2004 Summer Olympics,2012,5,0,67465,277
Hungerfordia pelewensis,2009,12,0,32136,66
Diplommatina lutea,2011,4,0,31673,65
Hungerfordia pelewensis,2008,5,0,28366,53
List of diplomatic missions in Palau,2014,4,0,53103,99
Alfonso Oiterong,2009,12,1,34980,71
Melekeok,2013,5,0,40663,80
Senate of Palau,2012,12,0,48640,178
National Stadium (Palau),2010,8,0,31283,51
Spanish East Indies,2010,6,3,92786,295
Palau%E2%80%93United States relations,2011,11,6,81402,329
Palau at the 2004 Summer Olympics,2011,5,0,67843,277
Alan R. Seid,2010,10,0,26716,47
Micronesia Challenge,2007,4,0,23245,34
List of airports by ICAO code: P,2007,4,0,80092,461
Ngatpang,2008,3,0,30504,57
Diplommatina aurea,2007,10,0,27059,45
Airai,2006,7,0,31605,58
Music of Palau,2011,2,0,75846,346
Kramers F.C.,2012,11,4,57105,110
Palaina dohrni,2011,8,0,31534,67
Semperdon uncatus,2009,12,0,30385,61
Japanese settlement in Palau,2010,6,72,99884,196
Battle of Angaur,2012,5,0,43635,80
List of football clubs in Palau,2012,9,0,45624,107
Battle of Peleliu,2009,8,7,150382,545
Trust Territory of the Pacific Islands,2005,6,0,37935,73
Diplommatina alata,2007,10,0,27059,45
Leilani Reklai,2009,1,1,28783,52
Palau,2013,5,58,333866,1042
Nesopupa eapensis,2012,11,1,32386,71
Oceania television network,2007,10,0,27692,45
"Thomas Remengesau, Sr.",2010,10,0,36489,77
Roman Catholic Diocese of Caroline Islands,2014,1,0,39713,80
Ngiwal,2013,2,0,35003,72
Sonsorolese language,2007,5,0,25421,32
List of birds of Palau,2010,7,0,81408,358
Kuniwo Nakamura,2009,6,2,37576,79
Palau at the Olympics,2009,11,0,61302,285
Noah Idechong,2014,8,1,27916,41
Melekeok (town),2015,3,1,51944,99
Ngerekebesang Island,2007,4,0,26921,38
Roman Tmetuchl International Airport,2011,1,4,46535,87
