filename,year,month,num_citations,file_size,forward_links
Operation Nifty Package,2011,7,32,55699,89
List of television stations in Latin America,2012,2,0,91273,247
Panama Canal Railway,2013,4,20,120693,315
Soberan%C3%ADa National Park,2010,12,2,31285,78
Darien scheme,2008,3,2,46897,105
Rhinella acutirostris,2009,1,0,37059,80
Scottish colonization of the Americas,2007,9,1,62058,195
Economy of Panama,2008,7,6,70173,316
List of Panamanians,2009,8,0,50312,211
Geography of Panama,2012,12,1,78925,279
United States invasion of Panama,2007,4,26,101041,318
Communist Party (Marxist%E2%80%93Leninist) of Panama,2011,7,0,38067,80
Col%C3%B3n Free Trade Zone,2013,3,0,34222,75
National Assembly (Panama),2006,10,0,46296,112
Hay%E2%80%93Bunau Varilla Treaty,2009,3,0,30992,56
Panama,2006,1,0,98237,202
Sim%C3%B3n Bol%C3%ADvar,2007,6,4,107790,365
Gran Colombia,2008,3,0,85440,274
ISO 3166 2:PA,2009,11,3,83095,701
History of Panama,2009,9,3,116794,323
Burning of Col%C3%B3n,2012,7,7,42656,87
Alas Chiricanas Flight 901,2004,12,0,25031,40
Sim%C3%B3n Bol%C3%ADvar,2011,5,28,227371,816
Transport in Panama,2007,5,0,48746,117
Torrijos%E2%80%93Carter Treaties,2010,7,2,61139,136
Vasco N%C3%BA%C3%B1ez de Balboa,2008,7,5,102927,258
John Isaacs,2013,5,6,33994,71
United States invasion of Panama,2010,12,59,192300,567
Marine Exhibition Center of Punta Culebra,2013,3,2,34623,62
Calzada Larga Airport,2010,4,0,57926,147
"Red, White and Blue Paradise",2013,1,0,29640,55
Gran Colombia,2010,5,11,131258,490
United Fruit Company,2007,4,4,68372,165
Air Services Cargo,2008,4,1,27975,47
History of Panama,2005,2,0,46886,117
Panama Canal Railway,2005,6,0,37872,92
Panama%E2%80%93United States Trade Promotion Agreement,2008,12,2,42415,73
Randolph Runnels,2013,3,0,28036,40
Panama Warriors,2008,1,0,24594,37
Scottish colonization of the Americas,2013,3,8,119417,495
Panama Canal Railway,2011,11,18,104896,273
Panam%C3%A1 Viejo,2012,4,0,34417,63
Panama Canal fence,2006,5,0,42996,119
Scottish colonization of the Americas,2013,5,8,119704,502
Torrijos%E2%80%93Carter Treaties,2010,12,2,60186,135
United Fruit Company,2014,9,26,128229,271
Panamanian balboa,2007,12,0,59288,139
Azuero howler,2009,2,2,43890,116
Transport in Panama,2009,2,1,48440,123
Ciudad del Saber,2015,3,7,38306,60
Panam%C3%A1 Viejo,2013,11,0,34194,58
Flex (singer),2010,10,5,42406,88
Martyrs%27 Day (Panama),2014,10,8,63283,103
History of the Panama Canal,2015,3,0,134724,312
Darien scheme,2008,5,2,47268,107
Bokota people,2013,7,2,33751,61
Scouting and Guiding in Panama,2011,10,1,47064,131
Panamanian Public Forces,2005,3,0,26740,33
Sim%C3%B3n Bol%C3%ADvar,2008,11,6,151758,492
SS Charles H. Cugle,2008,1,0,30435,54
List of diplomatic missions in Panama,2012,1,0,63935,119
Sim%C3%B3n Bol%C3%ADvar,2006,4,3,87978,197
Panama Canal Museum,2011,6,2,31538,53
Azuero howler,2009,12,2,43925,114
Aguadulce Army Airfield,2009,6,0,55541,151
Moral Vanguard of the Fatherland,2010,3,0,32952,51
Operation Nifty Package,2007,8,0,26906,38
Panamanian Public Forces,2011,10,1,72133,255
Poncri Auxiliary Aerodrome,2009,6,0,48394,138
Acla,2009,8,0,28152,54
Vasco N%C3%BA%C3%B1ez de Balboa,2009,5,5,103336,248
Martyrs%27 Day (Panama),2014,3,7,60471,105
List of universities in Panama,2013,2,0,36887,65
Isla Colon Formation,2014,7,0,31433,53
National Bank of Panama,2007,2,0,29682,58
Panama,2015,4,56,304703,743
Outline of Panama,2011,8,2,93872,255
List of Panamanians,2012,4,0,51276,229
Law enforcement in Panama,2012,10,0,51171,148
Flex (singer),2012,3,5,45355,103
Template:Panama Canal,2006,1,0,22319,40
Geography of Panama,2008,10,0,58617,154
Chagres and Fort San Lorenzo,2014,8,12,55668,93
Separation of Panama from Colombia,2011,2,5,92555,376
Gran Cocl%C3%A9,2012,8,0,45182,186
Order of Manuel Amador Guerrero,2013,7,8,47304,82
Separation of Panama from Colombia,2009,5,3,73360,275
Viceroyalty of New Granada,2004,1,0,33240,45
Banana production in Panama,2014,4,1,63460,85
Martyrs%27 Day (Panama),2013,1,4,60382,123
Archaeology of Bocas del Toro,2011,12,15,47871,69
Pearl Tower,2010,2,0,26480,41
Operation Nifty Package,2008,11,0,27844,52
Sim%C3%B3n Bol%C3%ADvar,2014,5,43,239473,781
Palacio de las Garzas,2011,8,2,32948,55
Barriles,2009,9,25,44925,38
Felipillo of Panama,2010,8,1,26097,38
Panama Warriors,2011,5,0,29764,54
United States invasion of Panama,2006,8,23,79679,166
DHL Aero Expreso,2009,2,3,38335,92
Panamanian balboa,2006,7,0,54107,133
SS Ancon (1901),2012,10,4,37162,73
Geography of Panama,2007,4,0,56554,153
History of the west coast of North America,2005,12,0,36437,111
Martyrs%27 Day (Panama),2012,6,4,60432,119
Vasco N%C3%BA%C3%B1ez de Balboa,2010,8,5,107451,243
