filename,year,month,num_citations,file_size,forward_links
Ndu languages,2009,7,0,30336,60
Outline of Papua New Guinea,2013,10,6,105461,257
Kobon language,2013,2,0,40723,83
History of Bougainville,2011,2,13,83102,151
Battle of Bita Paka,2014,2,56,122671,266
Dagan languages,2013,4,0,30245,61
Colonist (1861),2013,5,85,182548,301
List of schools in Papua New Guinea,2011,3,0,44940,63
Sport in Papua New Guinea,2012,9,4,45752,108
Kaluli creation myth,2010,9,2,30664,49
History of Papua New Guinea,2011,9,15,75082,159
Bo language (New Guinea),2011,4,0,29888,50
List of Papua New Guineans,2010,6,1,32108,68
List of schools in Papua New Guinea,2007,2,0,32710,51
Governor General of Papua New Guinea,2003,11,0,25822,33
Bo language (New Guinea),2014,6,2,32444,57
Fijian mercenaries in Bougainville,2006,4,0,64651,204
Papua New Guinea Defence Force,2011,10,7,80284,122
German New Guinea,2004,12,0,37578,80
Belden Namah,2012,12,12,40356,74
Papua New Guinea,2003,12,0,76405,137
Kaiser Wilhelmsland,2007,12,0,29417,53
Manus Island Regional Processing Centre,2014,11,11,50034,72
Johann Flierl,2009,10,32,89187,245
Geography of Papua New Guinea,2005,5,0,28811,33
"Members of the National Parliament of Papua New Guinea, 2007%E2%80%9312",2013,9,0,53472,99
Gnau language,2009,12,0,28219,44
Transport in Papua New Guinea,2003,8,0,24373,32
History of Papua New Guinea,2012,3,15,75829,165
Morauta House,2006,10,0,24748,34
Governor General of Papua New Guinea,2009,8,0,48620,143
Peter Scratchley,2010,11,2,35533,78
German New Guinea Company,2010,9,0,49885,140
Territory of Papua,2011,2,0,41919,96
Willem Schouten,2011,6,0,43274,81
Siege of Toma,2012,5,7,51644,122
Kokoda Track,2012,4,30,75154,84
Christian Democratic Party (Papua New Guinea),2008,11,0,26017,39
Baibai language,2013,2,1,31189,61
Fijian mercenaries in Bougainville,2013,3,2,69817,148
Bougainville Copper,2015,2,8,47304,107
Gogodala%E2%80%93Suki languages,2013,4,0,31600,65
Jacob Le Maire,2015,4,4,46921,98
Gants language,2013,8,1,29976,56
Gogodala%E2%80%93Suki languages,2013,3,0,31304,63
Solomon Islands rain forests,2006,7,0,27548,54
Mabuso languages,2010,9,0,32021,90
Baining,2010,11,0,31456,57
Kokoda Track,2011,2,30,74684,91
Territory of New Guinea,2006,1,0,29825,50
Sandline affair,2004,7,0,38146,70
Gogodala%E2%80%93Suki languages,2011,11,0,31054,62
German New Guinea,2013,5,26,102762,220
Doga language,2011,5,0,31436,61
ISO 3166 2:PG,2014,12,1,88831,716
New Guinea Highlands,2008,5,2,31284,69
Maiadomu language,2013,8,1,30484,56
List of schools in Papua New Guinea,2010,5,0,44577,63
Tobera Airfield,2014,3,0,28287,52
2012 Papua New Guinea Defence Force mutiny,2015,3,17,62289,58
Kokoda Track,2009,3,13,52422,91
Finisterre languages,2011,12,0,34240,102
Bougainville Copper,2005,10,0,23709,41
Busa language (Papuan),2013,10,1,67635,371
German New Guinea,2004,7,0,36810,77
United States Ambassador to Papua New Guinea,2011,7,3,76491,284
List of colonial governors of Papua,2008,8,0,29654,42
Economy of Papua New Guinea,2007,2,0,86966,338
But Airfield,2015,3,0,28197,46
Busa language (Papuan),2012,5,0,67569,369
Supreme Court of Papua New Guinea,2006,1,0,22914,32
Telephone numbers in Papua New Guinea,2007,8,0,24967,37
Willem Schouten,2015,3,0,50462,108
"Members of the National Parliament of Papua New Guinea, 2007%E2%80%9312",2009,10,0,59749,217
Education in Papua New Guinea,2008,10,0,29606,47
Economy of Papua New Guinea,2008,1,0,90271,349
Baruya people,2010,7,0,32556,45
History of Papua New Guinea,2011,3,6,61868,118
Papua New Guinean kina,2008,6,7,61256,118
Provinces of Papua New Guinea,2007,10,0,50081,135
Gapapaiwa language,2014,6,2,32504,62
Nuk language,2012,5,1,29853,59
Australian rules football in Papua New Guinea,2010,1,40,96788,245
Transport in Papua New Guinea,2009,7,5,45006,119
President of the Autonomous Region of Bougainville,2009,2,3,37276,78
German New Guinea,2009,1,0,58302,155
Insect Farming and Trading Agency,2013,2,2,27141,33
Jacob Le Maire,2011,7,4,42003,86
Languages of Papua New Guinea,2007,8,2,47478,115
Sandline affair,2007,2,0,40544,77
Christian Leaders Training College,2007,9,0,33558,63
Gope Boards,2006,9,0,24959,35
Template:PapuaNewGuinea stub,2007,3,0,25227,31
Siege of Toma,2011,6,7,51918,122
Nii language,2012,1,2,29000,49
Battle of Bita Paka,2009,3,1,44768,107
Divine Word University,2007,9,1,33888,68
Fuzzy Wuzzy Angels,2009,12,2,35240,55
Hahalis Welfare Society,2014,6,3,35851,42
History of Papua New Guinea,2007,3,1,55017,162
Territory of Papua,2008,9,0,77638,325
2011%E2%80%9312 Papua New Guinean constitutional crisis,2012,1,5,35133,46
Marind languages,2008,6,0,22500,29
North Solomon Islands,2011,3,0,52815,232
Finisterre%E2%80%93Huon languages,2011,12,0,32229,64
Amto%E2%80%93Musan languages,2008,8,0,30391,56
Asaro%27o language,2014,4,2,31521,53
Arifama Miniafia language,2015,4,2,32734,56
History of Bougainville,2009,9,1,65710,138
Gnau language,2014,6,2,32212,58
Mineral Resources Development Company,2012,2,9,37657,40
Rotokas Record,2007,10,0,25983,42
