filename,year,month,num_citations,file_size,forward_links
Climate of Paraguay,2012,12,0,35375,66
Painful Easter,2009,8,0,29868,41
TV P%C3%BAblica Paraguay,2013,9,0,29877,54
Governorate of the R%C3%ADo de la Plata,2009,1,1,51728,140
Vice President of Paraguay,2009,12,2,36925,81
Scouting and Guiding in Paraguay,2007,2,0,29119,48
First Lady of Paraguay,2013,3,0,33712,84
Paraguayan Army,2012,7,2,46476,95
Siege of Uruguaiana,2012,8,1,43940,85
Guat%C3%B3 people,2007,5,0,27423,47
List of Presidents of the Senate of Paraguay,2014,12,0,35022,60
Germans in Paraguay,2012,6,0,52910,183
Diario ABC Color,2006,8,0,26764,44
Paraguayan polka,2013,2,0,27990,47
Outline of Paraguay,2008,10,8,75571,154
Germans in Paraguay,2007,5,0,40930,134
History of Paraguay,2006,2,0,43867,105
Outline of Paraguay,2012,5,9,98142,261
Enxet people,2012,3,0,30635,60
Water supply and sanitation in Paraguay,2008,1,4,52817,78
Economy of Paraguay,2008,6,0,74464,293
Paraguayans in Uruguay,2013,11,2,41421,112
Radio Nacional del Paraguay,2013,3,2,29770,51
Mburuvich%C3%A1 Roga,2013,1,0,29447,47
Economy of Paraguay,2012,5,6,141546,368
President of Paraguay,2010,8,11,77449,269
Public holidays in Paraguay,2009,4,0,23760,31
Telephone numbers in Paraguay,2015,4,0,53304,179
History of Paraguay,2009,11,6,175074,237
Nivacl%C3%A9 language,2013,8,1,34173,65
Postage stamps and postal history of Paraguay,2010,3,1,41596,122
Telecommunications in Paraguay,2004,9,0,24286,39
List of diplomatic missions of Paraguay,2011,8,0,64091,177
Telecom Argentina,2007,9,4,46017,93
Roman Catholic Diocese of Encarnaci%C3%B3n,2011,5,0,38730,77
Wilson Tower,2014,10,0,30310,50
List of Paraguayans,2011,2,0,31925,86
Prostitution in Paraguay,2014,11,3,32835,62
Painful Easter,2009,1,0,30368,44
Iyo%27wujwa Chorote language,2011,9,0,33988,67
Paraguay,2013,1,47,290960,820
Postage stamps and postal history of Paraguay,2014,8,3,44962,126
Revolt of the Comuneros (Paraguay),2014,1,34,95855,108
President of Paraguay,2015,4,11,132258,462
Outline of Paraguay,2011,6,9,98736,265
Asociaci%C3%B3n de Scouts del Paraguay,2012,10,1,42734,86
Paraguay,2013,8,52,301567,862
Vice President of Paraguay,2012,11,2,40267,87
Icono Tower,2011,7,1,32083,52
Paraguay,2009,12,45,179483,361
Public holidays in Paraguay,2009,5,0,30340,65
Jos%C3%A9 Bozzano,2013,2,2,43354,99
El Debate (Paraguay),2015,2,1,26516,37
Roman Catholic Diocese of Caacup%C3%A9,2011,5,0,37965,75
.py,2011,1,0,69990,412
Radio Nacional del Paraguay,2007,12,0,27287,41
Outline of Paraguay,2013,4,9,97626,259
History of Paraguay,2008,9,3,76517,195
Mineral industry of Paraguay,2012,4,1,44610,71
Chamber of Deputies of Paraguay,2006,5,0,39756,86
List of diplomatic missions of Paraguay,2014,10,0,63784,175
Diario Popular (Paraguay),2012,7,1,27648,44
Chamber of Deputies of Paraguay,2013,2,0,54228,170
Prostitution in Paraguay,2009,4,1,30677,56
Paraguay expedition,2011,9,1,40616,119
New Australia,2012,2,10,43476,75
Islam in Paraguay,2006,9,0,31122,64
List of Paraguayans,2008,1,0,30237,72
Paraguayan Army,2010,10,0,41787,85
San Ignacio de Loyola International Bridge,2012,10,0,34133,71
Flag of Paraguay,2008,4,0,47503,79
Military of Paraguay,2010,12,3,100275,249
English people in Paraguay,2011,12,1,45503,122
Gran Chaco,2010,8,10,94914,283
Asociaci%C3%B3n de Scouts del Paraguay,2010,6,1,41781,80
Visa requirements for Paraguayan citizens,2015,1,210,486997,975
Telecom Argentina,2012,2,7,62017,140
Direcci%C3%B3n Nacional de Aeronautica Civil,2012,10,2,122520,308
Paraguay,2004,11,0,85239,203
Radio Nacional del Paraguay,2007,9,0,25018,34
Ecotourism in Paraguay,2012,8,0,40687,111
Chamber of Deputies of Paraguay,2005,8,0,27025,41
Universidad Cat%C3%B3lica %22Nuestra Se%C3%B1ora de la Asunci%C3%B3n%22,2012,7,0,61134,143
Water supply and sanitation in Paraguay,2009,1,4,52848,78
Paraguayan passport,2009,4,0,106370,396
Crime in Paraguay,2010,6,1,30684,61
Vice President of Paraguay,2010,12,2,37165,79
Universidad Nacional de Asunci%C3%B3n,2009,8,0,32102,47
Asociaci%C3%B3n Gu%C3%ADas Scouts del Paraguay,2009,9,0,33214,47
History of Paraguay,2012,3,9,211876,492
New Australia,2014,3,11,45587,80
Germans in Paraguay,2010,4,1,49933,172
Roman Catholic Diocese of San Juan Bautista de las Misiones,2012,10,0,41055,79
Geography of Paraguay,2006,3,0,61285,127
Soybean in Paraguay,2013,6,1,31397,56
Water supply and sanitation in Paraguay,2007,11,3,48066,62
Paraguay,2009,7,34,181092,435
Gran Chaco,2014,8,18,114814,330
Military of Paraguay,2011,2,3,101219,249
Scientific Monument Moises Bertoni,2014,4,0,41436,66
Scientific Monument Moises Bertoni,2008,7,0,37957,51
La Naci%C3%B3n (Paraguay),2012,9,1,27255,40
Coat of arms of Paraguay,2010,3,0,42064,78
Climate of Paraguay,2014,5,0,32945,53
History of Paraguay,2013,2,9,216238,515
Paraguayan Army,2013,7,2,96621,277
Delf%C3%ADn Chamorro,2008,9,0,36375,58
Transport in Paraguay,2005,11,0,27555,37
Gran Chaco,2007,9,0,49207,136
Outline of Paraguay,2013,1,9,97876,261
Flag of Paraguay,2012,5,0,72516,173
Painful Easter,2015,4,0,31111,43
List of Paraguayans,2005,12,0,26788,51
History of Paraguay,2002,9,0,34883,62
Economy of Paraguay,2006,8,0,70548,294
Geography of Paraguay,2007,1,0,62848,121
Index of Paraguay related articles,2012,5,0,71819,208
Military of Paraguay,2009,11,3,53047,136
Roman Catholic Diocese of Encarnaci%C3%B3n,2011,1,0,38634,75
Paraguayan Army,2014,10,2,95998,261
San Roque Gonz%C3%A1lez de Santa Cruz Bridge,2009,9,2,37624,69
Paraguay,2008,3,16,174529,476
Asociaci%C3%B3n de Scouts del Paraguay,2006,8,0,34179,50
Scientific Monument Moises Bertoni,2008,10,0,37528,69
Climate of Paraguay,2014,10,0,32969,53
Telecom Argentina,2008,6,4,45917,93
History of Paraguay,2007,6,2,67304,127
Universidad Aut%C3%B3noma de Asunci%C3%B3n (university),2009,10,0,30014,46
Nivacl%C3%A9 language,2009,8,0,32987,66
President of Paraguay,2010,7,11,78031,269
Jos%C3%A9 Bozzano,2009,2,0,38510,79
Template:Paraguay stub,2010,3,0,33477,47
New Australia,2008,7,5,34032,56
List of Paraguayans,2006,12,0,26288,54
Roman Catholic Diocese of San Pedro,2012,6,0,38267,70
Paraguayan peso,2008,5,0,41255,98
Climate of Paraguay,2013,5,0,35035,60
New Australia,2012,11,10,42757,83
Piaractus mesopotamicus,2007,1,0,34596,63
"Embassy of Paraguay, London",2013,12,1,58259,234
Water supply and sanitation in Paraguay,2012,7,4,48690,62
Transport in Paraguay,2002,2,0,23611,24
History of Paraguay,2006,12,2,49540,123
History of Paraguay,2010,3,6,182400,253
Guarania (music),2007,1,0,26575,45
Diario Paraguay Rundschau,2014,10,0,26615,44
United States Ambassador to Paraguay,2008,4,1,49169,259
Politics of Paraguay,2004,11,0,30770,39
Soybean in Paraguay,2015,3,4,36503,58
Crime in Paraguay,2015,4,6,55574,157
Internet in Paraguay,2013,11,0,21938,27
Paraguayan Spanish,2011,11,0,42388,123
Paraguay,2005,9,0,88930,216
Paraguayan Army,2014,1,2,96026,265
List of Paraguayans,2010,9,0,31885,88
Friendship Bridge (Brazil%E2%80%93Paraguay),2008,11,0,40926,77
.py,2006,9,0,68420,412
Prostitution in Paraguay,2014,8,3,33138,67
Itacom,2012,7,0,25884,46
Universidad Cat%C3%B3lica %22Nuestra Se%C3%B1ora de la Asunci%C3%B3n%22,2011,5,0,37935,55
Military of Paraguay,2009,4,2,55058,151
