filename,year,month,num_citations,file_size,forward_links
2009 Peruvian political crisis,2014,10,21,87069,198
Liliana Mayo,2010,3,6,33857,59
Peruvian passport,2010,1,1,80775,350
Francisco Pizarro,2004,10,0,45983,72
Viceroyalty of Peru,2007,11,3,102554,406
.pe,2007,5,0,68003,404
Codex Mart%C3%ADnez Compa%C3%B1%C3%B3n,2012,9,3,34359,65
Metrication in Peru,2010,12,4,31756,63
Peruvians,2012,1,36,117160,449
Francisco Pizarro,2005,6,0,52411,104
Pedro de Candia,2014,10,8,41826,92
Amazonas before the Inca Empire,2010,11,0,38987,104
El Peruano,2012,11,0,33249,52
Francisco Antonio De Zela,2010,10,0,27984,46
Tumi,2011,2,1,57068,289
Amawaka language,2012,3,0,33348,61
Third Council of Lima,2008,12,0,32050,79
Mariano Ignacio Prado,2007,4,0,48782,183
CIA activities in Peru,2010,1,5,58429,89
List of diplomatic missions of Peru,2012,9,0,87888,258
El Per%C3%BA (book),2013,3,0,26389,44
Hibito%E2%80%93Cholon languages,2011,9,0,64409,361
Jos%C3%A9 Carlos Mari%C3%A1tegui,2014,3,10,38323,54
List of hospitals in Peru,2012,10,22,50785,91
Martin de Porres,2010,1,3,50095,112
"Vilcabamba, Peru",2010,7,1,77593,369
Economy of Peru,2010,7,27,159791,649
Sim%C3%B3n Bol%C3%ADvar,2007,6,4,107790,365
Immigration to Peru,2014,8,0,42851,131
National Liberation Army (Peru),2015,1,20,57531,78
Huambisa language,2013,8,2,32109,55
Amawaka language,2014,6,2,35268,70
List of metropolitan areas of Peru,2014,12,21,94905,188
Alfredo Bryce,2006,6,0,29555,49
Sillar,2006,3,0,26912,52
.pe,2008,10,0,68831,403
Manuel Quimper,2010,11,0,61280,160
Jos%C3%A9 Qui%C3%B1ones Gonzales,2013,2,1,40035,85
Palta people,2005,9,0,24765,36
Moche culture,2014,1,14,105788,319
Shrunken head,2009,10,6,44436,82
Climate of Peru,2012,2,6,53273,134
Ransom Room,2005,10,0,32873,59
Economy of Peru,2008,3,8,129572,580
Sim%C3%B3n Bol%C3%ADvar,2011,5,28,227369,816
The Bad Intentions,2013,4,4,39635,57
International rankings of Peru,2012,8,1,40888,135
Kola Inglesa,2010,9,1,36611,145
Pachacamac,2009,1,0,65942,343
Peter Frost,2014,8,2,32679,56
Norte Chico (Peruvian region),2007,4,0,27213,39
Pedro de Candia,2012,1,6,41359,100
Lord of Sip%C3%A1n,2012,8,0,37322,60
Cayetano Heredia,2012,11,0,34150,73
Pueblos j%C3%B3venes,2010,12,0,53251,202
Environmental issues in Peru,2014,9,8,57806,187
Norte Chico (Peruvian region),2007,6,0,27315,46
Timeline of Peruvian history,2007,1,0,33760,82
Flag of Lima,2009,11,0,27395,47
Paratoari,2008,5,0,29534,45
History of the Ecuadorian%E2%80%93Peruvian territorial dispute,2013,6,29,166760,349
%C3%8Dndice General de la Bolsa de Valores de Lima,2011,2,0,33450,68
List of flags of Peru,2008,6,0,79413,268
Pascual de Andagoya,2012,11,2,40914,101
Francisco de Qui%C3%B1%C3%B3nez,2008,11,0,42176,146
Peru,2015,1,102,306269,869
Max Gonz%C3%A1lez Olaechea,2010,10,0,27340,45
Archaeological sites in Peru,2009,3,6,123422,619
Postage stamps and postal history of Peru,2012,2,2,43490,122
Arroz chaufa,2013,3,0,56151,293
Ayarmaca,2013,1,0,30541,54
Inca Empire,2015,4,72,265864,881
Pueblos j%C3%B3venes,2010,6,0,52317,201
Peru Two,2013,12,2,31210,53
Vice President of Peru,2011,6,0,42837,97
Francisco Pizarro,2012,11,13,166455,353
T%C3%BApac Amaru,2005,9,0,33597,54
Viceroyalty of Peru,2014,3,11,167735,585
Timeline of Peruvian history,2009,10,0,39147,152
Llamero,2004,8,0,22989,35
Agroindustrial Pomalca,2013,10,3,39425,91
Max Gonz%C3%A1lez Olaechea,2014,7,0,31382,54
Garcilaso de la Vega (chronicler),2012,3,4,54964,97
Battle of Higos Urco,2012,10,0,30126,58
