filename,year,month,num_citations,file_size,forward_links
History of the Jews in the Philippines,2009,4,13,112756,449
Constitutional reform in the Philippines,2007,3,18,46293,73
Extrajudicial killings and forced disappearances in the Philippines,2009,9,104,174756,527
Bicolano people,2009,12,0,53913,182
Template:Politics of the Philippines,2012,1,0,42462,145
Champorado,2007,11,0,30558,51
Overseas Filipino,2009,11,29,166533,428
Taxicabs of the Philippines,2009,7,0,46777,161
Chief Justice of the Supreme Court of the Philippines,2014,9,3,86886,270
Sovereignty of the Philippines,2012,5,53,123227,238
Template:Philippines stub,2012,3,0,34841,49
List of loanwords in Tagalog,2010,1,0,220828,62
1919 in the Philippines,2015,2,0,33315,84
Principal%C3%ADa,2014,1,51,134936,241
PhilNITS,2009,10,0,38171,62
Religion in pre colonial Philippines,2012,5,6,51936,137
Template:Politics of the Philippines,2011,12,0,42612,149
EDSA II,2009,4,4,75228,280
History of the Philippines,2012,4,162,365306,953
Punong Barangay,2013,10,3,148309,796
Abortion in the Philippines,2011,2,3,66617,258
History of veterinary medicine in the Philippines,2013,11,4,94145,272
Filipino nationalism,2015,1,53,188638,546
Governor General of the Philippines,2012,7,7,235386,565
Armed Forces of the Philippines,2015,3,51,233312,670
Allah Valley Airport,2008,12,0,45067,153
Tanod,2013,6,11,90775,304
Boxer Codex,2013,3,3,51397,102
Education in the Philippines during the American rule,2014,1,6,45326,77
Postal addresses in the Philippines,2012,8,0,31041,44
Principal%C3%ADa,2013,2,41,113545,168
Intramuros,2015,4,31,220289,805
1995 in the Philippines,2012,9,0,35506,108
History of the Jews in the Philippines,2005,10,0,68089,321
Supreme Court of the Philippines,2013,1,38,175922,595
Battle of Yultong,2013,5,7,62408,187
Philippine peso,2009,3,4,136535,469
Filipinos in Austria,2013,8,3,45058,122
Community Tax Certificate,2014,6,0,33811,60
Congressional district,2011,1,0,35729,79
Outline of the Philippines,2012,8,3,112914,430
List of earthquakes in the Philippines,2011,6,1,41601,87
President of the Philippines,2004,4,0,25307,25
Poverty in the Philippines,2014,1,10,60356,172
Malaca%C3%B1ang Palace,2014,3,24,180588,522
Bataan Death March,2013,4,34,110191,198
Proa,2008,2,11,151059,564
Architecture of the Philippines,2011,12,7,93543,298
Magdiwang (Katipunan faction),2012,3,0,38208,129
Barangay,2013,10,9,169983,845
