filename,year,month,num_citations,file_size,forward_links
President of Poland,2006,12,0,59654,153
Teutonic Order,2005,9,0,85161,334
Polish%E2%80%93Lithuanian Commonwealth,2011,8,136,376855,1133
Polish Socialist Youth Union,2006,4,0,29224,48
Poles,2006,12,20,60016,129
Temple of Divine Providence,2011,4,0,51042,140
Public Prosecutor General,2010,4,0,45389,132
Silesian Piasts,2014,1,19,112039,379
Anti Polish sentiment,2008,8,61,124790,364
Encyklopedia Internautica,2012,7,0,30155,57
Roman Catholic Diocese of Kalisz,2011,1,0,35721,61
Kingdom of Galicia%E2%80%93Volhynia,2009,2,2,83884,284
Polonium,2002,2,0,45168,36
Wilno Voivodeship (1926%E2%80%9339),2006,3,0,41125,122
Bogufa%C5%82 II,2014,8,7,33000,80
Space Research Centre,2012,3,0,28852,45
Polish Army oaths,2015,4,0,65639,85
ZSD Nysa,2006,5,0,28174,41
Wilno Voivodeship (1926%E2%80%9339),2013,4,10,77592,205
Powszechny Zak%C5%82ad Ubezpiecze%C5%84,2013,1,0,51629,174
Mors submachine gun,2015,1,0,38313,92
Temple of Divine Providence,2013,4,1,53777,146
Ursus Factory,2010,4,3,42536,69
Transmitter Stolp,2006,1,0,23966,32
Pomerania during the Early Modern Age,2015,3,46,174838,688
Wielbark culture,2008,8,7,68637,242
Upper Silesian Coal Basin,2010,7,2,64645,189
Pollack,2014,1,0,28103,62
Krajowe Eliminacje do Konkursu Piosenki Eurowizji,2011,1,0,87880,408
PZL Mielec,2008,9,0,54917,185
List of tallest structures in Poland,2010,11,0,529296,394
Cross of Merit (Polish Scouting and Guiding Association),2009,8,0,32642,50
FM  and TV mast Klepaczka,2008,6,0,29624,41
Sierpi%C5%84ski curve,2006,2,0,33717,42
Danzig Research Society,2009,11,2,36810,75
Renaissance in Poland,2009,12,8,89944,319
Timeline of Polish history,2007,9,0,107400,874
Renaissance in Poland,2010,12,11,95874,358
Banach space,2011,9,1,57095,135
Radio Maryja,2008,2,69,94011,195
Name of Poland,2007,3,5,43393,127
List of years in Poland,2011,9,0,47176,44
Teutonic Order,2010,4,28,208673,555
War crimes in occupied Poland during World War II,2011,3,188,356472,964
Grill (cryptology),2014,10,36,106160,137
List of English words of Polish origin,2006,1,0,29404,64
Upper Silesian Industrial Region,2009,6,0,80122,274
FM  and TV mast Kosztowy,2013,12,0,44897,122
Banach space,2012,6,2,62767,139
Liberalism in Poland,2009,9,0,56689,202
Feminism in Poland,2007,6,12,50407,162
Vis pistol,2008,8,3,48044,103
Free Judges,2012,9,0,33627,72
FSO Polonez,2005,7,0,26253,28
Poles,2008,8,32,89134,192
Ukrainian People%27s Revolutionary Army,2009,8,3,43580,73
Sierpinski number,2004,7,0,27982,37
History of Poland,2007,7,0,104540,453
Polish space,2007,2,0,30267,64
Polish notation,2014,7,8,61403,105
Geography of Poland,2014,6,20,205646,487
List of U.S. cities with large Polish American populations,2013,2,31,66472,137
Polish%E2%80%93Lithuanian Commonwealth,2004,10,0,48256,96
Gliwice Radio Tower,2006,5,0,29600,40
War crimes in occupied Poland during World War II,2013,3,193,363047,984
1572 Posnania,2011,5,0,43239,108
Roman Catholic Archdiocese of %C5%81%C3%B3d%C5%BA,2014,8,1,52787,100
Bomba (cryptography),2005,2,0,35775,98
History of Pomerania,2007,6,1,103798,487
Polonium,2015,2,116,334153,794
Swiatecki bomb slip,2011,1,3,30668,69
Kostrzyn%E2%80%93S%C5%82ubice Special Economic Zone,2011,12,0,35581,93
Forests of Poland,2006,12,0,28012,46
PZL,2011,9,5,85661,366
Pomerania during the High Middle Ages,2011,1,106,277957,1048
Jagiellonian University,2014,5,16,171461,490
Jagiellonian University,2003,4,0,35060,40
Wielbark culture,2012,11,5,89802,374
Kapists,2010,12,0,30000,55
Roman Catholic Diocese of %C5%81owicz,2014,1,1,49685,105
Polish Armed Forces,2012,2,29,157847,576
History of Pomerania,2010,3,203,296741,1176
History of philosophy in Poland,2008,8,19,141762,830
Teutonic Order,2008,5,22,127633,473
Polonia (personification),2013,2,2,48676,164
Choroszman%C3%B3w submachine gun,2014,3,0,35761,74
Radio Maryja,2007,5,1,68243,178
Grom (missile),2007,5,0,29669,51
Browning wz. 1928,2006,2,0,38302,86
Forests of Poland,2008,7,0,36331,75
Main Directorate of Information of the Polish Army,2006,8,0,39158,93
Boles%C5%82aw II of Masovia,2013,11,3,42703,92
Sodalitas Litterarum Vistulana,2013,3,0,26956,54
List of Polish people,2012,2,1,463293,2793
List of German exonyms for places in Poland,2009,11,0,27238,44
History of Poland,2003,10,0,92680,219
Pole and Hungarian cousins be,2014,2,11,55616,173
Polish historical regions,2015,3,0,60118,249
Radio Maryja,2014,9,74,117200,209
FSO Syrena,2003,11,0,23994,29
S%C5%82upsk Bank,2011,12,3,28796,43
J%C3%B3zef Pi%C5%82sudski Institute for Research in Modern History of Poland,2010,7,0,40775,80
United States Ambassador to Poland,2012,1,8,88223,320
History of Poland during the Jagiellonian dynasty,2011,6,66,229711,796
Danzig Research Society,2014,8,2,37465,81
Solaris Bus %26 Coach,2013,2,2,79994,257
Template:Military of Poland,2011,5,0,27767,41
Yuri Nemyrych,2010,3,4,31974,66
FSC Star,2014,4,0,46090,77
Poland,2005,1,0,141656,496
List of coats of arms of Polish nobility,2006,6,0,69319,246
Voivodeship sejmik,2009,12,0,36336,81
List of Polish war cemeteries,2010,4,0,42676,172
Ministry of National Defence (Poland),2007,11,0,40800,108
History of Pomerania (1945%E2%80%93present),2012,11,54,176922,607
Temple of Divine Providence,2012,5,1,53477,142
Wronskian,2009,3,0,37207,50
Commission of National Education,2012,6,3,52907,138
Transport in Poland,2011,12,5,109490,461
List of cultural icons of Poland,2014,6,5,36156,88
Polonium,2009,2,72,243914,609
Poland,2013,10,166,755012,2797
MPB mine,2009,1,0,24238,37
Employers of Poland,2012,1,2,29300,51
Ckm wz. 30,2011,10,0,49554,119
Germania Slavica,2011,12,2,36271,76
Polish mine detector,2006,5,0,26612,41
Belarus%E2%80%93Poland border,2015,3,3,45886,74
Medal for Sacrifice and Courage,2007,4,0,31083,49
Sierpinski number,2011,2,2,37087,59
Jagiellonian University,2006,12,0,76488,251
ComPAN 8,2008,2,3,27496,60
Early history of Pomerania,2010,7,59,165787,610
RWD (aircraft manufacturer),2005,9,0,44830,139
SS So%C5%82dek,2014,8,3,79073,369
Karnit Flug,2014,11,2,36302,67
History of the Ukrainian minority in Poland,2012,12,85,132309,237
History of Poland during the Piast dynasty,2011,6,50,157527,534
PZL W 3 Sok%C3%B3%C5%82,2009,12,1,78040,203
History of Poland,2004,12,0,79526,347
President of Poland,2004,1,0,34401,59
Poles,2012,1,54,156032,486
Transport in Poland,2005,5,0,30904,54
War crimes in occupied Poland during World War II,2005,9,0,49848,156
Pomerania during the High Middle Ages,2012,5,129,299678,1001
Kingdom of Galicia%E2%80%93Volhynia,2007,7,0,98659,446
Kopytka,2013,4,0,53915,220
Lipka Tatars,2010,8,5,73313,224
Prussia (region),2011,2,5,54018,176
Polonium,2005,4,0,62676,157
Lands of Schlawe and Stolp,2011,1,11,65510,231
Acta Ornithologica,2011,1,0,34668,67
List of Polish people,2012,10,1,472272,2830
Solaris Bus %26 Coach,2011,8,2,76940,231
Kingdom of Galicia%E2%80%93Volhynia,2011,4,7,131875,411
3Xtrim Aircraft Factory,2008,12,0,34551,77
FSO Syrena,2004,1,0,24118,32
B%C5%82yskawica submachine gun,2007,12,0,34801,64
Raszyn radio transmitter,2008,5,0,28856,42
KTO Ry%C5%9B,2009,7,0,53196,201
Fiat 126,2011,6,11,92958,297
Blue Police,2013,11,26,135313,443
Pesa SA,2010,9,0,30608,49
Defensive grenade wz. 33,2014,8,7,49836,91
List of Polish people,2009,9,0,411792,2475
Poland and the euro,2009,1,6,59484,191
Ch%C4%99ciny County,2010,8,0,35425,98
Hrabia,2009,10,0,27759,52
History of Poland,2010,10,50,231625,892
God%27s Playground,2008,8,3,41489,71
Pollack,2008,3,0,29389,62
Banach algebra,2011,12,2,50896,113
Banach space,2008,12,0,50251,113
Warsaw School (mathematics),2012,8,0,33682,89
Chocolate covered prune,2015,1,7,37638,69
Poland,2010,7,68,427728,1792
Timeline of Polish history,2002,2,0,34277,49
Kociewie,2007,2,0,25280,41
Sejmik,2006,2,0,31637,86
Raszyn radio transmitter,2014,2,0,39417,81
Granatnik wz. 36,2013,3,0,37202,88
Lithuanization,2008,5,29,98669,233
List of tallest structures in Poland,2013,9,0,577331,604
Polish Chess Championship,2008,1,0,55418,290
Economy of Poland,2009,3,5,104900,421
Transport in Poland,2004,9,0,26375,35
Pesa SA,2012,3,7,40222,78
List of coats of arms of Polish nobility,2007,8,0,70703,259
PSR B1257%2B12 B,2013,12,2,50999,109
Poles,2014,5,53,211196,807
Internal Security Corps,2013,7,1,69535,232
List of Ambassadors of the United Kingdom to Poland,2013,2,9,85806,266
Polish notation,2005,9,0,30381,43
Polish Armed Forces,2005,12,0,57982,161
Powszechny Zak%C5%82ad Ubezpiecze%C5%84,2013,8,0,51288,174
Ewa reactor,2012,3,0,28925,54
Kordylewski cloud,2005,12,0,28713,42
Bogus%C5%82aw (given name),2014,7,3,36118,86
Defensive grenade wz. 33,2007,8,0,30101,63
Lviv,2012,8,92,377599,1217
Germania Slavica,2012,5,2,40409,95
Maurice Benyovszky,2014,9,26,121997,301
Polish Armed Forces,2007,2,1,61525,170
Polish Sportspersonality of the Year,2012,9,0,57969,271
Miko%C5%82aj S%C3%B3wka z Gulczewa,2014,1,2,31226,60
Encyklopedia Polski,2008,10,0,26649,48
Maurice Benyovszky,2011,8,21,105916,266
Powszechny Zak%C5%82ad Ubezpiecze%C5%84,2006,6,0,31316,47
Territorial changes of the Baltic states,2006,4,0,43034,129
List of diplomatic missions in Poland,2012,1,0,137717,292
List of Polish war cemeteries,2012,1,0,43616,173
Anartes,2009,5,2,30804,62
Khorovod,2007,8,0,33784,69
Kaszanka,2010,12,1,64961,199
Sociology in Poland,2012,5,3,67838,173
Name of Poland,2007,8,5,43775,131
Stanis%C5%82aw Olszewski,2014,5,2,33433,69
National Assembly (Poland),2005,11,0,27874,44
Masovians,2006,10,0,24870,32
Timeline of Polish science and technology,2014,4,2,58446,223
Sierpinski triangle,2003,8,0,31903,32
Sport in Poland,2011,6,4,84319,363
Kashubian studies,2010,6,3,37720,71
List of Ambassadors of the United Kingdom to Poland,2009,1,2,69783,250
PZL Mielec,2007,6,0,50445,170
Sejmik,2013,9,44,157244,353
Roman Catholic Archdiocese of Gniezno,2008,1,0,25791,25
Komorniki Festival of Organ and Chamber Music,2015,1,0,49434,113
Warsaw radio mast,2006,9,0,60607,163
Polish Armed Forces,2012,10,30,164400,589
Polish notation,2011,5,5,50932,93
Kingdom of Galicia%E2%80%93Volhynia,2008,12,2,83459,284
