filename,year,month,num_citations,file_size,forward_links
Prime Minister of Portugal,2011,12,0,83531,296
Montepio (bank),2012,5,0,32083,59
Banco de Portugal,2009,10,0,72552,301
St George%27s Day,2010,11,6,92949,333
History of Portugal,2010,2,63,182912,712
St George%27s Day,2011,11,17,111128,357
National monuments of Portugal,2007,12,0,56404,246
REFER,2008,12,0,37038,95
National monuments of Portugal,2013,8,5,342716,1359
Prostitution in Portugal,2013,2,26,83363,233
Federaci%C3%B3n Anarquista Ib%C3%A9rica,2006,5,0,66806,339
National monuments of Portugal,2008,9,0,76775,386
Portugal,2007,11,13,325727,1480
Banco de Portugal,2008,10,0,73242,305
Transport in Portugal,2004,5,0,26918,37
Joint Analysis and Lessons Learned Centre,2014,5,8,29994,44
Politics of Portugal,2007,1,1,95598,304
Iberian Federalism,2015,3,7,56449,141
List of postal codes in Portugal,2013,7,0,729326,1969
Taguspark,2015,3,0,27111,42
Vehicle registration plates of Portugal,2011,11,2,57549,157
St George%27s Day,2007,10,3,64004,193
Conquistador (Da Vinci song),2009,11,0,31689,70
Comboios de Portugal,2012,7,2,65248,180
Ministry of Labour and Social Solidarity,2011,12,0,33702,57
Past%C3%A9is de bacalhau,2006,4,0,23593,32
Drug policy of Portugal,2010,4,12,50040,79
Geography of Portugal,2006,3,0,49833,146
H%C3%A1 dias assim,2011,2,1,34879,64
Pol%C3%ADcia Judici%C3%A1ria,2012,10,3,82213,328
Judaeo Portuguese,2009,2,0,71198,246
St George%27s Day,2012,10,16,101508,271
National Industrial Property Institute (Portugal),2013,3,0,43721,72
Bacalhau com todos,2014,6,1,28363,50
Alentejana cattle,2012,2,0,32014,53
Portuguese Colonial Act,2012,1,2,83222,295
Citizen Card (Portugal),2011,12,0,47132,140
Public holidays in Portugal,2013,10,1,77424,271
Metro Transportes do Sul,2011,8,0,30428,51
"Academia das Ci%C3%AAncias de Lisboa, Classe de Letras",2013,8,0,30292,55
Amor d%27%C3%A1gua fresca,2010,2,0,28994,53
Citizen Card (Portugal),2013,1,0,46721,142
MTM (group),2008,8,0,28591,50
Federaci%C3%B3n Anarquista Ib%C3%A9rica,2008,11,1,72669,355
.pt,2009,2,1,71835,415
Amar (song),2008,10,0,29529,55
A luta %C3%A9 alegria,2011,8,5,42710,82
Desembargador,2014,11,1,24648,30
Sciences Academy of Lisbon,2012,7,1,63023,168
Demographics of Portugal,2013,4,15,163137,508
Ag%C3%AAncia de Inova%C3%A7%C3%A3o,2012,3,0,28855,51
Federaci%C3%B3n Anarquista Ib%C3%A9rica,2006,3,0,65915,340
REFER,2009,3,0,37053,99
Portugal,2004,12,0,170561,722
Baunilha e chocolate,2008,7,0,28782,54
Outline of Portugal,2008,5,0,65653,166
Drug policy of Portugal,2014,7,19,74789,116
Olympic Medal Nobre Guedes,2008,7,0,40938,93
H%C3%A1 dias assim,2012,1,1,35150,71
H%C3%A1 dias assim,2010,4,1,30878,45
Antena 1 (Portugal),2008,8,0,34610,76
National Defense Ministry (Portugal),2011,12,0,32637,56
Barros%C3%A3 cattle,2011,2,1,25659,40
Doce,2006,4,0,23220,29
Amor de Perdi%C3%A7%C3%A3o,2012,8,0,34038,65
Ala dos Namorados,2011,2,0,30043,44
A Fada Oriana,2008,5,0,26594,48
Eggs and brains,2007,12,0,63772,410
.pt,2007,2,0,68932,410
Kosovo%E2%80%93Portugal relations,2010,1,10,62831,154
Timeline of Portuguese history,2014,7,24,356176,1962
Portuguese Renaissance,2012,8,4,30916,58
Galinha %C3%A0 africana,2013,5,0,49193,193
TIMWE,2013,6,7,37656,52
REFER,2005,9,0,22360,21
Sport in Portugal,2011,10,0,77240,400
ABIC,2009,5,0,30193,58
Cozido,2015,3,1,38064,79
National Ballet of Portugal,2014,12,1,42883,146
Portugal,2009,6,41,434810,2025
Sport in Portugal,2007,11,0,58258,262
FAMEL,2012,1,0,29261,53
Via Verde,2008,9,0,25651,33
History of Portugal,2005,5,0,91500,479
Timeline of Portuguese history,2013,8,24,350942,1964
National monuments of Portugal,2005,8,0,53268,191
Flag of Lisbon,2008,7,0,25472,44
Demographics of Portugal,2007,4,1,56154,189
Ef%C3%ADgie da Rep%C3%BAblica,2007,8,0,29612,57
Ministry of Labour and Social Solidarity,2012,6,0,32466,58
"Penso em ti, eu sei",2007,4,0,29667,53
Outline of Portugal,2011,1,1,127592,527
Geography of Portugal,2007,1,0,54481,162
Terra de Miranda,2006,6,0,26732,43
General Union of Workers (Portugal),2007,10,0,31165,50
Template:Portugal stub,2009,1,0,27466,31
Past%C3%A9is de bacalhau,2011,6,0,27477,43
Portuguese Armed Forces,2006,3,0,42371,103
Kosovo%E2%80%93Portugal relations,2009,1,4,52991,150
Prostitution in Portugal,2008,1,2,30623,63
Pol%C3%ADcia Judici%C3%A1ria,2010,3,2,31024,42
Transport in Portugal,2009,7,2,50660,165
Banco Santander Totta,2010,8,0,27872,46
Pol%C3%ADcia Judici%C3%A1ria,2008,9,1,28899,47
Timeline of Portuguese history,2010,9,0,55186,203
Science and technology in Portugal,2008,7,1,49361,107
Past%C3%A9is de bacalhau,2009,1,0,26906,41
Geography of Portugal,2005,1,0,34178,60
Comboios de Portugal,2014,4,4,82727,218
Federaci%C3%B3n Anarquista Ib%C3%A9rica,2005,7,0,62836,310
Public holidays in Portugal,2011,2,0,58719,169
Indians in Portugal,2014,2,1,58808,221
Playback (song),2013,12,0,45909,120
Cozido,2007,5,0,27461,41
Arunca River,2012,9,1,26743,49
Pyreliophorus,2011,9,0,24048,32
Alqueire,2008,4,0,23834,31
.pt,2006,8,0,67943,408
Portugal,2002,9,0,72871,52
Calouste Gulbenkian Foundation,2007,2,0,28607,50
Federaci%C3%B3n Anarquista Ib%C3%A9rica,2009,11,1,69979,340
Portugal,2006,7,0,238215,990
Politics of Portugal,2014,9,2,149884,571
List of postal codes in Portugal,2009,11,0,682643,2448
Ministry of Foreign Affairs (Portugal),2014,1,0,34269,57
A festa da vida,2010,5,0,29559,58
Portugal,2010,4,58,340629,1313
Housing in Portugal,2006,10,0,27265,64
Huerta,2007,9,0,28480,55
Filh%C3%B3s,2007,9,0,28616,44
Conquistador (Da Vinci song),2015,2,0,72752,252
Portal:Portugal,2008,3,0,123397,439
Laborat%C3%B3rio Nacional de Engenharia Civil,2007,8,0,28124,41
Bela Vista Park,2008,6,0,25727,47
Esta balada que te dou,2008,10,0,29582,58
O Militante,2007,1,0,28931,59
Critical Manufacturing,2009,11,1,33262,50
Madrugada (song),2009,3,0,29903,56
List of Portuguese flags,2007,8,0,73890,241
Drug policy of Portugal,2014,1,19,73354,122
Instituto Nacional de Estat%C3%ADstica,2010,12,0,32006,52
Timeline of Portuguese history,2005,1,0,49922,265
Timeline of Portuguese history,2009,10,0,54043,202
Geography of Portugal,2012,12,14,119818,439
Prostitution in Portugal,2010,7,21,69257,215
Novabase,2010,7,0,27624,37
Portugal Day,2013,8,19,64819,153
List of Portuguese flags,2014,10,0,79029,212
Canada (unit),2013,9,0,24592,43
Prime Minister of Portugal,2012,1,0,84049,292
Portuguese Colonial Act,2012,2,2,83254,295
St George%27s Day,2008,7,4,82703,327
Demographics of Portugal,2013,8,15,163246,505
Geography of Portugal,2007,12,0,60888,191
Politics of Portugal,2006,2,1,89741,293
Drug policy of Portugal,2012,4,14,65440,89
Portuguese Armed Forces,2013,2,4,119981,530
Montepio (bank),2009,6,0,28628,48
Terra de Miranda,2005,6,0,26777,47
Coimbra University Radio,2012,1,2,55013,114
Taguspark,2011,3,0,24951,43
Padroado Propaganda Schism,2014,1,0,27432,34
Montepio (bank),2007,6,0,28104,45
Champalimaud Foundation,2007,2,0,23795,35
Geography of Portugal,2004,4,0,31179,49
Assembly of the Republic (Portugal),2007,12,2,90732,219
Judaeo Portuguese,2006,6,0,45983,127
Judaeo Portuguese,2006,2,0,46203,132
Past%C3%A9is de bacalhau,2011,3,0,27474,41
Baunilha e chocolate,2013,3,0,43187,125
Drug policy of Portugal,2010,12,17,56478,76
Bilhete de Identidade (Portugal),2012,12,1,49307,149
Timeline of Portuguese history,2005,3,0,49705,268
Portuguese Securities Market Commission,2007,4,0,24881,36
History of Portugal,2014,10,74,254518,976
Jarmelista cattle,2011,6,0,26932,50
Public holidays in Portugal,2010,7,0,43250,148
Economy of Portugal,2008,11,11,94996,402
Ministry of Labour and Social Solidarity,2013,3,0,33267,61
Electric vehicle network,2010,7,75,125486,225
Portuguese Armed Forces,2006,4,0,42344,103
Lancers (wine),2010,5,0,30519,51
List of postal codes in Portugal,2010,7,0,686688,2450
"CTT Correios de Portugal, S.A.",2009,7,0,41794,132
Prime Minister of Portugal,2013,10,2,97225,343
Move Interactive,2008,1,0,30619,49
Economy of Portugal,2009,10,19,105643,413
Demographics of Portugal,2009,1,6,98499,379
History of Portugal,2005,11,0,171003,1156
Index of Portugal related articles,2014,7,0,55647,278
Electric vehicle network,2014,2,220,332352,471
Exclusive economic zone of Portugal,2008,5,3,34824,60
Instituto Nacional de Estat%C3%ADstica,2013,2,0,33972,64
National Republican Guard (Portugal),2009,2,0,49987,128
Kosovo%E2%80%93Portugal relations,2008,10,3,53037,156
Deixa me sonhar (s%C3%B3 mais uma vez),2006,9,0,26720,38
Cozido,2012,4,0,35316,70
Coimbra University Radio,2011,9,2,54678,110
Geography of Portugal,2006,9,0,54551,164
Past%C3%A9is de bacalhau,2013,4,3,33188,61
Novabase,2007,7,0,22319,33
Economy of Portugal,2010,4,25,126089,488
Associa%C3%A7%C3%A3o Internacional dos Trabalhadores %E2%80%93 Sec%C3%A7%C3%A3o Portuguesa,2009,12,0,33919,55
Portugal Day,2013,2,5,56560,148
Astronomical Observatory of Lisbon,2010,12,0,47288,70
Bela Vista Park,2008,12,0,28209,54
Hymno Patri%C3%B3tico,2015,1,2,36523,49
Public holidays in Portugal,2007,3,0,26576,60
Sport in Portugal,2011,11,0,76689,396
INDEP,2010,12,0,29665,55
Bela Vista Park,2011,5,0,29759,63
ABIC,2009,11,0,30612,66
Assembly of the Republic (Portugal),2010,6,1,108326,265
Banco Santander Totta,2009,4,0,25477,34
Angola%E2%80%93Portugal relations,2009,6,3,49629,132
Portuguese Armed Forces,2014,4,11,130660,506
A festa da vida,2007,10,0,27917,51
Economy of Portugal,2011,7,43,160506,593
INDEP,2013,9,6,39286,58
Liberalism in Portugal,2004,11,0,34757,46
Critical Manufacturing,2013,10,1,34611,60
Past%C3%A9is de bacalhau,2011,7,0,27722,45
International Sand Sculpture Festival,2013,6,5,36966,46
Lez%C3%ADria Bridge,2015,3,4,36195,58
Index of Portugal related articles,2005,5,0,28235,52
Transport in Portugal,2006,4,0,30479,42
INDEP,2011,5,0,29327,55
Timeline of Portuguese history,2009,12,0,55212,203
"Craft, Tourism, Agricultural, Commercial and Industrial Fair of Lagoa",2008,11,0,28047,57
Portugal in the Eurovision Song Contest 1985,2010,8,0,60555,172
Transport in Portugal,2005,5,0,30741,40
Jarmelista cattle,2012,3,0,27216,45
Via Verde,2011,8,0,28750,35
Assembly of the Republic (Portugal),2009,10,1,93156,219
Associa%C3%A7%C3%A3o Empresarial de Portugal,2012,12,0,24679,39
Coimbra University Radio,2004,12,0,24117,32
Joint Analysis and Lessons Learned Centre,2014,10,8,35912,58
Playback (song),2014,8,4,72160,236
Mozambique%E2%80%93Portugal relations,2013,8,3,45441,105
Barros%C3%A3 cattle,2014,6,1,28458,46
.pt,2007,12,0,70429,411
Laborat%C3%B3rio Nacional de Engenharia Civil,2010,5,0,29390,44
List of postal codes in Portugal,2007,5,0,668812,2513
Islam in Portugal,2007,4,0,37252,115
Alqueire,2014,12,3,37028,50
Portuguese Renaissance,2013,1,23,145390,482
"CTT Correios de Portugal, S.A.",2010,9,0,41690,132
List of Portuguese flags,2011,2,0,76035,203
Bacalhau com natas,2012,7,1,26967,41
Antes do adeus,2009,7,0,30129,57
Pol%C3%ADcia Judici%C3%A1ria,2007,10,2,29157,42
Macau Science and Culture Centre,2005,12,0,28854,53
List of Portuguese flags,2012,5,0,77978,208
Government of Portugal,2013,7,0,52859,186
Portuguese inventions,2013,5,5,64285,152
History of Portugal,2006,3,0,171229,1153
International Sand Sculpture Festival,2011,5,5,36782,53
Portuguese Armed Forces,2014,5,11,126493,499
Bilhete de Identidade (Portugal),2009,8,0,47114,132
Antena 1 (Portugal),2014,8,0,36544,83
Barranquenho,2009,5,0,62729,250
Economy of Portugal,2002,9,0,32068,66
Amor de Perdi%C3%A7%C3%A3o,2013,3,0,34209,68
Accounting in Portugal,2013,3,1,30557,51
Electric vehicle network,2010,3,23,64977,112
Democratic Intervention (Portugal),2006,2,0,24783,34
C%C3%A2mara municipal,2005,10,0,24070,35
Federaci%C3%B3n Anarquista Ib%C3%A9rica,2004,4,0,27695,29
Ag%C3%AAncia de Inova%C3%A7%C3%A3o,2014,2,1,29912,50
Presidents of the Regional Government of Madeira,2014,6,0,38240,57
Geography of Portugal,2014,3,14,119191,441
Indians in Portugal,2010,4,1,59012,221
Public holidays in Portugal,2011,3,0,58533,165
Ala dos Namorados,2008,10,0,30605,46
2B (band),2013,2,0,31196,60
Parque das Na%C3%A7%C3%B5es,2012,2,0,39164,59
List of Portuguese flags,2008,1,0,76402,242
List of Portuguese flags,2009,11,0,77873,246
Coimbra University Radio,2005,7,0,24237,34
Drug policy of Portugal,2014,3,19,72573,114
Portugal,2001,5,0,71496,26
List of postal codes in Portugal,2006,11,0,37472,140
History of Portugal,2007,8,1,219691,1201
Politics of Portugal,2005,7,0,64588,259
Bem bom,2012,4,0,40569,108
Huerta,2011,1,0,31444,60
Public holidays in Portugal,2012,4,1,67007,184
Entre Douro e Minho Province,2006,7,0,26559,43
Electric vehicle network,2009,2,7,38438,57
Barranquenho,2009,7,0,62743,250
.pt,2005,3,0,34491,31
List of postal codes in Portugal,2009,8,0,681606,2460
Euronext Lisbon,2010,12,2,38465,93
Past%C3%A9is de bacalhau,2013,6,3,33192,62
Timeline of Portuguese history,2012,1,11,344743,2065
Portuguese Securities Market Commission,2014,6,1,27844,42
Espetada,2008,1,0,24796,46
Judaeo Portuguese,2008,6,0,71097,242
Assembleia de freguesia,2014,1,2,28723,43
Euronext Lisbon,2013,1,2,66886,298
List of postal codes in Portugal,2012,12,0,729231,1976
Cozido,2015,2,1,37864,73
Huerta,2011,4,0,33755,71
Micro Audio Waves,2014,1,6,39788,61
Portuguese inventions,2012,4,5,57899,139
History of Portugal,2012,8,75,215276,811
National Ballet of Portugal,2014,5,0,37654,130
Child pornography laws in Portugal,2012,6,1,29238,45
List of postal codes in Portugal,2011,6,0,727226,1985
