filename,year,month,num_citations,file_size,forward_links
Telecommunications in Qatar,2005,11,0,24163,33
Arabian Desert,2011,11,5,74666,276
Arab Center for Research and Policy Studies,2012,9,5,30711,44
Qatari riyal,2006,4,0,43469,121
History of Qatar,2012,6,9,75430,232
Qatar Central Bank,2010,2,7,61139,236
American School of Doha,2009,2,0,32097,37
Oryx Quest,2010,2,0,28604,59
Politics of Qatar,2011,2,3,72669,273
Demographics of Qatar,2010,5,6,55703,197
As Salam al Amiri,2012,6,1,51533,148
Qatar motorcycle Grand Prix,2007,9,0,39628,75
Qatar%E2%80%93United Arab Emirates relations,2012,11,1,47708,121
Roman Catholicism in Qatar,2015,3,4,44651,122
History of Qatar,2004,4,0,31504,72
Al Jazeera Academy,2007,1,0,24366,34
Arabian Desert,2010,12,5,75752,280
Qatari riyal,2009,5,2,63077,156
Outline of Qatar,2009,6,0,77984,182
Economy of Qatar,2009,7,1,79098,384
Flag of Qatar,2013,6,0,60020,166
Qatar,2004,9,0,86388,219
Qatar%E2%80%93Russia relations,2014,9,10,82899,293
Politics of Qatar,2012,11,7,82245,292
Demographics of Qatar,2010,9,6,55489,193
Transportation in Doha,2013,10,7,51741,121
Al Battoulah,2009,9,1,28442,51
Amiri decree,2010,8,0,23773,40
Roman Catholicism in Qatar,2008,11,3,41397,113
Qatar Ladies Open,2008,3,0,68649,175
Arabian Desert,2009,11,6,69926,274
History of Qatar,2009,3,14,80195,233
Qatar Armed Forces,2013,11,24,124648,372
International rankings of Qatar,2008,10,8,40327,90
Al Jazeera Academy,2014,6,4,62012,113
Qatar,2011,6,60,290068,891
Qatari riyal,2006,8,2,60855,162
Qatar Red Crescent Society,2015,1,0,161063,348
Sport in Qatar,2013,5,1,43343,121
List of Prime Ministers of Qatar,2006,1,0,27810,34
Doha Declaration,2005,5,0,24654,33
Politics of Qatar,2007,3,0,47873,132
Qatari passport,2009,2,0,137332,418
Geography of Qatar,2010,5,0,56794,201
Al Mayassa bint Hamad bin Khalifa Al Thani,2012,2,4,40293,69
Amiri decree,2012,4,0,24366,46
Qatar,2013,1,91,382308,1083
"Qatari municipal elections, 2007",2008,3,2,37786,72
List of Prime Ministers of Qatar,2010,10,0,42457,84
Collecting practices of the Al Thani Family,2013,6,32,73724,88
Dubai Towers Doha,2007,6,0,65191,282
History of the Jews in Qatar,2013,2,3,48324,132
Consultative Assembly of Qatar,2015,1,3,78316,315
Katara (cultural village),2013,2,1,34002,59
2010 Arab Capital of Culture,2013,3,4,44467,101
Qatar Mosque,2012,5,0,29085,51
Politics of Qatar,2015,1,44,133192,340
Telecommunications in Qatar,2009,3,0,34460,92
Katara (cultural village),2011,1,1,33071,53
List of Qatar related topics,2008,12,0,56563,185
Qatar Armed Forces,2008,8,0,44824,141
General Secretariat for Development Planning,2009,11,4,53821,45
Outline of Qatar,2011,11,1,85425,237
Demographics of Qatar,2013,12,12,74590,208
Transportation in Doha,2012,12,5,49368,114
Economy of Qatar,2011,2,2,93048,379
Postage stamps and postal history of Qatar,2012,2,2,46698,132
Qatar Armed Forces,2014,2,26,125110,372
Qatar Amiri Flight,2010,2,10,40991,96
Telecommunications in Qatar,2007,9,0,33792,95
Salam International Investment Limited,2012,3,3,36713,76
As Salam al Amiri,2012,11,1,51419,148
Economy of Qatar,2005,8,0,60869,273
Qatar National Convention Centre,2013,5,1,40097,68
List of Prime Ministers of Qatar,2006,2,0,37240,71
Economy of Qatar,2013,3,7,96866,382
Barwa Tower,2010,9,0,59977,276
Economy of Qatar,2005,4,0,60135,270
Qatar,2009,8,29,237675,786
Prostitution in Qatar,2008,11,5,39567,101
Politics of Qatar,2006,12,0,47735,128
Vehicle registration plates of Qatar,2014,6,1,37978,101
Politics of Qatar,2005,5,0,43437,121
Outline of Qatar,2013,5,1,83558,237
Qatar motorcycle Grand Prix,2009,6,0,45883,100
Flag of Qatar,2005,12,0,37360,50
