filename,year,month,num_citations,file_size,forward_links
%C3%89ire,2006,1,0,47850,118
Republic of Ireland,2004,1,0,111607,326
Solid State Pharmaceutical Cluster,2010,8,3,31729,43
List of towns and villages in the Republic of Ireland,2012,10,0,163102,1366
John Bowman (broadcaster),2006,5,0,36425,105
Department of Finance (Ireland),2008,1,0,40397,128
Irish republicanism,2013,11,48,167305,598
President of Ireland,2006,5,2,107669,364
Republic of Ireland,2010,2,129,527021,2017
Republic of Ireland,2009,4,93,457120,1780
The Emergency (Ireland),2005,9,0,45049,130
Rossport Five,2010,4,12,40328,90
"Minister for the Environment, Community and Local Government",2010,2,0,52772,164
"Department of Transport, Tourism and Sport",2013,4,3,45158,94
Irish neutrality during World War II,2009,1,21,87557,236
Army Ranger Wing,2013,8,30,96989,185
National Lottery (Ireland),2009,5,12,69121,129
List of museums in the Republic of Ireland,2014,10,3,267270,1350
The Emergency (Ireland),2012,2,67,150230,399
Constitution of Ireland,2011,5,32,167981,433
"Minister for Jobs, Enterprise and Innovation",2012,6,0,56971,176
An Cosant%C3%B3ir,2010,2,0,29456,51
Department of the Taoiseach,2007,11,0,29254,63
Moriarty Tribunal,2011,7,26,57344,89
Irish Boundary Commission,2008,2,7,45230,98
Southern Ireland (1921%E2%80%9322),2009,7,5,55707,136
Water supply and sanitation in the Republic of Ireland,2014,8,34,111494,129
List of museums in the Republic of Ireland,2010,11,3,257786,1328
Southern Ireland (1921%E2%80%9322),2006,6,0,44416,123
IE Domain Registry,2006,12,0,28740,42
List of banks in the Republic of Ireland,2008,4,0,40667,100
Celtic Tiger,2014,8,94,181235,465
Christopher Ewart Biggs,2008,1,1,32078,68
Radiological Protection Institute of Ireland,2005,10,0,25287,37
Natural Heritage Area,2014,4,2,25007,38
Direct Democracy Ireland,2013,3,3,32201,47
List of Irish state funerals,2008,5,17,62724,276
Market Houses in the Republic of Ireland,2014,3,1,64524,319
Budget Day,2015,3,20,81363,166
Names of the Irish state,2014,8,96,188594,360
List of aircraft of the Irish Air Corps,2013,3,11,54720,129
List of hospitals in the Republic of Ireland,2014,3,0,74229,281
Army Ranger Wing,2011,6,27,90993,185
Defence Forces (Ireland),2007,2,1,45668,87
Department of the Taoiseach,2008,4,0,33766,83
Mahon Tribunal,2013,4,22,84732,155
List of people on stamps of Ireland,2006,10,0,62249,319
List of flags of Ireland,2013,10,2,142270,416
Language Freedom Movement,2005,3,0,26316,45
Philip Sheedy Affair,2009,11,10,44438,63
ISEQ 20,2009,11,2,27192,52
Irish euro coins,2011,5,3,77295,226
Department of Public Expenditure and Reform,2011,4,0,33636,67
Army Ranger Wing,2007,9,2,51644,130
Retail in the Republic of Ireland,2012,1,0,43693,124
Economic and Social Research Institute,2012,1,16,44068,53
"Department of the Environment, Community and Local Government",2012,3,1,38889,82
List of Irish uprisings,2014,8,0,37353,118
Metrication in Ireland,2006,2,0,36611,48
Personal Public Service Number,2011,9,2,43036,100
Irish euro coins,2002,11,0,33629,42
IDA Ireland,2012,1,0,28535,56
Enterprise Ireland,2013,5,3,35249,58
Constitution of Ireland,2010,10,31,166805,437
Saor %C3%89ire (1967%E2%80%9375),2014,1,8,38890,73
Republic of Ireland,2004,3,0,118249,364
List of flags of Ireland,2015,1,2,170368,463
Naval Service (Ireland),2014,9,24,145634,431
Defence Forces (Ireland),2006,7,0,43782,83
Minister for Education and Skills,2010,9,2,52457,173
Morris Tribunal,2006,5,0,28897,31
Department of state (Ireland),2008,12,0,53121,174
Deposit interest retention tax,2012,2,3,29517,47
Direct Democracy Ireland,2013,4,11,49941,121
Politics of the Republic of Ireland,2012,6,11,171312,832
Southern Ireland (1921%E2%80%9322),2015,1,7,63509,154
British%E2%80%93Irish Parliamentary Assembly,2007,10,0,32056,63
Minister for Supplies,2009,9,0,31605,74
Prize Bond,2010,10,2,28170,47
Outline of the Republic of Ireland,2010,12,5,103964,408
Department of Finance (Ireland),2010,11,0,41019,85
Irish Boundary Commission,2011,6,23,72058,106
Irish Alliance for Europe,2005,6,0,24469,30
An Coimisin%C3%A9ir Teanga,2013,4,0,25535,45
Corrib gas controversy,2013,10,64,152195,258
Discover Science %26 Engineering,2009,10,5,30075,52
Celtic Tiger,2007,3,28,85899,220
National Botanic Gardens (Ireland),2008,12,2,45662,97
Fethard on Sea boycott,2015,2,8,36423,57
Politics of the Republic of Ireland,2007,11,2,98004,407
List of flags of Ireland,2014,4,2,164737,447
Market Houses in the Republic of Ireland,2011,9,1,67400,350
Irish involvement in the Spanish Civil War,2009,12,4,35546,65
"Department of Transport, Tourism and Sport",2011,12,1,44742,94
University of Dublin (constituency),2011,7,7,138393,369
Minister for Finance (Ireland),2005,3,0,53435,288
United Left (Ireland),2014,5,4,42756,114
Names of the Irish state,2010,1,70,139425,292
Executive Council of the Irish Free State,2004,3,0,28692,64
Celtic Tiger,2009,8,65,110933,234
Arms Crisis,2013,8,6,45708,114
Republic of Ireland Act 1948,2009,9,10,80321,213
Reform Alliance (Ireland),2013,10,12,49052,62
Met %C3%89ireann,2009,4,4,52786,162
Corrib gas controversy,2010,9,50,123219,234
Brian McCracken,2011,1,3,31126,65
Politics of the Republic of Ireland,2010,12,3,140878,678
Heritage sites (Ireland),2012,3,0,42998,172
Exercise Armageddon,2014,8,7,39880,89
Young Scientist and Technology Exhibition,2007,11,0,27442,36
Aer Lingus Flight 712,2012,4,8,54825,90
Republic of Ireland Act 1948,2005,3,0,32295,76
"Minister for Jobs, Enterprise and Innovation",2009,2,0,54409,171
.ie,2015,4,17,93210,424
List of higher education institutions in the Republic of Ireland,2012,5,5,85689,254
Central Bank of Ireland,2013,9,228,354183,549
NorthSouth Ministerial Council,2006,3,0,29280,52
Irish Republic,2008,12,14,101085,266
%C3%93glaigh na h%C3%89ireann,2006,10,2,31009,59
Arms Crisis,2008,10,2,39569,101
Central Bank of Ireland,2014,5,257,382982,567
Border Campaign (Irish Republican Army),2015,4,35,87151,235
Patrick Honohan,2010,5,2,30649,50
Haulbowline,2012,1,6,34729,58
%C3%93glaigh na h%C3%89ireann,2012,9,16,40027,71
Irish republicanism,2012,5,49,150582,512
List of heritage railways in the Republic of Ireland,2014,9,0,34194,93
President of Ireland,2009,12,23,154792,491
National Botanic Gardens (Ireland),2013,9,4,54493,116
.ie,2007,11,0,73404,424
County and City Enterprise Board,2009,3,2,36438,44
List of Irish constituencies,2009,3,0,115030,302
Television licencing in the Republic of Ireland,2014,5,75,148669,229
Irish Civil War,2012,8,74,161877,380
Irish Boundary Commission,2011,7,23,72387,111
"Minister for Transport, Tourism and Sport",2010,3,0,47727,130
List of newspapers in the Republic of Ireland,2005,3,0,44771,95
Enterprise Platform Programme,2009,8,0,24096,33
State papers,2007,1,0,25740,59
Irish Civil War,2011,12,76,162209,363
British%E2%80%93Irish Council,2008,12,3,63928,230
Rossport Five,2006,10,0,27811,50
%C3%89ire,2014,9,18,63337,143
%C3%89ire,2009,8,11,49348,128
Financial Regulator,2009,8,36,55065,68
Irish Military Archives,2007,4,0,26678,38
Language Freedom Movement,2009,7,7,39454,68
%C3%89ire,2007,11,4,51515,150
Central Bank of Ireland,2006,10,0,48227,109
List of Irish uprisings,2013,1,0,36854,122
Science Week Ireland,2008,9,8,34048,66
"Department of Transport, Tourism and Sport",2006,10,0,27475,40
George McManus (baseball),2010,1,0,24981,38
Personal Retirement Savings Account,2009,2,0,35625,50
Defence Forces (Ireland),2007,1,1,45783,85
CREST (securities depository),2007,12,0,29454,48
University of Dublin (constituency),2006,12,0,107067,457
Balfour Declaration of 1926,2011,5,1,39830,85
Forf%C3%A1s,2009,4,1,38087,53
Corruption in Ireland,2012,12,30,104783,252
Director of Corporate Enforcement,2013,12,1,36129,66
History of the Republic of Ireland,2005,6,0,57911,181
Attorney General of Ireland,2004,7,0,36480,186
President of Ireland,2014,10,49,196967,590
Department of Public Expenditure and Reform,2013,1,5,42091,73
Ceann Comhairle,2011,6,7,73091,239
Constitution of Ireland,2007,9,19,141474,356
Revenue Commissioners,2014,1,6,41393,93
Irish euro coins,2004,8,0,55450,181
Midlands Gateway,2008,2,6,42512,82
GUBU,2005,10,0,30293,58
List of programmes broadcast by TV3 Ireland,2013,2,0,248237,804
Politics of the Republic of Ireland,2004,1,0,55464,185
National Botanic Gardens (Ireland),2007,7,0,29703,52
Republic of Ireland Act 1948,2009,11,10,80333,215
"Minister for Jobs, Enterprise and Innovation",2008,2,0,63051,342
Science Gallery,2009,4,0,39657,79
List of companies listed on the Irish Stock Exchange,2011,4,0,32997,59
Water supply and sanitation in the Republic of Ireland,2013,11,32,108916,129
Revenue On Line Service,2006,6,0,27325,57
Executive Council of the Irish Free State,2015,1,16,65774,169
Department of Defence (Ireland),2006,1,0,29785,47
Army Ranger Wing,2005,1,0,23369,32
Army Ranger Wing,2010,6,31,98354,202
McCarthy Report,2010,4,5,35919,52
Constitution of Ireland,2015,4,34,180494,432
